'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'DODO-USDT','5m','@XW*?','2021-09-11','2021-10-11','32','40.57','-5.35',6415,'50','16.9','9.2','1198.76','5','4',676,-370,'16','16','-9.93'
'DODO-USDT','5m','-VW;v','2021-09-11','2021-10-11','49','38.09','-8.49',9797,'59','14.63','6.56','1153.45','8','4',570,-404,'29','20','-9.93'
'DODO-USDT','5m','-VW<v','2021-09-11','2021-10-11','51','25.21','-8.49',3901,'57','8.14','5.1','459.29','8','4',473,-476,'29','22','-9.93'
'DODO-USDT','5m','3OW?n','2021-09-11','2021-10-11','47','28.53','-8.17',2918,'53','11.87','4.74','357.22','3','4',586,-466,'25','22','-9.93'
'DODO-USDT','5m','-VW=v','2021-09-11','2021-10-11','52','19.98','-7.25',2222,'56','7.65','4.66','306.34','6','4',475,-751,'29','23','-9.93'
'DODO-USDT','5m','=bVNC','2021-09-11','2021-10-11','45','24.31','-5.66',1673,'47','5.89','4.72','295.42','3','3',470,-365,'21','24','-9.93'
'DODO-USDT','5m','@VW*F','2021-09-11','2021-10-11','37','28.73','-7.53',2112,'46','5.73','4.95','280.46','4','4',625,-455,'17','20','-9.93'
'DODO-USDT','5m','@^W*?','2021-09-11','2021-10-11','41','29.53','-9.16',2359,'46','4.69','5.02','257.55','3','4',605,-315,'19','22','-9.93'
'DODO-USDT','5m','LewDb','2021-09-11','2021-10-11','20','20.85','-3.95',954,'70','10.58','6.08','241.36','4','2',395,-472,'14','6','-9.93'
'DODO-USDT','5m','@_W*?','2021-09-11','2021-10-11','41','29.41','-10.43',2340,'46','4.45','5.04','224.3','3','4',604,-309,'19','22','-9.93'
'DODO-USDT','5m','@cW*?','2021-09-11','2021-10-11','41','25.94','-8.22',1658,'46','3.85','4.75','201.64','3','4',576,-361,'19','22','-9.93'
'DODO-USDT','5m','-VW.v','2021-09-11','2021-10-11','52','21.19','-10.67',2144,'46','7.11','4.05','200.99','3','5',555,-744,'24','28','-9.93'
'DODO-USDT','5m','-VWWs','2021-09-11','2021-10-11','50','22.23','-9.85',1979,'52','5.79','4.28','200.87','4','5',448,-387,'26','24','-9.93'
'DODO-USDT','5m','-VWWl','2021-09-11','2021-10-11','50','22.23','-9.85',1979,'52','5.79','4.28','200.87','4','5',448,-387,'26','24','-9.93'
'DODO-USDT','5m','-VWLv','2021-09-11','2021-10-11','52','22.22','-10.8',1973,'46','8.02','4.16','182.77','3','5',593,-661,'24','28','-9.93'
