'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'DOGE-USDT','5m','eVswv','2021-09-11','2021-10-11','11','5.91','-3.73',101,'73','1.48','3.54','27.16','4','1',233,-407,'8','3','-4.74'
'DOGE-USDT','5m','eEsWv','2021-09-11','2021-10-11','8','2.86','-3.29',44,'62','0.89','1.88','13.31','3','2',300,-355,'5','3','-4.74'
'DOGE-USDT','5m','vNqn','2021-09-11','2021-10-11','6','2.51','-3.96',45,'50','0.39','2.03','11.43','2','2',370,-294,'3','3','-4.74'
'DOGE-USDT','5m','FVW*?','2021-09-11','2021-10-11','20','1.1','-7.03',25,'35','0.19','0.67','3.5','2','4',498,-308,'7','13','-4.74'
'DOGE-USDT','5m','-VW.v','2021-09-11','2021-10-11','38','-30.17','-31.94',-99,'29','-0.22','-6.05','-3.09','2','7',418,-463,'11','27','-4.74'
'DOGE-USDT','5m','-VWMv','2021-09-11','2021-10-11','38','-29.52','-30.87',-98,'29','-0.22','-6.06','-3.18','2','7',399,-462,'11','27','-4.74'
'DOGE-USDT','5m','-SUNv','2021-09-11','2021-10-11','38','-29.26','-30.69',-98,'32','-0.22','-6.13','-3.2','4','7',371,-464,'12','26','-4.74'
'DOGE-USDT','5m','-VWW^','2021-09-11','2021-10-11','37','-29.15','-30.53',-98,'32','-0.2','-6.66','-3.22','4','7',347,-465,'12','25','-4.74'
'DOGE-USDT','5m','-VWLv','2021-09-11','2021-10-11','38','-28.9','-30.18',-98,'29','-0.23','-5.85','-3.25','2','7',456,-461,'11','27','-4.74'
'DOGE-USDT','5m','?VW.v','2021-09-11','2021-10-11','33','-28.25','-30.02',-98,'24','-0.2','-6.12','-3.26','2','6',422,-473,'8','25','-4.74'
'DOGE-USDT','5m','-VW<v','2021-09-11','2021-10-11','38','-28.48','-29.55',-98,'37','-0.21','-5.92','-3.31','4','6',349,-468,'14','24','-4.74'
'DOGE-USDT','5m','?VW2v','2021-09-11','2021-10-11','33','-27.79','-29.24',-98,'27','-0.19','-6.12','-3.34','2','6',389,-476,'9','24','-4.74'
'DOGE-USDT','5m','=ptVt','2021-09-11','2021-10-11','22','-29.15','-29.22',-98,'27','-0.23','-6.05','-3.36','2','5',354,-451,'6','16','-4.74'
'DOGE-USDT','5m',':VWWv','2021-09-11','2021-10-11','38','-27.45','-28.89',-97,'29','-0.21','-5.8','-3.36','4','7',354,-485,'11','27','-4.74'
