'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'EGLD-USDT','5m','7Fpob','2021-09-11','2021-10-11','23','1.41','-3.18',97,'43','1.95','2.33','30.47','3','2',360,-457,'10','13','1.3'
'EGLD-USDT','5m','@_W*?','2021-09-11','2021-10-11','37','4.77','-9.42',101,'38','0.56','1.44','10.7','3','4',509,-295,'14','23','1.3'
'EGLD-USDT','5m','=ptVt','2021-09-11','2021-10-11','44','-8.8','-10.14',43,'41','0.22','0.84','4.28','3','4',418,-523,'18','26','1.3'
'EGLD-USDT','5m','?dpMr','2021-09-11','2021-10-11','42','-5.32','-9.84',30,'40','0.15','0.7','3.08','3','5',459,-492,'17','25','1.3'
'EGLD-USDT','5m','WrVZ;','2021-09-11','2021-10-11','38','-8.11','-11.74',0,'39','0.0','0.21','0.03','3','4',342,-273,'15','23','1.3'
'EGLD-USDT','5m','wVW*?','2021-09-11','2021-10-11','30','-1.92','-16.78',-9,'33','-0.02','0.09','-0.51','4','6',557,-316,'10','20','1.3'
'EGLD-USDT','5m','MVsWv','2021-09-11','2021-10-11','31','-5.93','-11.71',-6,'45','-0.03','0.15','-0.52','3','3',393,-566,'14','17','1.3'
'EGLD-USDT','5m','@^W*?','2021-09-11','2021-10-11','38','-1.35','-9.41',-6,'34','-0.04','0.17','-0.65','2','4',483,-300,'13','25','1.3'
'EGLD-USDT','5m','-VW*=','2021-09-11','2021-10-11','36','-4.64','-11.71',-27,'36','-0.1','-0.26','-2.29','3','6',476,-271,'13','23','1.3'
'EGLD-USDT','5m','_W6,U','2021-09-11','2021-10-11','54','-8.77','-23.5',-58,'37','-0.12','-0.6','-2.48','2','8',587,-473,'20','34','1.3'
'EGLD-USDT','5m','@TW*?','2021-09-11','2021-10-11','35','-8.29','-19.85',-53,'34','-0.1','-0.93','-2.69','3','7',479,-291,'12','23','1.3'
'EGLD-USDT','5m','O=ITi','2021-09-11','2021-10-11','68','-41.44','-36.61',-99,'37','-0.12','-7.61','-2.72','3','5',304,-454,'25','43','1.3'
'EGLD-USDT','5m','XRV.a','2021-09-11','2021-10-11','65','-38.66','-34.5',-99,'34','-0.18','-4.72','-2.87','3','6',410,-380,'22','43','1.3'
'EGLD-USDT','5m','3fWHn','2021-09-11','2021-10-11','62','-18.77','-14.73',-44,'44','-0.09','-0.78','-2.99','3','5',316,-451,'27','35','1.3'
'EGLD-USDT','5m','-VWW^','2021-09-11','2021-10-11','66','-38.8','-32.51',-98,'35','-0.13','-5.18','-3.02','3','5',347,-415,'23','43','1.3'
'EGLD-USDT','5m',':YY:_','2021-09-11','2021-10-11','64','-39.05','-32.04',-98,'33','-0.16','-4.93','-3.07','3','5',375,-416,'21','43','1.3'
'EGLD-USDT','5m','BVV.a','2021-09-11','2021-10-11','67','-36.51','-31.89',-99,'33','-0.16','-5.47','-3.1','3','5',400,-432,'22','45','1.3'
'EGLD-USDT','5m','<VV.a','2021-09-11','2021-10-11','67','-36.51','-31.89',-99,'33','-0.16','-5.47','-3.1','3','5',400,-432,'22','45','1.3'
'EGLD-USDT','5m','3OW5n','2021-09-11','2021-10-11','63','-31.87','-31.55',-98,'33','-0.13','-5.3','-3.11','2','5',482,-435,'21','42','1.3'
'EGLD-USDT','5m','-SUNv','2021-09-11','2021-10-11','71','-34.83','-30.96',-98,'39','-0.14','-5.05','-3.16','3','6',386,-542,'28','43','1.3'
'EGLD-USDT','5m','-VWWa','2021-09-11','2021-10-11','67','-36.99','-30.66',-97,'36','-0.15','-4.49','-3.17','3','5',347,-415,'24','43','1.3'
'EGLD-USDT','5m','QYRcn','2021-09-11','2021-10-11','56','-17.07','-21.13',-68,'38','-0.11','-1.53','-3.22','3','6',408,-559,'21','35','1.3'
'EGLD-USDT','5m','o4,@X','2021-09-11','2021-10-11','60','-16.34','-20.42',-66,'40','-0.17','-1.28','-3.23','2','5',410,-465,'24','36','1.3'
'EGLD-USDT','5m','-VW.v','2021-09-11','2021-10-11','70','-31.06','-29.61',-97,'40','-0.15','-4.69','-3.27','3','6',438,-434,'28','42','1.3'
'EGLD-USDT','5m','-VW?v','2021-09-11','2021-10-11','69','-31.68','-29.7',-97,'38','-0.15','-5.22','-3.27','3','6',460,-435,'26','43','1.3'
'EGLD-USDT','5m','3OW?n','2021-09-11','2021-10-11','64','-31.44','-29.5',-97,'36','-0.12','-5.13','-3.29','2','5',429,-441,'23','41','1.3'
'EGLD-USDT','5m','YOR9c','2021-09-11','2021-10-11','59','-33.78','-29.74',-98,'34','-0.17','-5.62','-3.31','3','4',402,-454,'20','39','1.3'
'EGLD-USDT','5m','-VW=v','2021-09-11','2021-10-11','70','-33.91','-29.33',-97,'43','-0.14','-5.46','-3.31','3','6',372,-441,'30','40','1.3'
'EGLD-USDT','5m',':VWWv','2021-09-11','2021-10-11','70','-35.67','-28.73',-96,'39','-0.12','-5.05','-3.35','3','6',364,-576,'27','43','1.3'
'EGLD-USDT','5m','7VWWv','2021-09-11','2021-10-11','70','-35.67','-28.73',-96,'39','-0.12','-5.05','-3.35','3','6',364,-576,'27','43','1.3'
'EGLD-USDT','5m','eVPWc','2021-09-11','2021-10-11','66','-37.05','-28.95',-98,'32','-0.16','-5.24','-3.37','2','6',351,-380,'21','45','1.3'
'EGLD-USDT','5m','fVPWv','2021-09-11','2021-10-11','66','-37.36','-28.85',-98,'33','-0.16','-5.49','-3.39','2','6',349,-594,'22','44','1.3'
'EGLD-USDT','5m','gVPWv','2021-09-11','2021-10-11','66','-37.36','-28.85',-98,'33','-0.16','-5.49','-3.39','2','6',349,-594,'22','44','1.3'
'EGLD-USDT','5m','eSNWd','2021-09-11','2021-10-11','66','-35.61','-28.61',-97,'32','-0.17','-4.93','-3.4','2','6',353,-381,'21','45','1.3'
