'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ENJ-USDT','5m','q9da','2021-09-11','2021-10-11','13','10.68','-3.97',345,'85','9.93','5.79','86.81','9','2',286,-472,'11','2','-4.38'
'ENJ-USDT','5m','vNqn','2021-09-11','2021-10-11','10','6.84','-1.83',137,'60','17.61','3.97','75.09','3','2',385,-240,'6','4','-4.38'
'ENJ-USDT','5m','VsWv','2021-09-11','2021-10-11','15','9.27','-3.96',201,'60','2.75','3.61','50.73','3','3',381,-457,'9','6','-4.38'
'ENJ-USDT','5m','WVsWv','2021-09-11','2021-10-11','15','9.27','-3.96',201,'60','2.75','3.61','50.73','3','3',381,-457,'9','6','-4.38'
'ENJ-USDT','5m','?VuWv','2021-09-11','2021-10-11','17','6.57','-4.17',121,'47','3.47','2.55','29.05','3','3',373,-353,'8','9','-4.38'
'ENJ-USDT','5m','wVW*?','2021-09-11','2021-10-11','27','10.83','-9.37',254,'37','0.89','2.52','27.05','3','6',508,-306,'10','17','-4.38'
'ENJ-USDT','5m','eEsWv','2021-09-11','2021-10-11','12','7.79','-5.89',149,'67','0.82','2.69','25.33','3','2',380,-657,'8','4','-4.38'
'ENJ-USDT','5m','MVsWv','2021-09-11','2021-10-11','16','4.69','-4.11',79,'44','1.14','1.96','19.15','3','3',366,-420,'7','9','-4.38'
'ENJ-USDT','5m','eVkWv','2021-09-11','2021-10-11','20','9.22','-10.23',192,'55','0.47','2.23','18.82','3','4',393,-635,'11','9','-4.38'
'ENJ-USDT','5m','hPmHf','2021-09-11','2021-10-11','15','6.72','-6.97',120,'60','0.82','2.36','17.29','3','3',312,-510,'9','6','-4.38'
'ENJ-USDT','5m','7Fpob','2021-09-11','2021-10-11','17','-0.08','-4.87',61,'47','0.51','1.93','12.61','3','3',337,-383,'8','9','-4.38'
'ENJ-USDT','5m','@cW*?','2021-09-11','2021-10-11','35','7.05','-11.63',144,'40','0.47','1.75','12.4','3','6',536,-334,'14','21','-4.38'
'ENJ-USDT','5m','=bVNC','2021-09-11','2021-10-11','42','3.67','-9.32',85,'40','0.29','1.32','9.07','3','5',416,-329,'17','25','-4.38'
'ENJ-USDT','5m','3OWXC','2021-09-11','2021-10-11','37','5.04','-11.78',96,'46','0.45','1.48','8.18','3','5',369,-350,'17','20','-4.38'
'ENJ-USDT','5m','ePjWv','2021-09-11','2021-10-11','18','5.14','-12.91',84,'56','0.16','1.4','6.51','3','3',381,-641,'10','8','-4.38'
'ENJ-USDT','5m','@^W*?','2021-09-11','2021-10-11','38','4.51','-14.21',77,'39','0.22','1.24','5.45','3','4',539,-337,'15','23','-4.38'
'ENJ-USDT','5m','eVswv','2021-09-11','2021-10-11','15','2.21','-10.23',30,'73','0.07','0.85','2.98','3','2',237,-598,'11','4','-4.38'
'ENJ-USDT','5m','3OWXE','2021-09-11','2021-10-11','40','-2.23','-11.78',6,'42','0.03','0.38','0.5','3','5',350,-332,'17','23','-4.38'
