'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'FLM-USDT','5m','ePPHa','2021-09-11','2021-10-11','49','-5.58','-8.09',67,'49','0.49','1.19','8.22','4','5',327,-448,'24','25','-15.6'
'FLM-USDT','5m','ePPH','2021-09-11','2021-10-11','49','-5.58','-8.09',67,'49','0.49','1.19','8.22','4','5',327,-448,'24','25','-15.6'
'FLM-USDT','5m','hPPHs','2021-09-11','2021-10-11','52','-10.13','-8.09',18,'46','0.16','0.57','2.26','5','5',311,-434,'24','28','-15.6'
'FLM-USDT','5m','ePPHt','2021-09-11','2021-10-11','52','-10.13','-8.09',18,'46','0.16','0.57','2.26','5','5',311,-434,'24','28','-15.6'
'FLM-USDT','5m','ui*5<','2021-09-11','2021-10-11','38','-1.38','-13.3',24,'29','0.12','0.63','1.77','2','6',554,-292,'11','27','-15.6'
'FLM-USDT','5m','@cW*?','2021-09-11','2021-10-11','44','-4.65','-11.87',-19,'36','-0.13','-0.02','-1.59','3','4',499,-310,'16','28','-15.6'
'FLM-USDT','5m','eVkWv','2021-09-11','2021-10-11','35','-33.86','-34.03',-99,'34','-0.18','-6.7','-2.91','3','5',315,-485,'12','23','-15.6'
'FLM-USDT','5m','LewDb','2021-09-11','2021-10-11','27','-34.23','-34.12',-99,'30','-0.12','-7.94','-2.91','2','6',269,-421,'8','19','-15.6'
'FLM-USDT','5m','tbik','2021-09-11','2021-10-11','41','-38.21','-33.98',-99,'27','-0.2','-5.95','-2.92','3','10',272,-504,'11','30','-15.6'
'FLM-USDT','5m','-VW.v','2021-09-11','2021-10-11','58','-34.42','-32.46',-99,'29','-0.19','-4.81','-3.04','3','8',375,-400,'17','41','-15.6'
'FLM-USDT','5m','-VWLv','2021-09-11','2021-10-11','58','-32.59','-31.61',-98,'26','-0.19','-4.8','-3.11','3','8',417,-408,'15','43','-15.6'
'FLM-USDT','5m','-VWMv','2021-09-11','2021-10-11','58','-34.13','-31.34',-98,'26','-0.18','-4.79','-3.14','3','8',361,-403,'15','43','-15.6'
'FLM-USDT','5m','3OW5n','2021-09-11','2021-10-11','52','-30.23','-30.87',-98,'33','-0.23','-4.71','-3.18','3','8',461,-437,'17','35','-15.6'
'FLM-USDT','5m','@TW*?','2021-09-11','2021-10-11','41','-30.02','-30.69',-98,'17','-0.17','-6.54','-3.19','2','14',463,-273,'7','34','-15.6'
'FLM-USDT','5m','-VW?v','2021-09-11','2021-10-11','58','-31.48','-30.75',-98,'38','-0.2','-4.88','-3.19','3','8',407,-413,'22','36','-15.6'
'FLM-USDT','5m','-VWWl','2021-09-11','2021-10-11','58','-34.96','-30.67',-98,'36','-0.17','-4.9','-3.2','3','8',308,-399,'21','37','-15.6'
'FLM-USDT','5m','-SUNv','2021-09-11','2021-10-11','58','-34.0','-30.16',-98,'29','-0.2','-4.58','-3.25','3','8',340,-410,'17','41','-15.6'
'FLM-USDT','5m','-VUWv','2021-09-11','2021-10-11','60','-34.39','-29.8',-98,'35','-0.18','-5.09','-3.29','3','8',319,-420,'21','39','-15.6'
'FLM-USDT','5m','ePjWv','2021-09-11','2021-10-11','31','-29.01','-29.44',-98,'35','-0.17','-6.18','-3.32','3','5',322,-493,'11','20','-15.6'
'FLM-USDT','5m','@VW*A','2021-09-11','2021-10-11','41','-27.6','-28.99',-97,'17','-0.25','-5.26','-3.34','2','15',473,-273,'7','34','-15.6'
'FLM-USDT','5m','-VWWa','2021-09-11','2021-10-11','57','-33.44','-29.19',-98,'37','-0.17','-4.54','-3.35','3','8',308,-399,'21','36','-15.6'
'FLM-USDT','5m','-VWWu','2021-09-11','2021-10-11','58','-33.19','-28.97',-98,'36','-0.19','-4.68','-3.37','3','8',315,-409,'21','37','-15.6'
'FLM-USDT','5m',',VWWv','2021-09-11','2021-10-11','58','-33.19','-28.97',-98,'36','-0.19','-4.68','-3.37','3','8',315,-409,'21','37','-15.6'
'FLM-USDT','5m','-VWWs','2021-09-11','2021-10-11','58','-33.19','-28.97',-98,'36','-0.19','-4.68','-3.37','3','8',315,-409,'21','37','-15.6'
'FLM-USDT','5m','FVW*?','2021-09-11','2021-10-11','41','-26.02','-28.64',-97,'17','-0.17','-5.14','-3.38','2','13',474,-286,'7','34','-15.6'
'FLM-USDT','5m','VsWv','2021-09-11','2021-10-11','27','-30.4','-29.01',-98,'33','-0.12','-7.31','-3.38','2','4',311,-449,'9','18','-15.6'
'FLM-USDT','5m','WVsWv','2021-09-11','2021-10-11','27','-30.4','-29.01',-98,'33','-0.12','-7.31','-3.38','2','4',311,-449,'9','18','-15.6'
'FLM-USDT','5m','hPmHf','2021-09-11','2021-10-11','27','-29.1','-28.82',-98,'37','-0.13','-7.19','-3.4','3','5',259,-473,'10','17','-15.6'
'FLM-USDT','5m','-VW;v','2021-09-11','2021-10-11','56','-30.04','-28.38',-97,'41','-0.2','-4.67','-3.43','3','6',377,-421,'23','33','-15.6'
'FLM-USDT','5m','3OW?n','2021-09-11','2021-10-11','53','-28.83','-28.28',-97,'36','-0.24','-4.52','-3.44','3','8',413,-444,'19','34','-15.6'
'FLM-USDT','5m','3OWXE','2021-09-11','2021-10-11','45','-30.0','-27.88',-97,'29','-0.18','-6.06','-3.49','3','6',349,-304,'13','32','-15.6'
'FLM-USDT','5m','eVswv','2021-09-11','2021-10-11','27','-29.35','-27.64',-98,'41','-0.13','-7.58','-3.54','2','5',200,-454,'11','16','-15.6'
'FLM-USDT','5m','?VuWv','2021-09-11','2021-10-11','31','-29.22','-27.6',-98,'26','-0.11','-7.6','-3.55','2','10',302,-358,'8','23','-15.6'
'FLM-USDT','5m','BVV.a','2021-09-11','2021-10-11','53','-29.88','-27.16',-96,'32','-0.28','-3.73','-3.55','3','7',389,-452,'17','36','-15.6'
'FLM-USDT','5m','<VV.a','2021-09-11','2021-10-11','53','-29.88','-27.16',-96,'32','-0.28','-3.73','-3.55','3','7',389,-452,'17','36','-15.6'
'FLM-USDT','5m','-VW*9','2021-09-11','2021-10-11','29','-20.54','-25.46',-91,'21','-0.1','-4.64','-3.59','2','14',459,-250,'6','23','-15.6'
'FLM-USDT','5m','-VWW^','2021-09-11','2021-10-11','56','-31.21','-26.87',-97,'38','-0.18','-4.26','-3.6','3','8',308,-374,'21','35','-15.6'
'FLM-USDT','5m','?dpMr','2021-09-11','2021-10-11','40','-27.92','-26.91',-97,'30','-0.2','-5.62','-3.62','2','7',366,-448,'12','28','-15.6'
