'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'GRT-USDT','5m','WrVZ;','2021-09-11','2021-10-11','38','4.76','-8.25',178,'45','0.72','2.55','21.62','3','4',351,-306,'17','21','-15.89'
'GRT-USDT','5m','LewDb','2021-09-11','2021-10-11','19','4.12','-6.14',111,'58','0.64','1.95','18.05','4','3',348,-488,'11','8','-15.89'
'GRT-USDT','5m','ftUQf','2021-09-11','2021-10-11','43','4.82','-10.04',113,'47','0.48','1.6','11.22','4','5',455,-370,'20','23','-15.89'
'GRT-USDT','5m','@^W*?','2021-09-11','2021-10-11','38','4.22','-8.29',89,'42','0.79','1.45','10.7','3','5',515,-316,'16','22','-15.89'
'GRT-USDT','5m','-VW*9','2021-09-11','2021-10-11','32','0.66','-10.15',24,'38','0.12','0.63','2.37','3','6',481,-251,'12','20','-15.89'
'GRT-USDT','5m','@_W*?','2021-09-11','2021-10-11','38','0.56','-9.64',23,'42','0.18','0.64','2.36','3','3',505,-311,'16','22','-15.89'
'GRT-USDT','5m','wVW*?','2021-09-11','2021-10-11','32','0.3','-9.71',12,'41','0.06','0.45','1.2','2','3',525,-327,'13','19','-15.89'
'GRT-USDT','5m','\\sta','2021-09-11','2021-10-11','20','-3.12','-8.12',0,'65','0.0','0.15','0.0','7','4',260,-480,'13','7','-15.89'
'GRT-USDT','5m','@TW*?','2021-09-11','2021-10-11','38','-31.39','-33.69',-99,'24','-0.09','-8.29','-2.93','2','8',422,-284,'9','29','-15.89'
'GRT-USDT','5m','@VX*?','2021-09-11','2021-10-11','38','-31.33','-33.49',-99,'24','-0.1','-8.3','-2.95','2','8',424,-266,'9','29','-15.89'
'GRT-USDT','5m','BVV.a','2021-09-11','2021-10-11','51','-31.07','-30.14',-99,'31','-0.17','-6.34','-3.28','2','6',391,-343,'16','35','-15.89'
'GRT-USDT','5m','<VV.a','2021-09-11','2021-10-11','51','-31.07','-30.14',-99,'31','-0.17','-6.34','-3.28','2','6',391,-343,'16','35','-15.89'
'GRT-USDT','5m','@VW*F','2021-09-11','2021-10-11','42','-29.73','-29.9',-99,'31','-0.13','-7.42','-3.29','2','5',432,-323,'13','29','-15.89'
'GRT-USDT','5m',':YY:_','2021-09-11','2021-10-11','49','-30.51','-29.52',-98,'35','-0.16','-6.19','-3.34','2','6',361,-459,'17','32','-15.89'
'GRT-USDT','5m','QYRcn','2021-09-11','2021-10-11','55','-31.33','-29.08',-98,'35','-0.14','-7.45','-3.39','3','5',368,-479,'19','36','-15.89'
'GRT-USDT','5m','-VW?v','2021-09-11','2021-10-11','51','-27.37','-28.25',-97,'35','-0.16','-4.82','-3.43','4','6',405,-420,'18','33','-15.89'
'GRT-USDT','5m','@VW*A','2021-09-11','2021-10-11','38','-24.81','-27.35',-97,'29','-0.12','-6.44','-3.53','2','6',428,-297,'11','27','-15.89'
'GRT-USDT','5m','?^WWv','2021-09-11','2021-10-11','52','-28.01','-27.4',-97,'37','-0.17','-6.19','-3.55','3','4',337,-490,'19','33','-15.89'
'GRT-USDT','5m','?VW.v','2021-09-11','2021-10-11','49','-27.29','-26.93',-98,'33','-0.19','-5.31','-3.62','2','6',395,-343,'16','33','-15.89'
'GRT-USDT','5m','eRQWv','2021-09-11','2021-10-11','52','-25.26','-26.45',-96,'38','-0.16','-5.36','-3.64','3','4',352,-514,'20','32','-15.89'
'GRT-USDT','5m','-dW6n','2021-09-11','2021-10-11','50','-23.72','-26.0',-95,'38','-0.18','-4.48','-3.66','3','5',459,-440,'19','31','-15.89'
'GRT-USDT','5m',':VWWv','2021-09-11','2021-10-11','49','-26.92','-26.5',-97,'37','-0.16','-5.8','-3.66','3','6',326,-459,'18','31','-15.89'
'GRT-USDT','5m','7VWWv','2021-09-11','2021-10-11','49','-26.92','-26.5',-97,'37','-0.16','-5.8','-3.66','3','6',326,-459,'18','31','-15.89'
'GRT-USDT','5m','?VW2v','2021-09-11','2021-10-11','49','-27.86','-26.58',-98,'37','-0.19','-5.44','-3.67','3','6',360,-343,'18','31','-15.89'
'GRT-USDT','5m','O=ITi','2021-09-11','2021-10-11','51','-26.45','-26.23',-97,'39','-0.17','-4.95','-3.68','4','6',272,-379,'20','31','-15.89'
