'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'GTC-USDT','5m','ui*5<','2021-09-11','2021-10-11','37','25.29','-9.46',1604,'49','3.83','6.1','169.45','5','5',688,-343,'18','19','-16.49'
'GTC-USDT','5m','?VuWv','2021-09-11','2021-10-11','25','16.9','-5.08',646,'56','4.65','4.8','127.16','3','3',389,-574,'14','11','-16.49'
'GTC-USDT','5m','hPmHf','2021-09-11','2021-10-11','24','23.06','-9.43',1154,'75','2.12','5.05','122.29','10','2',356,-420,'18','6','-16.49'
'GTC-USDT','5m','tbik','2021-09-11','2021-10-11','38','13.77','-6.8',534,'61','3.51','3.37','78.57','4','4',363,-499,'23','15','-16.49'
'GTC-USDT','5m','ePjWv','2021-09-11','2021-10-11','29','14.36','-10.78',449,'52','1.27','3.05','41.67','4','3',388,-592,'15','14','-16.49'
'GTC-USDT','5m','HPqWv','2021-09-11','2021-10-11','28','11.68','-7.97',328,'50','1.67','3.01','41.15','4','3',367,-543,'14','14','-16.49'
'GTC-USDT','5m','YOR9c','2021-09-11','2021-10-11','55','9.32','-9.46',314,'49','1.06','2.41','33.2','4','3',521,-443,'27','28','-16.49'
'GTC-USDT','5m','eVkWv','2021-09-11','2021-10-11','30','10.31','-8.49',256,'50','1.21','2.21','30.09','4','4',407,-613,'15','15','-16.49'
'GTC-USDT','5m','ePPHa','2021-09-11','2021-10-11','53','6.64','-7.46',216,'53','1.25','2.53','28.9','3','4',346,-393,'28','25','-16.49'
'GTC-USDT','5m','ePPH','2021-09-11','2021-10-11','53','6.64','-7.46',216,'53','1.25','2.53','28.9','3','4',346,-393,'28','25','-16.49'
'GTC-USDT','5m','IVWWv','2021-09-11','2021-10-11','57','2.14','-9.93',277,'46','1.18','2.4','27.89','4','4',427,-461,'26','31','-16.49'
'GTC-USDT','5m','LewDb','2021-09-11','2021-10-11','27','12.29','-12.06',335,'63','0.6','2.98','27.8','5','3',326,-517,'17','10','-16.49'
'GTC-USDT','5m','O=ITi','2021-09-11','2021-10-11','61','5.08','-7.3',188,'51','1.31','2.25','25.73','4','5',340,-443,'31','30','-16.49'
'GTC-USDT','5m','3fWHn','2021-09-11','2021-10-11','60','6.89','-9.97',199,'57','0.62','2.41','19.97','7','5',357,-494,'34','26','-16.49'
'GTC-USDT','5m','BVV.a','2021-09-11','2021-10-11','55','7.68','-9.17',173,'49','0.91','1.84','18.83','4','3',497,-453,'27','28','-16.49'
'GTC-USDT','5m','<VV.a','2021-09-11','2021-10-11','55','7.68','-9.17',173,'49','0.91','1.84','18.83','4','3',497,-453,'27','28','-16.49'
'GTC-USDT','5m','\\sta','2021-09-11','2021-10-11','25','7.89','-11.25',208,'76','0.41','2.92','18.5','11','3',263,-460,'19','6','-16.49'
'GTC-USDT','5m','ePPWb','2021-09-11','2021-10-11','57','6.22','-10.22',166,'46','0.73','1.85','16.19','5','4',423,-454,'26','31','-16.49'
'GTC-USDT','5m','ePPW\\','2021-09-11','2021-10-11','57','6.22','-10.22',166,'46','0.73','1.85','16.19','5','4',423,-454,'26','31','-16.49'
'GTC-USDT','5m','MVsWv','2021-09-11','2021-10-11','28','6.64','-8.19',132,'50','0.71','1.86','16.1','3','3',360,-514,'14','14','-16.49'
'GTC-USDT','5m','_W6,U','2021-09-11','2021-10-11','56','8.45','-15.93',244,'41','0.61','2.21','15.33','4','5',680,-421,'23','33','-16.49'
'GTC-USDT','5m','VsWv','2021-09-11','2021-10-11','27','6.79','-8.35',122,'48','0.69','1.66','14.66','4','3',378,-519,'13','14','-16.49'
'GTC-USDT','5m','WVsWv','2021-09-11','2021-10-11','27','6.79','-8.35',122,'48','0.69','1.66','14.66','4','3',378,-519,'13','14','-16.49'
'GTC-USDT','5m','?VW2v','2021-09-11','2021-10-11','58','0.68','-8.78',123,'48','0.74','1.56','14.03','4','4',445,-450,'28','30','-16.49'
'GTC-USDT','5m',':YY:_','2021-09-11','2021-10-11','53','5.51','-8.3',110,'53','0.66','1.5','13.21','4','3',451,-465,'28','25','-16.49'
'GTC-USDT','5m','7Fpob','2021-09-11','2021-10-11','23','5.26','-7.22',87,'61','0.63','1.46','11.99','5','3',350,-451,'14','9','-16.49'
'GTC-USDT','5m','CMNWv','2021-09-11','2021-10-11','64','3.69','-10.33',111,'50','0.43','1.49','10.79','5','5',398,-424,'32','32','-16.49'
'GTC-USDT','5m','XRV.a','2021-09-11','2021-10-11','54','2.84','-12.19',121,'46','0.51','1.38','9.9','4','3',505,-454,'25','29','-16.49'
'GTC-USDT','5m','hPPHs','2021-09-11','2021-10-11','54','0.87','-7.46',64,'52','0.39','1.25','8.6','3','4',328,-561,'28','26','-16.49'
'GTC-USDT','5m','=bVNC','2021-09-11','2021-10-11','52','3.08','-9.5',68,'42','0.36','1.3','7.16','2','4',437,-340,'22','30','-16.49'
'GTC-USDT','5m','3eWXn','2021-09-11','2021-10-11','61','2.83','-11.06',77,'52','0.25','1.36','6.99','6','5',420,-475,'32','29','-16.49'
'GTC-USDT','5m','?VW.v','2021-09-11','2021-10-11','58','-0.82','-10.36',59,'45','0.35','0.98','5.69','4','4',482,-453,'26','32','-16.49'
'GTC-USDT','5m','FVW*?','2021-09-11','2021-10-11','41','4.31','-15.24',84,'37','0.2','1.23','5.53','5','9',572,-350,'15','26','-16.49'
'GTC-USDT','5m','wVW*?','2021-09-11','2021-10-11','36','3.7','-12.72',67,'39','0.21','1.07','5.25','3','7',553,-352,'14','22','-16.49'
'GTC-USDT','5m','`RNWv','2021-09-11','2021-10-11','63','-2.29','-9.35',47,'43','0.25','0.93','5.05','4','5',408,-503,'27','36','-16.49'
'GTC-USDT','5m','cRNWv','2021-09-11','2021-10-11','63','-2.29','-9.35',47,'43','0.25','0.93','5.05','4','5',408,-503,'27','36','-16.49'
'GTC-USDT','5m','\\RNWv','2021-09-11','2021-10-11','63','-2.29','-9.35',47,'43','0.25','0.93','5.05','4','5',408,-503,'27','36','-16.49'
'GTC-USDT','5m','RNWv','2021-09-11','2021-10-11','63','-2.29','-9.35',47,'43','0.25','0.93','5.05','4','5',408,-503,'27','36','-16.49'
'GTC-USDT','5m','aRNWv','2021-09-11','2021-10-11','63','-2.29','-9.35',47,'43','0.25','0.93','5.05','4','5',408,-503,'27','36','-16.49'
'GTC-USDT','5m','^RNWv','2021-09-11','2021-10-11','63','-2.29','-9.35',47,'43','0.25','0.93','5.05','4','5',408,-503,'27','36','-16.49'
'GTC-USDT','5m','_RNWv','2021-09-11','2021-10-11','63','-2.29','-9.35',47,'43','0.25','0.93','5.05','4','5',408,-503,'27','36','-16.49'
'GTC-USDT','5m','-dW6n','2021-09-11','2021-10-11','61','3.75','-13.82',64,'43','0.19','1.11','4.63','3','5',558,-482,'26','35','-16.49'
'GTC-USDT','5m','ePPHt','2021-09-11','2021-10-11','54','-4.25','-7.46',30,'50','0.18','0.79','3.99','3','4',322,-563,'27','27','-16.49'
'GTC-USDT','5m','-VW*9','2021-09-11','2021-10-11','31','2.11','-9.94',37,'42','0.12','0.85','3.7','3','5',521,-272,'13','18','-16.49'
'GTC-USDT','5m','eRNWk','2021-09-11','2021-10-11','60','0.06','-10.52',39,'40','0.2','0.83','3.69','4','5',410,-359,'24','36','-16.49'
'GTC-USDT','5m','eRNWZ','2021-09-11','2021-10-11','60','0.06','-10.52',39,'40','0.2','0.83','3.69','4','5',410,-359,'24','36','-16.49'
'GTC-USDT','5m','eRNDv','2021-09-11','2021-10-11','60','-3.97','-8.08',23,'45','0.12','0.65','2.84','5','5',364,-560,'27','33','-16.49'
'GTC-USDT','5m','?dpMr','2021-09-11','2021-10-11','35','1.05','-13.29',37,'43','0.12','0.78','2.81','3','4',425,-589,'15','20','-16.49'
'GTC-USDT','5m','o4,@X','2021-09-11','2021-10-11','66','-0.26','-14.87',38,'42','0.12','0.8','2.56','5','6',439,-433,'28','38','-16.49'
'GTC-USDT','5m','eSNWd','2021-09-11','2021-10-11','60','-1.28','-11.16',18,'40','0.09','0.56','1.64','4','5',408,-362,'24','36','-16.49'
'GTC-USDT','5m','@VWF?','2021-09-11','2021-10-11','43','0.13','-13.85',21,'51','0.03','0.62','1.54','5','5',408,-344,'22','21','-16.49'
'GTC-USDT','5m','@VW.?','2021-09-11','2021-10-11','43','1.28','-17.43',22,'40','0.03','0.62','1.28','5','7',505,-362,'17','26','-16.49'
'GTC-USDT','5m','ftUQf','2021-09-11','2021-10-11','54','-5.05','-13.65',15,'39','0.07','0.52','1.12','2','7',452,-356,'21','33','-16.49'
'GTC-USDT','5m',':VWWv','2021-09-11','2021-10-11','56','-0.57','-8.87',9,'50','0.06','0.42','0.99','4','3',377,-448,'28','28','-16.49'
'GTC-USDT','5m','7VWWv','2021-09-11','2021-10-11','56','-0.57','-8.87',9,'50','0.06','0.42','0.99','4','3',377,-448,'28','28','-16.49'
'GTC-USDT','5m','@VW)?','2021-09-11','2021-10-11','43','0.53','-17.85',12,'37','0.02','0.47','0.66','5','7',594,-358,'16','27','-16.49'
'GTC-USDT','5m','@VW4?','2021-09-11','2021-10-11','43','0.2','-16.81',7,'44','0.01','0.39','0.44','5','7',397,-359,'19','24','-16.49'
'GTC-USDT','5m','?^WWv','2021-09-11','2021-10-11','61','-2.68','-13.22',4,'46','0.02','0.34','0.31','5','5',397,-402,'28','33','-16.49'
'GTC-USDT','5m','=ptVt','2021-09-11','2021-10-11','35','-1.68','-11.63',-5,'54','-0.02','0.23','-0.39','3','4',381,-598,'19','16','-16.49'
'GTC-USDT','5m','@VX*?','2021-09-11','2021-10-11','41','-2.09','-18.66',-19,'37','-0.03','-0.1','-1.03','4','7',551,-353,'15','26','-16.49'
'GTC-USDT','5m','QYRcn','2021-09-11','2021-10-11','59','-6.4','-11.49',-12,'42','-0.06','0.03','-1.08','4','5',413,-397,'25','34','-16.49'
'GTC-USDT','5m','@XW*?','2021-09-11','2021-10-11','43','-2.86','-22.91',-26,'37','-0.03','-0.21','-1.14','5','9',577,-356,'16','27','-16.49'
'GTC-USDT','5m','@TW*?','2021-09-11','2021-10-11','41','-3.3','-21.61',-29,'34','-0.04','-0.25','-1.34','5','7',581,-364,'14','27','-16.49'
'GTC-USDT','5m','-SUNv','2021-09-11','2021-10-11','62','-2.25','-13.31',-21,'44','-0.1','-0.0','-1.59','4','4',407,-462,'27','35','-16.49'
'GTC-USDT','5m','g^VGt','2021-09-11','2021-10-11','57','-6.91','-12.6',-25,'47','-0.13','-0.3','-2.0','4','4',381,-550,'27','30','-16.49'
'GTC-USDT','5m','eVPWc','2021-09-11','2021-10-11','60','-5.49','-14.39',-29,'42','-0.13','-0.27','-2.04','4','5',406,-357,'25','35','-16.49'
'GTC-USDT','5m','eRQWv','2021-09-11','2021-10-11','60','-6.93','-13.6',-28,'42','-0.13','-0.3','-2.09','5','4',394,-500,'25','35','-16.49'
'GTC-USDT','5m','@_W*?','2021-09-11','2021-10-11','50','-5.78','-19.13',-45,'38','-0.14','-0.68','-2.38','3','7',550,-341,'19','31','-16.49'
'GTC-USDT','5m','-VUWv','2021-09-11','2021-10-11','62','-3.3','-12.22',-32,'45','-0.17','-0.33','-2.6','4','4',370,-449,'28','34','-16.49'
'GTC-USDT','5m','@^W*?','2021-09-11','2021-10-11','50','-8.15','-23.02',-60,'38','-0.11','-1.34','-2.6','3','5',565,-347,'19','31','-16.49'
'GTC-USDT','5m','@cW*?','2021-09-11','2021-10-11','50','-12.39','-22.49',-78,'36','-0.2','-2.09','-3.48','4','6',536,-333,'18','32','-16.49'
'GTC-USDT','5m','@VW*F','2021-09-11','2021-10-11','50','-7.29','-16.11',-56,'36','-0.23','-1.01','-3.48','4','6',516,-371,'18','32','-16.49'
'GTC-USDT','5m','-VW*=','2021-09-11','2021-10-11','39','-7.87','-17.74',-62,'41','-0.11','-1.52','-3.49','2','7',523,-296,'16','23','-16.49'
'GTC-USDT','5m','@VW*A','2021-09-11','2021-10-11','44','-7.73','-16.92',-61,'36','-0.16','-1.28','-3.58','4','6',509,-326,'16','28','-16.49'
'GTC-USDT','5m','-VW<v','2021-09-11','2021-10-11','57','-6.13','-13.83',-51,'47','-0.18','-0.98','-3.68','4','3',379,-416,'27','30','-16.49'
'GTC-USDT','5m','3OW5n','2021-09-11','2021-10-11','60','-21.42','-24.41',-94,'42','-0.26','-3.46','-3.85','5','4',513,-443,'25','35','-16.49'
'GTC-USDT','5m','ePRWv','2021-09-11','2021-10-11','55','-8.35','-10.46',-41,'44','-0.26','-0.79','-3.93','4','3',376,-480,'24','31','-16.49'
'GTC-USDT','5m','WrVZ;','2021-09-11','2021-10-11','38','-13.2','-15.41',-63,'32','-0.14','-1.73','-4.11','4','9',330,-266,'12','26','-16.49'
'GTC-USDT','5m','3OW?n','2021-09-11','2021-10-11','60','-19.07','-21.19',-91,'47','-0.27','-3.13','-4.28','5','4',453,-443,'28','32','-16.49'
'GTC-USDT','5m','3OWXC','2021-09-11','2021-10-11','42','-7.99','-14.35',-62,'48','-0.23','-1.29','-4.33','6','4',383,-313,'20','22','-16.49'
'GTC-USDT','5m','-VW.v','2021-09-11','2021-10-11','60','-8.73','-14.43',-66,'43','-0.33','-1.17','-4.58','4','4',448,-450,'26','34','-16.49'
'GTC-USDT','5m','-VWLv','2021-09-11','2021-10-11','60','-15.95','-18.55',-87,'43','-0.36','-2.52','-4.69','4','4',473,-443,'26','34','-16.49'
'GTC-USDT','5m','vNqn','2021-09-11','2021-10-11','18','-4.1','-7.18',-35,'50','-0.26','-0.87','-4.86','3','2',362,-438,'9','9','-16.49'
'GTC-USDT','5m','-VWMv','2021-09-11','2021-10-11','60','-11.61','-15.37',-76,'43','-0.35','-1.71','-4.94','4','4',422,-447,'26','34','-16.49'
'GTC-USDT','5m','3OWXE','2021-09-11','2021-10-11','43','-10.11','-14.36',-72,'47','-0.28','-2.46','-5.01','4','3',374,-334,'20','23','-16.49'
