'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'HBAR-USDT','5m','\\sta','2021-09-11','2021-10-11','29','3.56','-7.35',218,'62','0.67','2.83','29.62','4','3',291,-569,'18','11','6.99'
'HBAR-USDT','5m','ui*5<','2021-09-11','2021-10-11','25','10.36','-9.84',271,'36','1.4','3.03','27.52','1','4',579,-261,'9','16','6.99'
'HBAR-USDT','5m','ePPH','2021-09-11','2021-10-11','57','-11.69','-7.91',170,'47','0.72','2.03','21.51','4','6',334,-485,'27','30','6.99'
'HBAR-USDT','5m','-VW?v','2021-09-11','2021-10-11','68','5.34','-19.27',395,'44','0.38','2.35','20.52','5','7',612,-573,'30','38','6.99'
'HBAR-USDT','5m','-VW;v','2021-09-11','2021-10-11','64','5.36','-18.45',360,'48','0.41','2.25','19.51','4','5',542,-572,'31','33','6.99'
'HBAR-USDT','5m','3OW?n','2021-09-11','2021-10-11','66','7.71','-17.75',344,'47','0.37','2.1','19.37','5','7',595,-579,'31','35','6.99'
'HBAR-USDT','5m','LewDb','2021-09-11','2021-10-11','32','4.26','-8.36',153,'59','0.58','2.05','18.27','4','3',362,-534,'19','13','6.99'
'HBAR-USDT','5m','@TW*?','2021-09-11','2021-10-11','30','9.05','-12.13',203,'37','0.29','2.29','16.73','4','5',567,-347,'11','19','6.99'
'HBAR-USDT','5m','-VW=v','2021-09-11','2021-10-11','68','1.44','-17.91',272,'49','0.34','2.04','15.18','4','6',480,-571,'33','35','6.99'
'HBAR-USDT','5m','-VW<v','2021-09-11','2021-10-11','65','2.9','-18.68',239,'49','0.3','1.93','12.78','4','6',468,-562,'32','33','6.99'
'HBAR-USDT','5m','-VWLv','2021-09-11','2021-10-11','68','3.87','-21.09',218,'40','0.23','1.75','10.32','4','7',625,-565,'27','41','6.99'
