'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'HNT-USDT','5m','fVPWv','2021-09-11','2021-10-11','40','9.06','-5.11',372,'52','3.16','3.51','72.78','2','3',391,-429,'21','19','-4.34'
'HNT-USDT','5m','gVPWv','2021-09-11','2021-10-11','40','9.06','-5.11',372,'52','3.16','3.51','72.78','2','3',391,-429,'21','19','-4.34'
'HNT-USDT','5m','vNqn','2021-09-11','2021-10-11','7','5.51','-3.67',104,'71','0.7','3.64','28.37','4','2',382,-249,'5','2','-4.34'
'HNT-USDT','5m','WrVZ;','2021-09-11','2021-10-11','28','5.89','-8.84',224,'50','0.79','2.59','25.35','3','4',351,-284,'14','14','-4.34'
'HNT-USDT','5m','ftUQf','2021-09-11','2021-10-11','35','7.13','-8.63',204,'57','0.93','2.24','23.69','6','3',422,-428,'20','15','-4.34'
'HNT-USDT','5m','eVPWc','2021-09-11','2021-10-11','40','4.18','-8.41',197,'50','1.12','2.41','23.48','2','4',391,-429,'20','20','-4.34'
'HNT-USDT','5m','q9da','2021-09-11','2021-10-11','14','5.16','-4.68',84,'79','0.5','2.72','18.06','7','1',285,-425,'11','3','-4.34'
'HNT-USDT','5m','E^cA','2021-09-11','2021-10-11','19','4.21','-4.01',72,'53','1.14','1.78','17.87','4','3',396,-307,'10','9','-4.34'
'HNT-USDT','5m','eRNDv','2021-09-11','2021-10-11','42','2.99','-8.01',131,'50','0.64','1.95','16.32','2','3',353,-438,'21','21','-4.34'
'HNT-USDT','5m','eEsWv','2021-09-11','2021-10-11','11','3.6','-3.87',58,'73','0.35','2.08','14.97','4','2',378,-491,'8','3','-4.34'
'HNT-USDT','5m','hPmHf','2021-09-11','2021-10-11','15','4.38','-5.19',68,'67','0.34','2.09','13.19','4','2',320,-424,'10','5','-4.34'
'HNT-USDT','5m','ePPHa','2021-09-11','2021-10-11','40','2.43','-9.05',109,'50','0.41','1.64','12.05','3','4',314,-405,'20','20','-4.34'
'HNT-USDT','5m','ePPH','2021-09-11','2021-10-11','40','2.43','-9.05',109,'50','0.41','1.64','12.05','3','4',314,-405,'20','20','-4.34'
'HNT-USDT','5m','@VW4?','2021-09-11','2021-10-11','30','0.12','-6.44',71,'40','0.51','1.51','11.08','3','5',356,-307,'12','18','-4.34'
'HNT-USDT','5m','-VW*=','2021-09-11','2021-10-11','26','3.45','-8.91',98,'42','0.44','1.63','11.0','3','4',538,-324,'11','15','-4.34'
'HNT-USDT','5m','g^VGt','2021-09-11','2021-10-11','39','1.85','-7.67',79,'54','0.49','1.44','10.32','2','3',360,-437,'21','18','-4.34'
'HNT-USDT','5m','hPPHs','2021-09-11','2021-10-11','41','3.45','-9.87',97,'51','0.36','1.51','9.86','3','3',314,-405,'21','20','-4.34'
'HNT-USDT','5m','ePPHt','2021-09-11','2021-10-11','41','3.45','-9.87',97,'51','0.36','1.51','9.86','3','3',314,-405,'21','20','-4.34'
'HNT-USDT','5m','eSNWd','2021-09-11','2021-10-11','42','0.23','-10.12',98,'48','0.44','1.54','9.72','2','4',385,-420,'20','22','-4.34'
'HNT-USDT','5m','tbik','2021-09-11','2021-10-11','28','-1.52','-5.41',49,'54','0.66','1.29','9.13','4','5',330,-590,'15','13','-4.34'
'HNT-USDT','5m','3OWXE','2021-09-11','2021-10-11','32','4.08','-10.55',96,'47','0.35','1.65','9.11','4','3',404,-350,'15','17','-4.34'
'HNT-USDT','5m','wVW*?','2021-09-11','2021-10-11','23','1.48','-7.59',58,'43','0.4','1.18','7.6','3','3',526,-303,'10','13','-4.34'
'HNT-USDT','5m','HPqWv','2021-09-11','2021-10-11','16','3.02','-6.81',44,'62','0.25','1.15','6.42','3','2',384,-554,'10','6','-4.34'
'HNT-USDT','5m','?VuWv','2021-09-11','2021-10-11','18','3.38','-8.13',50,'56','0.18','1.41','6.12','3','3',374,-401,'10','8','-4.34'
'HNT-USDT','5m','@VW*A','2021-09-11','2021-10-11','30','2.36','-9.1',45,'37','0.25','0.97','4.99','2','5',510,-328,'11','19','-4.34'
'HNT-USDT','5m','@VWF?','2021-09-11','2021-10-11','30','-1.16','-7.37',34,'50','0.26','0.94','4.62','5','4',378,-307,'15','15','-4.34'
'HNT-USDT','5m','-VW*9','2021-09-11','2021-10-11','24','-0.02','-7.52',32,'42','0.2','0.83','4.24','2','3',505,-274,'10','14','-4.34'
'HNT-USDT','5m','eRNWk','2021-09-11','2021-10-11','42','-2.83','-10.16',38,'45','0.17','0.87','3.69','2','4',379,-413,'19','23','-4.34'
