'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'HOT-USDT','5m','hPmHf','2021-09-11','2021-10-11','13','-5.93','-7.3',18,'46','0.11','0.66','2.45','2','2',307,-482,'6','7','-5.89'
'HOT-USDT','5m','3OWXC','2021-09-11','2021-10-11','24','-1.6','-9.67',16,'50','0.05','0.58','1.67','3','3',393,-290,'12','12','-5.89'
'HOT-USDT','5m','3OWXE','2021-09-11','2021-10-11','25','-2.98','-9.67',13,'48','0.04','0.51','1.4','3','3',393,-289,'12','13','-5.89'
'HOT-USDT','5m','LewDb','2021-09-11','2021-10-11','13','-4.42','-6.6',5,'46','0.06','0.3','0.73','2','3',329,-456,'6','7','-5.89'
'HOT-USDT','5m','o4,@X','2021-09-11','2021-10-11','59','-5.49','-12.23',-9,'42','-0.04','0.07','-0.77','4','7',417,-359,'25','34','-5.89'
'HOT-USDT','5m','=bVNC','2021-09-11','2021-10-11','36','-5.92','-11.7',-16,'36','-0.07','-0.11','-1.36','5','8',420,-283,'13','23','-5.89'
'HOT-USDT','5m','_W6,U','2021-09-11','2021-10-11','45','-8.49','-17.17',-49,'36','-0.17','-0.74','-2.87','3','6',568,-370,'16','29','-5.89'
'HOT-USDT','5m','IVWWv','2021-09-11','2021-10-11','43','-28.17','-32.17',-94,'30','-0.18','-3.99','-2.92','4','10',410,-506,'13','30','-5.89'
'HOT-USDT','5m','q9da','2021-09-11','2021-10-11','15','-8.16','-11.84',-36,'53','-0.1','-1.22','-3.04','3','2',282,-465,'8','7','-5.89'
'HOT-USDT','5m','?VW2v','2021-09-11','2021-10-11','42','-23.13','-29.75',-93,'38','-0.21','-3.82','-3.12','7','5',444,-508,'16','26','-5.89'
'HOT-USDT','5m','?VW.v','2021-09-11','2021-10-11','42','-22.07','-29.38',-92,'36','-0.22','-3.3','-3.13','7','10',488,-518,'15','27','-5.89'
'HOT-USDT','5m','-VWW^','2021-09-11','2021-10-11','41','-9.02','-16.66',-53,'44','-0.17','-1.2','-3.2','5','3',393,-415,'18','23','-5.89'
'HOT-USDT','5m','?^WWv','2021-09-11','2021-10-11','43','-18.15','-25.15',-83,'37','-0.22','-2.35','-3.3','5','10',403,-539,'16','27','-5.89'
'HOT-USDT','5m','BVV.a','2021-09-11','2021-10-11','42','-19.73','-26.86',-89,'36','-0.22','-2.78','-3.3','7','9',485,-520,'15','27','-5.89'
'HOT-USDT','5m','<VV.a','2021-09-11','2021-10-11','42','-19.73','-26.86',-89,'36','-0.22','-2.78','-3.3','7','9',485,-520,'15','27','-5.89'
'HOT-USDT','5m','-VW.v','2021-09-11','2021-10-11','43','-17.55','-26.84',-89,'40','-0.21','-3.09','-3.31','5','5',485,-536,'17','26','-5.89'
'HOT-USDT','5m','FVW*?','2021-09-11','2021-10-11','32','-27.86','-29.55',-98,'25','-0.17','-7.69','-3.31','2','10',485,-280,'8','24','-5.89'
'HOT-USDT','5m','-SUNv','2021-09-11','2021-10-11','44','-17.85','-26.42',-88,'36','-0.24','-2.95','-3.33','5','11',426,-548,'16','28','-5.89'
'HOT-USDT','5m','-dW6n','2021-09-11','2021-10-11','46','-22.26','-28.32',-94,'35','-0.23','-3.8','-3.33','5','12',514,-511,'16','30','-5.89'
'HOT-USDT','5m','QYRcn','2021-09-11','2021-10-11','47','-33.43','-29.45',-98,'28','-0.29','-5.59','-3.34','2','13',351,-471,'13','34','-5.89'
'HOT-USDT','5m',':YY:_','2021-09-11','2021-10-11','41','-17.54','-26.45',-89,'39','-0.21','-3.23','-3.35','7','9',449,-374,'16','25','-5.89'
'HOT-USDT','5m','ui*5<','2021-09-11','2021-10-11','38','-11.92','-21.21',-72,'29','-0.15','-2.39','-3.38','2','13',542,-259,'11','27','-5.89'
'HOT-USDT','5m','YOR9c','2021-09-11','2021-10-11','39','-23.68','-27.53',-93,'38','-0.25','-3.36','-3.38','3','5',470,-497,'15','24','-5.89'
'HOT-USDT','5m','3fWHn','2021-09-11','2021-10-11','46','-22.28','-27.08',-92,'37','-0.23','-3.96','-3.39','5','6',325,-521,'17','29','-5.89'
'HOT-USDT','5m','XRV.a','2021-09-11','2021-10-11','36','-16.55','-21.92',-74,'36','-0.22','-1.51','-3.39','3','4',478,-529,'13','23','-5.89'
'HOT-USDT','5m','-VWLv','2021-09-11','2021-10-11','43','-23.01','-27.84',-95,'37','-0.22','-4.8','-3.4','5','10',502,-503,'16','27','-5.89'
'HOT-USDT','5m','-VW;v','2021-09-11','2021-10-11','43','-21.38','-27.08',-92,'42','-0.2','-4.46','-3.41','5','5',450,-508,'18','25','-5.89'
'HOT-USDT','5m','-VW<v','2021-09-11','2021-10-11','43','-16.07','-24.43',-83,'42','-0.2','-2.78','-3.42','5','5',400,-542,'18','25','-5.89'
'HOT-USDT','5m','-VW?v','2021-09-11','2021-10-11','43','-24.24','-27.53',-95,'42','-0.21','-5.24','-3.44','5','5',479,-495,'18','25','-5.89'
'HOT-USDT','5m',':VWWv','2021-09-11','2021-10-11','42','-18.04','-25.25',-87,'38','-0.24','-2.96','-3.46','7','10',394,-545,'16','26','-5.89'
