'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ICX-USDT','5m','3OWXC','2021-09-11','2021-10-11','41','13.58','-8.15',1112,'46','2.35','3.92','136.48','5','5',461,-376,'19','22','18.83'
'ICX-USDT','5m','@VWF?','2021-09-11','2021-10-11','38','15.69','-11.5',1124,'50','1.98','4.15','97.74','4','6',481,-391,'19','19','18.83'
'ICX-USDT','5m','@VW4?','2021-09-11','2021-10-11','39','15.92','-12.29',1032,'51','1.79','3.83','84.02','5','6',453,-390,'20','19','18.83'
'ICX-USDT','5m','-VW*9','2021-09-11','2021-10-11','30','12.25','-11.21',752,'43','2.22','3.47','67.06','4','4',610,-329,'13','17','18.83'
'ICX-USDT','5m','q9da','2021-09-11','2021-10-11','17','6.87','-6.85',397,'59','3.74','3.92','57.95','3','2',311,-556,'10','7','18.83'
'ICX-USDT','5m','@VW*A','2021-09-11','2021-10-11','38','17.34','-13.4',744,'42','1.22','3.23','55.53','3','6',626,-380,'16','22','18.83'
'ICX-USDT','5m','E^cA','2021-09-11','2021-10-11','16','2.86','-4.06',183,'56','3.61','3.29','45.16','4','3',402,-324,'9','7','18.83'
'ICX-USDT','5m','3OWXE','2021-09-11','2021-10-11','47','4.74','-10.42',391,'45','1.17','2.55','37.57','4','6',435,-390,'21','26','18.83'
'ICX-USDT','5m','@VW.?','2021-09-11','2021-10-11','39','13.74','-14.42',532,'44','0.95','2.77','36.9','3','6',556,-378,'17','22','18.83'
'ICX-USDT','5m','@XW*?','2021-09-11','2021-10-11','36','13.89','-15.48',547,'42','0.83','2.85','35.35','3','5',619,-378,'15','21','18.83'
'ICX-USDT','5m','@VW)?','2021-09-11','2021-10-11','39','14.34','-14.73',515,'38','0.95','2.52','34.95','3','6',655,-374,'15','24','18.83'
'ICX-USDT','5m','@_W*?','2021-09-11','2021-10-11','45','9.36','-12.15',420,'38','1.45','2.22','34.57','3','5',576,-365,'17','28','18.83'
'ICX-USDT','5m','@VX*?','2021-09-11','2021-10-11','38','14.37','-13.66',468,'39','1.06','2.5','34.26','4','5',610,-371,'15','23','18.83'
'ICX-USDT','5m','vNqn','2021-09-11','2021-10-11','11','8.03','-6.18',186,'55','2.04','3.41','30.18','3','2',408,-547,'6','5','18.83'
'ICX-USDT','5m','\\sta','2021-09-11','2021-10-11','20','7.09','-5.77',168,'70','1.28','3.02','29.05','7','2',288,-474,'14','6','18.83'
'ICX-USDT','5m','7Fpob','2021-09-11','2021-10-11','23','5.82','-9.81',205,'52','0.83','2.53','20.96','3','4',399,-525,'12','11','18.83'
'ICX-USDT','5m','-VW*=','2021-09-11','2021-10-11','33','8.83','-12.76',222,'39','0.7','2.11','17.36','3','4',573,-339,'13','20','18.83'
'ICX-USDT','5m','ui*5<','2021-09-11','2021-10-11','44','4.69','-12.37',179,'34','0.73','2.0','14.49','3','8',588,-284,'15','29','18.83'
'ICX-USDT','5m','@cW*?','2021-09-11','2021-10-11','46','3.23','-18.0',251,'37','0.69','1.9','13.94','4','7',602,-366,'17','29','18.83'
'ICX-USDT','5m','FVW*?','2021-09-11','2021-10-11','33','6.94','-16.15',166,'36','0.35','1.73','10.25','2','6',588,-328,'12','21','18.83'
'ICX-USDT','5m','WrVZ;','2021-09-11','2021-10-11','41','-2.11','-15.44',111,'39','0.49','1.53','7.19','3','8',370,-292,'16','25','18.83'
'ICX-USDT','5m','wVW*?','2021-09-11','2021-10-11','28','-1.01','-9.82',54,'43','0.35','0.99','5.52','3','4',514,-343,'12','16','18.83'
'ICX-USDT','5m','@^W*?','2021-09-11','2021-10-11','44','1.99','-14.49',79,'36','0.32','1.08','5.47','3','5',558,-346,'16','28','18.83'
'ICX-USDT','5m','_W6,U','2021-09-11','2021-10-11','53','1.31','-20.56',78,'38','0.23','1.08','3.77','5','9',628,-521,'20','33','18.83'
'ICX-USDT','5m','@VW*F','2021-09-11','2021-10-11','49','-2.55','-20.82',52,'35','0.12','0.88','2.49','3','8',602,-383,'17','32','18.83'
'ICX-USDT','5m','=bVNC','2021-09-11','2021-10-11','50','-7.93','-17.51',10,'36','0.04','0.44','0.54','3','8',436,-330,'18','32','18.83'
'ICX-USDT','5m','@TW*?','2021-09-11','2021-10-11','37','-1.09','-15.29',1,'32','0.0','0.33','0.07','3','5',529,-337,'12','25','18.83'
'ICX-USDT','5m','eRNWZ','2021-09-11','2021-10-11','60','-7.96','-18.1',-35,'43','-0.14','-0.08','-1.96','4','7',371,-450,'26','34','18.83'
'ICX-USDT','5m','LewDb','2021-09-11','2021-10-11','27','-5.42','-9.02',-23,'56','-0.16','-0.21','-2.51','4','2',356,-548,'15','12','18.83'
'ICX-USDT','5m','YOR9c','2021-09-11','2021-10-11','64','-40.01','-34.88',-99,'33','-0.28','-4.14','-2.84','4','9',403,-509,'21','43','18.83'
'ICX-USDT','5m','XRV.a','2021-09-11','2021-10-11','58','-35.03','-32.27',-99,'29','-0.28','-4.7','-3.07','4','8',408,-457,'17','41','18.83'
