'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'IOST-USDT','5m','@VW4?','2021-09-11','2021-10-11','28','15.41','-5.2',967,'54','4.69','5.14','185.95','4','4',377,-295,'15','13','-26.71'
'IOST-USDT','5m','@XW*?','2021-09-11','2021-10-11','30','24.58','-11.35',1904,'50','2.31','4.88','167.71','3','7',592,-299,'15','15','-26.71'
'IOST-USDT','5m','_W6,U','2021-09-11','2021-10-11','48','14.33','-7.75',883,'38','2.44','3.86','113.94','3','5',609,-482,'18','30','-26.71'
'IOST-USDT','5m','ePPHa','2021-09-11','2021-10-11','41','5.88','-11.81',1297,'49','1.39','4.91','109.85','5','5',364,-524,'20','21','-26.71'
'IOST-USDT','5m','ePPH','2021-09-11','2021-10-11','40','7.94','-11.87',1174,'50','1.28','4.59','98.88','5','5',361,-545,'20','20','-26.71'
'IOST-USDT','5m','@VWF?','2021-09-11','2021-10-11','28','11.71','-7.18',611,'54','2.7','4.3','85.06','4','4',402,-299,'15','13','-26.71'
'IOST-USDT','5m','@VW.?','2021-09-11','2021-10-11','28','14.27','-9.34',663,'50','1.59','3.77','70.95','4','5',483,-295,'14','14','-26.71'
'IOST-USDT','5m','o4,@X','2021-09-11','2021-10-11','56','5.13','-8.83',562,'38','1.12','3.4','63.68','4','8',451,-322,'21','35','-26.71'
'IOST-USDT','5m','@VX*?','2021-09-11','2021-10-11','27','14.46','-10.33',614,'44','1.28','3.75','59.43','3','5',542,-310,'12','15','-26.71'
'IOST-USDT','5m','@TW*?','2021-09-11','2021-10-11','27','14.26','-10.58',596,'44','1.16','3.72','56.32','3','5',542,-312,'12','15','-26.71'
'IOST-USDT','5m','-VW*9','2021-09-11','2021-10-11','24','9.52','-5.91',329,'42','2.23','2.96','55.62','2','3',513,-255,'10','14','-26.71'
'IOST-USDT','5m','@VW*F','2021-09-11','2021-10-11','30','12.76','-10.51',499,'40','1.02','2.91','47.53','4','5',555,-299,'12','18','-26.71'
'IOST-USDT','5m','O=ITi','2021-09-11','2021-10-11','50','-1.82','-8.8',359,'44','1.33','2.82','40.79','4','7',349,-515,'22','28','-26.71'
'IOST-USDT','5m','@cW*?','2021-09-11','2021-10-11','38','10.78','-12.94',518,'42','0.6','3.24','40.02','2','8',556,-325,'16','22','-26.71'
'IOST-USDT','5m','@VW*A','2021-09-11','2021-10-11','29','12.75','-12.82',491,'41','0.68','2.96','38.32','4','5',569,-307,'12','17','-26.71'
'IOST-USDT','5m','3fWHn','2021-09-11','2021-10-11','52','0.73','-13.8',517,'46','0.49','3.39','37.46','5','8',340,-506,'24','28','-26.71'
'IOST-USDT','5m','WrVZ;','2021-09-11','2021-10-11','39','0.38','-8.99',334,'41','1.73','3.81','37.16','4','5',347,-276,'16','23','-26.71'
'IOST-USDT','5m','=bVNC','2021-09-11','2021-10-11','39','9.03','-12.03',442,'44','0.65','3.49','36.79','2','7',421,-317,'17','22','-26.71'
'IOST-USDT','5m','@VW)?','2021-09-11','2021-10-11','28','11.41','-12.65',388,'43','0.59','2.73','30.65','4','5',578,-295,'12','16','-26.71'
'IOST-USDT','5m','ePPW\\','2021-09-11','2021-10-11','45','3.86','-16.26',429,'47','0.35','2.83','26.39','4','7',416,-507,'21','24','-26.71'
'IOST-USDT','5m','-VW*=','2021-09-11','2021-10-11','24','6.76','-8.44',217,'42','0.91','2.58','25.68','2','4',514,-253,'10','14','-26.71'
'IOST-USDT','5m','-SUNv','2021-09-11','2021-10-11','50','5.25','-12.33',284,'44','0.69','2.54','23.02','4','5',410,-578,'22','28','-26.71'
'IOST-USDT','5m','eRNDv','2021-09-11','2021-10-11','47','-1.58','-13.66',288,'49','0.47','2.35','21.08','7','5',359,-531,'23','24','-26.71'
'IOST-USDT','5m','@^W*?','2021-09-11','2021-10-11','35','10.91','-18.36',381,'46','0.28','2.56','20.77','3','7',582,-334,'16','19','-26.71'
