'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'IOTA-USDT','5m','wVW*?','2021-09-11','2021-10-11','20','21.17','-5.48',958,'55','4.32','5.49','174.72','3','2',568,-342,'11','9','-8.88'
'IOTA-USDT','5m','hPmHf','2021-09-11','2021-10-11','22','17.95','-4.35',646,'68','6.91','5.43','148.26','4','1',345,-381,'15','7','-8.88'
'IOTA-USDT','5m','@cW*?','2021-09-11','2021-10-11','37','21.07','-7.97',952,'43','2.92','3.66','119.49','3','3',558,-366,'16','21','-8.88'
'IOTA-USDT','5m','FVW*?','2021-09-11','2021-10-11','32','18.42','-9.07',746,'50','1.81','4.07','82.21','4','5',569,-349,'16','16','-8.88'
'IOTA-USDT','5m','ePjWv','2021-09-11','2021-10-11','26','17.22','-8.86',624,'58','2.99','4.1','70.47','4','3',418,-558,'15','11','-8.88'
'IOTA-USDT','5m','=bVNC','2021-09-11','2021-10-11','45','15.4','-9.18',589,'42','1.65','2.99','64.24','4','4',437,-359,'19','26','-8.88'
'IOTA-USDT','5m','-VW*9','2021-09-11','2021-10-11','26','15.28','-10.07',492,'50','0.97','3.46','48.84','4','4',532,-294,'13','13','-8.88'
'IOTA-USDT','5m','LewDb','2021-09-11','2021-10-11','19','11.47','-6.83',277,'68','2.34','3.19','40.55','6','2',379,-556,'13','6','-8.88'
'IOTA-USDT','5m','@_W*?','2021-09-11','2021-10-11','42','12.28','-8.9',321,'40','1.04','2.31','36.02','4','6',523,-340,'17','25','-8.88'
'IOTA-USDT','5m','eVkWv','2021-09-11','2021-10-11','30','11.23','-8.43',283,'53','1.42','2.62','33.56','5','4',397,-548,'16','14','-8.88'
'IOTA-USDT','5m','ui*5<','2021-09-11','2021-10-11','40','11.8','-11.8',327,'35','0.81','2.48','27.68','3','9',585,-302,'14','26','-8.88'
'IOTA-USDT','5m','-VW*=','2021-09-11','2021-10-11','37','11.36','-11.5',293,'46','0.79','2.53','25.52','4','6',523,-306,'17','20','-8.88'
'IOTA-USDT','5m','@VW)?','2021-09-11','2021-10-11','34','11.82','-12.54',320,'44','0.48','2.57','25.48','4','7',618,-341,'15','19','-8.88'
'IOTA-USDT','5m','@VWF?','2021-09-11','2021-10-11','38','6.29','-8.71',196,'53','0.69','2.5','22.55','4','7',410,-317,'20','18','-8.88'
'IOTA-USDT','5m','=ptVt','2021-09-11','2021-10-11','30','8.49','-10.07',207,'50','0.7','2.24','20.61','5','4',413,-470,'15','15','-8.88'
'IOTA-USDT','5m','tbik','2021-09-11','2021-10-11','30','9.46','-12.05',232,'57','0.73','2.49','19.22','6','3',344,-456,'17','13','-8.88'
'IOTA-USDT','5m','\\sta','2021-09-11','2021-10-11','21','6.4','-6.11',113,'71','1.42','2.11','18.44','7','1',275,-525,'15','6','-8.88'
'IOTA-USDT','5m','@VW*F','2021-09-11','2021-10-11','41','10.46','-14.53',260,'41','0.42','2.12','17.89','4','8',551,-327,'17','24','-8.88'
'IOTA-USDT','5m','g^VGt','2021-09-11','2021-10-11','46','7.53','-13.46',209,'50','0.61','1.86','15.51','4','4',359,-486,'23','23','-8.88'
'IOTA-USDT','5m','@VW.?','2021-09-11','2021-10-11','38','7.57','-11.47',162,'42','0.31','1.99','14.1','4','7',500,-323,'16','22','-8.88'
'IOTA-USDT','5m','@VX*?','2021-09-11','2021-10-11','35','7.54','-12.36',161,'46','0.26','1.96','12.99','4','7',532,-317,'16','19','-8.88'
'IOTA-USDT','5m','@VW4?','2021-09-11','2021-10-11','36','6.2','-12.23',124,'50','0.22','1.83','10.1','3','7',389,-313,'18','18','-8.88'
'IOTA-USDT','5m','fVPWv','2021-09-11','2021-10-11','51','5.16','-13.39',119,'49','0.36','1.35','8.86','5','4',372,-484,'25','26','-8.88'
'IOTA-USDT','5m','gVPWv','2021-09-11','2021-10-11','51','5.16','-13.39',119,'49','0.36','1.35','8.86','5','4',372,-484,'25','26','-8.88'
'IOTA-USDT','5m','eVswv','2021-09-11','2021-10-11','19','0.08','-6.91',58,'68','0.66','1.56','8.41','6','2',252,-520,'13','6','-8.88'
'IOTA-USDT','5m','q9da','2021-09-11','2021-10-11','23','5.04','-9.95',82,'70','0.23','1.64','8.23','8','2',305,-512,'16','7','-8.88'
'IOTA-USDT','5m','o4,@X','2021-09-11','2021-10-11','58','2.86','-15.13',75,'40','0.19','1.2','4.98','5','7',438,-451,'23','35','-8.88'
'IOTA-USDT','5m','YOR9c','2021-09-11','2021-10-11','50','3.11','-13.95',57,'48','0.18','0.93','4.07','5','4',437,-479,'24','26','-8.88'
'IOTA-USDT','5m','_W6,U','2021-09-11','2021-10-11','52','3.06','-16.46',64,'37','0.18','1.02','3.86','3','7',579,-423,'19','33','-8.88'
'IOTA-USDT','5m','@VW*A','2021-09-11','2021-10-11','38','2.88','-15.37',52,'39','0.07','0.96','3.41','4','8',561,-334,'15','23','-8.88'
'IOTA-USDT','5m','`RNWv','2021-09-11','2021-10-11','54','1.51','-13.51',39,'46','0.12','0.79','2.88','5','4',367,-484,'25','29','-8.88'
'IOTA-USDT','5m','cRNWv','2021-09-11','2021-10-11','54','1.51','-13.51',39,'46','0.12','0.79','2.88','5','4',367,-484,'25','29','-8.88'
'IOTA-USDT','5m','\\RNWv','2021-09-11','2021-10-11','54','1.51','-13.51',39,'46','0.12','0.79','2.88','5','4',367,-484,'25','29','-8.88'
'IOTA-USDT','5m','RNWv','2021-09-11','2021-10-11','54','1.51','-13.51',39,'46','0.12','0.79','2.88','5','4',367,-484,'25','29','-8.88'
'IOTA-USDT','5m','aRNWv','2021-09-11','2021-10-11','54','1.51','-13.51',39,'46','0.12','0.79','2.88','5','4',367,-484,'25','29','-8.88'
'IOTA-USDT','5m','^RNWv','2021-09-11','2021-10-11','54','1.51','-13.51',39,'46','0.12','0.79','2.88','5','4',367,-484,'25','29','-8.88'
'IOTA-USDT','5m','_RNWv','2021-09-11','2021-10-11','54','1.51','-13.51',39,'46','0.12','0.79','2.88','5','4',367,-484,'25','29','-8.88'
'IOTA-USDT','5m','XRV.a','2021-09-11','2021-10-11','50','1.63','-13.38',25,'48','0.08','0.66','1.88','5','4',425,-481,'24','26','-8.88'
'IOTA-USDT','5m','ftUQf','2021-09-11','2021-10-11','47','-1.95','-16.27',8,'40','0.03','0.43','0.49','3','4',443,-370,'19','28','-8.88'
'IOTA-USDT','5m','eVPWc','2021-09-11','2021-10-11','51','-1.47','-15.24',1,'47','0.0','0.41','0.07','5','4',349,-484,'24','27','-8.88'
'IOTA-USDT','5m','@^W*?','2021-09-11','2021-10-11','40','-0.4','-13.33',-2,'38','-0.01','0.3','-0.12','4','8',484,-293,'15','25','-8.88'
'IOTA-USDT','5m','eSNWd','2021-09-11','2021-10-11','51','-2.12','-15.29',-7,'47','-0.03','0.32','-0.43','5','4',344,-482,'24','27','-8.88'
'IOTA-USDT','5m','?VuWv','2021-09-11','2021-10-11','21','-1.56','-10.56',-5,'43','-0.03','0.12','-0.44','3','4',356,-431,'9','12','-8.88'
'IOTA-USDT','5m','ePPWb','2021-09-11','2021-10-11','50','-3.2','-15.57',-16,'48','-0.04','0.13','-1.06','4','4',330,-480,'24','26','-8.88'
'IOTA-USDT','5m','vNqn','2021-09-11','2021-10-11','15','-1.07','-9.77',-12,'53','-0.07','-0.16','-1.26','4','2',392,-514,'8','7','-8.88'
'IOTA-USDT','5m','IVWWv','2021-09-11','2021-10-11','54','-5.12','-17.82',-36,'48','-0.1','-0.17','-2.04','6','4',331,-481,'26','28','-8.88'
