'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'KEEP-USDT','5m','ePjWv','2021-09-11','2021-10-11','25','18.99','-6.9',815,'64','2.31','4.57','118.09','7','3',450,-643,'16','9','2.31'
'KEEP-USDT','5m','?VuWv','2021-09-11','2021-10-11','28','16.67','-7.16',672,'54','1.41','4.68','93.89','4','3',422,-564,'15','13','2.31'
'KEEP-USDT','5m','hPmHf','2021-09-11','2021-10-11','20','16.38','-7.94',689,'75','1.16','4.92','86.73','10','3',348,-598,'15','5','2.31'
'KEEP-USDT','5m','E^cA','2021-09-11','2021-10-11','15','10.3','-3.87',234,'53','6.91','2.84','60.48','3','2',429,-349,'8','7','2.31'
'KEEP-USDT','5m','eVkWv','2021-09-11','2021-10-11','28','12.21','-7.57',349,'61','1.19','3.17','46.07','6','3',425,-638,'17','11','2.31'
'KEEP-USDT','5m','vNqn','2021-09-11','2021-10-11','15','11.76','-8.11',339,'73','0.63','3.31','41.84','8','2',426,-566,'11','4','2.31'
'KEEP-USDT','5m','q9da','2021-09-11','2021-10-11','17','9.16','-7.3',257,'71','0.73','3.07','35.21','10','3',308,-496,'12','5','2.31'
'KEEP-USDT','5m','LewDb','2021-09-11','2021-10-11','21','8.39','-7.61',184,'67','0.6','2.49','24.14','7','3',367,-521,'14','7','2.31'
'KEEP-USDT','5m','\\sta','2021-09-11','2021-10-11','22','1.94','-7.04',43,'73','0.19','1.14','6.12','5','2',272,-524,'16','6','2.31'
'KEEP-USDT','5m','7Fpob','2021-09-11','2021-10-11','25','1.05','-8.88',53,'48','0.13','1.34','6.0','4','5',372,-469,'12','13','2.31'
'KEEP-USDT','5m','HPqWv','2021-09-11','2021-10-11','29','-0.72','-11.2',10,'48','0.03','0.43','0.92','5','4',402,-511,'14','15','2.31'
'KEEP-USDT','5m','eVswv','2021-09-11','2021-10-11','20','-1.4','-11.7',2,'65','0.0','0.23','0.18','7','2',256,-539,'13','7','2.31'
'KEEP-USDT','5m','-VW*9','2021-09-11','2021-10-11','25','-6.08','-13.04',-20,'32','-0.07','-0.23','-1.53','2','5',514,-297,'8','17','2.31'
'KEEP-USDT','5m','-VW*=','2021-09-11','2021-10-11','33','-3.55','-16.3',-27,'33','-0.12','-0.18','-1.66','3','6',530,-307,'11','22','2.31'
'KEEP-USDT','5m','eRQWv','2021-09-11','2021-10-11','62','-51.56','-47.79',-100,'31','-0.15','-11.78','-2.09','2','9',348,-580,'19','43','2.31'
'KEEP-USDT','5m','eEsWv','2021-09-11','2021-10-11','18','-5.39','-14.54',-31,'56','-0.09','-0.42','-2.11','6','3',405,-487,'10','8','2.31'
'KEEP-USDT','5m','hPPHs','2021-09-11','2021-10-11','59','-50.81','-44.27',-100,'34','-0.17','-10.61','-2.26','3','9',292,-579,'20','39','2.31'
'KEEP-USDT','5m','ePPHt','2021-09-11','2021-10-11','59','-50.81','-44.27',-100,'34','-0.17','-10.61','-2.26','3','9',292,-579,'20','39','2.31'
'KEEP-USDT','5m','fVPWv','2021-09-11','2021-10-11','64','-46.9','-42.56',-100,'33','-0.18','-9.1','-2.35','3','9',360,-441,'21','43','2.31'
'KEEP-USDT','5m','gVPWv','2021-09-11','2021-10-11','64','-46.9','-42.56',-100,'33','-0.18','-9.1','-2.35','3','9',360,-441,'21','43','2.31'
'KEEP-USDT','5m','eSNWd','2021-09-11','2021-10-11','65','-45.36','-42.39',-100,'32','-0.19','-8.98','-2.35','3','10',358,-440,'21','44','2.31'
'KEEP-USDT','5m','ePPW\\','2021-09-11','2021-10-11','60','-44.71','-41.78',-100,'33','-0.18','-9.78','-2.39','4','9',351,-438,'20','40','2.31'
'KEEP-USDT','5m','ePPH','2021-09-11','2021-10-11','58','-45.81','-41.63',-100,'34','-0.18','-10.16','-2.4','3','9',292,-434,'20','38','2.31'
'KEEP-USDT','5m','g^VGt','2021-09-11','2021-10-11','60','-45.19','-40.16',-100,'33','-0.19','-7.61','-2.48','2','9',349,-438,'20','40','2.31'
'KEEP-USDT','5m','ePPWb','2021-09-11','2021-10-11','59','-42.95','-39.95',-100,'34','-0.21','-9.14','-2.5','4','9',351,-438,'20','39','2.31'
'KEEP-USDT','5m','eVPWc','2021-09-11','2021-10-11','62','-42.34','-39.25',-100,'34','-0.2','-8.34','-2.54','3','9',365,-441,'21','41','2.31'
'KEEP-USDT','5m','eRNDv','2021-09-11','2021-10-11','60','-44.84','-38.75',-100,'37','-0.27','-7.66','-2.57','3','10',335,-438,'22','38','2.31'
'KEEP-USDT','5m','ePPHa','2021-09-11','2021-10-11','58','-42.25','-38.67',-100,'36','-0.23','-8.62','-2.58','4','9',292,-434,'21','37','2.31'
'KEEP-USDT','5m','`RNWv','2021-09-11','2021-10-11','64','-44.66','-38.54',-100,'34','-0.28','-7.45','-2.59','3','10',365,-454,'22','42','2.31'
'KEEP-USDT','5m','cRNWv','2021-09-11','2021-10-11','64','-44.66','-38.54',-100,'34','-0.28','-7.45','-2.59','3','10',365,-454,'22','42','2.31'
'KEEP-USDT','5m','\\RNWv','2021-09-11','2021-10-11','64','-44.66','-38.54',-100,'34','-0.28','-7.45','-2.59','3','10',365,-454,'22','42','2.31'
'KEEP-USDT','5m','RNWv','2021-09-11','2021-10-11','64','-44.66','-38.54',-100,'34','-0.28','-7.45','-2.59','3','10',365,-454,'22','42','2.31'
'KEEP-USDT','5m','aRNWv','2021-09-11','2021-10-11','64','-44.66','-38.54',-100,'34','-0.28','-7.45','-2.59','3','10',365,-454,'22','42','2.31'
'KEEP-USDT','5m','^RNWv','2021-09-11','2021-10-11','64','-44.66','-38.54',-100,'34','-0.28','-7.45','-2.59','3','10',365,-454,'22','42','2.31'
'KEEP-USDT','5m','_RNWv','2021-09-11','2021-10-11','64','-44.66','-38.54',-100,'34','-0.28','-7.45','-2.59','3','10',365,-454,'22','42','2.31'
'KEEP-USDT','5m','eRNWZ','2021-09-11','2021-10-11','63','-41.71','-37.73',-100,'35','-0.22','-7.37','-2.64','3','10',356,-440,'22','41','2.31'
'KEEP-USDT','5m','YOR9c','2021-09-11','2021-10-11','57','-37.87','-37.03',-99,'37','-0.24','-5.54','-2.68','4','7',457,-455,'21','36','2.31'
'KEEP-USDT','5m','BVV.a','2021-09-11','2021-10-11','60','-32.3','-36.29',-99,'33','-0.23','-4.78','-2.73','3','9',455,-472,'20','40','2.31'
'KEEP-USDT','5m','<VV.a','2021-09-11','2021-10-11','60','-32.3','-36.29',-99,'33','-0.23','-4.78','-2.73','3','9',455,-472,'20','40','2.31'
'KEEP-USDT','5m','?^WWv','2021-09-11','2021-10-11','61','-34.5','-35.99',-99,'34','-0.21','-5.1','-2.74','3','9',384,-487,'21','40','2.31'
'KEEP-USDT','5m','eRNWk','2021-09-11','2021-10-11','62','-40.31','-36.29',-99,'35','-0.24','-6.93','-2.74','3','10',364,-440,'22','40','2.31'
'KEEP-USDT','5m','ePRWv','2021-09-11','2021-10-11','58','-40.38','-36.27',-100,'36','-0.24','-8.17','-2.75','4','8',361,-606,'21','37','2.31'
'KEEP-USDT','5m','IVWWv','2021-09-11','2021-10-11','58','-35.35','-35.84',-99,'38','-0.24','-6.7','-2.77','4','9',363,-599,'22','36','2.31'
'KEEP-USDT','5m','?VW.v','2021-09-11','2021-10-11','57','-28.11','-35.33',-98,'35','-0.21','-3.89','-2.77','3','9',475,-604,'20','37','2.31'
'KEEP-USDT','5m','?VW2v','2021-09-11','2021-10-11','57','-31.23','-35.61',-99,'35','-0.21','-4.6','-2.77','3','9',421,-595,'20','37','2.31'
'KEEP-USDT','5m','tbik','2021-09-11','2021-10-11','35','-15.8','-26.8',-75,'46','-0.16','-1.58','-2.8','4','5',361,-538,'16','19','2.31'
'KEEP-USDT','5m','ftUQf','2021-09-11','2021-10-11','57','-37.45','-33.96',-99,'30','-0.23','-7.28','-2.92','3','9',393,-376,'17','40','2.31'
'KEEP-USDT','5m','3OW5n','2021-09-11','2021-10-11','53','-28.05','-33.27',-98,'32','-0.25','-4.37','-2.94','2','9',538,-445,'17','36','2.31'
'KEEP-USDT','5m','CMNWv','2021-09-11','2021-10-11','66','-33.07','-33.48',-99,'35','-0.23','-5.22','-2.94','3','10',371,-464,'23','43','2.31'
'KEEP-USDT','5m',':VWWv','2021-09-11','2021-10-11','56','-25.79','-31.5',-95,'38','-0.2','-3.28','-3.02','3','9',398,-498,'21','35','2.31'
'KEEP-USDT','5m','7VWWv','2021-09-11','2021-10-11','56','-25.79','-31.5',-95,'38','-0.2','-3.28','-3.02','3','9',398,-498,'21','35','2.31'
'KEEP-USDT','5m','-SUNv','2021-09-11','2021-10-11','57','-8.3','-19.3',-58,'39','-0.15','-1.08','-3.03','3','7',420,-634,'22','35','2.31'
'KEEP-USDT','5m','3OW?n','2021-09-11','2021-10-11','54','-28.07','-31.98',-97,'33','-0.24','-4.17','-3.04','4','9',479,-448,'18','36','2.31'
'KEEP-USDT','5m','XRV.a','2021-09-11','2021-10-11','53','-29.43','-32.17',-98,'36','-0.29','-4.57','-3.06','3','7',460,-462,'19','34','2.31'
'KEEP-USDT','5m','-VW.v','2021-09-11','2021-10-11','57','-22.02','-29.71',-94,'35','-0.26','-3.54','-3.18','3','9',462,-615,'20','37','2.31'
'KEEP-USDT','5m','-VUWv','2021-09-11','2021-10-11','64','-29.45','-30.69',-98,'34','-0.25','-5.38','-3.19','4','10',368,-615,'22','42','2.31'
'KEEP-USDT','5m','FVW*?','2021-09-11','2021-10-11','35','-7.53','-17.84',-58,'31','-0.2','-0.91','-3.23','3','5',516,-330,'11','24','2.31'
'KEEP-USDT','5m','O=ITi','2021-09-11','2021-10-11','62','-30.83','-29.87',-97,'35','-0.26','-4.56','-3.24','4','9',325,-476,'22','40','2.31'
'KEEP-USDT','5m','-VWMv','2021-09-11','2021-10-11','57','-21.87','-28.38',-94,'35','-0.26','-3.59','-3.3','3','9',440,-615,'20','37','2.31'
'KEEP-USDT','5m','?dpMr','2021-09-11','2021-10-11','33','-10.42','-21.89',-72,'42','-0.16','-1.82','-3.3','5','4',458,-634,'14','19','2.31'
'KEEP-USDT','5m',':YY:_','2021-09-11','2021-10-11','55','-25.55','-28.81',-95,'35','-0.27','-3.48','-3.31','2','9',431,-477,'19','36','2.31'
'KEEP-USDT','5m','=bVNC','2021-09-11','2021-10-11','60','-31.41','-29.8',-99,'28','-0.18','-6.19','-3.31','2','9',360,-319,'17','43','2.31'
'KEEP-USDT','5m','-VWLv','2021-09-11','2021-10-11','57','-24.07','-28.59',-96,'35','-0.3','-4.03','-3.34','3','9',492,-613,'20','37','2.31'
'KEEP-USDT','5m','@VW.?','2021-09-11','2021-10-11','39','-8.3','-17.55',-59,'33','-0.25','-0.89','-3.35','3','6',475,-343,'13','26','2.31'
