'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'KNC-USDT','5m','3OWXC','2021-09-11','2021-10-11','36','-1.32','-6.99',26,'50','0.28','0.72','3.73','4','4',370,-309,'18','18','-1.96'
'KNC-USDT','5m','-SUNv','2021-09-11','2021-10-11','45','-1.88','-13.0',30,'47','0.16','0.71','2.33','4','6',398,-493,'21','24','-1.96'
'KNC-USDT','5m','-VW*=','2021-09-11','2021-10-11','32','0.22','-12.39',6,'41','0.04','0.37','0.51','4','5',525,-293,'13','19','-1.96'
'KNC-USDT','5m','3OWXE','2021-09-11','2021-10-11','37','-3.01','-7.93',3,'51','0.02','0.3','0.34','4','4',377,-339,'19','18','-1.96'
'KNC-USDT','5m','-VWWu','2021-09-11','2021-10-11','43','-3.06','-11.06',-11,'47','-0.09','0.07','-0.96','4','5',347,-491,'20','23','-1.96'
'KNC-USDT','5m',',VWWv','2021-09-11','2021-10-11','43','-3.06','-11.06',-11,'47','-0.09','0.07','-0.96','4','5',347,-491,'20','23','-1.96'
'KNC-USDT','5m','-VWWs','2021-09-11','2021-10-11','43','-3.06','-11.06',-11,'47','-0.09','0.07','-0.96','4','5',347,-491,'20','23','-1.96'
'KNC-USDT','5m','-VWWl','2021-09-11','2021-10-11','43','-3.06','-11.06',-11,'47','-0.09','0.07','-0.96','4','5',347,-491,'20','23','-1.96'
'KNC-USDT','5m','-VWWa','2021-09-11','2021-10-11','43','-3.06','-11.06',-11,'47','-0.09','0.07','-0.96','4','5',347,-491,'20','23','-1.96'
'KNC-USDT','5m','-VWW^','2021-09-11','2021-10-11','43','-3.64','-11.06',-17,'47','-0.14','-0.06','-1.51','4','5',349,-434,'20','23','-1.96'
'KNC-USDT','5m','@VWF?','2021-09-11','2021-10-11','31','-2.46','-10.52',-17,'52','-0.07','-0.22','-1.66','4','3',387,-312,'16','15','-1.96'
'KNC-USDT','5m','@VW.?','2021-09-11','2021-10-11','31','-2.34','-12.01',-22,'42','-0.06','-0.28','-1.84','3','5',457,-317,'13','18','-1.96'
'KNC-USDT','5m','E^cA','2021-09-11','2021-10-11','19','-2.38','-11.46',-24,'58','-0.06','-0.54','-2.12','4','4',399,-303,'11','8','-1.96'
'KNC-USDT','5m','ui*5<','2021-09-11','2021-10-11','34','-4.69','-13.35',-29,'32','-0.17','-0.46','-2.16','3','6',556,-218,'11','23','-1.96'
'KNC-USDT','5m','@VW*A','2021-09-11','2021-10-11','31','-2.85','-12.26',-27,'42','-0.08','-0.39','-2.19','3','5',507,-317,'13','18','-1.96'
'KNC-USDT','5m','-VW.v','2021-09-11','2021-10-11','43','-3.96','-12.86',-31,'47','-0.22','-0.31','-2.4','4','5',425,-490,'20','23','-1.96'
'KNC-USDT','5m','-VW<v','2021-09-11','2021-10-11','42','-4.39','-11.48',-28,'45','-0.22','-0.28','-2.43','4','5',350,-488,'19','23','-1.96'
'KNC-USDT','5m','@VW4?','2021-09-11','2021-10-11','31','-3.15','-12.1',-30,'42','-0.08','-0.53','-2.45','3','5',363,-314,'13','18','-1.96'
'KNC-USDT','5m','-VW=v','2021-09-11','2021-10-11','43','-5.02','-11.3',-30,'49','-0.23','-0.32','-2.65','4','5',355,-485,'21','22','-1.96'
'KNC-USDT','5m','-VW*9','2021-09-11','2021-10-11','31','-5.4','-16.3',-47,'39','-0.22','-0.99','-2.91','4','5',525,-293,'12','19','-1.96'
'KNC-USDT','5m','-VWMv','2021-09-11','2021-10-11','43','-5.14','-11.86',-35,'47','-0.29','-0.48','-2.95','4','5',403,-491,'20','23','-1.96'
'KNC-USDT','5m','HPqWv','2021-09-11','2021-10-11','16','-2.84','-7.07',-21,'44','-0.11','-0.62','-3.0','2','3',369,-439,'7','9','-1.96'
'KNC-USDT','5m','@TW*?','2021-09-11','2021-10-11','28','-5.09','-13.7',-42,'39','-0.1','-0.85','-3.09','3','9',518,-312,'11','17','-1.96'
'KNC-USDT','5m',':VWWv','2021-09-11','2021-10-11','39','-4.64','-8.46',-28,'49','-0.23','-0.41','-3.3','4','4',368,-488,'19','20','-1.96'
'KNC-USDT','5m','7VWWv','2021-09-11','2021-10-11','39','-4.64','-8.46',-28,'49','-0.23','-0.41','-3.3','4','4',368,-488,'19','20','-1.96'
'KNC-USDT','5m','@VW)?','2021-09-11','2021-10-11','31','-5.07','-13.53',-45,'42','-0.12','-0.94','-3.31','3','5',535,-315,'13','18','-1.96'
'KNC-USDT','5m','o4,@X','2021-09-11','2021-10-11','58','-17.7','-23.35',-82,'36','-0.34','-2.1','-3.52','3','10',437,-341,'21','37','-1.96'
'KNC-USDT','5m','?dpMr','2021-09-11','2021-10-11','29','-25.7','-26.33',-97,'34','-0.17','-5.52','-3.68','3','6',428,-457,'10','19','-1.96'
'KNC-USDT','5m','wVW*?','2021-09-11','2021-10-11','30','-17.06','-23.73',-89,'27','-0.14','-3.87','-3.73','4','11',514,-311,'8','22','-1.96'
'KNC-USDT','5m','eVkWv','2021-09-11','2021-10-11','23','-22.44','-24.0',-95,'39','-0.13','-5.61','-3.94','3','4',362,-473,'9','14','-1.96'
'KNC-USDT','5m','tbik','2021-09-11','2021-10-11','28','-7.26','-10.6',-43,'50','-0.14','-1.14','-4.01','3','3',329,-483,'14','14','-1.96'
