'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'KSM-USDT','5m','-VW<v','2021-09-11','2021-10-11','47','32.46','-4.44',2967,'64','17.4','7.62','668.15','8','3',429,-451,'30','17','-13.13'
'KSM-USDT','5m','-VW=v','2021-09-11','2021-10-11','47','28.24','-4.32',1968,'64','11.15','6.86','455.49','8','3',416,-442,'30','17','-13.13'
'KSM-USDT','5m','ePPW\\','2021-09-11','2021-10-11','49','27.05','-4.46',1883,'63','10.21','6.75','422.28','8','3',414,-456,'31','18','-13.13'
'KSM-USDT','5m','-VWWu','2021-09-11','2021-10-11','47','27.83','-4.6',1909,'62','12.31','6.86','414.49','7','3',415,-434,'29','18','-13.13'
'KSM-USDT','5m',',VWWv','2021-09-11','2021-10-11','47','27.83','-4.6',1909,'62','12.31','6.86','414.49','7','3',415,-434,'29','18','-13.13'
'KSM-USDT','5m','-VWWl','2021-09-11','2021-10-11','47','27.83','-4.6',1909,'62','12.31','6.86','414.49','7','3',415,-434,'29','18','-13.13'
'KSM-USDT','5m','-VWWs','2021-09-11','2021-10-11','47','27.83','-4.6',1909,'62','12.31','6.86','414.49','7','3',415,-434,'29','18','-13.13'
'KSM-USDT','5m','-VWWa','2021-09-11','2021-10-11','47','27.83','-4.6',1909,'62','12.31','6.86','414.49','7','3',415,-434,'29','18','-13.13'
'KSM-USDT','5m','-VWW^','2021-09-11','2021-10-11','47','27.83','-4.6',1909,'62','12.31','6.86','414.49','7','3',415,-434,'29','18','-13.13'
'KSM-USDT','5m','ePPWb','2021-09-11','2021-10-11','49','27.47','-4.46',1846,'63','9.99','6.75','413.97','8','3',414,-456,'31','18','-13.13'
'KSM-USDT','5m','wVW*?','2021-09-11','2021-10-11','24','25.75','-4.29',1670,'54','11.76','5.86','388.98','6','4',568,-362,'13','11','-13.13'
