'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'LINA-USDT','5m','hPmHf','2021-09-11','2021-10-11','17','41.8','-0.64',6903,'88','721.42','13.98','10742.85','14','1',418,-110,'15','2','15.58'
'LINA-USDT','5m','ePjWv','2021-09-11','2021-10-11','23','45.01','-2.37',9952,'65','49.39','10.81','4204.36','7','2',536,-653,'15','8','15.58'
'LINA-USDT','5m','eVkWv','2021-09-11','2021-10-11','26','35.12','-6.92',4263,'58','7.59','7.84','615.64','8','3',501,-615,'15','11','15.58'
'LINA-USDT','5m','eEsWv','2021-09-11','2021-10-11','20','29.08','-3.75',2132,'65','17.85','8.44','568.03','6','2',473,-538,'13','7','15.58'
'LINA-USDT','5m','MVsWv','2021-09-11','2021-10-11','25','34.36','-6.38',3536,'64','8.31','8.25','554.05','5','3',487,-707,'16','9','15.58'
'LINA-USDT','5m','HPqWv','2021-09-11','2021-10-11','26','36.04','-8.72',4129,'69','4.35','6.97','473.61','6','2',492,-701,'18','8','15.58'
'LINA-USDT','5m','vNqn','2021-09-11','2021-10-11','10','15.34','-1.3',468,'70','44.18','8.63','360.88','3','1',408,-80,'7','3','15.58'
'LINA-USDT','5m','VsWv','2021-09-11','2021-10-11','24','29.05','-6.8',2126,'62','6.07','7.18','312.55','5','3',469,-706,'15','9','15.58'
'LINA-USDT','5m','WVsWv','2021-09-11','2021-10-11','24','29.05','-6.8',2126,'62','6.07','7.18','312.55','5','3',469,-706,'15','9','15.58'
'LINA-USDT','5m','?VuWv','2021-09-11','2021-10-11','25','29.96','-9.09',2325,'68','3.14','6.33','255.68','5','2',470,-657,'17','8','15.58'
'LINA-USDT','5m','\\sta','2021-09-11','2021-10-11','18','19.66','-3.79',788,'83','5.07','8.28','208.04','7','1',305,-533,'15','3','15.58'
'LINA-USDT','5m','eVswv','2021-09-11','2021-10-11','20','15.83','-4.55',498,'80','3.04','6.06','109.46','9','2',276,-529,'16','4','15.58'
'LINA-USDT','5m','LewDb','2021-09-11','2021-10-11','23','17.28','-10.07',935,'65','1.88','4.5','92.78','8','3',429,-693,'15','8','15.58'
'LINA-USDT','5m','E^cA','2021-09-11','2021-10-11','20','11.01','-5.2',412,'50','3.45','4.55','79.15','3','3',437,-351,'10','10','15.58'
'LINA-USDT','5m','q9da','2021-09-11','2021-10-11','15','11.7','-3.62',284,'80','3.37','4.39','78.58','6','1',289,-490,'12','3','15.58'
'LINA-USDT','5m','=ptVt','2021-09-11','2021-10-11','34','13.02','-9.79',383,'56','0.93','3.0','39.17','4','3',457,-452,'19','15','15.58'
'LINA-USDT','5m','?dpMr','2021-09-11','2021-10-11','39','12.35','-12.82',400,'49','0.7','2.63','31.22','5','4',512,-783,'19','20','15.58'
'LINA-USDT','5m','tbik','2021-09-11','2021-10-11','30','4.22','-7.06',183,'43','1.44','2.41','25.95','3','4',344,-562,'13','17','15.58'
'LINA-USDT','5m','-VW*=','2021-09-11','2021-10-11','26','5.72','-9.29',107,'35','0.82','1.81','11.49','2','5',548,-334,'9','17','15.58'
'LINA-USDT','5m','3OWXC','2021-09-11','2021-10-11','43','1.39','-10.29',106,'49','0.58','1.42','10.33','3','4',391,-339,'21','22','15.58'
'LINA-USDT','5m','wVW*?','2021-09-11','2021-10-11','27','4.8','-13.22',103,'37','0.18','1.55','7.76','2','6',532,-308,'10','17','15.58'
'LINA-USDT','5m',':YY:_','2021-09-11','2021-10-11','53','-0.01','-14.21',71,'43','0.23','1.05','5.02','4','5',442,-515,'23','30','15.58'
'LINA-USDT','5m','@VW*F','2021-09-11','2021-10-11','37','1.95','-12.01',57,'38','0.19','1.07','4.74','2','5',542,-392,'14','23','15.58'
'LINA-USDT','5m','3OWXE','2021-09-11','2021-10-11','44','-2.13','-10.29',35,'48','0.17','0.76','3.39','3','5',377,-328,'21','23','15.58'
'LINA-USDT','5m','ftUQf','2021-09-11','2021-10-11','50','-6.88','-16.55',24,'36','0.08','0.66','1.47','3','10',455,-546,'18','32','15.58'
'LINA-USDT','5m','-VW*9','2021-09-11','2021-10-11','22','-0.35','-7.82',4,'27','0.04','0.29','0.45','2','5',519,-275,'6','16','15.58'
'LINA-USDT','5m','@cW*?','2021-09-11','2021-10-11','40','-0.79','-18.76',6,'32','0.01','0.42','0.33','3','6',512,-323,'13','27','15.58'
'LINA-USDT','5m','YOR9c','2021-09-11','2021-10-11','49','-3.3','-15.3',3,'41','0.01','0.42','0.19','3','5',475,-494,'20','29','15.58'
'LINA-USDT','5m','FVW*?','2021-09-11','2021-10-11','31','-0.85','-9.76',2,'35','0.01','0.26','0.15','2','5',494,-312,'11','20','15.58'
'LINA-USDT','5m','7Fpob','2021-09-11','2021-10-11','24','-0.31','-8.65',-4,'58','-0.02','0.15','-0.42','3','2',341,-480,'14','10','15.58'
