'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'LIT-USDT','5m','-VW*9','2021-09-11','2021-10-11','28','24.88','-12.94',1492,'46','1.02','4.86','115.25','4','7',622,-347,'13','15','-1.04'
'LIT-USDT','5m','@VW*A','2021-09-11','2021-10-11','38','23.49','-13.47',1440,'50','2.08','4.13','106.85','4','6',594,-391,'19','19','-1.04'
'LIT-USDT','5m','-VW*=','2021-09-11','2021-10-11','33','18.07','-8.76',738,'42','1.51','3.73','84.19','4','7',590,-336,'14','19','-1.04'
'LIT-USDT','5m','3OWXE','2021-09-11','2021-10-11','42','11.72','-6.57',530,'52','3.62','4.73','80.63','4','4',443,-355,'22','20','-1.04'
'LIT-USDT','5m','HPqWv','2021-09-11','2021-10-11','21','14.58','-5.83',463,'62','4.37','4.26','79.47','3','2',410,-455,'13','8','-1.04'
'LIT-USDT','5m','@VWF?','2021-09-11','2021-10-11','37','11.34','-8.3',609,'51','2.29','3.84','73.38','4','5',446,-364,'19','18','-1.04'
'LIT-USDT','5m','@VW4?','2021-09-11','2021-10-11','35','10.28','-8.58',585,'51','2.19','3.88','68.2','5','5',419,-366,'18','17','-1.04'
'LIT-USDT','5m','o4,@X','2021-09-11','2021-10-11','59','15.47','-16.26',1040,'47','1.3','3.69','63.94','8','6',474,-366,'28','31','-1.04'
'LIT-USDT','5m','@XW*?','2021-09-11','2021-10-11','36','16.98','-13.9',705,'50','0.97','3.22','50.75','4','6',573,-368,'18','18','-1.04'
'LIT-USDT','5m','@VW)?','2021-09-11','2021-10-11','37','14.05','-10.72',495,'46','1.23','2.86','46.19','4','6',639,-362,'17','20','-1.04'
'LIT-USDT','5m','@VW.?','2021-09-11','2021-10-11','37','12.48','-10.18',462,'46','1.39','2.99','45.4','4','6',537,-360,'17','20','-1.04'
'LIT-USDT','5m','?VuWv','2021-09-11','2021-10-11','21','12.91','-9.42',371,'62','1.49','3.18','39.42','6','3',414,-436,'13','8','-1.04'
'LIT-USDT','5m','-dW6n','2021-09-11','2021-10-11','54','12.84','-19.41',676,'44','0.6','3.16','34.83','4','10',563,-358,'24','30','-1.04'
'LIT-USDT','5m','@VW*F','2021-09-11','2021-10-11','41','13.98','-16.3',475,'49','0.81','2.7','29.12','4','7',566,-396,'20','21','-1.04'
'LIT-USDT','5m','MVsWv','2021-09-11','2021-10-11','20','6.3','-4.53',127,'50','1.72','2.16','28.13','3','4',385,-491,'10','10','-1.04'
'LIT-USDT','5m','tbik','2021-09-11','2021-10-11','37','7.43','-10.84',289,'54','0.96','2.48','26.67','5','5',365,-443,'20','17','-1.04'
'LIT-USDT','5m','@^W*?','2021-09-11','2021-10-11','39','12.36','-14.99',396,'44','0.84','2.44','26.44','3','6',564,-359,'17','22','-1.04'
'LIT-USDT','5m','_W6,U','2021-09-11','2021-10-11','52','13.02','-23.03',547,'38','0.24','2.92','23.77','6','12',575,-349,'20','32','-1.04'
