'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'LRC-USDT','5m','ePPH','2021-09-11','2021-10-11','33','15.69','-6.25',498,'58','2.22','5.08','79.67','5','2',348,-335,'19','14','-8.0'
'LRC-USDT','5m','E^cA','2021-09-11','2021-10-11','17','5.73','-5.46',120,'53','0.85','2.53','21.98','4','3',425,-331,'9','8','-8.0'
'LRC-USDT','5m','@cW*?','2021-09-11','2021-10-11','38','6.38','-6.92',116,'42','0.73','1.71','16.73','3','3',518,-317,'16','22','-8.0'
'LRC-USDT','5m','QYRcn','2021-09-11','2021-10-11','41','3.76','-8.05',113,'41','0.54','1.65','14.02','3','3',412,-463,'17','24','-8.0'
'LRC-USDT','5m','=bVNC','2021-09-11','2021-10-11','39','5.77','-8.17',114,'41','0.49','2.03','14.0','3','3',426,-272,'16','23','-8.0'
'LRC-USDT','5m','?^WWv','2021-09-11','2021-10-11','38','5.05','-7.84',96,'47','0.46','1.61','12.19','3','3',382,-454,'18','20','-8.0'
'LRC-USDT','5m','ePPW\\','2021-09-11','2021-10-11','36','4.98','-10.86',102,'44','0.33','1.65','9.42','3','7',400,-441,'16','20','-8.0'
'LRC-USDT','5m','wVW*?','2021-09-11','2021-10-11','19','4.11','-7.97',72,'42','0.28','1.53','9.06','2','3',523,-282,'8','11','-8.0'
'LRC-USDT','5m','-dW6n','2021-09-11','2021-10-11','42','4.22','-8.68',74,'43','0.28','1.32','8.5','3','3',526,-462,'18','24','-8.0'
'LRC-USDT','5m','?VW2v','2021-09-11','2021-10-11','34','5.83','-13.43',102,'50','0.19','1.52','7.61','5','6',457,-487,'17','17','-8.0'
'LRC-USDT','5m','eRNDv','2021-09-11','2021-10-11','41','2.73','-7.44',51,'49','0.36','1.14','6.79','3','3',345,-552,'20','21','-8.0'
'LRC-USDT','5m','ftUQf','2021-09-11','2021-10-11','38','1.73','-9.13',58,'47','0.29','1.28','6.34','4','3',434,-376,'18','20','-8.0'
'LRC-USDT','5m','eRNWZ','2021-09-11','2021-10-11','42','1.35','-8.34',35,'43','0.22','0.83','4.18','3','4',377,-429,'18','24','-8.0'
'LRC-USDT','5m','-VWLv','2021-09-11','2021-10-11','39','2.95','-15.19',59,'41','0.1','1.1','3.88','3','7',551,-409,'16','23','-8.0'
'LRC-USDT','5m','CMNWv','2021-09-11','2021-10-11','40','1.58','-8.84',33,'45','0.14','0.79','3.71','3','4',380,-442,'18','22','-8.0'
'LRC-USDT','5m','XRV.a','2021-09-11','2021-10-11','31','2.28','-12.22',34,'45','0.11','0.76','2.74','3','6',487,-480,'14','17','-8.0'
'LRC-USDT','5m','3eWXn','2021-09-11','2021-10-11','42','0.63','-7.29',20,'48','0.11','0.62','2.7','3','2',386,-443,'20','22','-8.0'
'LRC-USDT','5m','IVWWv','2021-09-11','2021-10-11','34','1.29','-9.28',24,'47','0.1','0.67','2.61','3','5',383,-461,'16','18','-8.0'
'LRC-USDT','5m','ePPHa','2021-09-11','2021-10-11','38','0.11','-6.51',12,'50','0.1','0.47','1.86','3','3',307,-412,'19','19','-8.0'
'LRC-USDT','5m','@^W*?','2021-09-11','2021-10-11','31','1.19','-9.96',17,'39','0.07','0.54','1.66','2','3',512,-310,'12','19','-8.0'
'LRC-USDT','5m','-VWWa','2021-09-11','2021-10-11','38','0.72','-15.08',19,'45','0.04','0.58','1.27','5','7',405,-403,'17','21','-8.0'
'LRC-USDT','5m','-VWW^','2021-09-11','2021-10-11','38','0.72','-15.08',19,'45','0.04','0.58','1.27','5','7',405,-403,'17','21','-8.0'
'LRC-USDT','5m','-VWMv','2021-09-11','2021-10-11','39','0.2','-15.21',14,'41','0.03','0.5','0.94','3','7',471,-400,'16','23','-8.0'
'LRC-USDT','5m','?VW.v','2021-09-11','2021-10-11','35','0.77','-14.54',12,'40','0.03','0.46','0.83','3','6',489,-470,'14','21','-8.0'
'LRC-USDT','5m','-VW?v','2021-09-11','2021-10-11','39','0.76','-15.63',13,'44','0.02','0.47','0.81','4','7',519,-424,'17','22','-8.0'
'LRC-USDT','5m','BVV.a','2021-09-11','2021-10-11','36','0.7','-16.43',11,'39','0.02','0.44','0.64','3','7',502,-483,'14','22','-8.0'
'LRC-USDT','5m','<VV.a','2021-09-11','2021-10-11','36','0.7','-16.43',11,'39','0.02','0.44','0.64','3','7',502,-483,'14','22','-8.0'
'LRC-USDT','5m','-VW*9','2021-09-11','2021-10-11','27','0.27','-11.53',7,'41','0.02','0.36','0.58','2','3',511,-280,'11','16','-8.0'
'LRC-USDT','5m','-VW.v','2021-09-11','2021-10-11','39','-0.06','-16.64',2,'44','0.0','0.3','0.12','4','7',495,-420,'17','22','-8.0'
'LRC-USDT','5m','-VW;v','2021-09-11','2021-10-11','39','-0.15','-15.68',1,'44','0.0','0.26','0.06','4','7',468,-421,'17','22','-8.0'
'LRC-USDT','5m','-SUNv','2021-09-11','2021-10-11','38','-0.78','-15.46',-2,'42','-0.0','0.23','-0.11','3','6',433,-393,'16','22','-8.0'
'LRC-USDT','5m',':VWWv','2021-09-11','2021-10-11','38','-1.04','-14.7',-5,'45','-0.01','0.14','-0.34','4','6',392,-463,'17','21','-8.0'
'LRC-USDT','5m','7VWWv','2021-09-11','2021-10-11','38','-1.04','-14.7',-5,'45','-0.01','0.14','-0.34','4','6',392,-463,'17','21','-8.0'
'LRC-USDT','5m',':YY:_','2021-09-11','2021-10-11','34','-0.92','-15.9',-9,'41','-0.02','0.06','-0.59','3','6',446,-482,'14','20','-8.0'
'LRC-USDT','5m','-VWWu','2021-09-11','2021-10-11','39','-2.26','-15.08',-16,'44','-0.03','-0.11','-1.03','4','7',393,-392,'17','22','-8.0'
'LRC-USDT','5m',',VWWv','2021-09-11','2021-10-11','39','-2.26','-15.08',-16,'44','-0.03','-0.11','-1.03','4','7',393,-392,'17','22','-8.0'
'LRC-USDT','5m','-VWWs','2021-09-11','2021-10-11','39','-2.26','-15.08',-16,'44','-0.03','-0.11','-1.03','4','7',393,-392,'17','22','-8.0'
'LRC-USDT','5m','-VWWl','2021-09-11','2021-10-11','39','-2.26','-15.08',-16,'44','-0.03','-0.11','-1.03','4','7',393,-392,'17','22','-8.0'
'LRC-USDT','5m','-VW=v','2021-09-11','2021-10-11','39','-1.85','-15.9',-18,'44','-0.04','-0.17','-1.14','4','7',405,-417,'17','22','-8.0'
'LRC-USDT','5m','FVW*?','2021-09-11','2021-10-11','18','-1.57','-10.93',-14,'28','-0.03','-0.15','-1.24','2','5',520,-283,'5','13','-8.0'
'LRC-USDT','5m','g^VGt','2021-09-11','2021-10-11','38','-3.51','-10.25',-14,'47','-0.07','-0.09','-1.32','3','5',351,-552,'18','20','-8.0'
'LRC-USDT','5m','=ptVt','2021-09-11','2021-10-11','20','-3.27','-17.45',-27,'50','-0.07','-0.54','-1.55','5','7',418,-537,'10','10','-8.0'
'LRC-USDT','5m','-VW<v','2021-09-11','2021-10-11','39','-2.84','-16.45',-28,'44','-0.06','-0.4','-1.68','4','7',392,-414,'17','22','-8.0'
'LRC-USDT','5m','-VUWv','2021-09-11','2021-10-11','40','-2.97','-13.74',-24,'45','-0.06','-0.32','-1.72','4','6',384,-383,'18','22','-8.0'
'LRC-USDT','5m','-VW*=','2021-09-11','2021-10-11','29','-2.35','-12.86',-23,'38','-0.05','-0.35','-1.76','2','3',510,-280,'11','18','-8.0'
'LRC-USDT','5m','@TW*?','2021-09-11','2021-10-11','24','-2.59','-14.19',-27,'38','-0.04','-0.51','-1.87','2','5',532,-308,'9','15','-8.0'
'LRC-USDT','5m','hPPHs','2021-09-11','2021-10-11','38','-2.0','-7.05',-14,'50','-0.1','-0.13','-1.92','3','3',307,-550,'19','19','-8.0'
'LRC-USDT','5m','ePPHt','2021-09-11','2021-10-11','38','-2.0','-7.05',-14,'50','-0.1','-0.13','-1.92','3','3',307,-550,'19','19','-8.0'
'LRC-USDT','5m','ePPWb','2021-09-11','2021-10-11','38','-3.0','-10.86',-21,'42','-0.1','-0.22','-1.94','3','7',370,-547,'16','22','-8.0'
'LRC-USDT','5m','3OW5n','2021-09-11','2021-10-11','34','-4.73','-20.41',-44,'41','-0.08','-0.73','-2.13','3','9',590,-476,'14','20','-8.0'
'LRC-USDT','5m','3OW?n','2021-09-11','2021-10-11','34','-6.2','-19.29',-53,'41','-0.11','-1.19','-2.76','3','9',511,-469,'14','20','-8.0'
'LRC-USDT','5m','@VX*?','2021-09-11','2021-10-11','26','-3.9','-13.27',-38,'35','-0.09','-0.78','-2.84','1','5',517,-295,'9','17','-8.0'
'LRC-USDT','5m','@_W*?','2021-09-11','2021-10-11','33','-2.69','-9.47',-27,'36','-0.17','-0.35','-2.89','2','3',486,-300,'12','21','-8.0'
'LRC-USDT','5m','WrVZ;','2021-09-11','2021-10-11','31','-3.1','-9.18',-28,'42','-0.15','-0.46','-3.04','2','3',317,-262,'13','18','-8.0'
'LRC-USDT','5m','eEsWv','2021-09-11','2021-10-11','10','-6.0','-16.88',-52,'50','-0.11','-1.44','-3.06','4','3',396,-720,'5','5','-8.0'
'LRC-USDT','5m','o4,@X','2021-09-11','2021-10-11','60','-30.66','-30.56',-98,'27','-0.16','-7.49','-3.22','1','5',376,-284,'16','44','-8.0'
'LRC-USDT','5m','eVPWc','2021-09-11','2021-10-11','42','-4.18','-9.24',-32,'43','-0.21','-0.51','-3.44','4','4',379,-431,'18','24','-8.0'
'LRC-USDT','5m','YOR9c','2021-09-11','2021-10-11','35','-5.21','-12.91',-47,'40','-0.16','-0.93','-3.63','3','6',452,-545,'14','21','-8.0'
'LRC-USDT','5m','_W6,U','2021-09-11','2021-10-11','54','-24.41','-25.22',-96,'30','-0.19','-5.18','-3.8','3','7',467,-290,'16','38','-8.0'
'LRC-USDT','5m','ePRWv','2021-09-11','2021-10-11','34','-3.01','-7.4',-28,'47','-0.24','-0.43','-3.82','3','5',364,-547,'16','18','-8.0'
'LRC-USDT','5m','eSNWd','2021-09-11','2021-10-11','43','-4.54','-8.56',-33,'42','-0.22','-0.53','-3.87','3','4',364,-549,'18','25','-8.0'
'LRC-USDT','5m','?VuWv','2021-09-11','2021-10-11','16','-24.32','-24.37',-97,'31','-0.19','-6.97','-3.96','1','5',351,-559,'5','11','-8.0'
'LRC-USDT','5m','3OWXC','2021-09-11','2021-10-11','30','-10.78','-18.35',-73,'37','-0.12','-3.27','-3.97','3','8',393,-317,'11','19','-8.0'
'LRC-USDT','5m','3OWXE','2021-09-11','2021-10-11','30','-10.78','-18.35',-73,'37','-0.12','-3.27','-3.97','3','8',393,-317,'11','19','-8.0'
'LRC-USDT','5m','?dpMr','2021-09-11','2021-10-11','20','-8.48','-16.3',-65,'40','-0.24','-1.81','-3.97','4','7',417,-514,'8','12','-8.0'
'LRC-USDT','5m','O=ITi','2021-09-11','2021-10-11','43','-9.0','-16.43',-65,'42','-0.15','-1.9','-3.98','3','4',323,-382,'18','25','-8.0'
'LRC-USDT','5m','@VW*F','2021-09-11','2021-10-11','31','-9.02','-16.85',-68,'35','-0.15','-2.12','-4.03','2','6',507,-298,'11','20','-8.0'
'LRC-USDT','5m','HPqWv','2021-09-11','2021-10-11','17','-21.41','-23.38',-95,'35','-0.22','-5.11','-4.04','2','5',360,-569,'6','11','-8.0'
'LRC-USDT','5m','ePjWv','2021-09-11','2021-10-11','15','-20.71','-22.62',-93,'33','-0.26','-5.59','-4.12','1','6',361,-665,'5','10','-8.0'
'LRC-USDT','5m','eVkWv','2021-09-11','2021-10-11','19','-23.63','-23.04',-96,'37','-0.24','-6.02','-4.16','2','3',352,-604,'7','12','-8.0'
'LRC-USDT','5m','eVswv','2021-09-11','2021-10-11','13','-18.04','-20.79',-87,'46','-0.19','-4.54','-4.17','4','5',242,-692,'6','7','-8.0'
'LRC-USDT','5m','eRNWk','2021-09-11','2021-10-11','43','-4.82','-8.58',-36,'42','-0.24','-0.61','-4.19','3','4',364,-549,'18','25','-8.0'
'LRC-USDT','5m','MVsWv','2021-09-11','2021-10-11','16','-21.78','-21.15',-94,'38','-0.33','-4.76','-4.46','2','5',351,-501,'6','10','-8.0'
'LRC-USDT','5m','VsWv','2021-09-11','2021-10-11','14','-12.89','-18.11',-81,'43','-0.27','-3.29','-4.46','3','5',372,-511,'6','8','-8.0'
'LRC-USDT','5m','WVsWv','2021-09-11','2021-10-11','14','-12.89','-18.11',-81,'43','-0.27','-3.29','-4.46','3','5',372,-511,'6','8','-8.0'
'LRC-USDT','5m','tbik','2021-09-11','2021-10-11','23','-9.38','-14.44',-66,'48','-0.32','-2.12','-4.55','2','3',322,-492,'11','12','-8.0'
'LRC-USDT','5m','vNqn','2021-09-11','2021-10-11','9','-10.83','-15.12',-71,'33','-0.23','-3.23','-4.67','2','5',382,-460,'3','6','-8.0'
'LRC-USDT','5m','LewDb','2021-09-11','2021-10-11','15','-12.79','-16.67',-81,'47','-0.37','-2.87','-4.86','5','5',326,-510,'7','8','-8.0'
'LRC-USDT','5m','eRQWv','2021-09-11','2021-10-11','40','-7.13','-10.82',-53,'40','-0.27','-1.29','-4.88','3','7',364,-549,'16','24','-8.0'
