'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'LTC-USDT','5m','WrVZ;','2021-09-11','2021-10-11','28','1.85','-9.79',88,'46','0.49','1.95','9.02','5','6',358,-312,'13','15','0.34'
'LTC-USDT','5m','ePPHa','2021-09-11','2021-10-11','33','-4.86','-15.17',3,'48','0.01','0.28','0.2','6','6',337,-410,'16','17','0.34'
'LTC-USDT','5m','ePPH','2021-09-11','2021-10-11','33','-4.86','-15.17',3,'48','0.01','0.28','0.2','6','6',337,-410,'16','17','0.34'
'LTC-USDT','5m','hPPHs','2021-09-11','2021-10-11','33','-4.96','-15.1',2,'48','0.01','0.27','0.16','7','6',345,-410,'16','17','0.34'
'LTC-USDT','5m','ePPHt','2021-09-11','2021-10-11','33','-4.96','-15.1',2,'48','0.01','0.27','0.16','7','6',345,-410,'16','17','0.34'
'LTC-USDT','5m','ePPWb','2021-09-11','2021-10-11','33','-4.46','-14.22',-17,'39','-0.08','-0.2','-1.22','4','6',388,-358,'13','20','0.34'
'LTC-USDT','5m','ePPW\\','2021-09-11','2021-10-11','33','-4.46','-14.22',-17,'39','-0.08','-0.2','-1.22','4','6',388,-358,'13','20','0.34'
'LTC-USDT','5m','g^VGt','2021-09-11','2021-10-11','34','-6.53','-17.63',-23,'50','-0.09','-0.33','-1.3','5','6',392,-540,'17','17','0.34'
'LTC-USDT','5m','ePjWv','2021-09-11','2021-10-11','12','-1.54','-7.87',-17,'42','-0.14','-0.44','-2.18','2','3',373,-476,'5','7','0.34'
'LTC-USDT','5m','eRQWv','2021-09-11','2021-10-11','35','-5.75','-14.78',-33,'43','-0.16','-0.64','-2.22','3','6',384,-467,'15','20','0.34'
'LTC-USDT','5m','eRNDv','2021-09-11','2021-10-11','37','-7.9','-17.88',-44,'41','-0.18','-0.93','-2.44','3','7',362,-401,'15','22','0.34'
'LTC-USDT','5m','hPmHf','2021-09-11','2021-10-11','11','-1.65','-7.5',-18,'64','-0.14','-0.63','-2.45','4','2',311,-475,'7','4','0.34'
'LTC-USDT','5m','ftUQf','2021-09-11','2021-10-11','35','-11.89','-18.94',-70,'34','-0.29','-2.18','-3.68','4','6',434,-452,'12','23','0.34'
'LTC-USDT','5m','-VW*9','2021-09-11','2021-10-11','28','-26.57','-25.99',-97,'18','-0.18','-7.41','-3.75','2','9',420,-254,'5','23','0.34'
'LTC-USDT','5m','eRNWZ','2021-09-11','2021-10-11','37','-11.46','-16.99',-66,'38','-0.37','-2.14','-3.91','3','7',372,-341,'14','23','0.34'
'LTC-USDT','5m','3OW5n','2021-09-11','2021-10-11','37','-25.01','-24.18',-97,'38','-0.24','-5.96','-3.99','4','6',450,-437,'14','23','0.34'
'LTC-USDT','5m','@TW*?','2021-09-11','2021-10-11','31','-24.44','-24.03',-96,'23','-0.25','-6.39','-4.01','2','10',441,-294,'7','24','0.34'
'LTC-USDT','5m','QYRcn','2021-09-11','2021-10-11','39','-10.34','-14.7',-60,'38','-0.24','-1.59','-4.05','4','8',387,-288,'15','24','0.34'
'LTC-USDT','5m','3OW?n','2021-09-11','2021-10-11','37','-24.72','-23.7',-96,'38','-0.25','-6.06','-4.06','4','6',404,-441,'14','23','0.34'
'LTC-USDT','5m','3fWHn','2021-09-11','2021-10-11','38','-14.26','-16.88',-69,'45','-0.35','-2.07','-4.1','4','7',320,-487,'17','21','0.34'
'LTC-USDT','5m','?VW.v','2021-09-11','2021-10-11','38','-23.33','-22.99',-96,'34','-0.28','-4.94','-4.17','4','7',384,-448,'13','25','0.34'
'LTC-USDT','5m','?VW2v','2021-09-11','2021-10-11','38','-23.01','-22.68',-96,'34','-0.27','-5.13','-4.22','4','7',352,-446,'13','25','0.34'
'LTC-USDT','5m','XRV.a','2021-09-11','2021-10-11','33','-22.88','-22.57',-96,'30','-0.33','-5.44','-4.23','4','6',391,-357,'10','23','0.34'
'LTC-USDT','5m','eSNWd','2021-09-11','2021-10-11','37','-13.02','-16.93',-72,'38','-0.36','-2.48','-4.28','3','7',366,-417,'14','23','0.34'
'LTC-USDT','5m','@VW*A','2021-09-11','2021-10-11','29','-21.23','-21.85',-94,'24','-0.32','-5.54','-4.32','2','10',470,-297,'7','22','0.34'
'LTC-USDT','5m','@VW.?','2021-09-11','2021-10-11','29','-21.73','-21.96',-95,'24','-0.32','-5.85','-4.32','2','10',422,-296,'7','22','0.34'
'LTC-USDT','5m','YOR9c','2021-09-11','2021-10-11','33','-13.31','-17.11',-75,'33','-0.33','-2.76','-4.4','4','6',440,-326,'11','22','0.34'
'LTC-USDT','5m','wVW*?','2021-09-11','2021-10-11','20','-11.99','-17.81',-78,'30','-0.33','-3.42','-4.41','3','9',483,-316,'6','14','0.34'
'LTC-USDT','5m','tbik','2021-09-11','2021-10-11','22','-15.78','-19.76',-88,'45','-0.3','-3.86','-4.44','5','3',319,-515,'10','12','0.34'
'LTC-USDT','5m','E^cA','2021-09-11','2021-10-11','19','-17.04','-20.18',-90,'26','-0.44','-5.08','-4.44','2','9',391,-308,'5','14','0.34'
'LTC-USDT','5m','3OWXE','2021-09-11','2021-10-11','33','-22.35','-21.05',-94,'33','-0.24','-6.84','-4.46','3','9',342,-301,'11','22','0.34'
'LTC-USDT','5m','fVPWv','2021-09-11','2021-10-11','38','-11.85','-15.55',-70,'39','-0.42','-2.26','-4.51','3','6',362,-462,'15','23','0.34'
'LTC-USDT','5m','gVPWv','2021-09-11','2021-10-11','38','-11.85','-15.55',-70,'39','-0.42','-2.26','-4.51','3','6',362,-462,'15','23','0.34'
'LTC-USDT','5m','?^WWv','2021-09-11','2021-10-11','38','-13.03','-15.57',-70,'39','-0.28','-2.26','-4.53','5','7',362,-428,'15','23','0.34'
'LTC-USDT','5m','eVPWc','2021-09-11','2021-10-11','37','-12.56','-15.55',-71,'38','-0.44','-2.5','-4.59','3','6',361,-328,'14','23','0.34'
'LTC-USDT','5m','`RNWv','2021-09-11','2021-10-11','41','-13.86','-17.01',-78,'39','-0.32','-2.59','-4.6','4','8',372,-439,'16','25','0.34'
