'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'MANA-USDT','5m','ePRWv','2021-09-11','2021-10-11','39','19.23','-5.8',1026,'54','6.12','5.09','176.83','3','3',425,-434,'21','18','-6.16'
'MANA-USDT','5m','WrVZ;','2021-09-11','2021-10-11','30','15.28','-7.58',547,'53','2.23','4.29','72.21','4','3',376,-297,'16','14','-6.16'
'MANA-USDT','5m','eRQWv','2021-09-11','2021-10-11','42','11.85','-6.21',428,'50','2.23','3.7','69.03','3','3',412,-418,'21','21','-6.16'
'MANA-USDT','5m','g^VGt','2021-09-11','2021-10-11','38','10.7','-6.38',397,'53','1.95','3.26','62.18','5','3',404,-470,'20','18','-6.16'
'MANA-USDT','5m','`RNWv','2021-09-11','2021-10-11','47','10.41','-7.47',381,'45','1.41','3.09','51.02','3','4',406,-327,'21','26','-6.16'
'MANA-USDT','5m','cRNWv','2021-09-11','2021-10-11','47','10.41','-7.47',381,'45','1.41','3.09','51.02','3','4',406,-327,'21','26','-6.16'
'MANA-USDT','5m','\\RNWv','2021-09-11','2021-10-11','47','10.41','-7.47',381,'45','1.41','3.09','51.02','3','4',406,-327,'21','26','-6.16'
'MANA-USDT','5m','RNWv','2021-09-11','2021-10-11','47','10.41','-7.47',381,'45','1.41','3.09','51.02','3','4',406,-327,'21','26','-6.16'
'MANA-USDT','5m','aRNWv','2021-09-11','2021-10-11','47','10.41','-7.47',381,'45','1.41','3.09','51.02','3','4',406,-327,'21','26','-6.16'
'MANA-USDT','5m','^RNWv','2021-09-11','2021-10-11','47','10.41','-7.47',381,'45','1.41','3.09','51.02','3','4',406,-327,'21','26','-6.16'
'MANA-USDT','5m','_RNWv','2021-09-11','2021-10-11','47','10.41','-7.47',381,'45','1.41','3.09','51.02','3','4',406,-327,'21','26','-6.16'
'MANA-USDT','5m','QYRcn','2021-09-11','2021-10-11','42','9.85','-7.88',355,'48','1.94','2.67','45.05','3','3',439,-382,'20','22','-6.16'
'MANA-USDT','5m','eRNWk','2021-09-11','2021-10-11','45','9.83','-7.57',334,'47','1.09','2.82','44.16','3','4',414,-405,'21','24','-6.16'
'MANA-USDT','5m','ePjWv','2021-09-11','2021-10-11','17','7.95','-6.48',278,'47','1.11','2.93','42.87','3','3',407,-584,'8','9','-6.16'
'MANA-USDT','5m','fVPWv','2021-09-11','2021-10-11','45','9.8','-8.28',339,'44','1.08','2.82','40.87','3','4',412,-416,'20','25','-6.16'
'MANA-USDT','5m','gVPWv','2021-09-11','2021-10-11','45','9.8','-8.28',339,'44','1.08','2.82','40.87','3','4',412,-416,'20','25','-6.16'
'MANA-USDT','5m','hPPHs','2021-09-11','2021-10-11','40','7.24','-6.21',235,'52','1.48','3.14','37.75','3','3',314,-437,'21','19','-6.16'
