'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'MKR-USDT','5m','vNqn','2021-09-11','2021-10-11','8','5.33','-1.38',88,'62','4.91','4.21','63.75','3','2',371,-49,'5','3','-11.89'
'MKR-USDT','5m','hPmHf','2021-09-11','2021-10-11','13','8.27','-4.46',189,'77','1.05','4.74','42.28','4','2',312,-475,'10','3','-11.89'
'MKR-USDT','5m','\\sta','2021-09-11','2021-10-11','13','3.11','-4.16',83,'77','0.79','3.13','19.83','3','1',258,-392,'10','3','-11.89'
'MKR-USDT','5m','q9da','2021-09-11','2021-10-11','11','4.19','-4.6',69,'82','0.45','3.14','14.91','4','1',272,-408,'9','2','-11.89'
'MKR-USDT','5m','WrVZ;','2021-09-11','2021-10-11','33','0.21','-7.71',49,'39','0.37','1.07','6.3','2','5',317,-236,'13','20','-11.89'
'MKR-USDT','5m','ftUQf','2021-09-11','2021-10-11','40','0.6','-11.38',56,'42','0.25','1.08','4.96','2','6',437,-318,'17','23','-11.89'
'MKR-USDT','5m','ePjWv','2021-09-11','2021-10-11','17','0.37','-7.99',23,'59','0.06','0.76','2.92','4','3',382,-455,'10','7','-11.89'
'MKR-USDT','5m','LewDb','2021-09-11','2021-10-11','12','0.41','-7.0',13,'50','0.06','0.59','1.84','2','3',336,-446,'6','6','-11.89'
'MKR-USDT','5m','?dpMr','2021-09-11','2021-10-11','23','-0.03','-14.52',13,'48','0.02','0.48','0.91','5','6',449,-338,'11','12','-11.89'
'MKR-USDT','5m','`RNWv','2021-09-11','2021-10-11','45','-2.68','-12.44',2,'40','0.0','0.29','0.16','2','8',355,-312,'18','27','-11.89'
'MKR-USDT','5m','cRNWv','2021-09-11','2021-10-11','45','-2.68','-12.44',2,'40','0.0','0.29','0.16','2','8',355,-312,'18','27','-11.89'
'MKR-USDT','5m','\\RNWv','2021-09-11','2021-10-11','45','-2.68','-12.44',2,'40','0.0','0.29','0.16','2','8',355,-312,'18','27','-11.89'
