'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'MTL-USDT','5m','-VW*9','2021-09-11','2021-10-11','28','14.78','-11.14',505,'39','0.7','3.36','45.29','2','6',599,-319,'11','17','12.19'
'MTL-USDT','5m','wVW*?','2021-09-11','2021-10-11','25','15.2','-13.67',490,'44','0.88','3.1','35.84','3','5',558,-337,'11','14','12.19'
'MTL-USDT','5m','@TW*?','2021-09-11','2021-10-11','32','13.97','-15.67',472,'44','0.55','2.78','30.14','3','8',592,-325,'14','18','12.19'
'MTL-USDT','5m','q9da','2021-09-11','2021-10-11','15','-3.01','-6.4',93,'53','0.99','2.15','14.57','3','3',270,-408,'8','7','12.19'
'MTL-USDT','5m','@VX*?','2021-09-11','2021-10-11','32','8.43','-15.66',210,'41','0.35','1.85','13.42','3','8',574,-329,'13','19','12.19'
'MTL-USDT','5m','@VW4?','2021-09-11','2021-10-11','34','1.99','-11.36',143,'44','0.48','1.85','12.61','3','5',397,-341,'15','19','12.19'
'MTL-USDT','5m','WrVZ;','2021-09-11','2021-10-11','39','-3.01','-9.08',106,'36','0.45','1.63','11.62','3','6',358,-270,'14','25','12.19'
'MTL-USDT','5m','@VWF?','2021-09-11','2021-10-11','34','0.72','-11.28',102,'44','0.32','1.54','9.0','3','5',410,-330,'15','19','12.19'
'MTL-USDT','5m','@VW)?','2021-09-11','2021-10-11','34','5.23','-13.89',121,'41','0.28','1.47','8.7','3','7',588,-336,'14','20','12.19'
'MTL-USDT','5m','\\sta','2021-09-11','2021-10-11','21','-2.88','-8.94',72,'57','0.37','1.53','8.1','7','4',277,-465,'12','9','12.19'
'MTL-USDT','5m','@VW.?','2021-09-11','2021-10-11','33','4.33','-13.87',104,'42','0.23','1.44','7.49','3','7',498,-334,'14','19','12.19'
'MTL-USDT','5m','@VW*A','2021-09-11','2021-10-11','35','3.62','-13.16',83,'40','0.2','1.23','6.3','3','7',542,-310,'14','21','12.19'
'MTL-USDT','5m','@VW*F','2021-09-11','2021-10-11','42','2.93','-13.94',77,'40','0.18','1.1','5.51','3','7',562,-365,'17','25','12.19'
'MTL-USDT','5m','-VW*=','2021-09-11','2021-10-11','29','3.22','-13.66',56,'38','0.09','1.06','4.08','3','7',552,-327,'11','18','12.19'
'MTL-USDT','5m','E^cA','2021-09-11','2021-10-11','16','2.21','-8.59',33,'50','0.15','0.88','3.8','3','3',422,-354,'8','8','12.19'
'MTL-USDT','5m','FVW*?','2021-09-11','2021-10-11','35','2.68','-14.64',54,'40','0.16','0.97','3.68','3','6',532,-321,'14','21','12.19'
'MTL-USDT','5m','@XW*?','2021-09-11','2021-10-11','32','-0.18','-14.27',34,'38','0.09','0.75','2.36','3','7',517,-318,'12','20','12.19'
'MTL-USDT','5m','3OWXC','2021-09-11','2021-10-11','35','-8.82','-23.4',-38,'40','-0.04','-0.42','-1.6','3','11',433,-380,'14','21','12.19'
'MTL-USDT','5m','ui*5<','2021-09-11','2021-10-11','41','-4.96','-20.9',-38,'29','-0.06','-0.4','-1.8','2','8',548,-285,'12','29','12.19'
'MTL-USDT','5m','@_W*?','2021-09-11','2021-10-11','40','-11.07','-22.96',-63,'32','-0.09','-1.21','-2.76','3','9',524,-294,'13','27','12.19'
'MTL-USDT','5m','eEsWv','2021-09-11','2021-10-11','17','-37.22','-35.19',-99,'24','-0.17','-9.02','-2.83','1','4',322,-577,'4','13','12.19'
'MTL-USDT','5m','?dpMr','2021-09-11','2021-10-11','35','-37.05','-33.5',-99,'31','-0.15','-6.54','-2.96','3','5',335,-501,'11','24','12.19'
'MTL-USDT','5m','BVV.a','2021-09-11','2021-10-11','50','-10.48','-18.39',-55,'42','-0.17','-0.65','-2.97','4','7',447,-395,'21','29','12.19'
'MTL-USDT','5m','<VV.a','2021-09-11','2021-10-11','50','-10.48','-18.39',-55,'42','-0.17','-0.65','-2.97','4','7',447,-395,'21','29','12.19'
'MTL-USDT','5m','3OWXE','2021-09-11','2021-10-11','39','-14.8','-24.01',-73,'38','-0.1','-1.66','-3.02','3','11',407,-357,'15','24','12.19'
'MTL-USDT','5m','eRNDv','2021-09-11','2021-10-11','51','-12.04','-14.26',-43,'45','-0.15','-0.54','-3.03','5','7',345,-542,'23','28','12.19'
