'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'NEAR-USDT','5m','@TW*?','2021-09-11','2021-10-11','33','15.4','-6.74',714,'48','2.95','4.65','105.86','3','4',584,-352,'16','17','-25.29'
'NEAR-USDT','5m','o4,@X','2021-09-11','2021-10-11','61','6.92','-13.51',608,'46','0.79','3.39','45.01','4','8',453,-436,'28','33','-25.29'
'NEAR-USDT','5m','WrVZ;','2021-09-11','2021-10-11','41','-3.04','-5.31',215,'41','1.87','2.87','40.45','2','4',350,-274,'17','24','-25.29'
'NEAR-USDT','5m','eVswv','2021-09-11','2021-10-11','27','7.03','-10.56',265,'63','0.41','3.69','25.05','5','5',278,-544,'17','10','-25.29'
'NEAR-USDT','5m','@VX*?','2021-09-11','2021-10-11','32','7.95','-12.0',218,'41','0.54','2.3','18.15','2','7',571,-348,'13','19','-25.29'
'NEAR-USDT','5m','ui*5<','2021-09-11','2021-10-11','28','4.34','-10.53',185,'29','0.51','2.39','17.52','3','11',569,-295,'8','20','-25.29'
'NEAR-USDT','5m','vNqn','2021-09-11','2021-10-11','20','0.07','-6.73',93,'50','0.7','1.88','13.78','4','4',393,-318,'10','10','-25.29'
'NEAR-USDT','5m','E^cA','2021-09-11','2021-10-11','17','3.05','-11.73',79,'53','0.29','1.71','6.77','3','3',418,-341,'9','8','-25.29'
'NEAR-USDT','5m','@XW*?','2021-09-11','2021-10-11','37','0.8','-15.35',75,'38','0.13','1.24','4.87','3','7',554,-344,'14','23','-25.29'
'NEAR-USDT','5m','@VW4?','2021-09-11','2021-10-11','33','-4.79','-10.32',49,'36','0.16','1.12','4.79','2','8',384,-321,'12','21','-25.29'
'NEAR-USDT','5m','-VW*9','2021-09-11','2021-10-11','28','0.94','-8.84',27,'43','0.17','0.74','3.06','3','5',516,-273,'12','16','-25.29'
'NEAR-USDT','5m','@VW*A','2021-09-11','2021-10-11','39','-0.86','-17.39',15,'38','0.04','0.51','0.84','3','9',565,-358,'15','24','-25.29'
'NEAR-USDT','5m','YOR9c','2021-09-11','2021-10-11','58','-7.0','-13.29',8,'43','0.03','0.41','0.61','3','5',485,-550,'25','33','-25.29'
'NEAR-USDT','5m','eVkWv','2021-09-11','2021-10-11','42','-5.71','-15.16',-15,'45','-0.04','0.03','-0.96','4','7',410,-633,'19','23','-25.29'
'NEAR-USDT','5m','@VWF?','2021-09-11','2021-10-11','34','-8.85','-14.99',-20,'35','-0.04','-0.32','-1.33','2','8',407,-325,'12','22','-25.29'
'NEAR-USDT','5m','@VW)?','2021-09-11','2021-10-11','34','-4.71','-19.44',-28,'35','-0.05','-0.31','-1.42','2','8',584,-328,'12','22','-25.29'
'NEAR-USDT','5m','@VW.?','2021-09-11','2021-10-11','34','-5.56','-17.36',-25,'35','-0.05','-0.32','-1.42','2','8',488,-323,'12','22','-25.29'
'NEAR-USDT','5m','eEsWv','2021-09-11','2021-10-11','20','-2.59','-16.57',-27,'60','-0.1','-0.15','-1.65','6','3',344,-614,'12','8','-25.29'
'NEAR-USDT','5m','FVW*?','2021-09-11','2021-10-11','33','-5.59','-13.69',-23,'39','-0.07','-0.34','-1.65','3','7',511,-303,'13','20','-25.29'
'NEAR-USDT','5m','ePjWv','2021-09-11','2021-10-11','38','-8.5','-21.65',-42,'45','-0.06','-0.49','-1.92','6','6',439,-630,'17','21','-25.29'
'NEAR-USDT','5m','O=ITi','2021-09-11','2021-10-11','64','-14.38','-17.97',-37,'47','-0.06','-0.31','-2.05','4','4',348,-467,'30','34','-25.29'
'NEAR-USDT','5m','-dW6n','2021-09-11','2021-10-11','70','-35.67','-37.78',-99,'37','-0.17','-4.64','-2.62','3','7',485,-554,'26','44','-25.29'
'NEAR-USDT','5m','CMNWv','2021-09-11','2021-10-11','71','-18.35','-20.46',-56,'45','-0.11','-0.85','-2.76','3','5',399,-639,'32','39','-25.29'
'NEAR-USDT','5m','3fWHn','2021-09-11','2021-10-11','72','-42.47','-35.52',-99,'40','-0.14','-5.06','-2.78','3','8',313,-560,'29','43','-25.29'
'NEAR-USDT','5m','q9da','2021-09-11','2021-10-11','23','-6.95','-13.53',-38,'57','-0.13','-0.76','-2.79','4','5',281,-438,'13','10','-25.29'
'NEAR-USDT','5m','3eWXn','2021-09-11','2021-10-11','73','-37.16','-35.12',-98,'41','-0.15','-4.73','-2.8','3','6',380,-559,'30','43','-25.29'
'NEAR-USDT','5m','?dpMr','2021-09-11','2021-10-11','48','-37.02','-34.94',-99,'38','-0.16','-6.16','-2.85','3','7',339,-571,'18','30','-25.29'
'NEAR-USDT','5m','-VUWv','2021-09-11','2021-10-11','74','-39.24','-34.38',-99,'36','-0.15','-6.01','-2.88','4','5',346,-615,'27','47','-25.29'
'NEAR-USDT','5m','-SUNv','2021-09-11','2021-10-11','71','-36.11','-34.39',-99,'35','-0.17','-5.74','-2.88','4','5',384,-632,'25','46','-25.29'
'NEAR-USDT','5m',':VWWv','2021-09-11','2021-10-11','69','-31.9','-33.69',-98,'39','-0.13','-4.19','-2.9','4','5',377,-614,'27','42','-25.29'
'NEAR-USDT','5m','7VWWv','2021-09-11','2021-10-11','69','-31.9','-33.69',-98,'39','-0.13','-4.19','-2.9','4','5',377,-614,'27','42','-25.29'
'NEAR-USDT','5m','-VW.v','2021-09-11','2021-10-11','71','-33.0','-32.67',-99,'35','-0.18','-5.06','-3.03','4','5',431,-627,'25','46','-25.29'
'NEAR-USDT','5m','-VWMv','2021-09-11','2021-10-11','71','-32.75','-32.01',-99,'35','-0.17','-5.14','-3.08','4','5',409,-625,'25','46','-25.29'
'NEAR-USDT','5m','-VWWl','2021-09-11','2021-10-11','71','-30.8','-31.5',-97,'35','-0.15','-4.45','-3.09','3','5',381,-497,'25','46','-25.29'
'NEAR-USDT','5m','LewDb','2021-09-11','2021-10-11','27','-13.49','-24.26',-75,'44','-0.11','-2.01','-3.1','4','3',378,-507,'12','15','-25.29'
