'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'NEO-USDT','5m','`RNWv','2021-09-11','2021-10-11','39','25.29','-7.81',1675,'56','4.84','5.42','214.38','4','4',425,-400,'22','17','-6.14'
'NEO-USDT','5m','cRNWv','2021-09-11','2021-10-11','39','25.29','-7.81',1675,'56','4.84','5.42','214.38','4','4',425,-400,'22','17','-6.14'
'NEO-USDT','5m','\\RNWv','2021-09-11','2021-10-11','39','25.29','-7.81',1675,'56','4.84','5.42','214.38','4','4',425,-400,'22','17','-6.14'
'NEO-USDT','5m','RNWv','2021-09-11','2021-10-11','39','25.29','-7.81',1675,'56','4.84','5.42','214.38','4','4',425,-400,'22','17','-6.14'
'NEO-USDT','5m','aRNWv','2021-09-11','2021-10-11','39','25.29','-7.81',1675,'56','4.84','5.42','214.38','4','4',425,-400,'22','17','-6.14'
'NEO-USDT','5m','^RNWv','2021-09-11','2021-10-11','39','25.29','-7.81',1675,'56','4.84','5.42','214.38','4','4',425,-400,'22','17','-6.14'
'NEO-USDT','5m','_RNWv','2021-09-11','2021-10-11','39','25.29','-7.81',1675,'56','4.84','5.42','214.38','4','4',425,-400,'22','17','-6.14'
'NEO-USDT','5m','\\sta','2021-09-11','2021-10-11','16','12.28','-1.79',342,'75','13.87','7.29','190.92','5','1',267,-356,'12','4','-6.14'
'NEO-USDT','5m','eRNWk','2021-09-11','2021-10-11','38','24.1','-8.33',1485,'55','4.71','5.16','178.25','4','3',433,-490,'21','17','-6.14'
'NEO-USDT','5m','VsWv','2021-09-11','2021-10-11','16','15.86','-3.66',513,'69','7.9','6.05','140.11','7','1',396,-453,'11','5','-6.14'
'NEO-USDT','5m','WVsWv','2021-09-11','2021-10-11','16','15.86','-3.66',513,'69','7.9','6.05','140.11','7','1',396,-453,'11','5','-6.14'
'NEO-USDT','5m','eRNDv','2021-09-11','2021-10-11','37','21.54','-8.33',1091,'57','4.15','4.97','130.97','4','3',372,-475,'21','16','-6.14'
'NEO-USDT','5m','eSNWd','2021-09-11','2021-10-11','39','20.99','-8.55',1067,'54','4.01','4.54','124.8','4','3',424,-480,'21','18','-6.14'
'NEO-USDT','5m','eRNWZ','2021-09-11','2021-10-11','37','19.93','-8.33',948,'54','3.53','4.26','113.82','4','4',418,-474,'20','17','-6.14'
'NEO-USDT','5m','fVPWv','2021-09-11','2021-10-11','39','20.19','-8.55',952,'56','3.58','4.64','111.28','4','3',412,-478,'22','17','-6.14'
'NEO-USDT','5m','gVPWv','2021-09-11','2021-10-11','39','20.19','-8.55',952,'56','3.58','4.64','111.28','4','3',412,-478,'22','17','-6.14'
'NEO-USDT','5m','ePRWv','2021-09-11','2021-10-11','35','16.22','-6.61',704,'57','3.97','4.42','106.52','4','3',424,-455,'20','15','-6.14'
'NEO-USDT','5m','@VW4?','2021-09-11','2021-10-11','31','13.27','-4.43',449,'55','5.9','3.47','101.44','3','3',381,-323,'17','14','-6.14'
'NEO-USDT','5m','q9da','2021-09-11','2021-10-11','11','10.28','-2.29',229,'82','4.89','6.68','99.72','6','1',282,-308,'9','2','-6.14'
'NEO-USDT','5m','hPPHs','2021-09-11','2021-10-11','36','16.67','-8.29',664,'58','3.33','4.27','80.09','5','3',340,-455,'21','15','-6.14'
'NEO-USDT','5m','ePPHt','2021-09-11','2021-10-11','36','16.67','-8.29',664,'58','3.33','4.27','80.09','5','3',340,-455,'21','15','-6.14'
'NEO-USDT','5m','eRQWv','2021-09-11','2021-10-11','37','15.01','-8.33',532,'57','2.8','3.46','63.88','5','3',411,-454,'21','16','-6.14'
'NEO-USDT','5m','ePPHa','2021-09-11','2021-10-11','33','14.48','-8.29',505,'58','2.54','3.57','60.95','4','3',336,-447,'19','14','-6.14'
'NEO-USDT','5m','ePPH','2021-09-11','2021-10-11','33','14.48','-8.29',505,'58','2.54','3.57','60.95','4','3',336,-447,'19','14','-6.14'
'NEO-USDT','5m','@VW.?','2021-09-11','2021-10-11','31','11.33','-5.36',297,'55','3.33','2.61','55.46','3','3',475,-329,'17','14','-6.14'
'NEO-USDT','5m','ePjWv','2021-09-11','2021-10-11','17','11.55','-5.26',287,'59','1.5','4.43','54.54','6','2',397,-454,'10','7','-6.14'
'NEO-USDT','5m','WrVZ;','2021-09-11','2021-10-11','27','8.25','-5.76',289,'48','2.1','3.34','50.19','4','3',355,-277,'13','14','-6.14'
'NEO-USDT','5m','@VWF?','2021-09-11','2021-10-11','31','8.85','-4.78',221,'58','3.25','2.55','46.17','3','3',391,-321,'18','13','-6.14'
'NEO-USDT','5m','eVPWc','2021-09-11','2021-10-11','38','13.27','-8.96',414,'53','1.9','3.02','46.17','4','4',398,-450,'20','18','-6.14'
'NEO-USDT','5m','hPmHf','2021-09-11','2021-10-11','15','9.73','-4.91',209,'73','1.36','3.92','42.64','6','1',325,-627,'11','4','-6.14'
'NEO-USDT','5m','ePPWb','2021-09-11','2021-10-11','35','11.27','-8.29',330,'54','2.01','2.8','39.86','4','4',411,-438,'19','16','-6.14'
'NEO-USDT','5m','ePPW\\','2021-09-11','2021-10-11','35','11.27','-8.29',330,'54','2.01','2.8','39.86','4','4',411,-438,'19','16','-6.14'
'NEO-USDT','5m','@XW*?','2021-09-11','2021-10-11','28','9.93','-6.15',231,'54','2.52','2.25','37.5','3','2',529,-326,'15','13','-6.14'
'NEO-USDT','5m','g^VGt','2021-09-11','2021-10-11','37','10.66','-8.4',249,'57','1.78','2.49','29.61','5','3',380,-440,'21','16','-6.14'
'NEO-USDT','5m','@VX*?','2021-09-11','2021-10-11','30','8.48','-6.7',182,'53','1.63','1.96','27.13','3','3',518,-329,'16','14','-6.14'
'NEO-USDT','5m','@cW*?','2021-09-11','2021-10-11','35','11.39','-10.35',276,'46','1.04','2.36','26.63','3','4',540,-346,'16','19','-6.14'
'NEO-USDT','5m','@VW)?','2021-09-11','2021-10-11','31','8.58','-6.98',185,'55','1.45','1.93','26.49','3','3',555,-329,'17','14','-6.14'
'NEO-USDT','5m','?VW2v','2021-09-11','2021-10-11','37','6.5','-7.88',189,'54','0.94','2.04','23.94','3','3',421,-418,'20','17','-6.14'
'NEO-USDT','5m','@TW*?','2021-09-11','2021-10-11','28','7.37','-6.2',142,'50','1.63','1.76','22.96','2','3',508,-322,'14','14','-6.14'
'NEO-USDT','5m','eVkWv','2021-09-11','2021-10-11','19','6.37','-5.4',117,'58','0.77','2.48','21.63','4','2',397,-495,'11','8','-6.14'
'NEO-USDT','5m','=bVNC','2021-09-11','2021-10-11','36','9.78','-12.51',229,'47','0.81','2.2','18.33','4','5',432,-355,'17','19','-6.14'
'NEO-USDT','5m','eVswv','2021-09-11','2021-10-11','13','4.94','-4.43',80,'69','0.31','2.87','17.98','6','1',239,-601,'9','4','-6.14'
'NEO-USDT','5m','LewDb','2021-09-11','2021-10-11','16','7.0','-7.56',129,'50','0.5','2.72','17.11','5','4',361,-498,'8','8','-6.14'
'NEO-USDT','5m','tbik','2021-09-11','2021-10-11','22','3.88','-4.84',82,'59','0.97','1.94','16.95','4','3',332,-300,'13','9','-6.14'
'NEO-USDT','5m','?VW.v','2021-09-11','2021-10-11','37','5.39','-7.52',120,'54','0.68','1.58','15.91','3','3',464,-412,'20','17','-6.14'
'NEO-USDT','5m','@VW*F','2021-09-11','2021-10-11','34','4.34','-7.11',83,'50','0.57','1.27','11.74','3','3',517,-337,'17','17','-6.14'
'NEO-USDT','5m','YOR9c','2021-09-11','2021-10-11','39','4.32','-8.58',99,'51','0.65','1.41','11.51','3','3',482,-417,'20','19','-6.14'
'NEO-USDT','5m','MVsWv','2021-09-11','2021-10-11','18','4.06','-6.9',70,'56','0.35','1.69','10.11','5','2',372,-415,'10','8','-6.14'
'NEO-USDT','5m','ftUQf','2021-09-11','2021-10-11','33','4.26','-7.93',75,'55','0.55','1.43','9.43','6','4',409,-406,'18','15','-6.14'
'NEO-USDT','5m','=ptVt','2021-09-11','2021-10-11','25','4.69','-8.18',77,'48','0.4','1.49','9.42','7','4',413,-358,'12','13','-6.14'
'NEO-USDT','5m','IVWWv','2021-09-11','2021-10-11','37','2.01','-6.66',59,'51','0.45','1.09','8.81','3','3',378,-405,'19','18','-6.14'
'NEO-USDT','5m','QYRcn','2021-09-11','2021-10-11','37','3.66','-8.05',71,'51','0.52','1.36','8.76','3','3',387,-334,'19','18','-6.14'
'NEO-USDT','5m','BVV.a','2021-09-11','2021-10-11','37','2.91','-7.52',65,'51','0.43','1.08','8.59','3','3',466,-402,'19','18','-6.14'
'NEO-USDT','5m','<VV.a','2021-09-11','2021-10-11','37','2.91','-7.52',65,'51','0.43','1.08','8.59','3','3',466,-402,'19','18','-6.14'
'NEO-USDT','5m','FVW*?','2021-09-11','2021-10-11','30','2.67','-6.27',44,'43','0.53','0.88','7.07','2','3',498,-319,'13','17','-6.14'
'NEO-USDT','5m','@VW*A','2021-09-11','2021-10-11','33','3.57','-9.02',61,'52','0.29','1.03','6.73','3','3',526,-336,'17','16','-6.14'
'NEO-USDT','5m','O=ITi','2021-09-11','2021-10-11','42','2.73','-9.24',53,'50','0.29','1.07','5.69','3','4',314,-379,'21','21','-6.14'
'NEO-USDT','5m','@_W*?','2021-09-11','2021-10-11','34','3.2','-9.9',48,'44','0.32','0.9','4.82','3','4',520,-320,'15','19','-6.14'
'NEO-USDT','5m','3eWXn','2021-09-11','2021-10-11','41','2.26','-8.21',37,'51','0.24','0.82','4.54','4','4',364,-372,'21','20','-6.14'
'NEO-USDT','5m','CMNWv','2021-09-11','2021-10-11','44','0.7','-9.4',34,'48','0.18','0.81','3.67','3','5',370,-379,'21','23','-6.14'
'NEO-USDT','5m','-dW6n','2021-09-11','2021-10-11','41','2.4','-9.58',35,'51','0.21','0.76','3.65','4','4',486,-369,'21','20','-6.14'
'NEO-USDT','5m','XRV.a','2021-09-11','2021-10-11','37','1.49','-10.29',33,'51','0.15','0.74','3.24','3','3',470,-390,'19','18','-6.14'
'NEO-USDT','5m','@^W*?','2021-09-11','2021-10-11','33','1.73','-9.25',24,'42','0.2','0.63','2.59','3','4',495,-303,'14','19','-6.14'
'NEO-USDT','5m','3OWXE','2021-09-11','2021-10-11','36','1.07','-5.45',14,'50','0.18','0.49','2.54','3','4',365,-314,'18','18','-6.14'
'NEO-USDT','5m','?^WWv','2021-09-11','2021-10-11','36','0.8','-8.77',13,'53','0.1','0.48','1.49','3','3',366,-394,'19','17','-6.14'
