'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'NKN-USDT','5m','YOR9c','2021-09-11','2021-10-11','48','29.57','-7.56',2312,'54','5.3','5.29','305.87','6','4',540,-367,'26','22','-7.06'
'NKN-USDT','5m','ePRWv','2021-09-11','2021-10-11','51','26.83','-10.6',2093,'55','2.81','4.98','197.34','6','3',447,-368,'28','23','-7.06'
'NKN-USDT','5m','XRV.a','2021-09-11','2021-10-11','49','28.71','-12.08',2089,'53','2.14','4.5','172.87','7','5',538,-366,'26','23','-7.06'
'NKN-USDT','5m','wVW*?','2021-09-11','2021-10-11','28','19.94','-6.54',1101,'39','5.76','4.93','168.32','3','5',572,-304,'11','17','-7.06'
'NKN-USDT','5m','ftUQf','2021-09-11','2021-10-11','48','19.86','-6.91',1055,'52','3.94','4.36','152.67','4','5',478,-419,'25','23','-7.06'
'NKN-USDT','5m','eRNDv','2021-09-11','2021-10-11','56','21.01','-11.05',1403,'54','2.42','4.37','127.03','4','3',380,-374,'30','26','-7.06'
'NKN-USDT','5m','E^cA','2021-09-11','2021-10-11','20','12.7','-3.43',413,'50','8.85','4.71','120.6','3','3',431,-313,'10','10','-7.06'
'NKN-USDT','5m','eVkWv','2021-09-11','2021-10-11','32','14.7','-5.32',621,'50','4.16','4.34','116.74','3','3',412,-441,'16','16','-7.06'
'NKN-USDT','5m','@XW*?','2021-09-11','2021-10-11','40','18.96','-8.87',1009,'45','3.8','3.48','113.67','3','4',586,-373,'18','22','-7.06'
'NKN-USDT','5m','hPPHs','2021-09-11','2021-10-11','53','18.27','-10.14',1098,'60','2.19','4.75','108.25','6','3',346,-379,'32','21','-7.06'
'NKN-USDT','5m','ePPHt','2021-09-11','2021-10-11','53','18.27','-10.14',1098,'60','2.19','4.75','108.25','6','3',346,-379,'32','21','-7.06'
'NKN-USDT','5m','ePPH','2021-09-11','2021-10-11','50','18.79','-10.14',861,'60','1.97','4.45','84.97','5','3',343,-379,'30','20','-7.06'
'NKN-USDT','5m','ePPHa','2021-09-11','2021-10-11','50','18.72','-10.14',855,'60','1.96','4.44','84.3','5','3',343,-379,'30','20','-7.06'
'NKN-USDT','5m','3fWHn','2021-09-11','2021-10-11','52','18.34','-10.76',866,'60','1.76','4.08','80.44','4','3',337,-333,'31','21','-7.06'
'NKN-USDT','5m','?VW2v','2021-09-11','2021-10-11','56','19.52','-10.04',801,'54','1.86','3.35','79.78','4','2',457,-434,'30','26','-7.06'
'NKN-USDT','5m','ePPW\\','2021-09-11','2021-10-11','53','16.26','-10.61',771,'51','1.73','3.83','72.66','6','4',406,-369,'27','26','-7.06'
'NKN-USDT','5m','ePPWb','2021-09-11','2021-10-11','53','16.66','-10.7',754,'51','1.69','3.79','70.52','6','4',405,-369,'27','26','-7.06'
'NKN-USDT','5m','HPqWv','2021-09-11','2021-10-11','27','12.94','-6.05',406,'52','3.03','3.79','67.21','3','3',398,-375,'14','13','-7.06'
'NKN-USDT','5m','?VW.v','2021-09-11','2021-10-11','56','18.43','-11.2',706,'45','1.58','3.06','63.06','4','3',494,-428,'25','31','-7.06'
'NKN-USDT','5m','@VW*F','2021-09-11','2021-10-11','48','14.44','-7.34',461,'42','2.99','2.66','62.78','2','4',547,-365,'20','28','-7.06'
'NKN-USDT','5m','=ptVt','2021-09-11','2021-10-11','37','10.58','-6.8',381,'46','2.54','3.11','55.99','4','3',456,-707,'17','20','-7.06'
'NKN-USDT','5m','@^W*?','2021-09-11','2021-10-11','44','17.41','-11.81',639,'43','1.57','2.84','54.11','5','4',552,-309,'19','25','-7.06'
'NKN-USDT','5m','?dpMr','2021-09-11','2021-10-11','39','9.02','-6.2',304,'41','3.08','2.63','48.92','3','6',476,-532,'16','23','-7.06'
'NKN-USDT','5m','?^WWv','2021-09-11','2021-10-11','59','17.31','-15.67',728,'51','0.86','3.21','46.49','4','5',399,-366,'30','29','-7.06'
'NKN-USDT','5m','\\sta','2021-09-11','2021-10-11','27','6.98','-5.4',238,'63','4.0','4.39','44.09','5','3',281,-374,'17','10','-7.06'
'NKN-USDT','5m','eRQWv','2021-09-11','2021-10-11','56','15.03','-13.66',602,'52','1.02','3.2','44.06','6','5',396,-370,'29','27','-7.06'
'NKN-USDT','5m','BVV.a','2021-09-11','2021-10-11','55','15.26','-11.56',490,'45','1.19','2.74','42.36','4','3',481,-367,'25','30','-7.06'
'NKN-USDT','5m','<VV.a','2021-09-11','2021-10-11','55','15.26','-11.56',490,'45','1.19','2.74','42.36','4','3',481,-367,'25','30','-7.06'
'NKN-USDT','5m','eVswv','2021-09-11','2021-10-11','25','5.43','-4.06',158,'68','1.98','3.5','38.91','4','2',252,-404,'17','8','-7.06'
'NKN-USDT','5m','`RNWv','2021-09-11','2021-10-11','59','12.39','-11.73',453,'47','0.93','2.86','38.64','4','5',383,-371,'28','31','-7.06'
'NKN-USDT','5m','cRNWv','2021-09-11','2021-10-11','59','12.39','-11.73',453,'47','0.93','2.86','38.64','4','5',383,-371,'28','31','-7.06'
'NKN-USDT','5m','\\RNWv','2021-09-11','2021-10-11','59','12.39','-11.73',453,'47','0.93','2.86','38.64','4','5',383,-371,'28','31','-7.06'
'NKN-USDT','5m','RNWv','2021-09-11','2021-10-11','59','12.39','-11.73',453,'47','0.93','2.86','38.64','4','5',383,-371,'28','31','-7.06'
'NKN-USDT','5m','aRNWv','2021-09-11','2021-10-11','59','12.39','-11.73',453,'47','0.93','2.86','38.64','4','5',383,-371,'28','31','-7.06'
'NKN-USDT','5m','^RNWv','2021-09-11','2021-10-11','59','12.39','-11.73',453,'47','0.93','2.86','38.64','4','5',383,-371,'28','31','-7.06'
'NKN-USDT','5m','_RNWv','2021-09-11','2021-10-11','59','12.39','-11.73',453,'47','0.93','2.86','38.64','4','5',383,-371,'28','31','-7.06'
'NKN-USDT','5m','@_W*?','2021-09-11','2021-10-11','46','14.16','-11.58',426,'43','1.42','2.46','36.74','5','4',539,-302,'20','26','-7.06'
'NKN-USDT','5m','@VX*?','2021-09-11','2021-10-11','36','11.54','-8.9',303,'42','1.2','2.5','34.03','2','4',557,-324,'15','21','-7.06'
'NKN-USDT','5m','tbik','2021-09-11','2021-10-11','38','8.96','-6.74',216,'55','1.37','2.13','32.01','4','2',345,-553,'21','17','-7.06'
'NKN-USDT','5m','MVsWv','2021-09-11','2021-10-11','27','8.56','-6.43',195,'48','1.22','2.51','30.34','3','3',385,-496,'13','14','-7.06'
'NKN-USDT','5m','-VW;v','2021-09-11','2021-10-11','53','13.14','-14.08',364,'51','0.96','2.4','25.89','4','3',457,-336,'27','26','-7.06'
'NKN-USDT','5m','@VW)?','2021-09-11','2021-10-11','40','10.9','-10.71',277,'40','0.94','2.07','25.87','2','5',587,-323,'16','24','-7.06'
'NKN-USDT','5m','VsWv','2021-09-11','2021-10-11','25','9.3','-8.19',207,'48','0.89','2.42','25.34','3','3',386,-504,'12','13','-7.06'
'NKN-USDT','5m','WVsWv','2021-09-11','2021-10-11','25','9.3','-8.19',207,'48','0.89','2.42','25.34','3','3',386,-504,'12','13','-7.06'
'NKN-USDT','5m','fVPWv','2021-09-11','2021-10-11','59','10.39','-14.43',341,'47','0.51','2.5','23.63','4','5',375,-365,'28','31','-7.06'
'NKN-USDT','5m','gVPWv','2021-09-11','2021-10-11','59','10.39','-14.43',341,'47','0.51','2.5','23.63','4','5',375,-365,'28','31','-7.06'
'NKN-USDT','5m','IVWWv','2021-09-11','2021-10-11','54','10.63','-12.07',264,'52','0.57','2.17','21.83','4','5',379,-408,'28','26','-7.06'
'NKN-USDT','5m','@VW*A','2021-09-11','2021-10-11','39','8.12','-9.04',176,'41','0.82','1.89','19.46','2','5',538,-313,'16','23','-7.06'
'NKN-USDT','5m','eRNWZ','2021-09-11','2021-10-11','57','7.74','-14.05',258,'47','0.42','2.23','18.36','4','5',370,-367,'27','30','-7.06'
'NKN-USDT','5m','eVPWc','2021-09-11','2021-10-11','57','7.96','-14.43',238,'47','0.37','2.15','16.49','4','5',367,-365,'27','30','-7.06'
'NKN-USDT','5m','-SUNv','2021-09-11','2021-10-11','60','10.6','-17.3',280,'45','0.4','2.06','16.21','4','5',421,-405,'27','33','-7.06'
'NKN-USDT','5m','eSNWd','2021-09-11','2021-10-11','57','7.26','-13.92',216,'47','0.38','2.04','15.5','4','5',366,-365,'27','30','-7.06'
'NKN-USDT','5m','@VWF?','2021-09-11','2021-10-11','40','5.99','-10.65',165,'50','0.59','1.8','15.48','3','5',398,-308,'20','20','-7.06'
'NKN-USDT','5m','_W6,U','2021-09-11','2021-10-11','58','8.65','-12.83',196,'41','0.64','1.78','15.28','4','7',593,-362,'24','34','-7.06'
'NKN-USDT','5m','eRNWk','2021-09-11','2021-10-11','58','7.03','-13.88',207,'47','0.33','2.0','14.91','4','5',365,-367,'27','31','-7.06'
'NKN-USDT','5m','?VuWv','2021-09-11','2021-10-11','29','4.02','-6.09',87,'45','0.83','1.73','14.21','3','4',367,-346,'13','16','-7.06'
'NKN-USDT','5m','@VW.?','2021-09-11','2021-10-11','40','6.92','-11.06',147,'40','0.55','1.6','13.31','2','5',477,-308,'16','24','-7.06'
'NKN-USDT','5m',':VWWv','2021-09-11','2021-10-11','57','7.58','-13.59',176,'47','0.38','1.78','12.92','4','3',375,-367,'27','30','-7.06'
'NKN-USDT','5m','7VWWv','2021-09-11','2021-10-11','57','7.58','-13.59',176,'47','0.38','1.78','12.92','4','3',375,-367,'27','30','-7.06'
'NKN-USDT','5m','-dW6n','2021-09-11','2021-10-11','58','7.65','-16.32',211,'43','0.44','1.79','12.92','4','5',486,-342,'25','33','-7.06'
'NKN-USDT','5m','CMNWv','2021-09-11','2021-10-11','62','9.41','-19.44',241,'50','0.25','1.93','12.38','4','6',378,-341,'31','31','-7.06'
'NKN-USDT','5m','hPmHf','2021-09-11','2021-10-11','26','6.93','-10.41',127,'65','0.27','2.03','12.19','5','2',348,-470,'17','9','-7.06'
'NKN-USDT','5m','QYRcn','2021-09-11','2021-10-11','56','6.48','-15.8',184,'46','0.28','1.84','11.63','4','5',385,-361,'26','30','-7.06'
'NKN-USDT','5m','@cW*?','2021-09-11','2021-10-11','49','7.08','-13.47',150,'43','0.5','1.49','11.13','3','4',502,-299,'21','28','-7.06'
'NKN-USDT','5m','3eWXn','2021-09-11','2021-10-11','58','5.23','-15.09',161,'48','0.3','1.76','10.68','4','4',369,-327,'28','30','-7.06'
'NKN-USDT','5m','-VW*9','2021-09-11','2021-10-11','31','4.7','-7.59',77,'42','0.65','1.32','10.2','2','4',521,-285,'13','18','-7.06'
'NKN-USDT','5m','-VW*=','2021-09-11','2021-10-11','37','5.1','-9.17',90,'41','0.45','1.23','9.8','2','3',545,-322,'15','22','-7.06'
'NKN-USDT','5m','o4,@X','2021-09-11','2021-10-11','65','5.25','-13.14',113,'48','0.3','1.38','8.6','4','6',439,-403,'31','34','-7.06'
'NKN-USDT','5m','g^VGt','2021-09-11','2021-10-11','51','2.73','-14.4',116,'51','0.19','1.49','8.05','6','5',353,-383,'26','25','-7.06'
'NKN-USDT','5m','7Fpob','2021-09-11','2021-10-11','28','2.78','-7.29',57,'50','0.29','1.32','7.84','3','3',343,-326,'14','14','-7.06'
'NKN-USDT','5m','LewDb','2021-09-11','2021-10-11','28','3.05','-7.64',55,'54','0.29','1.24','7.16','3','2',343,-493,'15','13','-7.06'
'NKN-USDT','5m','-VW.v','2021-09-11','2021-10-11','58','6.91','-18.42',130,'45','0.19','1.38','7.07','4','5',448,-412,'26','32','-7.06'
'NKN-USDT','5m','ePjWv','2021-09-11','2021-10-11','28','3.86','-12.08',77,'50','0.19','1.37','6.36','2','3',413,-539,'14','14','-7.06'
'NKN-USDT','5m','-VW=v','2021-09-11','2021-10-11','58','6.0','-17.8',111,'52','0.18','1.34','6.24','4','4',379,-416,'30','28','-7.06'
'NKN-USDT','5m','-VWLv','2021-09-11','2021-10-11','58','5.92','-18.13',113,'45','0.21','1.29','6.23','4','5',485,-410,'26','32','-7.06'
'NKN-USDT','5m','@VW4?','2021-09-11','2021-10-11','40','2.93','-11.99',70,'42','0.25','1.12','5.82','2','5',365,-296,'17','23','-7.06'
'NKN-USDT','5m','-VUWv','2021-09-11','2021-10-11','60','5.0','-18.76',96,'45','0.13','1.24','5.1','4','5',370,-412,'27','33','-7.06'
'NKN-USDT','5m','-VWMv','2021-09-11','2021-10-11','58','5.1','-18.6',94,'45','0.14','1.2','5.03','4','5',421,-410,'26','32','-7.06'
'NKN-USDT','5m','-VW?v','2021-09-11','2021-10-11','58','4.9','-17.88',90,'48','0.19','1.16','5.03','4','5',464,-413,'28','30','-7.06'
'NKN-USDT','5m','ui*5<','2021-09-11','2021-10-11','41','2.59','-10.63',42,'39','0.13','0.87','3.98','4','5',531,-278,'16','25','-7.06'
'NKN-USDT','5m','-VWWu','2021-09-11','2021-10-11','58','3.35','-18.7',61,'45','0.08','0.99','3.26','4','5',357,-411,'26','32','-7.06'
'NKN-USDT','5m',',VWWv','2021-09-11','2021-10-11','58','3.35','-18.7',61,'45','0.08','0.99','3.26','4','5',357,-411,'26','32','-7.06'
'NKN-USDT','5m','-VWWs','2021-09-11','2021-10-11','58','3.35','-18.7',61,'45','0.08','0.99','3.26','4','5',357,-411,'26','32','-7.06'
'NKN-USDT','5m','@TW*?','2021-09-11','2021-10-11','36','1.11','-8.11',21,'33','0.14','0.6','2.63','2','4',514,-299,'12','24','-7.06'
'NKN-USDT','5m','q9da','2021-09-11','2021-10-11','21','1.03','-8.98',15,'57','0.05','0.56','1.69','4','3',283,-451,'12','9','-7.06'
'NKN-USDT','5m','-VW<v','2021-09-11','2021-10-11','57','1.69','-18.28',27,'49','0.05','0.67','1.5','4','4',352,-415,'28','29','-7.06'
'NKN-USDT','5m','=bVNC','2021-09-11','2021-10-11','51','-0.99','-12.3',8,'41','0.04','0.44','0.63','3','5',377,-301,'21','30','-7.06'
'NKN-USDT','5m',':YY:_','2021-09-11','2021-10-11','52','0.03','-14.57',8,'48','0.02','0.41','0.53','3','3',397,-369,'25','27','-7.06'
'NKN-USDT','5m','eEsWv','2021-09-11','2021-10-11','23','0.13','-9.46',4,'48','0.02','0.31','0.47','2','2',378,-499,'11','12','-7.06'
'NKN-USDT','5m','-VWWl','2021-09-11','2021-10-11','57','-0.28','-18.7',5,'44','0.01','0.4','0.24','4','5',345,-411,'25','32','-7.06'
'NKN-USDT','5m','-VWWa','2021-09-11','2021-10-11','56','-1.4','-19.61',-9,'45','-0.01','0.22','-0.46','4','5',341,-411,'25','31','-7.06'
'NKN-USDT','5m','O=ITi','2021-09-11','2021-10-11','58','-2.66','-20.09',-27,'47','-0.03','-0.17','-1.34','4','4',291,-392,'27','31','-7.06'
'NKN-USDT','5m','-VWW^','2021-09-11','2021-10-11','56','-3.34','-19.61',-29,'45','-0.04','-0.11','-1.45','4','5',341,-411,'25','31','-7.06'
'NKN-USDT','5m','3OWXE','2021-09-11','2021-10-11','42','-6.82','-10.55',-40,'43','-0.18','-0.63','-3.77','5','3',353,-313,'18','24','-7.06'
'NKN-USDT','5m','WrVZ;','2021-09-11','2021-10-11','40','-8.4','-13.77',-53,'40','-0.11','-1.45','-3.83','2','6',307,-251,'16','24','-7.06'
'NKN-USDT','5m','vNqn','2021-09-11','2021-10-11','18','-5.76','-10.81',-51,'44','-0.14','-1.92','-4.76','2','3',373,-462,'8','10','-7.06'
'NKN-USDT','5m','3OW5n','2021-09-11','2021-10-11','55','-12.61','-14.81',-79,'38','-0.3','-1.86','-5.33','4','4',466,-403,'21','34','-7.06'
'NKN-USDT','5m','FVW*?','2021-09-11','2021-10-11','39','-10.4','-11.22',-64,'28','-0.36','-1.53','-5.71','1','6',492,-312,'11','28','-7.06'
'NKN-USDT','5m','3OW?n','2021-09-11','2021-10-11','57','-13.95','-14.14',-82,'42','-0.3','-2.23','-5.77','4','4',417,-541,'24','33','-7.06'
'NKN-USDT','5m','3OWXC','2021-09-11','2021-10-11','40','-11.05','-10.55',-65,'40','-0.32','-1.6','-6.18','5','3',353,-287,'16','24','-7.06'
