'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'OCEAN-USDT','5m','YOR9c','2021-09-11','2021-10-11','43','35.09','-4.1',5942,'56','27.14','7.98','1450.59','5','4',590,-482,'24','19','13.81'
'OCEAN-USDT','5m','?VW2v','2021-09-11','2021-10-11','45','33.01','-4.37',5286,'60','15.57','7.45','1208.92','4','4',544,-469,'27','18','13.81'
'OCEAN-USDT','5m','?VW.v','2021-09-11','2021-10-11','45','33.18','-5.77',5599,'58','12.84','6.8','969.56','4','3',603,-472,'26','19','13.81'
'OCEAN-USDT','5m','-VW*9','2021-09-11','2021-10-11','28','30.31','-4.32',3078,'54','20.07','7.56','713.02','4','4',581,-298,'15','13','13.81'
'OCEAN-USDT','5m','IVWWv','2021-09-11','2021-10-11','45','25.27','-4.64',3189,'60','12.4','6.67','687.06','4','2',462,-456,'27','18','13.81'
'OCEAN-USDT','5m','=bVNC','2021-09-11','2021-10-11','37','32.28','-6.88',4688,'54','9.72','7.34','681.81','3','4',485,-336,'20','17','13.81'
'OCEAN-USDT','5m','-VW*=','2021-09-11','2021-10-11','37','27.65','-5.01',2959,'46','12.39','6.08','590.31','2','6',575,-342,'17','20','13.81'
'OCEAN-USDT','5m','BVV.a','2021-09-11','2021-10-11','46','27.12','-5.91',3164,'54','9.3','5.74','535.51','4','4',577,-451,'25','21','13.81'
'OCEAN-USDT','5m','<VV.a','2021-09-11','2021-10-11','46','27.12','-5.91',3164,'54','9.3','5.74','535.51','4','4',577,-451,'25','21','13.81'
'OCEAN-USDT','5m','hPPHs','2021-09-11','2021-10-11','45','18.65','-5.54',2849,'56','9.71','7.85','514.12','4','4',385,-426,'25','20','13.81'
'OCEAN-USDT','5m','ePPHt','2021-09-11','2021-10-11','45','18.65','-5.54',2849,'56','9.71','7.85','514.12','4','4',385,-426,'25','20','13.81'
'OCEAN-USDT','5m','@VW*F','2021-09-11','2021-10-11','40','30.69','-8.48',4022,'52','6.42','6.72','474.16','5','5',668,-359,'21','19','13.81'
'OCEAN-USDT','5m','ui*5<','2021-09-11','2021-10-11','39','24.21','-4.49',1917,'38','8.23','6.49','426.76','2','3',657,-362,'15','24','13.81'
'OCEAN-USDT','5m','g^VGt','2021-09-11','2021-10-11','47','12.6','-3.53',1433,'53','15.66','7.23','406.02','3','4',427,-418,'25','22','13.81'
'OCEAN-USDT','5m','E^cA','2021-09-11','2021-10-11','23','29.29','-6.92',2669,'74','4.64','8.15','385.78','8','3',471,-384,'17','6','13.81'
