'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'OGN-USDT','5m','fVPWv','2021-09-11','2021-10-11','53','35.76','-7.78',5008,'53','6.83','7.69','643.95','6','5',510,-445,'28','25','-11.43'
'OGN-USDT','5m','gVPWv','2021-09-11','2021-10-11','53','35.76','-7.78',5008,'53','6.83','7.69','643.95','6','5',510,-445,'28','25','-11.43'
'OGN-USDT','5m','eVPWc','2021-09-11','2021-10-11','53','35.76','-7.78',5008,'53','6.83','7.69','643.95','6','5',510,-445,'28','25','-11.43'
'OGN-USDT','5m','hPPHs','2021-09-11','2021-10-11','48','26.68','-4.83',2188,'58','11.89','6.86','452.67','5','4',389,-434,'28','20','-11.43'
'OGN-USDT','5m','ePPHt','2021-09-11','2021-10-11','48','26.68','-4.83',2188,'58','11.89','6.86','452.67','5','4',389,-434,'28','20','-11.43'
'OGN-USDT','5m','ePPHa','2021-09-11','2021-10-11','48','25.61','-4.83',1968,'58','10.9','6.65','407.08','5','4',389,-434,'28','20','-11.43'
'OGN-USDT','5m','ePPH','2021-09-11','2021-10-11','48','25.61','-4.83',1968,'58','10.9','6.65','407.08','5','4',389,-434,'28','20','-11.43'
'OGN-USDT','5m','IVWWv','2021-09-11','2021-10-11','54','28.28','-8.95',2272,'52','3.99','5.65','253.91','3','4',478,-417,'28','26','-11.43'
'OGN-USDT','5m','XRV.a','2021-09-11','2021-10-11','50','31.23','-13.77',3064,'52','1.94','6.26','222.56','4','5',641,-480,'26','24','-11.43'
'OGN-USDT','5m','3OW?n','2021-09-11','2021-10-11','53','29.32','-12.22',2509,'58','2.24','4.85','205.36','5','4',640,-509,'31','22','-11.43'
'OGN-USDT','5m','ftUQf','2021-09-11','2021-10-11','44','26.64','-11.0',2177,'50','2.61','5.35','197.84','5','6',556,-474,'22','22','-11.43'
'OGN-USDT','5m','?dpMr','2021-09-11','2021-10-11','30','22.68','-7.41',1457,'53','3.66','5.48','196.49','4','5',545,-530,'16','14','-11.43'
'OGN-USDT','5m','YOR9c','2021-09-11','2021-10-11','51','28.46','-13.18',2431,'51','1.62','6.17','184.52','4','5',634,-539,'26','25','-11.43'
'OGN-USDT','5m','eSNWd','2021-09-11','2021-10-11','56','23.92','-9.03',1591,'50','3.52','5.66','176.08','6','5',472,-433,'28','28','-11.43'
'OGN-USDT','5m','q9da','2021-09-11','2021-10-11','18','16.67','-4.03',656,'72','6.82','6.57','162.95','3','2',308,-280,'13','5','-11.43'
'OGN-USDT','5m','3OW5n','2021-09-11','2021-10-11','52','25.78','-13.31',1669,'50','1.56','4.09','125.41','4','5',707,-509,'26','26','-11.43'
'OGN-USDT','5m','eRNDv','2021-09-11','2021-10-11','56','21.57','-10.17',1196,'54','2.5','5.28','117.59','6','5',434,-457,'30','26','-11.43'
'OGN-USDT','5m','eRNWk','2021-09-11','2021-10-11','56','20.48','-10.02',1103,'50','2.45','5.02','110.1','6','5',463,-432,'28','28','-11.43'
'OGN-USDT','5m','?VW2v','2021-09-11','2021-10-11','55','21.63','-14.47',1255,'55','1.42','3.96','86.75','4','5',557,-435,'30','25','-11.43'
