'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'OMG-USDT','5m','eEsWv','2021-09-11','2021-10-11','19','14.69','-5.86',527,'58','2.89','4.65','90.02','4','2',379,-450,'11','8','57.89'
'OMG-USDT','5m','E^cA','2021-09-11','2021-10-11','20','6.73','-3.78',282,'50','3.7','4.22','74.51','3','3',409,-309,'10','10','57.89'
'OMG-USDT','5m','eVswv','2021-09-11','2021-10-11','28','-0.54','-5.55',310,'64','2.43','4.08','55.93','7','3',248,-480,'18','10','57.89'
'OMG-USDT','5m','fVPWv','2021-09-11','2021-10-11','65','-7.34','-20.93',404,'42','0.35','2.47','19.31','3','7',389,-459,'27','38','57.89'
'OMG-USDT','5m','gVPWv','2021-09-11','2021-10-11','65','-7.34','-20.93',404,'42','0.35','2.47','19.31','3','7',389,-459,'27','38','57.89'
'OMG-USDT','5m','MVsWv','2021-09-11','2021-10-11','33','2.7','-8.67',147,'52','0.65','1.7','16.91','5','4',405,-590,'17','16','57.89'
'OMG-USDT','5m','7Fpob','2021-09-11','2021-10-11','29','5.86','-15.86',226,'55','0.29','2.51','14.24','6','5',365,-447,'16','13','57.89'
'OMG-USDT','5m','\\sta','2021-09-11','2021-10-11','26','0.4','-9.25',106,'62','0.31','2.04','11.5','8','3',261,-457,'16','10','57.89'
'OMG-USDT','5m','`RNWv','2021-09-11','2021-10-11','66','-6.3','-17.79',158,'42','0.27','1.54','8.9','5','7',380,-439,'28','38','57.89'
'OMG-USDT','5m','cRNWv','2021-09-11','2021-10-11','66','-6.3','-17.79',158,'42','0.27','1.54','8.9','5','7',380,-439,'28','38','57.89'
'OMG-USDT','5m','\\RNWv','2021-09-11','2021-10-11','66','-6.3','-17.79',158,'42','0.27','1.54','8.9','5','7',380,-439,'28','38','57.89'
'OMG-USDT','5m','RNWv','2021-09-11','2021-10-11','66','-6.3','-17.79',158,'42','0.27','1.54','8.9','5','7',380,-439,'28','38','57.89'
