'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ONT-USDT','5m','fVPWv','2021-09-11','2021-10-11','39','26.74','-7.78',2139,'46','6.12','6.04','274.92','4','6',454,-350,'18','21','1.08'
'ONT-USDT','5m','gVPWv','2021-09-11','2021-10-11','39','26.74','-7.78',2139,'46','6.12','6.04','274.92','4','6',454,-350,'18','21','1.08'
'ONT-USDT','5m','eVPWc','2021-09-11','2021-10-11','39','26.74','-7.78',2139,'46','6.12','6.04','274.92','4','6',454,-350,'18','21','1.08'
'ONT-USDT','5m','ftUQf','2021-09-11','2021-10-11','32','22.35','-7.35',1775,'50','6.27','6.17','241.63','3','5',493,-486,'16','16','1.08'
'ONT-USDT','5m','?VW2v','2021-09-11','2021-10-11','38','28.02','-9.17',2190,'55','4.94','5.63','238.69','4','5',503,-353,'21','17','1.08'
'ONT-USDT','5m','3fWHn','2021-09-11','2021-10-11','39','22.7','-7.35',1690,'59','4.93','6.42','229.9','4','4',365,-482,'23','16','1.08'
'ONT-USDT','5m','3OW?n','2021-09-11','2021-10-11','37','24.76','-7.4',1629,'51','4.25','5.29','220.06','4','5',561,-357,'19','18','1.08'
'ONT-USDT','5m','IVWWv','2021-09-11','2021-10-11','38','23.72','-7.34',1549,'50','5.62','5.34','211.06','4','5',442,-341,'19','19','1.08'
'ONT-USDT','5m','?VW.v','2021-09-11','2021-10-11','39','26.74','-9.17',1841,'49','4.92','5.02','200.72','4','5',543,-344,'19','20','1.08'
'ONT-USDT','5m','eRQWv','2021-09-11','2021-10-11','38','25.83','-9.65',1935,'47','3.83','5.79','200.51','4','6',450,-384,'18','20','1.08'
'ONT-USDT','5m','XRV.a','2021-09-11','2021-10-11','35','28.91','-11.44',2228,'49','3.77','5.05','194.73','4','5',563,-432,'17','18','1.08'
'ONT-USDT','5m','eSNWd','2021-09-11','2021-10-11','41','22.97','-7.91',1468,'44','4.93','5.25','185.65','2','6',440,-353,'18','23','1.08'
'ONT-USDT','5m',':VWWv','2021-09-11','2021-10-11','40','21.64','-7.05',1264,'48','5.28','4.93','179.3','4','5',445,-349,'19','21','1.08'
'ONT-USDT','5m','7VWWv','2021-09-11','2021-10-11','40','21.64','-7.05',1264,'48','5.28','4.93','179.3','4','5',445,-349,'19','21','1.08'
'ONT-USDT','5m','?^WWv','2021-09-11','2021-10-11','38','20.95','-7.09',1236,'47','4.36','4.95','174.41','4','5',435,-311,'18','20','1.08'
'ONT-USDT','5m','YOR9c','2021-09-11','2021-10-11','33','23.66','-9.76',1385,'52','2.89','5.02','141.99','4','5',528,-432,'17','16','1.08'
'ONT-USDT','5m','ePRWv','2021-09-11','2021-10-11','38','23.37','-10.89',1437,'50','2.74','5.05','131.89','4','6',439,-390,'19','19','1.08'
'ONT-USDT','5m','O=ITi','2021-09-11','2021-10-11','43','17.71','-6.39',822,'51','4.86','4.75','128.56','3','5',373,-370,'22','21','1.08'
'ONT-USDT','5m','ePPWb','2021-09-11','2021-10-11','40','21.99','-9.55',1218,'48','3.29','4.89','127.47','2','6',444,-344,'19','21','1.08'
'ONT-USDT','5m','CMNWv','2021-09-11','2021-10-11','44','19.43','-7.73',973,'43','3.57','4.36','125.9','3','5',436,-345,'19','25','1.08'
'ONT-USDT','5m','3OW5n','2021-09-11','2021-10-11','37','20.48','-8.09',973,'41','3.04','4.34','120.24','3','5',602,-347,'15','22','1.08'
'ONT-USDT','5m','g^VGt','2021-09-11','2021-10-11','36','18.77','-9.71',1100,'50','2.61','5.07','113.39','4','6',419,-378,'18','18','1.08'
'ONT-USDT','5m','eRNWk','2021-09-11','2021-10-11','42','19.35','-9.5',1004,'43','3.08','4.36','105.59','2','6',428,-342,'18','24','1.08'
'ONT-USDT','5m','`RNWv','2021-09-11','2021-10-11','43','19.49','-9.19',951,'47','3.12','4.5','103.42','2','6',433,-365,'20','23','1.08'
'ONT-USDT','5m','cRNWv','2021-09-11','2021-10-11','43','19.49','-9.19',951,'47','3.12','4.5','103.42','2','6',433,-365,'20','23','1.08'
'ONT-USDT','5m','\\RNWv','2021-09-11','2021-10-11','43','19.49','-9.19',951,'47','3.12','4.5','103.42','2','6',433,-365,'20','23','1.08'
'ONT-USDT','5m','RNWv','2021-09-11','2021-10-11','43','19.49','-9.19',951,'47','3.12','4.5','103.42','2','6',433,-365,'20','23','1.08'
'ONT-USDT','5m','aRNWv','2021-09-11','2021-10-11','43','19.49','-9.19',951,'47','3.12','4.5','103.42','2','6',433,-365,'20','23','1.08'
'ONT-USDT','5m','^RNWv','2021-09-11','2021-10-11','43','19.49','-9.19',951,'47','3.12','4.5','103.42','2','6',433,-365,'20','23','1.08'
'ONT-USDT','5m','_RNWv','2021-09-11','2021-10-11','43','19.49','-9.19',951,'47','3.12','4.5','103.42','2','6',433,-365,'20','23','1.08'
'ONT-USDT','5m','ui*5<','2021-09-11','2021-10-11','30','18.1','-8.03',817,'37','4.61','4.05','101.77','2','4',604,-299,'11','19','1.08'
'ONT-USDT','5m','-SUNv','2021-09-11','2021-10-11','41','17.98','-7.98',740,'41','3.52','3.92','92.82','4','5',461,-433,'17','24','1.08'
'ONT-USDT','5m','BVV.a','2021-09-11','2021-10-11','39','18.65','-9.17',775,'46','2.9','3.7','84.47','4','5',520,-329,'18','21','1.08'
'ONT-USDT','5m','<VV.a','2021-09-11','2021-10-11','39','18.65','-9.17',775,'46','2.9','3.7','84.47','4','5',520,-329,'18','21','1.08'
'ONT-USDT','5m','QYRcn','2021-09-11','2021-10-11','36','12.72','-6.19',499,'44','3.41','4.44','80.62','2','5',426,-329,'16','20','1.08'
'ONT-USDT','5m','ePPW\\','2021-09-11','2021-10-11','39','17.69','-9.55',755,'46','2.59','4.08','79.06','2','6',429,-332,'18','21','1.08'
'ONT-USDT','5m',':YY:_','2021-09-11','2021-10-11','39','16.56','-8.6',634,'49','2.07','3.53','73.67','4','5',479,-327,'19','20','1.08'
'ONT-USDT','5m','_W6,U','2021-09-11','2021-10-11','42','14.18','-7.18',471,'40','2.71','3.07','65.66','3','6',569,-411,'17','25','1.08'
'ONT-USDT','5m','eRNWZ','2021-09-11','2021-10-11','41','15.12','-9.5',616,'41','2.39','3.58','64.84','2','6',413,-330,'17','24','1.08'
'ONT-USDT','5m','=bVNC','2021-09-11','2021-10-11','37','15.38','-8.74',563,'46','1.88','3.88','64.38','4','4',441,-335,'17','20','1.08'
'ONT-USDT','5m','-VW?v','2021-09-11','2021-10-11','41','13.13','-6.58',423,'46','2.38','3.07','64.33','4','4',519,-410,'19','22','1.08'
'ONT-USDT','5m','-VUWv','2021-09-11','2021-10-11','42','14.33','-7.96',507,'48','2.5','3.45','63.75','4','5',403,-414,'20','22','1.08'
'ONT-USDT','5m','wVW*?','2021-09-11','2021-10-11','23','13.22','-7.53',410,'39','1.91','3.89','54.48','3','3',536,-305,'9','14','1.08'
'ONT-USDT','5m','3eWXn','2021-09-11','2021-10-11','44','13.29','-9.66',508,'50','1.66','3.36','52.61','4','6',409,-432,'22','22','1.08'
'ONT-USDT','5m','@^W*?','2021-09-11','2021-10-11','33','15.74','-10.74',558,'36','1.02','3.2','51.97','4','5',550,-286,'12','21','1.08'
'ONT-USDT','5m','hPPHs','2021-09-11','2021-10-11','38','13.68','-9.61',497,'50','1.66','3.82','51.75','2','6',349,-338,'19','19','1.08'
'ONT-USDT','5m','ePPHt','2021-09-11','2021-10-11','38','13.68','-9.61',497,'50','1.66','3.82','51.75','2','6',349,-338,'19','19','1.08'
'ONT-USDT','5m','ePPHa','2021-09-11','2021-10-11','38','13.68','-9.61',497,'50','1.68','3.63','51.73','3','6',349,-331,'19','19','1.08'
'ONT-USDT','5m','ePPH','2021-09-11','2021-10-11','38','13.68','-9.61',497,'50','1.68','3.63','51.73','3','6',349,-331,'19','19','1.08'
'ONT-USDT','5m','E^cA','2021-09-11','2021-10-11','22','9.16','-6.06',304,'55','1.64','4.21','50.21','4','3',423,-314,'12','10','1.08'
'ONT-USDT','5m','@_W*?','2021-09-11','2021-10-11','31','14.35','-9.72',468,'35','1.28','3.13','48.17','4','4',544,-277,'11','20','1.08'
'ONT-USDT','5m','eRNDv','2021-09-11','2021-10-11','40','12.61','-10.25',482,'45','1.69','3.5','47.03','2','6',373,-339,'18','22','1.08'
'ONT-USDT','5m','-dW6n','2021-09-11','2021-10-11','40','14.59','-11.01',514,'45','1.43','3.33','46.74','3','6',535,-424,'18','22','1.08'
'ONT-USDT','5m','WrVZ;','2021-09-11','2021-10-11','27','0.68','-4.76',188,'37','2.35','3.1','39.47','2','4',339,-254,'10','17','1.08'
'ONT-USDT','5m','3OWXE','2021-09-11','2021-10-11','35','11.91','-10.74',418,'46','0.79','3.34','38.93','4','5',410,-318,'16','19','1.08'
'ONT-USDT','5m','-VW*=','2021-09-11','2021-10-11','29','14.0','-11.45',427,'38','0.83','3.51','37.28','3','6',537,-283,'11','18','1.08'
'ONT-USDT','5m','@TW*?','2021-09-11','2021-10-11','30','11.1','-8.54',290,'37','1.07','2.69','33.93','3','4',524,-291,'11','19','1.08'
'ONT-USDT','5m','@VX*?','2021-09-11','2021-10-11','30','10.81','-8.25',276,'37','1.21','2.52','33.43','3','5',522,-295,'11','19','1.08'
'ONT-USDT','5m','-VWLv','2021-09-11','2021-10-11','42','10.14','-8.29',266,'38','1.23','2.4','32.06','3','5',525,-396,'16','26','1.08'
'ONT-USDT','5m','@VW*A','2021-09-11','2021-10-11','31','10.87','-8.91',279,'35','0.77','2.7','31.3','3','5',523,-292,'11','20','1.08'
'ONT-USDT','5m','ePjWv','2021-09-11','2021-10-11','20','9.93','-7.19',225,'60','1.86','2.83','31.23','3','3',366,-496,'12','8','1.08'
'ONT-USDT','5m','-VW<v','2021-09-11','2021-10-11','35','10.39','-9.3',287,'49','1.08','3.03','30.84','4','5',390,-415,'17','18','1.08'
'ONT-USDT','5m','-VW;v','2021-09-11','2021-10-11','40','10.22','-9.09',280,'48','1.19','2.67','30.77','3','5',464,-404,'19','21','1.08'
'ONT-USDT','5m','-VW.v','2021-09-11','2021-10-11','42','11.06','-9.47',287,'38','0.95','2.47','30.28','3','5',486,-402,'16','26','1.08'
'ONT-USDT','5m','-VWMv','2021-09-11','2021-10-11','42','9.37','-8.29',236,'38','0.99','2.34','28.51','3','5',459,-400,'16','26','1.08'
'ONT-USDT','5m','-VW=v','2021-09-11','2021-10-11','42','9.25','-9.09',251,'50','1.07','2.48','27.66','4','5',408,-407,'21','21','1.08'
'ONT-USDT','5m','eVswv','2021-09-11','2021-10-11','15','2.49','-3.25',86,'60','4.44','3.36','26.37','3','3',224,-326,'9','6','1.08'
'ONT-USDT','5m','-VWWu','2021-09-11','2021-10-11','42','7.72','-8.12',196,'43','0.8','2.21','24.09','4','5',392,-403,'18','24','1.08'
'ONT-USDT','5m',',VWWv','2021-09-11','2021-10-11','42','7.72','-8.12',196,'43','0.8','2.21','24.09','4','5',392,-403,'18','24','1.08'
'ONT-USDT','5m','-VWWs','2021-09-11','2021-10-11','42','7.72','-8.12',196,'43','0.8','2.21','24.09','4','5',392,-403,'18','24','1.08'
'ONT-USDT','5m','-VWWl','2021-09-11','2021-10-11','41','7.48','-8.18',188,'44','0.74','2.17','22.95','4','5',391,-402,'18','23','1.08'
'ONT-USDT','5m','3OWXC','2021-09-11','2021-10-11','34','7.81','-10.74',232,'44','0.51','2.72','21.64','4','5',396,-318,'15','19','1.08'
'ONT-USDT','5m','=ptVt','2021-09-11','2021-10-11','25','9.76','-11.95',240,'60','1.1','2.6','20.11','5','4',417,-521,'15','10','1.08'
'ONT-USDT','5m','@VW*F','2021-09-11','2021-10-11','34','9.73','-11.94',237,'38','0.54','2.4','19.88','3','5',518,-306,'13','21','1.08'
'ONT-USDT','5m','@XW*?','2021-09-11','2021-10-11','30','6.69','-7.23',139,'33','0.81','1.88','19.21','3','4',514,-285,'10','20','1.08'
'ONT-USDT','5m','tbik','2021-09-11','2021-10-11','29','6.14','-8.99',167,'55','1.21','2.19','18.58','3','3',338,-546,'16','13','1.08'
'ONT-USDT','5m','@VWF?','2021-09-11','2021-10-11','32','4.93','-8.93',163,'50','0.64','2.33','18.25','4','3',388,-295,'16','16','1.08'
'ONT-USDT','5m','-VWWa','2021-09-11','2021-10-11','41','6.64','-8.89',162,'44','0.6','2.0','18.21','4','5',388,-399,'18','23','1.08'
'ONT-USDT','5m','-VWW^','2021-09-11','2021-10-11','41','6.64','-8.89',162,'44','0.6','2.0','18.21','4','5',388,-399,'18','23','1.08'
'ONT-USDT','5m','@VW)?','2021-09-11','2021-10-11','31','7.46','-9.0',160,'32','0.76','1.96','17.79','2','5',536,-296,'10','21','1.08'
'ONT-USDT','5m','@cW*?','2021-09-11','2021-10-11','34','7.47','-11.89',168,'35','0.37','2.06','14.11','4','4',509,-289,'12','22','1.08'
'ONT-USDT','5m','-VW*9','2021-09-11','2021-10-11','26','7.19','-11.35',149,'35','0.49','2.25','13.11','2','6',516,-260,'9','17','1.08'
'ONT-USDT','5m','o4,@X','2021-09-11','2021-10-11','47','4.07','-8.3',83,'43','0.47','1.31','10.06','3','4',420,-410,'20','27','1.08'
'ONT-USDT','5m','eVkWv','2021-09-11','2021-10-11','23','5.4','-11.41',111,'57','0.42','1.81','9.69','3','4',371,-498,'13','10','1.08'
'ONT-USDT','5m','FVW*?','2021-09-11','2021-10-11','29','3.96','-9.38',74,'31','0.36','1.26','7.92','2','5',490,-291,'9','20','1.08'
'ONT-USDT','5m','hPmHf','2021-09-11','2021-10-11','20','2.32','-7.22',46,'60','0.4','1.19','6.32','3','3',302,-451,'12','8','1.08'
'ONT-USDT','5m','@VW.?','2021-09-11','2021-10-11','32','3.8','-11.77',74,'38','0.2','1.27','6.32','3','5',443,-289,'12','20','1.08'
'ONT-USDT','5m','@VW4?','2021-09-11','2021-10-11','32','2.11','-12.4',56,'44','0.12','1.12','4.51','4','5',357,-291,'14','18','1.08'
'ONT-USDT','5m','eEsWv','2021-09-11','2021-10-11','11','0.6','-7.78',10,'55','0.05','0.45','1.34','2','3',350,-477,'6','5','1.08'
'ONT-USDT','5m','?dpMr','2021-09-11','2021-10-11','26','-1.37','-15.01',-9,'50','-0.04','0.07','-0.6','5','5',416,-512,'13','13','1.08'
'ONT-USDT','5m','LewDb','2021-09-11','2021-10-11','19','-4.58','-12.06',-25,'58','-0.06','-0.56','-2.09','3','2',333,-436,'11','8','1.08'
'ONT-USDT','5m','vNqn','2021-09-11','2021-10-11','12','-1.4','-4.57',-16,'67','-0.11','-0.58','-3.45','3','2',365,-463,'8','4','1.08'
'ONT-USDT','5m','q9da','2021-09-11','2021-10-11','14','-1.41','-4.38',-16,'71','-0.27','-0.54','-3.63','5','1',193,-497,'10','4','1.08'
'ONT-USDT','5m','\\sta','2021-09-11','2021-10-11','18','-4.77','-8.89',-33,'61','-0.12','-1.12','-3.69','3','2',246,-431,'11','7','1.08'
'ONT-USDT','5m','HPqWv','2021-09-11','2021-10-11','16','-6.41','-12.1',-50,'50','-0.19','-1.62','-4.14','2','2',348,-429,'8','8','1.08'
'ONT-USDT','5m','VsWv','2021-09-11','2021-10-11','16','-6.52','-11.18',-52,'50','-0.26','-1.99','-4.62','2','3',350,-463,'8','8','1.08'
'ONT-USDT','5m','WVsWv','2021-09-11','2021-10-11','16','-6.52','-11.18',-52,'50','-0.26','-1.99','-4.62','2','3',350,-463,'8','8','1.08'
'ONT-USDT','5m','MVsWv','2021-09-11','2021-10-11','18','-10.98','-15.38',-75,'50','-0.2','-3.27','-4.85','2','2',345,-454,'9','9','1.08'
'ONT-USDT','5m','?VuWv','2021-09-11','2021-10-11','17','-10.93','-14.92',-73,'47','-0.17','-3.43','-4.87','2','3',348,-501,'8','9','1.08'
'ONT-USDT','5m','7Fpob','2021-09-11','2021-10-11','14','-10.96','-10.58',-69,'43','-0.24','-4.72','-6.48','2','2',337,-360,'6','8','1.08'
