'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'QTUM-USDT','5m','WrVZ;','2021-09-11','2021-10-11','36','9.17','-7.09',428,'47','2.04','3.65','60.38','3','4',363,-274,'17','19','2.2'
'QTUM-USDT','5m','wVW*?','2021-09-11','2021-10-11','27','13.95','-7.95',416,'48','1.62','3.24','52.3','3','3',536,-296,'13','14','2.2'
'QTUM-USDT','5m','@^W*?','2021-09-11','2021-10-11','42','9.83','-11.52',255,'43','0.68','2.17','22.14','3','6',513,-285,'18','24','2.2'
'QTUM-USDT','5m','ui*5<','2021-09-11','2021-10-11','38','5.17','-9.3',129,'34','0.62','1.63','13.83','2','6',559,-250,'13','25','2.2'
'QTUM-USDT','5m','@cW*?','2021-09-11','2021-10-11','42','6.38','-11.13',137,'40','0.43','1.7','12.31','3','6',488,-276,'17','25','2.2'
'QTUM-USDT','5m','=bVNC','2021-09-11','2021-10-11','45','4.45','-12.59',144,'40','0.41','1.82','11.47','3','5',394,-275,'18','27','2.2'
'QTUM-USDT','5m','@_W*?','2021-09-11','2021-10-11','41','3.52','-11.51',66,'41','0.24','1.09','5.71','3','6',480,-283,'17','24','2.2'
'QTUM-USDT','5m','7Fpob','2021-09-11','2021-10-11','21','1.31','-9.02',34,'57','0.13','0.8','3.8','5','3',357,-508,'12','9','2.2'
'QTUM-USDT','5m','eRNDv','2021-09-11','2021-10-11','51','-2.43','-15.43',50,'47','0.11','0.92','3.25','3','5',335,-510,'24','27','2.2'
'QTUM-USDT','5m','-dW6n','2021-09-11','2021-10-11','55','1.17','-19.04',55,'42','0.1','0.91','2.89','3','5',487,-472,'23','32','2.2'
'QTUM-USDT','5m','3eWXn','2021-09-11','2021-10-11','55','-3.28','-19.38',24,'40','0.04','0.65','1.24','3','5',359,-473,'22','33','2.2'
'QTUM-USDT','5m','eEsWv','2021-09-11','2021-10-11','18','-0.53','-10.72',6,'50','0.03','0.38','0.59','3','3',379,-649,'9','9','2.2'
'QTUM-USDT','5m','-VW*9','2021-09-11','2021-10-11','33','0.19','-12.41',7,'39','0.02','0.38','0.55','3','6',471,-258,'13','20','2.2'
'QTUM-USDT','5m','@VX*?','2021-09-11','2021-10-11','36','-0.33','-19.21',1,'39','0.0','0.29','0.03','3','8',453,-288,'14','22','2.2'
'QTUM-USDT','5m','QYRcn','2021-09-11','2021-10-11','52','-4.66','-12.92',-1,'40','-0.0','0.32','-0.07','3','5',384,-470,'21','31','2.2'
'QTUM-USDT','5m','hPPHs','2021-09-11','2021-10-11','54','-8.86','-18.97',-8,'48','-0.01','0.2','-0.44','5','5',291,-508,'26','28','2.2'
'QTUM-USDT','5m','ePPHt','2021-09-11','2021-10-11','54','-8.86','-18.97',-8,'48','-0.01','0.2','-0.44','5','5',291,-508,'26','28','2.2'
