'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'REEF-USDT','5m','?dpMr','2021-09-11','2021-10-11','21','18.93','-2.93',743,'52','14.85','5.69','253.93','4','3',479,-466,'11','10','-16.34'
'REEF-USDT','5m','=ptVt','2021-09-11','2021-10-11','22','14.01','-5.13',413,'55','5.56','4.65','80.37','3','2',422,-449,'12','10','-16.34'
'REEF-USDT','5m','ePjWv','2021-09-11','2021-10-11','15','10.16','-5.85',233,'47','1.01','3.94','39.82','3','3',392,-517,'7','8','-16.34'
'REEF-USDT','5m','eEsWv','2021-09-11','2021-10-11','8','7.45','-4.22',146,'62','1.03','2.99','34.61','3','1',363,-484,'5','3','-16.34'
'REEF-USDT','5m','eVswv','2021-09-11','2021-10-11','15','5.36','-4.62',127,'67','0.51','3.93','27.49','9','5',242,-353,'10','5','-16.34'
'REEF-USDT','5m','vNqn','2021-09-11','2021-10-11','9','6.64','-5.16',119,'67','0.52','2.83','23.0','4','2',391,-516,'6','3','-16.34'
'REEF-USDT','5m','q9da','2021-09-11','2021-10-11','12','5.6','-6.28',94,'67','0.29','2.71','14.98','6','2',286,-483,'8','4','-16.34'
'REEF-USDT','5m','hPmHf','2021-09-11','2021-10-11','14','4.09','-8.64',63,'57','0.14','1.69','7.28','4','3',322,-492,'8','6','-16.34'
'REEF-USDT','5m','o4,@X','2021-09-11','2021-10-11','52','1.82','-9.57',62,'38','0.32','1.14','6.47','3','6',418,-328,'20','32','-16.34'
'REEF-USDT','5m','3OW5n','2021-09-11','2021-10-11','38','2.71','-9.54',60,'39','0.22','1.11','6.3','3','5',551,-348,'15','23','-16.34'
'REEF-USDT','5m','MVsWv','2021-09-11','2021-10-11','15','2.94','-8.67',46,'47','0.1','1.2','5.29','3','5',366,-504,'7','8','-16.34'
'REEF-USDT','5m','VsWv','2021-09-11','2021-10-11','15','2.69','-9.7',42,'40','0.07','1.35','4.33','3','5',384,-502,'6','9','-16.34'
'REEF-USDT','5m','WVsWv','2021-09-11','2021-10-11','15','2.69','-9.7',42,'40','0.07','1.35','4.33','3','5',384,-502,'6','9','-16.34'
'REEF-USDT','5m','E^cA','2021-09-11','2021-10-11','16','1.01','-7.25',25,'56','0.15','0.86','3.5','2','3',403,-335,'9','7','-16.34'
'REEF-USDT','5m','3OW?n','2021-09-11','2021-10-11','36','0.86','-9.04',24,'47','0.1','0.68','2.66','3','5',472,-338,'17','19','-16.34'
'REEF-USDT','5m','tbik','2021-09-11','2021-10-11','23','1.08','-8.13',21,'48','0.09','0.67','2.55','2','5',339,-451,'11','12','-16.34'
'REEF-USDT','5m','?VuWv','2021-09-11','2021-10-11','15','1.26','-8.65',19,'40','0.04','0.75','2.24','2','6',381,-433,'6','9','-16.34'
'REEF-USDT','5m','7Fpob','2021-09-11','2021-10-11','13','0.51','-7.72',16,'38','0.04','0.66','2.01','2','7',359,-340,'5','8','-16.34'
'REEF-USDT','5m',':YY:_','2021-09-11','2021-10-11','38','0.97','-11.68',14,'45','0.06','0.51','1.19','4','4',426,-354,'17','21','-16.34'
'REEF-USDT','5m','?^WWv','2021-09-11','2021-10-11','42','-0.85','-9.91',1,'45','0.0','0.25','0.08','3','4',361,-437,'19','23','-16.34'
'REEF-USDT','5m','-VUWv','2021-09-11','2021-10-11','46','-2.3','-10.85',-1,'48','-0.0','0.22','-0.05','2','5',361,-375,'22','24','-16.34'
'REEF-USDT','5m','3fWHn','2021-09-11','2021-10-11','46','-3.33','-8.2',-8,'48','-0.05','0.01','-1.01','2','5',307,-399,'22','24','-16.34'
'REEF-USDT','5m',':VWWv','2021-09-11','2021-10-11','39','-3.1','-11.83',-18,'44','-0.08','-0.09','-1.49','3','4',371,-350,'17','22','-16.34'
