'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'RLC-USDT','5m','@VW*F','2021-09-11','2021-10-11','34','37.59','-6.12',4856,'53','9.5','6.47','793.59','4','4',687,-374,'18','16','-8.63'
'RLC-USDT','5m','ui*5<','2021-09-11','2021-10-11','34','29.53','-8.9',2522,'41','6.78','6.88','283.47','4','6',683,-347,'14','20','-8.63'
'RLC-USDT','5m',':YY:_','2021-09-11','2021-10-11','42','26.66','-7.29',1756,'52','4.53','4.84','240.77','4','5',542,-512,'22','20','-8.63'
'RLC-USDT','5m','o4,@X','2021-09-11','2021-10-11','49','24.54','-6.29',1507,'51','8.36','6.15','239.49','4','3',496,-465,'25','24','-8.63'
'RLC-USDT','5m','BVV.a','2021-09-11','2021-10-11','43','27.3','-7.69',1825,'56','4.61','5.17','237.33','4','2',573,-499,'24','19','-8.63'
'RLC-USDT','5m','<VV.a','2021-09-11','2021-10-11','43','27.3','-7.69',1825,'56','4.61','5.17','237.33','4','2',573,-499,'24','19','-8.63'
'RLC-USDT','5m','ePjWv','2021-09-11','2021-10-11','24','25.29','-7.19',1615,'75','3.62','6.04','224.52','11','2',464,-544,'18','6','-8.63'
'RLC-USDT','5m','-VW;v','2021-09-11','2021-10-11','45','27.85','-8.81',1894,'56','4.01','5.37','214.98','4','5',555,-629,'25','20','-8.63'
'RLC-USDT','5m','eVkWv','2021-09-11','2021-10-11','26','23.92','-7.23',1408,'69','3.41','5.89','194.81','6','2',459,-536,'18','8','-8.63'
'RLC-USDT','5m','@XW*?','2021-09-11','2021-10-11','29','20.02','-5.18',979,'55','5.33','4.37','188.92','4','3',599,-327,'16','13','-8.63'
'RLC-USDT','5m','@cW*?','2021-09-11','2021-10-11','42','24.35','-7.3',1350,'45','4.29','5.49','185.02','4','4',616,-371,'19','23','-8.63'
'RLC-USDT','5m','-VWLv','2021-09-11','2021-10-11','47','25.65','-8.9',1589,'49','4.93','4.64','178.58','4','5',619,-622,'23','24','-8.63'
'RLC-USDT','5m','-VW?v','2021-09-11','2021-10-11','47','25.22','-8.85',1552,'51','4.41','4.8','175.25','4','5',594,-619,'24','23','-8.63'
'RLC-USDT','5m','hPmHf','2021-09-11','2021-10-11','21','21.98','-7.29',1159,'81','3.27','6.26','159.02','10','2',370,-535,'17','4','-8.63'
'RLC-USDT','5m','_W6,U','2021-09-11','2021-10-11','48','24.57','-9.6',1461,'44','4.1','4.9','152.12','4','6',666,-446,'21','27','-8.63'
'RLC-USDT','5m','-VW<v','2021-09-11','2021-10-11','45','23.05','-8.17',1152,'56','3.44','4.66','140.92','4','5',461,-620,'25','20','-8.63'
'RLC-USDT','5m','g^VGt','2021-09-11','2021-10-11','44','20.4','-6.83',941,'59','2.48','5.28','137.85','6','4',430,-535,'26','18','-8.63'
'RLC-USDT','5m','-VW.v','2021-09-11','2021-10-11','47','23.71','-9.92',1260,'49','3.33','4.35','126.98','4','5',564,-620,'23','24','-8.63'
'RLC-USDT','5m','@VW*A','2021-09-11','2021-10-11','29','19.39','-6.51',767,'48','4.03','3.63','117.73','5','4',596,-310,'14','15','-8.63'
'RLC-USDT','5m','=bVNC','2021-09-11','2021-10-11','42','20.1','-7.38',839,'48','1.76','5.15','113.67','4','4',478,-375,'20','22','-8.63'
'RLC-USDT','5m','?dpMr','2021-09-11','2021-10-11','32','16.77','-6.13',632,'62','3.63','4.26','103.1','3','2',492,-505,'20','12','-8.63'
'RLC-USDT','5m','3OWXE','2021-09-11','2021-10-11','35','21.07','-9.51',939,'57','2.94','4.53','98.77','4','5',480,-363,'20','15','-8.63'
'RLC-USDT','5m','=ptVt','2021-09-11','2021-10-11','33','16.87','-6.57',610,'64','3.31','4.4','92.91','3','2',460,-518,'21','12','-8.63'
'RLC-USDT','5m','-VWMv','2021-09-11','2021-10-11','47','20.61','-10.45',925,'49','2.89','4.05','88.56','4','5',523,-611,'23','24','-8.63'
'RLC-USDT','5m','q9da','2021-09-11','2021-10-11','18','15.64','-6.05',486,'78','2.3','4.97','80.33','9','2',316,-487,'14','4','-8.63'
'RLC-USDT','5m','-VUWv','2021-09-11','2021-10-11','49','19.43','-11.33',844,'49','2.61','4.17','74.53','3','4',440,-598,'24','25','-8.63'
'RLC-USDT','5m','ePPW\\','2021-09-11','2021-10-11','45','16.49','-7.8',578,'51','1.85','3.98','74.06','6','5',443,-474,'23','22','-8.63'
'RLC-USDT','5m','tbik','2021-09-11','2021-10-11','33','16.11','-7.2',516,'70','2.36','3.79','71.57','7','2',375,-482,'23','10','-8.63'
'RLC-USDT','5m','-VWW^','2021-09-11','2021-10-11','44','18.37','-10.6',738,'50','2.02','3.93','69.63','4','5',442,-463,'22','22','-8.63'
'RLC-USDT','5m','-VWWa','2021-09-11','2021-10-11','44','18.34','-10.6',736,'50','2.02','3.93','69.38','4','5',442,-463,'22','22','-8.63'
'RLC-USDT','5m','-VW*=','2021-09-11','2021-10-11','33','15.05','-7.38',452,'52','2.36','2.91','61.26','3','5',577,-350,'17','16','-8.63'
'RLC-USDT','5m','?VW.v','2021-09-11','2021-10-11','45','17.5','-10.95',627,'51','1.85','3.39','57.28','4','5',538,-602,'23','22','-8.63'
'RLC-USDT','5m','ftUQf','2021-09-11','2021-10-11','38','15.91','-10.16',528,'58','1.16','4.1','51.93','4','3',454,-519,'22','16','-8.63'
'RLC-USDT','5m','@VW)?','2021-09-11','2021-10-11','31','13.49','-7.34',368,'48','2.19','2.71','50.16','5','4',599,-366,'15','16','-8.63'
'RLC-USDT','5m','-SUNv','2021-09-11','2021-10-11','47','12.42','-6.84',342,'47','2.16','3.1','49.94','3','6',472,-613,'22','25','-8.63'
'RLC-USDT','5m','ePPWb','2021-09-11','2021-10-11','47','12.44','-7.1',351,'51','1.32','3.09','49.5','5','5',425,-483,'24','23','-8.63'
'RLC-USDT','5m','?VW2v','2021-09-11','2021-10-11','45','15.3','-9.72',477,'53','1.55','3.22','49.14','4','5',482,-601,'24','21','-8.63'
'RLC-USDT','5m','-VWWu','2021-09-11','2021-10-11','47','15.84','-11.28',544,'51','1.64','3.54','48.25','4','5',433,-598,'24','23','-8.63'
'RLC-USDT','5m',',VWWv','2021-09-11','2021-10-11','47','15.84','-11.28',544,'51','1.64','3.54','48.25','4','5',433,-598,'24','23','-8.63'
'RLC-USDT','5m','-VW=v','2021-09-11','2021-10-11','46','14.76','-9.54',457,'52','1.5','3.61','47.87','4','5',443,-586,'24','22','-8.63'
'RLC-USDT','5m','CMNWv','2021-09-11','2021-10-11','52','14.64','-11.23',531,'52','2.04','3.37','47.27','5','4',426,-582,'27','25','-8.63'
'RLC-USDT','5m','LewDb','2021-09-11','2021-10-11','22','13.1','-7.41',347,'73','2.22','3.34','46.85','6','2',377,-521,'16','6','-8.63'
'RLC-USDT','5m','3OWXC','2021-09-11','2021-10-11','34','14.73','-9.51',432,'53','1.95','3.22','45.48','4','5',454,-363,'18','16','-8.63'
'RLC-USDT','5m','3OW5n','2021-09-11','2021-10-11','47','14.68','-9.98',431,'47','1.99','2.59','43.21','4','6',644,-658,'22','25','-8.63'
'RLC-USDT','5m','eRQWv','2021-09-11','2021-10-11','48','10.87','-7.03',286,'52','1.08','2.79','40.64','5','5',423,-535,'25','23','-8.63'
'RLC-USDT','5m','@VW.?','2021-09-11','2021-10-11','31','11.7','-7.36',285,'52','1.78','2.56','38.78','5','4',503,-360,'16','15','-8.63'
'RLC-USDT','5m','ePPHa','2021-09-11','2021-10-11','45','12.7','-8.6',328,'58','1.05','3.26','38.18','7','5',354,-445,'26','19','-8.63'
