'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'RSR-USDT','5m','vNqn','2021-09-11','2021-10-11','14','16.98','-2.59',574,'57','13.01','6.11','221.43','6','3',420,-181,'8','6','-1.78'
'RSR-USDT','5m','q9da','2021-09-11','2021-10-11','17','16.06','-5.21',629,'76','5.68','6.18','120.63','7','2',318,-359,'13','4','-1.78'
'RSR-USDT','5m','_W6,U','2021-09-11','2021-10-11','47','15.26','-8.9',583,'40','2.35','3.34','65.51','4','8',610,-427,'19','28','-1.78'
'RSR-USDT','5m','ftUQf','2021-09-11','2021-10-11','45','9.88','-8.12',307,'49','1.53','2.62','37.78','4','5',460,-396,'22','23','-1.78'
'RSR-USDT','5m','ui*5<','2021-09-11','2021-10-11','37','12.83','-11.25',410,'43','1.23','3.11','36.48','4','6',600,-328,'16','21','-1.78'
'RSR-USDT','5m','@_W*?','2021-09-11','2021-10-11','43','14.29','-12.04',436,'44','0.85','2.73','36.21','4','5',554,-313,'19','24','-1.78'
'RSR-USDT','5m','E^cA','2021-09-11','2021-10-11','19','12.3','-11.41',401,'58','0.9','3.94','35.18','5','4',439,-362,'11','8','-1.78'
'RSR-USDT','5m','eEsWv','2021-09-11','2021-10-11','17','11.18','-9.99',263,'53','1.41','3.07','26.33','5','4',423,-428,'9','8','-1.78'
'RSR-USDT','5m','@VW4?','2021-09-11','2021-10-11','37','9.03','-11.77',259,'51','0.5','2.79','22.01','4','7',392,-323,'19','18','-1.78'
'RSR-USDT','5m','WrVZ;','2021-09-11','2021-10-11','32','2.66','-8.42',174,'44','1.28','2.39','20.62','3','5',349,-293,'14','18','-1.78'
'RSR-USDT','5m','3OWXE','2021-09-11','2021-10-11','45','6.9','-12.42',186,'56','0.55','1.94','14.98','6','3',398,-346,'25','20','-1.78'
'RSR-USDT','5m','LewDb','2021-09-11','2021-10-11','21','7.07','-10.58',132,'62','0.31','1.85','12.46','8','3',370,-555,'13','8','-1.78'
'RSR-USDT','5m','YOR9c','2021-09-11','2021-10-11','54','7.48','-15.33',177,'52','0.37','1.6','11.52','6','7',507,-483,'28','26','-1.78'
'RSR-USDT','5m','@^W*?','2021-09-11','2021-10-11','41','6.09','-10.26',117,'41','0.35','1.48','11.39','3','5',525,-298,'17','24','-1.78'
'RSR-USDT','5m','@VWF?','2021-09-11','2021-10-11','40','3.26','-13.27',103,'52','0.16','1.58','7.74','5','7',415,-321,'21','19','-1.78'
'RSR-USDT','5m','@VW.?','2021-09-11','2021-10-11','40','5.27','-14.68',111,'50','0.17','1.52','7.57','5','7',495,-322,'20','20','-1.78'
'RSR-USDT','5m','?VW2v','2021-09-11','2021-10-11','57','4.58','-14.23',108,'51','0.37','1.33','7.56','5','7',456,-425,'29','28','-1.78'
'RSR-USDT','5m','tbik','2021-09-11','2021-10-11','36','4.33','-12.81',96,'50','0.16','1.4','7.5','6','6',362,-446,'18','18','-1.78'
'RSR-USDT','5m','?^WWv','2021-09-11','2021-10-11','58','3.07','-13.86',98,'47','0.34','1.29','7.1','5','7',409,-498,'27','31','-1.78'
'RSR-USDT','5m','3OWXC','2021-09-11','2021-10-11','44','2.82','-12.42',80,'55','0.26','1.2','6.46','6','3',398,-343,'24','20','-1.78'
'RSR-USDT','5m','@TW*?','2021-09-11','2021-10-11','35','4.87','-16.09',98,'40','0.17','1.34','6.1','6','7',536,-315,'14','21','-1.78'
'RSR-USDT','5m','ePRWv','2021-09-11','2021-10-11','55','3.36','-15.53',94,'47','0.24','1.26','6.06','5','7',405,-466,'26','29','-1.78'
'RSR-USDT','5m','?VW.v','2021-09-11','2021-10-11','57','4.4','-15.25',89,'49','0.28','1.17','5.83','5','7',500,-441,'28','29','-1.78'
'RSR-USDT','5m','@VW)?','2021-09-11','2021-10-11','40','4.74','-15.89',93,'40','0.14','1.3','5.83','4','7',580,-320,'16','24','-1.78'
'RSR-USDT','5m','o4,@X','2021-09-11','2021-10-11','55','2.32','-13.13',75,'47','0.18','1.26','5.74','5','6',440,-398,'26','29','-1.78'
'RSR-USDT','5m','?VuWv','2021-09-11','2021-10-11','25','3.83','-14.26',58,'52','0.22','1.08','4.07','6','6',415,-522,'13','12','-1.78'
'RSR-USDT','5m','BVV.a','2021-09-11','2021-10-11','56','2.89','-18.04',67,'48','0.15','1.0','3.7','5','7',493,-451,'27','29','-1.78'
'RSR-USDT','5m','<VV.a','2021-09-11','2021-10-11','56','2.89','-18.04',67,'48','0.15','1.0','3.7','5','7',493,-451,'27','29','-1.78'
