'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'RUNE-USDT','5m','@VW*A','2021-09-11','2021-10-11','40','48.34','-6.19',13853,'52','13.41','7.88','2237.62','7','4',666,-457,'21','19','-11.74'
'RUNE-USDT','5m','@VW)?','2021-09-11','2021-10-11','34','32.58','-9.69',3356,'50','3.92','5.52','346.27','7','4',662,-356,'17','17','-11.74'
'RUNE-USDT','5m','@VW.?','2021-09-11','2021-10-11','37','30.38','-8.33',2885,'49','4.88','5.77','346.26','5','4',548,-348,'18','19','-11.74'
'RUNE-USDT','5m','@XW*?','2021-09-11','2021-10-11','34','31.72','-9.36',2912,'53','3.14','5.66','311.0','7','5',615,-386,'18','16','-11.74'
'RUNE-USDT','5m','ui*5<','2021-09-11','2021-10-11','29','27.36','-8.01',2136,'45','5.76','5.46','266.66','4','5',627,-319,'13','16','-11.74'
'RUNE-USDT','5m','@VW4?','2021-09-11','2021-10-11','37','22.76','-6.46',1687,'51','4.95','5.47','261.25','6','4',420,-336,'19','18','-11.74'
'RUNE-USDT','5m','@VWF?','2021-09-11','2021-10-11','37','21.36','-6.39',1496,'54','4.74','5.5','234.23','6','4',445,-335,'20','17','-11.74'
'RUNE-USDT','5m','@VX*?','2021-09-11','2021-10-11','31','28.28','-9.61',2121,'48','2.25','5.7','220.77','5','6',621,-358,'15','16','-11.74'
'RUNE-USDT','5m','-VW*=','2021-09-11','2021-10-11','34','18.38','-6.23',947,'47','5.17','4.37','152.1','3','3',564,-323,'16','18','-11.74'
'RUNE-USDT','5m','3OWXE','2021-09-11','2021-10-11','41','20.43','-10.26',1485,'51','1.74','5.07','144.72','5','6',473,-422,'21','20','-11.74'
'RUNE-USDT','5m','@TW*?','2021-09-11','2021-10-11','34','21.84','-10.82',1108,'47','2.2','4.32','102.43','2','5',550,-351,'16','18','-11.74'
'RUNE-USDT','5m','eRNWk','2021-09-11','2021-10-11','62','17.16','-13.42',1114,'50','1.05','4.25','83.04','5','5',452,-545,'31','31','-11.74'
'RUNE-USDT','5m','3OWXC','2021-09-11','2021-10-11','40','16.82','-12.43',998,'50','0.86','4.27','80.32','5','6',470,-420,'20','20','-11.74'
'RUNE-USDT','5m','-VW*9','2021-09-11','2021-10-11','30','14.08','-8.26',561,'47','2.92','3.75','67.96','3','4',569,-293,'14','16','-11.74'
'RUNE-USDT','5m','E^cA','2021-09-11','2021-10-11','23','9.01','-4.47',291,'61','3.08','3.33','65.06','4','3',429,-342,'14','9','-11.74'
'RUNE-USDT','5m','wVW*?','2021-09-11','2021-10-11','30','14.58','-7.84',463,'43','2.06','3.66','59.1','2','4',564,-366,'13','17','-11.74'
'RUNE-USDT','5m','LewDb','2021-09-11','2021-10-11','28','7.65','-10.47',454,'57','0.73','3.52','43.35','5','5',414,-576,'16','12','-11.74'
'RUNE-USDT','5m','eEsWv','2021-09-11','2021-10-11','26','15.25','-12.77',551,'54','0.59','3.6','43.17','5','5',456,-708,'14','12','-11.74'
'RUNE-USDT','5m','eRNDv','2021-09-11','2021-10-11','61','9.06','-14.3',559,'52','0.57','2.98','39.06','5','5',408,-722,'32','29','-11.74'
'RUNE-USDT','5m','eRQWv','2021-09-11','2021-10-11','60','11.69','-18.38',554,'50','0.4','2.83','30.16','5','5',462,-762,'30','30','-11.74'
'RUNE-USDT','5m','`RNWv','2021-09-11','2021-10-11','64','7.44','-13.81',340,'47','0.42','2.41','24.66','4','5',439,-538,'30','34','-11.74'
'RUNE-USDT','5m','cRNWv','2021-09-11','2021-10-11','64','7.44','-13.81',340,'47','0.42','2.41','24.66','4','5',439,-538,'30','34','-11.74'
'RUNE-USDT','5m','\\RNWv','2021-09-11','2021-10-11','64','7.44','-13.81',340,'47','0.42','2.41','24.66','4','5',439,-538,'30','34','-11.74'
'RUNE-USDT','5m','RNWv','2021-09-11','2021-10-11','64','7.44','-13.81',340,'47','0.42','2.41','24.66','4','5',439,-538,'30','34','-11.74'
'RUNE-USDT','5m','aRNWv','2021-09-11','2021-10-11','64','7.44','-13.81',340,'47','0.42','2.41','24.66','4','5',439,-538,'30','34','-11.74'
'RUNE-USDT','5m','^RNWv','2021-09-11','2021-10-11','64','7.44','-13.81',340,'47','0.42','2.41','24.66','4','5',439,-538,'30','34','-11.74'
'RUNE-USDT','5m','_RNWv','2021-09-11','2021-10-11','64','7.44','-13.81',340,'47','0.42','2.41','24.66','4','5',439,-538,'30','34','-11.74'
'RUNE-USDT','5m',':VWWv','2021-09-11','2021-10-11','62','12.09','-18.16',447,'52','0.37','2.62','24.59','6','5',445,-671,'32','30','-11.74'
'RUNE-USDT','5m','7VWWv','2021-09-11','2021-10-11','62','12.09','-18.16',447,'52','0.37','2.62','24.59','6','5',445,-671,'32','30','-11.74'
'RUNE-USDT','5m','eRNWZ','2021-09-11','2021-10-11','62','7.13','-13.99',316,'47','0.54','2.36','22.59','5','5',426,-480,'29','33','-11.74'
'RUNE-USDT','5m','3OW?n','2021-09-11','2021-10-11','58','13.83','-23.2',511,'52','0.17','2.76','22.01','5','5',608,-729,'30','28','-11.74'
'RUNE-USDT','5m','ePPW\\','2021-09-11','2021-10-11','59','7.58','-13.79',263,'47','0.35','2.15','19.07','4','5',434,-518,'28','31','-11.74'
'RUNE-USDT','5m','?VW.v','2021-09-11','2021-10-11','63','10.52','-19.27',344,'48','0.24','2.25','17.88','6','5',555,-611,'30','33','-11.74'
'RUNE-USDT','5m','ePPWb','2021-09-11','2021-10-11','60','6.72','-12.76',224,'48','0.39','1.88','17.55','4','5',411,-513,'29','31','-11.74'
'RUNE-USDT','5m','WrVZ;','2021-09-11','2021-10-11','38','-0.43','-8.59',144,'37','0.42','2.07','16.77','3','8',348,-258,'14','24','-11.74'
'RUNE-USDT','5m','=bVNC','2021-09-11','2021-10-11','54','6.1','-12.43',203,'41','0.44','2.07','16.37','4','7',425,-348,'22','32','-11.74'
'RUNE-USDT','5m','vNqn','2021-09-11','2021-10-11','20','8.73','-13.78',223,'60','0.27','2.65','16.21','8','3',447,-591,'12','8','-11.74'
'RUNE-USDT','5m','FVW*?','2021-09-11','2021-10-11','39','5.72','-12.02',174,'38','0.32','2.2','14.51','3','6',532,-311,'15','24','-11.74'
'RUNE-USDT','5m',':YY:_','2021-09-11','2021-10-11','59','9.44','-20.75',275,'51','0.2','1.95','13.26','5','5',503,-548,'30','29','-11.74'
'RUNE-USDT','5m','eVkWv','2021-09-11','2021-10-11','39','2.3','-20.57',242,'54','0.24','2.2','11.78','5','3',477,-732,'21','18','-11.74'
'RUNE-USDT','5m','hPPHs','2021-09-11','2021-10-11','51','1.48','-14.65',158,'51','0.29','1.76','10.81','6','5',346,-681,'26','25','-11.74'
'RUNE-USDT','5m','ePPHt','2021-09-11','2021-10-11','51','1.48','-14.65',158,'51','0.29','1.76','10.81','6','5',346,-681,'26','25','-11.74'
'RUNE-USDT','5m','ePRWv','2021-09-11','2021-10-11','60','5.45','-21.62',211,'48','0.19','1.71','9.77','5','5',462,-737,'29','31','-11.74'
'RUNE-USDT','5m','IVWWv','2021-09-11','2021-10-11','60','4.89','-19.64',181,'45','0.15','1.65','9.21','5','5',447,-583,'27','33','-11.74'
'RUNE-USDT','5m','@VW*F','2021-09-11','2021-10-11','43','7.05','-19.76',172,'44','0.12','1.77','8.72','6','7',593,-431,'19','24','-11.74'
'RUNE-USDT','5m','?dpMr','2021-09-11','2021-10-11','46','2.06','-23.15',193,'50','0.18','1.7','8.32','6','6',543,-768,'23','23','-11.74'
'RUNE-USDT','5m','XRV.a','2021-09-11','2021-10-11','58','6.23','-23.4',156,'43','0.12','1.46','6.66','5','4',572,-580,'25','33','-11.74'
'RUNE-USDT','5m','ePPHa','2021-09-11','2021-10-11','55','0.0','-13.28',83,'49','0.17','1.25','6.27','4','5',331,-496,'27','28','-11.74'
'RUNE-USDT','5m','ePPH','2021-09-11','2021-10-11','55','0.0','-13.28',83,'49','0.17','1.25','6.27','4','5',331,-496,'27','28','-11.74'
'RUNE-USDT','5m','ePjWv','2021-09-11','2021-10-11','39','-0.99','-22.95',142,'51','0.14','1.6','6.2','5','5',469,-723,'20','19','-11.74'
'RUNE-USDT','5m','?VW2v','2021-09-11','2021-10-11','63','1.99','-19.59',114,'48','0.12','1.37','5.81','6','5',484,-583,'30','33','-11.74'
'RUNE-USDT','5m','-SUNv','2021-09-11','2021-10-11','62','5.42','-24.52',140,'47','0.09','1.45','5.69','4','6',490,-649,'29','33','-11.74'
'RUNE-USDT','5m','VsWv','2021-09-11','2021-10-11','33','-0.11','-18.96',99,'52','0.1','1.5','5.24','5','5',446,-645,'17','16','-11.74'
'RUNE-USDT','5m','WVsWv','2021-09-11','2021-10-11','33','-0.11','-18.96',99,'52','0.1','1.5','5.24','5','5',446,-645,'17','16','-11.74'
'RUNE-USDT','5m','-VW<v','2021-09-11','2021-10-11','57','4.6','-25.24',119,'49','0.07','1.34','4.73','6','6',452,-652,'28','29','-11.74'
'RUNE-USDT','5m','3OW5n','2021-09-11','2021-10-11','55','4.67','-24.57',101,'44','0.05','1.25','4.1','4','10',649,-681,'24','31','-11.74'
'RUNE-USDT','5m','CMNWv','2021-09-11','2021-10-11','69','0.58','-20.08',82,'43','0.07','1.2','4.1','5','6',418,-629,'30','39','-11.74'
'RUNE-USDT','5m','BVV.a','2021-09-11','2021-10-11','66','3.15','-19.76',74,'45','0.08','1.07','3.75','5','5',530,-565,'30','36','-11.74'
'RUNE-USDT','5m','<VV.a','2021-09-11','2021-10-11','66','3.15','-19.76',74,'45','0.08','1.07','3.75','5','5',530,-565,'30','36','-11.74'
'RUNE-USDT','5m','?VuWv','2021-09-11','2021-10-11','36','-3.92','-17.89',58,'47','0.09','1.03','3.25','4','4',430,-646,'17','19','-11.74'
'RUNE-USDT','5m','@_W*?','2021-09-11','2021-10-11','48','1.91','-17.17',50,'40','0.06','0.97','2.94','3','7',521,-308,'19','29','-11.74'
'RUNE-USDT','5m','-VUWv','2021-09-11','2021-10-11','66','0.41','-21.98',64,'45','0.06','1.01','2.93','5','6',422,-632,'30','36','-11.74'
'RUNE-USDT','5m','-VW.v','2021-09-11','2021-10-11','64','3.67','-26.43',74,'47','0.05','1.04','2.82','6','6',559,-656,'30','34','-11.74'
'RUNE-USDT','5m','@cW*?','2021-09-11','2021-10-11','50','1.29','-20.54',50,'38','0.04','0.92','2.45','4','12',551,-325,'19','31','-11.74'
'RUNE-USDT','5m','@^W*?','2021-09-11','2021-10-11','48','2.17','-20.64',50,'38','0.04','0.91','2.44','5','8',565,-335,'18','30','-11.74'
'RUNE-USDT','5m','-VWWa','2021-09-11','2021-10-11','63','1.25','-25.15',49,'48','0.04','0.87','1.95','5','6',436,-559,'30','33','-11.74'
'RUNE-USDT','5m','-VWMv','2021-09-11','2021-10-11','64','1.86','-25.45',47,'45','0.03','0.86','1.86','6','6',524,-646,'29','35','-11.74'
'RUNE-USDT','5m','-VWWu','2021-09-11','2021-10-11','64','0.95','-24.94',44,'48','0.03','0.84','1.78','6','6',444,-641,'31','33','-11.74'
'RUNE-USDT','5m',',VWWv','2021-09-11','2021-10-11','64','0.95','-24.94',44,'48','0.03','0.84','1.78','6','6',444,-641,'31','33','-11.74'
'RUNE-USDT','5m','-VWWl','2021-09-11','2021-10-11','64','0.95','-24.94',44,'48','0.03','0.84','1.78','6','6',444,-641,'31','33','-11.74'
'RUNE-USDT','5m','-VWWs','2021-09-11','2021-10-11','64','0.95','-24.94',44,'48','0.03','0.84','1.78','6','6',444,-641,'31','33','-11.74'
'RUNE-USDT','5m','g^VGt','2021-09-11','2021-10-11','63','-4.16','-19.77',27,'51','0.03','0.68','1.38','6','5',424,-648,'32','31','-11.74'
'RUNE-USDT','5m','MVsWv','2021-09-11','2021-10-11','34','-3.99','-16.78',21,'50','0.03','0.62','1.27','5','3',421,-679,'17','17','-11.74'
'RUNE-USDT','5m','\\sta','2021-09-11','2021-10-11','27','-5.9','-13.36',12,'59','0.03','0.47','0.92','5','3',284,-516,'16','11','-11.74'
'RUNE-USDT','5m','?^WWv','2021-09-11','2021-10-11','68','-3.83','-18.95',17,'43','0.02','0.56','0.91','5','5',418,-540,'29','39','-11.74'
'RUNE-USDT','5m','-VWW^','2021-09-11','2021-10-11','62','-1.2','-25.15',11,'47','0.01','0.52','0.42','4','6',436,-545,'29','33','-11.74'
'RUNE-USDT','5m','-VW;v','2021-09-11','2021-10-11','55','-1.56','-22.45',5,'47','0.0','0.44','0.22','4','6',496,-631,'26','29','-11.74'
'RUNE-USDT','5m','-VWLv','2021-09-11','2021-10-11','64','-1.59','-25.23',-3,'45','-0.0','0.38','-0.12','6','6',583,-628,'29','35','-11.74'
'RUNE-USDT','5m','HPqWv','2021-09-11','2021-10-11','38','-7.9','-21.63',-3,'47','-0.0','0.24','-0.16','5','4',438,-609,'18','20','-11.74'
'RUNE-USDT','5m','O=ITi','2021-09-11','2021-10-11','60','-3.65','-21.03',-6,'50','-0.01','0.23','-0.28','5','4',353,-580,'30','30','-11.74'
'RUNE-USDT','5m','fVPWv','2021-09-11','2021-10-11','66','-5.85','-22.69',-10,'45','-0.01','0.2','-0.42','5','5',422,-620,'30','36','-11.74'
'RUNE-USDT','5m','gVPWv','2021-09-11','2021-10-11','66','-5.85','-22.69',-10,'45','-0.01','0.2','-0.42','5','5',422,-620,'30','36','-11.74'
'RUNE-USDT','5m','-VW?v','2021-09-11','2021-10-11','63','-2.99','-23.57',-11,'46','-0.01','0.25','-0.46','5','6',548,-625,'29','34','-11.74'
'RUNE-USDT','5m','YOR9c','2021-09-11','2021-10-11','59','-4.53','-20.51',-14,'46','-0.02','0.25','-0.69','5','5',501,-512,'27','32','-11.74'
'RUNE-USDT','5m','-dW6n','2021-09-11','2021-10-11','69','-3.62','-24.04',-17,'43','-0.02','0.14','-0.7','5','6',553,-564,'30','39','-11.74'
'RUNE-USDT','5m','q9da','2021-09-11','2021-10-11','24','-4.21','-13.1',-9,'54','-0.02','-0.01','-0.72','4','4',297,-511,'13','11','-11.74'
'RUNE-USDT','5m','-VW=v','2021-09-11','2021-10-11','64','-5.23','-26.32',-31,'48','-0.03','-0.04','-1.17','6','6',437,-611,'31','33','-11.74'
'RUNE-USDT','5m','=ptVt','2021-09-11','2021-10-11','43','-10.78','-28.92',-62,'44','-0.08','-0.89','-2.13','7','7',466,-656,'19','24','-11.74'
'RUNE-USDT','5m','eSNWd','2021-09-11','2021-10-11','68','-8.05','-16.83',-36,'44','-0.08','-0.25','-2.16','5','5',376,-486,'30','38','-11.74'
'RUNE-USDT','5m','3eWXn','2021-09-11','2021-10-11','68','-10.93','-25.68',-57,'44','-0.07','-0.76','-2.23','5','6',403,-534,'30','38','-11.74'
'RUNE-USDT','5m','hPmHf','2021-09-11','2021-10-11','26','-20.65','-28.83',-84,'46','-0.1','-2.9','-2.91','4','6',347,-568,'12','14','-11.74'
'RUNE-USDT','5m','tbik','2021-09-11','2021-10-11','47','-23.71','-30.23',-91,'49','-0.17','-2.8','-3.01','5','6',349,-545,'23','24','-11.74'
'RUNE-USDT','5m','QYRcn','2021-09-11','2021-10-11','59','-14.07','-22.85',-70,'42','-0.09','-1.31','-3.05','3','5',413,-481,'25','34','-11.74'
'RUNE-USDT','5m','o4,@X','2021-09-11','2021-10-11','69','-16.36','-23.62',-77,'36','-0.1','-1.74','-3.25','3','6',422,-457,'25','44','-11.74'
'RUNE-USDT','5m','eVswv','2021-09-11','2021-10-11','29','-13.11','-20.67',-68,'55','-0.12','-1.87','-3.28','4','6',258,-576,'16','13','-11.74'
'RUNE-USDT','5m','eVPWc','2021-09-11','2021-10-11','69','-13.13','-20.36',-67,'43','-0.11','-1.18','-3.28','5','5',378,-488,'30','39','-11.74'
'RUNE-USDT','5m','3fWHn','2021-09-11','2021-10-11','69','-20.67','-25.18',-84,'43','-0.15','-2.26','-3.35','5','6',303,-493,'30','39','-11.74'
'RUNE-USDT','5m','ftUQf','2021-09-11','2021-10-11','61','-14.77','-23.85',-80,'44','-0.11','-1.93','-3.36','6','5',432,-446,'27','34','-11.74'
'RUNE-USDT','5m','_W6,U','2021-09-11','2021-10-11','58','-11.07','-19.24',-67,'36','-0.19','-1.3','-3.48','3','5',554,-426,'21','37','-11.74'
'RUNE-USDT','5m','7Fpob','2021-09-11','2021-10-11','34','-13.32','-13.24',-53,'38','-0.23','-1.03','-4.01','3','7',356,-538,'13','21','-11.74'
