'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'RVN-USDT','5m','3OWXC','2021-09-11','2021-10-11','30','1.51','-11.34',32,'43','0.12','0.73','2.78','5','4',370,-277,'13','17','-5.75'
'RVN-USDT','5m','tbik','2021-09-11','2021-10-11','28','-3.49','-16.83',13,'46','0.02','0.49','0.79','3','6',348,-445,'13','15','-5.75'
'RVN-USDT','5m','ftUQf','2021-09-11','2021-10-11','39','-5.03','-16.95',-9,'38','-0.02','0.14','-0.51','3','6',441,-378,'15','24','-5.75'
'RVN-USDT','5m','E^cA','2021-09-11','2021-10-11','18','-4.09','-6.11',-4,'39','-0.03','0.03','-0.7','3','3',397,-328,'7','11','-5.75'
'RVN-USDT','5m','=bVNC','2021-09-11','2021-10-11','35','-4.75','-10.42',-9,'40','-0.05','0.13','-0.84','3','4',391,-269,'14','21','-5.75'
'RVN-USDT','5m','eSNWd','2021-09-11','2021-10-11','43','-6.01','-16.25',-14,'42','-0.03','0.14','-0.85','3','6',379,-381,'18','25','-5.75'
'RVN-USDT','5m','eVPWc','2021-09-11','2021-10-11','42','-6.48','-16.07',-14,'40','-0.03','0.14','-0.87','3','6',378,-384,'17','25','-5.75'
'RVN-USDT','5m','fVPWv','2021-09-11','2021-10-11','42','-5.95','-16.07',-16,'40','-0.04','0.11','-0.98','3','6',377,-384,'17','25','-5.75'
'RVN-USDT','5m','gVPWv','2021-09-11','2021-10-11','42','-5.95','-16.07',-16,'40','-0.04','0.11','-0.98','3','6',377,-384,'17','25','-5.75'
'RVN-USDT','5m','ePPWb','2021-09-11','2021-10-11','42','-4.73','-11.97',-13,'45','-0.05','0.13','-1.09','3','5',373,-393,'19','23','-5.75'
'RVN-USDT','5m','3OWXE','2021-09-11','2021-10-11','31','-1.87','-11.53',-13,'42','-0.05','0.06','-1.11','4','4',358,-335,'13','18','-5.75'
'RVN-USDT','5m','`RNWv','2021-09-11','2021-10-11','42','-6.88','-14.94',-27,'43','-0.07','-0.07','-1.78','3','6',373,-381,'18','24','-5.75'
'RVN-USDT','5m','cRNWv','2021-09-11','2021-10-11','42','-6.88','-14.94',-27,'43','-0.07','-0.07','-1.78','3','6',373,-381,'18','24','-5.75'
'RVN-USDT','5m','\\RNWv','2021-09-11','2021-10-11','42','-6.88','-14.94',-27,'43','-0.07','-0.07','-1.78','3','6',373,-381,'18','24','-5.75'
'RVN-USDT','5m','RNWv','2021-09-11','2021-10-11','42','-6.88','-14.94',-27,'43','-0.07','-0.07','-1.78','3','6',373,-381,'18','24','-5.75'
'RVN-USDT','5m','aRNWv','2021-09-11','2021-10-11','42','-6.88','-14.94',-27,'43','-0.07','-0.07','-1.78','3','6',373,-381,'18','24','-5.75'
'RVN-USDT','5m','^RNWv','2021-09-11','2021-10-11','42','-6.88','-14.94',-27,'43','-0.07','-0.07','-1.78','3','6',373,-381,'18','24','-5.75'
'RVN-USDT','5m','_RNWv','2021-09-11','2021-10-11','42','-6.88','-14.94',-27,'43','-0.07','-0.07','-1.78','3','6',373,-381,'18','24','-5.75'
'RVN-USDT','5m','eRNWk','2021-09-11','2021-10-11','44','-6.24','-15.77',-30,'41','-0.08','-0.13','-1.9','3','6',377,-381,'18','26','-5.75'
'RVN-USDT','5m','eEsWv','2021-09-11','2021-10-11','12','-2.67','-8.84',-18,'42','-0.18','-0.44','-2.07','3','3',366,-437,'5','7','-5.75'
'RVN-USDT','5m','?^WWv','2021-09-11','2021-10-11','43','-7.7','-10.49',-24,'44','-0.13','-0.14','-2.33','4','5',349,-376,'19','24','-5.75'
'RVN-USDT','5m','?VuWv','2021-09-11','2021-10-11','16','-2.48','-9.07',-24,'44','-0.14','-0.56','-2.67','2','3',362,-488,'7','9','-5.75'
'RVN-USDT','5m','LewDb','2021-09-11','2021-10-11','16','-2.84','-8.15',-22,'62','-0.12','-0.59','-2.75','4','2',321,-433,'10','6','-5.75'
'RVN-USDT','5m','eRNWZ','2021-09-11','2021-10-11','43','-10.11','-18.71',-53,'40','-0.11','-0.67','-2.86','3','8',370,-380,'17','26','-5.75'
'RVN-USDT','5m','XRV.a','2021-09-11','2021-10-11','39','-12.05','-19.98',-59,'46','-0.12','-0.73','-2.97','4','6',454,-401,'18','21','-5.75'
'RVN-USDT','5m','-VW*=','2021-09-11','2021-10-11','32','-6.24','-12.98',-42,'34','-0.18','-0.46','-3.22','4','5',470,-267,'11','21','-5.75'
'RVN-USDT','5m','3fWHn','2021-09-11','2021-10-11','45','-11.91','-14.58',-49,'42','-0.13','-0.83','-3.34','3','5',294,-344,'19','26','-5.75'
'RVN-USDT','5m','eRQWv','2021-09-11','2021-10-11','42','-10.05','-17.32',-58,'43','-0.14','-0.84','-3.35','3','6',370,-483,'18','24','-5.75'
'RVN-USDT','5m','WrVZ;','2021-09-11','2021-10-11','31','-8.82','-9.71',-33,'32','-0.11','-0.75','-3.41','2','5',322,-276,'10','21','-5.75'
'RVN-USDT','5m','-SUNv','2021-09-11','2021-10-11','51','-28.38','-28.06',-96,'33','-0.17','-3.64','-3.42','2','8',353,-402,'17','34','-5.75'
'RVN-USDT','5m','o4,@X','2021-09-11','2021-10-11','55','-30.73','-27.83',-97,'31','-0.17','-4.44','-3.47','4','8',378,-334,'17','38','-5.75'
'RVN-USDT','5m','ePRWv','2021-09-11','2021-10-11','39','-9.58','-16.08',-56,'46','-0.13','-0.79','-3.48','4','6',378,-484,'18','21','-5.75'
'RVN-USDT','5m','3OW5n','2021-09-11','2021-10-11','42','-23.43','-26.82',-95,'38','-0.21','-2.89','-3.55','3','7',482,-402,'16','26','-5.75'
'RVN-USDT','5m','3OW?n','2021-09-11','2021-10-11','43','-25.61','-26.65',-95,'37','-0.2','-3.18','-3.58','3','7',429,-404,'16','27','-5.75'
'RVN-USDT','5m','ePPW\\','2021-09-11','2021-10-11','41','-8.85','-13.22',-48,'41','-0.17','-0.6','-3.66','3','6',356,-382,'17','24','-5.75'
'RVN-USDT','5m','eRNDv','2021-09-11','2021-10-11','43','-13.44','-20.42',-75,'42','-0.17','-1.46','-3.67','5','6',342,-534,'18','25','-5.75'
'RVN-USDT','5m','-VW;v','2021-09-11','2021-10-11','43','-23.24','-25.49',-94,'37','-0.15','-3.6','-3.68','3','6',369,-378,'16','27','-5.75'
'RVN-USDT','5m','@VW*F','2021-09-11','2021-10-11','38','-26.24','-25.81',-97,'26','-0.2','-4.77','-3.74','2','9',441,-320,'10','28','-5.75'
'RVN-USDT','5m','-VUWv','2021-09-11','2021-10-11','48','-16.29','-21.46',-81,'42','-0.15','-1.92','-3.75','4','5',324,-397,'20','28','-5.75'
'RVN-USDT','5m','-VW?v','2021-09-11','2021-10-11','45','-21.74','-24.21',-91,'38','-0.16','-2.91','-3.77','3','6',415,-381,'17','28','-5.75'
'RVN-USDT','5m','3eWXn','2021-09-11','2021-10-11','46','-13.76','-14.25',-54,'39','-0.17','-0.92','-3.78','3','5',354,-347,'18','28','-5.75'
'RVN-USDT','5m','-VW<v','2021-09-11','2021-10-11','43','-21.5','-23.17',-91,'40','-0.17','-3.1','-3.92','3','5',321,-393,'17','26','-5.75'
'RVN-USDT','5m','-VWLv','2021-09-11','2021-10-11','45','-20.63','-22.63',-90,'36','-0.18','-2.59','-3.96','3','7',432,-387,'16','29','-5.75'
'RVN-USDT','5m','hPPHs','2021-09-11','2021-10-11','41','-16.75','-21.56',-85,'46','-0.19','-2.38','-3.96','4','6',309,-524,'19','22','-5.75'
'RVN-USDT','5m','ePPHt','2021-09-11','2021-10-11','41','-16.75','-21.56',-85,'46','-0.19','-2.38','-3.96','4','6',309,-524,'19','22','-5.75'
'RVN-USDT','5m','ui*5<','2021-09-11','2021-10-11','47','-22.74','-23.29',-93,'21','-0.23','-4.83','-4.0','2','8',470,-246,'10','37','-5.75'
'RVN-USDT','5m','g^VGt','2021-09-11','2021-10-11','40','-16.8','-21.0',-84,'48','-0.18','-2.26','-4.0','5','6',343,-526,'19','21','-5.75'
'RVN-USDT','5m','ePPHa','2021-09-11','2021-10-11','41','-11.43','-15.38',-63,'46','-0.17','-1.16','-4.07','4','6',298,-386,'19','22','-5.75'
'RVN-USDT','5m','O=ITi','2021-09-11','2021-10-11','51','-22.28','-21.17',-87,'37','-0.2','-2.5','-4.11','4','7',302,-376,'19','32','-5.75'
'RVN-USDT','5m',':VWWv','2021-09-11','2021-10-11','44','-20.95','-21.57',-90,'39','-0.19','-2.81','-4.16','3','6',335,-385,'17','27','-5.75'
'RVN-USDT','5m','7VWWv','2021-09-11','2021-10-11','44','-20.95','-21.57',-90,'39','-0.19','-2.81','-4.16','3','6',335,-385,'17','27','-5.75'
'RVN-USDT','5m','YOR9c','2021-09-11','2021-10-11','43','-19.86','-21.24',-88,'40','-0.21','-2.26','-4.16','4','7',412,-382,'17','26','-5.75'
'RVN-USDT','5m','CMNWv','2021-09-11','2021-10-11','49','-16.54','-19.71',-82,'39','-0.21','-2.01','-4.17','4','7',338,-381,'19','30','-5.75'
'RVN-USDT','5m','-dW6n','2021-09-11','2021-10-11','46','-14.33','-17.31',-72,'37','-0.2','-1.39','-4.18','3','5',460,-335,'17','29','-5.75'
'RVN-USDT','5m','-VW=v','2021-09-11','2021-10-11','45','-21.14','-20.57',-86,'38','-0.2','-2.5','-4.2','3','6',343,-407,'17','28','-5.75'
'RVN-USDT','5m','@^W*?','2021-09-11','2021-10-11','38','-18.24','-20.88',-88,'32','-0.21','-2.84','-4.22','3','8',462,-254,'12','26','-5.75'
'RVN-USDT','5m','?VW2v','2021-09-11','2021-10-11','44','-24.65','-21.48',-92,'36','-0.27','-3.26','-4.27','3','5',378,-396,'16','28','-5.75'
'RVN-USDT','5m','ePPH','2021-09-11','2021-10-11','41','-12.07','-15.38',-66,'44','-0.19','-1.28','-4.27','4','6',298,-386,'18','23','-5.75'
'RVN-USDT','5m',':YY:_','2021-09-11','2021-10-11','41','-21.44','-21.46',-93,'37','-0.2','-3.54','-4.31','3','5',366,-378,'15','26','-5.75'
'RVN-USDT','5m','7Fpob','2021-09-11','2021-10-11','14','-4.08','-9.16',-40,'43','-0.16','-1.44','-4.34','2','3',342,-480,'6','8','-5.75'
'RVN-USDT','5m','@cW*?','2021-09-11','2021-10-11','37','-14.36','-18.18',-79,'30','-0.21','-1.85','-4.35','2','8',489,-285,'11','26','-5.75'
'RVN-USDT','5m','-VW.v','2021-09-11','2021-10-11','45','-18.51','-18.84',-82,'40','-0.23','-1.78','-4.37','3','5',402,-411,'18','27','-5.75'
'RVN-USDT','5m','QYRcn','2021-09-11','2021-10-11','41','-9.37','-11.1',-49,'44','-0.21','-0.73','-4.39','4','5',358,-384,'18','23','-5.75'
'RVN-USDT','5m','-VWMv','2021-09-11','2021-10-11','45','-18.72','-18.72',-82,'38','-0.21','-1.92','-4.4','3','5',381,-408,'17','28','-5.75'
'RVN-USDT','5m','-VWWu','2021-09-11','2021-10-11','45','-18.86','-17.98',-80,'40','-0.2','-1.89','-4.45','3','5',329,-413,'18','27','-5.75'
'RVN-USDT','5m',',VWWv','2021-09-11','2021-10-11','45','-18.86','-17.98',-80,'40','-0.2','-1.89','-4.45','3','5',329,-413,'18','27','-5.75'
'RVN-USDT','5m','-VWWs','2021-09-11','2021-10-11','45','-18.86','-17.98',-80,'40','-0.2','-1.89','-4.45','3','5',329,-413,'18','27','-5.75'
'RVN-USDT','5m','-VWWl','2021-09-11','2021-10-11','45','-18.86','-17.98',-80,'40','-0.2','-1.89','-4.45','3','5',329,-413,'18','27','-5.75'
'RVN-USDT','5m','@_W*?','2021-09-11','2021-10-11','39','-17.87','-19.41',-87,'31','-0.23','-2.67','-4.5','2','8',464,-266,'12','27','-5.75'
'RVN-USDT','5m','eVkWv','2021-09-11','2021-10-11','20','-5.57','-9.03',-41,'50','-0.26','-0.96','-4.52','3','3',366,-429,'10','10','-5.75'
'RVN-USDT','5m','-VWWa','2021-09-11','2021-10-11','44','-16.28','-16.59',-75,'41','-0.21','-1.66','-4.54','3','5',329,-420,'18','26','-5.75'
