'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'SAND-USDT','5m','wVW*?','2021-09-11','2021-10-11','25','17.97','-7.31',913,'48','3.28','3.84','124.81','5','3',578,-317,'12','13','-4.21'
'SAND-USDT','5m','@VW*A','2021-09-11','2021-10-11','32','10.81','-10.64',480,'44','1.29','2.83','45.08','4','5',572,-344,'14','18','-4.21'
'SAND-USDT','5m','@VWF?','2021-09-11','2021-10-11','32','2.55','-8.54',239,'47','1.22','2.61','28.02','3','4',424,-307,'15','17','-4.21'
'SAND-USDT','5m','@TW*?','2021-09-11','2021-10-11','29','6.71','-8.85',194,'38','1.01','2.22','21.93','3','4',544,-320,'11','18','-4.21'
'SAND-USDT','5m','@VW.?','2021-09-11','2021-10-11','32','4.2','-11.41',218,'44','0.67','2.14','19.07','4','6',496,-304,'14','18','-4.21'
'SAND-USDT','5m','@VW4?','2021-09-11','2021-10-11','32','0.9','-11.07',154,'44','0.58','1.92','13.94','4','6',381,-297,'14','18','-4.21'
'SAND-USDT','5m','@VX*?','2021-09-11','2021-10-11','26','4.72','-11.12',147,'38','0.59','1.85','13.21','2','4',542,-317,'10','16','-4.21'
'SAND-USDT','5m','E^cA','2021-09-11','2021-10-11','17','3.32','-7.95',83,'53','0.36','1.56','10.45','2','3',430,-356,'9','8','-4.21'
'SAND-USDT','5m','@VW)?','2021-09-11','2021-10-11','30','2.14','-12.09',101,'37','0.29','1.37','8.35','3','8',561,-301,'11','19','-4.21'
'SAND-USDT','5m','FVW*?','2021-09-11','2021-10-11','27','-0.68','-14.01',35,'33','0.07','0.78','2.47','2','8',513,-301,'9','18','-4.21'
'SAND-USDT','5m','3OWXC','2021-09-11','2021-10-11','33','-3.68','-10.22',23,'42','0.11','0.63','2.22','4','5',374,-311,'14','19','-4.21'
'SAND-USDT','5m','eVkWv','2021-09-11','2021-10-11','24','-3.01','-10.99',22,'50','0.08','0.61','1.99','3','4',368,-609,'12','12','-4.21'
'SAND-USDT','5m','@^W*?','2021-09-11','2021-10-11','33','-2.69','-12.56',22,'39','0.07','0.62','1.78','3','8',531,-320,'13','20','-4.21'
'SAND-USDT','5m','@VW*F','2021-09-11','2021-10-11','37','-3.27','-12.81',16,'38','0.06','0.53','1.22','3','7',512,-364,'14','23','-4.21'
'SAND-USDT','5m','vNqn','2021-09-11','2021-10-11','13','0.05','-5.85',7,'54','0.05','0.35','1.19','2','2',363,-488,'7','6','-4.21'
'SAND-USDT','5m','=bVNC','2021-09-11','2021-10-11','41','-4.5','-13.39',4,'39','0.01','0.31','0.29','3','8',409,-328,'16','25','-4.21'
'SAND-USDT','5m','3OWXE','2021-09-11','2021-10-11','34','-5.25','-10.22',1,'41','0.01','0.25','0.13','3','5',374,-311,'14','20','-4.21'
'SAND-USDT','5m','ePRWv','2021-09-11','2021-10-11','43','-6.77','-17.62',2,'44','0.0','0.36','0.09','3','5',400,-420,'19','24','-4.21'
'SAND-USDT','5m','@XW*?','2021-09-11','2021-10-11','30','-5.52','-14.25',-12,'37','-0.03','0.1','-0.81','2','7',499,-306,'11','19','-4.21'
'SAND-USDT','5m','eVswv','2021-09-11','2021-10-11','18','-5.33','-5.77',-5,'67','-0.03','0.03','-0.83','6','2',232,-463,'12','6','-4.21'
'SAND-USDT','5m','@cW*?','2021-09-11','2021-10-11','36','-4.71','-12.69',-20,'39','-0.05','-0.19','-1.6','2','7',515,-318,'14','22','-4.21'
'SAND-USDT','5m','eEsWv','2021-09-11','2021-10-11','15','-4.52','-8.9',-14,'40','-0.07','-0.12','-1.62','3','3',362,-435,'6','9','-4.21'
'SAND-USDT','5m','WrVZ;','2021-09-11','2021-10-11','33','-6.16','-7.64',-14,'36','-0.16','-0.18','-1.88','2','6',328,-255,'12','21','-4.21'
'SAND-USDT','5m','fVPWv','2021-09-11','2021-10-11','49','-10.95','-14.11',-30,'41','-0.1','-0.21','-2.13','3','5',375,-481,'20','29','-4.21'
'SAND-USDT','5m','gVPWv','2021-09-11','2021-10-11','49','-10.95','-14.11',-30,'41','-0.1','-0.21','-2.13','3','5',375,-481,'20','29','-4.21'
'SAND-USDT','5m','eRQWv','2021-09-11','2021-10-11','45','-11.03','-18.23',-41,'44','-0.08','-0.43','-2.22','3','5',393,-467,'20','25','-4.21'
'SAND-USDT','5m','hPmHf','2021-09-11','2021-10-11','19','-7.62','-11.73',-28,'47','-0.07','-0.7','-2.38','3','3',284,-489,'9','10','-4.21'
'SAND-USDT','5m','ePjWv','2021-09-11','2021-10-11','23','-9.35','-14.53',-35,'39','-0.1','-0.42','-2.39','4','4',339,-551,'9','14','-4.21'
'SAND-USDT','5m','q9da','2021-09-11','2021-10-11','15','-6.09','-10.79',-33,'60','-0.09','-0.96','-3.02','4','3',261,-485,'9','6','-4.21'
'SAND-USDT','5m','@_W*?','2021-09-11','2021-10-11','32','-10.52','-17.16',-54,'38','-0.1','-1.2','-3.13','3','8',533,-319,'12','20','-4.21'
'SAND-USDT','5m','3fWHn','2021-09-11','2021-10-11','48','-21.66','-23.22',-73,'44','-0.11','-1.64','-3.16','6','7',319,-480,'21','27','-4.21'
'SAND-USDT','5m','3eWXn','2021-09-11','2021-10-11','52','-26.98','-28.99',-92,'40','-0.15','-2.99','-3.18','4','7',388,-465,'21','31','-4.21'
'SAND-USDT','5m','g^VGt','2021-09-11','2021-10-11','42','-14.68','-21.46',-69,'48','-0.14','-1.39','-3.2','4','5',357,-433,'20','22','-4.21'
'SAND-USDT','5m','O=ITi','2021-09-11','2021-10-11','44','-31.3','-29.5',-95,'36','-0.15','-4.14','-3.24','4','9',320,-466,'16','28','-4.21'
'SAND-USDT','5m','hPPHs','2021-09-11','2021-10-11','43','-17.11','-20.99',-68,'47','-0.13','-1.42','-3.25','4','5',315,-456,'20','23','-4.21'
'SAND-USDT','5m','ePPHt','2021-09-11','2021-10-11','43','-17.11','-20.99',-68,'47','-0.13','-1.42','-3.25','4','5',315,-456,'20','23','-4.21'
'SAND-USDT','5m','-dW6n','2021-09-11','2021-10-11','52','-25.42','-28.74',-94,'37','-0.17','-2.91','-3.27','3','7',506,-461,'19','33','-4.21'
'SAND-USDT','5m','`RNWv','2021-09-11','2021-10-11','50','-14.86','-17.8',-61,'40','-0.15','-1.06','-3.4','3','6',374,-503,'20','30','-4.21'
'SAND-USDT','5m','cRNWv','2021-09-11','2021-10-11','50','-14.86','-17.8',-61,'40','-0.15','-1.06','-3.4','3','6',374,-503,'20','30','-4.21'
'SAND-USDT','5m','\\RNWv','2021-09-11','2021-10-11','50','-14.86','-17.8',-61,'40','-0.15','-1.06','-3.4','3','6',374,-503,'20','30','-4.21'
'SAND-USDT','5m','RNWv','2021-09-11','2021-10-11','50','-14.86','-17.8',-61,'40','-0.15','-1.06','-3.4','3','6',374,-503,'20','30','-4.21'
'SAND-USDT','5m','aRNWv','2021-09-11','2021-10-11','50','-14.86','-17.8',-61,'40','-0.15','-1.06','-3.4','3','6',374,-503,'20','30','-4.21'
'SAND-USDT','5m','^RNWv','2021-09-11','2021-10-11','50','-14.86','-17.8',-61,'40','-0.15','-1.06','-3.4','3','6',374,-503,'20','30','-4.21'
'SAND-USDT','5m','_RNWv','2021-09-11','2021-10-11','50','-14.86','-17.8',-61,'40','-0.15','-1.06','-3.4','3','6',374,-503,'20','30','-4.21'
'SAND-USDT','5m','CMNWv','2021-09-11','2021-10-11','48','-18.82','-23.58',-81,'44','-0.14','-2.13','-3.42','4','10',380,-461,'21','27','-4.21'
'SAND-USDT','5m','XRV.a','2021-09-11','2021-10-11','44','-31.39','-28.3',-97,'30','-0.2','-4.24','-3.44','3','8',414,-442,'13','31','-4.21'
