'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'SC-USDT','5m','ePPHa','2021-09-11','2021-10-11','35','36.45','-2.69',5808,'69','43.21','10.51','2160.2','7','2',385,-482,'24','11','7.77'
'SC-USDT','5m','ePPH','2021-09-11','2021-10-11','35','36.45','-2.69',5808,'69','43.21','10.51','2160.2','7','2',385,-482,'24','11','7.77'
'SC-USDT','5m','hPPHs','2021-09-11','2021-10-11','35','35.93','-2.69',5548,'69','41.77','10.6','2063.63','7','2',385,-482,'24','11','7.77'
'SC-USDT','5m','ePPHt','2021-09-11','2021-10-11','35','35.93','-2.69',5548,'69','41.77','10.6','2063.63','7','2',385,-482,'24','11','7.77'
'SC-USDT','5m','ePPWb','2021-09-11','2021-10-11','37','40.49','-4.25',8491,'59','34.66','9.84','1999.81','7','3',462,-490,'22','15','7.77'
'SC-USDT','5m','ePPW\\','2021-09-11','2021-10-11','37','40.49','-4.25',8491,'59','34.66','9.84','1999.81','7','3',462,-490,'22','15','7.77'
'SC-USDT','5m','@cW*?','2021-09-11','2021-10-11','36','41.21','-4.96',8500,'50','23.58','7.92','1714.8','4','4',661,-369,'18','18','7.77'
'SC-USDT','5m','eRQWv','2021-09-11','2021-10-11','38','37.01','-4.23',6287,'58','21.46','8.72','1486.48','7','4',455,-488,'22','16','7.77'
'SC-USDT','5m','YOR9c','2021-09-11','2021-10-11','38','35.47','-3.84',4739,'61','21.52','7.62','1234.45','8','3',566,-498,'23','15','7.77'
'SC-USDT','5m','`RNWv','2021-09-11','2021-10-11','40','35.6','-4.72',5562,'62','22.31','8.27','1178.81','7','2',440,-469,'25','15','7.77'
'SC-USDT','5m','cRNWv','2021-09-11','2021-10-11','40','35.6','-4.72',5562,'62','22.31','8.27','1178.81','7','2',440,-469,'25','15','7.77'
'SC-USDT','5m','\\RNWv','2021-09-11','2021-10-11','40','35.6','-4.72',5562,'62','22.31','8.27','1178.81','7','2',440,-469,'25','15','7.77'
'SC-USDT','5m','RNWv','2021-09-11','2021-10-11','40','35.6','-4.72',5562,'62','22.31','8.27','1178.81','7','2',440,-469,'25','15','7.77'
'SC-USDT','5m','aRNWv','2021-09-11','2021-10-11','40','35.6','-4.72',5562,'62','22.31','8.27','1178.81','7','2',440,-469,'25','15','7.77'
'SC-USDT','5m','^RNWv','2021-09-11','2021-10-11','40','35.6','-4.72',5562,'62','22.31','8.27','1178.81','7','2',440,-469,'25','15','7.77'
'SC-USDT','5m','_RNWv','2021-09-11','2021-10-11','40','35.6','-4.72',5562,'62','22.31','8.27','1178.81','7','2',440,-469,'25','15','7.77'
'SC-USDT','5m','ePRWv','2021-09-11','2021-10-11','39','31.13','-4.19',3706,'56','22.53','8.15','884.37','7','3',454,-493,'22','17','7.77'
'SC-USDT','5m','g^VGt','2021-09-11','2021-10-11','38','30.83','-4.21',3594,'63','23.63','8.31','852.9','7','2',435,-451,'24','14','7.77'
'SC-USDT','5m',':VWWv','2021-09-11','2021-10-11','38','31.73','-4.4',3732,'55','19.71','7.54','848.98','7','4',464,-528,'21','17','7.77'
'SC-USDT','5m','7VWWv','2021-09-11','2021-10-11','38','31.73','-4.4',3732,'55','19.71','7.54','848.98','7','4',464,-528,'21','17','7.77'
'SC-USDT','5m','-dW6n','2021-09-11','2021-10-11','38','37.58','-7.14',5677,'58','10.18','6.73','795.29','8','3',621,-535,'22','16','7.77'
'SC-USDT','5m','?dpMr','2021-09-11','2021-10-11','22','35.59','-5.33',4127,'64','15.89','8.09','774.37','3','2',505,-417,'14','8','7.77'
'SC-USDT','5m','eSNWd','2021-09-11','2021-10-11','44','30.86','-4.79',3627,'57','17.95','7.69','756.43','7','4',431,-468,'25','19','7.77'
'SC-USDT','5m','3eWXn','2021-09-11','2021-10-11','38','33.0','-5.72',4165,'63','12.25','7.63','728.53','8','2',457,-525,'24','14','7.77'
'SC-USDT','5m','QYRcn','2021-09-11','2021-10-11','37','30.29','-4.68',3374,'57','15.05','7.68','721.12','7','4',464,-482,'21','16','7.77'
'SC-USDT','5m','3OW?n','2021-09-11','2021-10-11','37','30.47','-4.54',3101,'57','18.39','6.11','683.51','5','3',577,-512,'21','16','7.77'
'SC-USDT','5m','3OW5n','2021-09-11','2021-10-11','37','31.71','-5.03',3238,'54','15.41','5.56','643.52','5','3',656,-516,'20','17','7.77'
'SC-USDT','5m','=bVNC','2021-09-11','2021-10-11','35','28.66','-5.1',3271,'51','12.58','7.32','641.68','7','4',502,-412,'18','17','7.77'
'SC-USDT','5m','-SUNv','2021-09-11','2021-10-11','39','34.08','-7.31',4620,'59','6.93','7.15','631.67','7','4',486,-530,'23','16','7.77'
