'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'SFP-USDT','5m','eVkWv','2021-09-11','2021-10-11','22','38.4','-3.28',5113,'82','64.46','9.26','1556.76','10','1',454,-522,'18','4','-6.12'
'SFP-USDT','5m','LewDb','2021-09-11','2021-10-11','22','40.72','-4.15',6284,'86','22.06','9.17','1516.01','8','1',430,-579,'19','3','-6.12'
'SFP-USDT','5m','?dpMr','2021-09-11','2021-10-11','30','34.82','-3.69',3751,'63','23.54','7.53','1015.55','4','3',522,-404,'19','11','-6.12'
'SFP-USDT','5m','ftUQf','2021-09-11','2021-10-11','45','32.8','-6.92',3798,'56','8.57','5.84','548.92','4','4',529,-377,'25','20','-6.12'
'SFP-USDT','5m','?VuWv','2021-09-11','2021-10-11','21','25.68','-3.38',1657,'71','14.81','7.03','490.0','4','2',412,-424,'15','6','-6.12'
'SFP-USDT','5m','ePjWv','2021-09-11','2021-10-11','22','27.09','-4.73',2181,'77','18.36','7.02','461.29','6','1',448,-617,'17','5','-6.12'
'SFP-USDT','5m','=ptVt','2021-09-11','2021-10-11','32','26.82','-5.07',1861,'66','10.07','5.62','367.26','6','2',458,-390,'21','11','-6.12'
'SFP-USDT','5m','tbik','2021-09-11','2021-10-11','30','29.27','-6.09',2172,'77','5.48','6.4','356.77','11','2',381,-451,'23','7','-6.12'
'SFP-USDT','5m','hPmHf','2021-09-11','2021-10-11','21','23.29','-5.32',1456,'81','5.05','6.32','273.48','7','1',356,-598,'17','4','-6.12'
'SFP-USDT','5m','HPqWv','2021-09-11','2021-10-11','21','22.36','-4.8',1065,'71','8.27','5.61','221.74','4','2',414,-586,'15','6','-6.12'
'SFP-USDT','5m','VsWv','2021-09-11','2021-10-11','21','17.08','-6.04',679,'71','4.31','5.05','112.39','6','2',414,-564,'15','6','-6.12'
'SFP-USDT','5m','WVsWv','2021-09-11','2021-10-11','21','17.08','-6.04',679,'71','4.31','5.05','112.39','6','2',414,-564,'15','6','-6.12'
'SFP-USDT','5m','eRNDv','2021-09-11','2021-10-11','53','16.07','-5.97',666,'55','4.79','3.75','111.6','5','4',371,-426,'29','24','-6.12'
'SFP-USDT','5m','q9da','2021-09-11','2021-10-11','19','13.96','-5.38',537,'79','2.97','4.75','99.79','8','2',311,-548,'15','4','-6.12'
'SFP-USDT','5m','eVswv','2021-09-11','2021-10-11','19','13.4','-4.77',459,'84','6.34','5.51','96.25','9','1',260,-562,'16','3','-6.12'
'SFP-USDT','5m','\\sta','2021-09-11','2021-10-11','19','12.67','-4.79',439,'79','5.39','5.18','91.57','5','1',280,-565,'15','4','-6.12'
'SFP-USDT','5m','MVsWv','2021-09-11','2021-10-11','22','15.5','-6.54',546,'68','2.41','4.28','83.4','4','2',410,-552,'15','7','-6.12'
'SFP-USDT','5m','eSNWd','2021-09-11','2021-10-11','52','13.44','-6.79',460,'52','2.7','3.07','67.79','5','4',392,-427,'27','25','-6.12'
'SFP-USDT','5m','fVPWv','2021-09-11','2021-10-11','52','11.75','-6.72',364,'52','2.48','2.79','54.17','5','4',393,-431,'27','25','-6.12'
'SFP-USDT','5m','gVPWv','2021-09-11','2021-10-11','52','11.75','-6.72',364,'52','2.48','2.79','54.17','5','4',393,-431,'27','25','-6.12'
'SFP-USDT','5m','eVPWc','2021-09-11','2021-10-11','52','11.75','-6.72',364,'52','2.48','2.79','54.17','5','4',393,-431,'27','25','-6.12'
'SFP-USDT','5m','-VW;v','2021-09-11','2021-10-11','52','11.28','-6.97',363,'56','2.32','2.3','52.12','5','3',455,-493,'29','23','-6.12'
'SFP-USDT','5m','7Fpob','2021-09-11','2021-10-11','21','11.55','-6.53',327,'67','1.86','4.21','50.09','4','1',358,-402,'14','7','-6.12'
'SFP-USDT','5m','O=ITi','2021-09-11','2021-10-11','58','12.14','-10.74',482,'53','1.54','2.71','44.91','6','5',346,-365,'31','27','-6.12'
'SFP-USDT','5m','?VW2v','2021-09-11','2021-10-11','52','8.65','-7.04',272,'54','1.74','2.05','38.66','4','3',425,-403,'28','24','-6.12'
'SFP-USDT','5m','3OW?n','2021-09-11','2021-10-11','54','10.3','-6.21',233,'54','2.46','1.89','37.48','5','3',487,-413,'29','25','-6.12'
