'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'SKL-USDT','5m','WrVZ;','2021-09-11','2021-10-11','34','15.39','-5.44',786,'47','4.4','4.7','144.64','3','4',357,-266,'16','18','-14.63'
'SKL-USDT','5m','@XW*?','2021-09-11','2021-10-11','35','18.88','-7.67',887,'43','3.4','4.67','115.67','3','4',574,-327,'15','20','-14.63'
'SKL-USDT','5m','@cW*?','2021-09-11','2021-10-11','43','12.85','-10.55',713,'40','1.6','3.24','67.58','4','7',561,-348,'17','26','-14.63'
'SKL-USDT','5m','=bVNC','2021-09-11','2021-10-11','48','6.42','-9.55',527,'40','1.76','3.12','55.19','4','5',441,-352,'19','29','-14.63'
'SKL-USDT','5m','E^cA','2021-09-11','2021-10-11','16','6.31','-2.95',162,'56','6.35','3.63','55.02','5','3',391,-283,'9','7','-14.63'
'SKL-USDT','5m','@TW*?','2021-09-11','2021-10-11','33','9.09','-5.77',290,'42','2.75','3.06','50.31','3','3',539,-305,'14','19','-14.63'
'SKL-USDT','5m','eRNDv','2021-09-11','2021-10-11','57','1.93','-10.64',476,'49','1.53','2.71','44.76','5','5',363,-542,'28','29','-14.63'
'SKL-USDT','5m','ftUQf','2021-09-11','2021-10-11','47','8.89','-10.47',449,'51','1.65','2.73','42.93','5','5',466,-407,'24','23','-14.63'
'SKL-USDT','5m','@VW4?','2021-09-11','2021-10-11','37','6.78','-6.97',293,'43','1.95','3.06','42.05','3','4',366,-307,'16','21','-14.63'
'SKL-USDT','5m','3fWHn','2021-09-11','2021-10-11','59','1.17','-15.14',629,'49','1.01','3.03','41.57','4','6',346,-579,'29','30','-14.63'
'SKL-USDT','5m','eRNWk','2021-09-11','2021-10-11','55','5.03','-11.52',468,'49','1.3','2.63','40.58','5','5',404,-547,'27','28','-14.63'
'SKL-USDT','5m','`RNWv','2021-09-11','2021-10-11','58','5.25','-10.03',398,'50','1.25','2.57','39.66','5','5',393,-525,'29','29','-14.63'
'SKL-USDT','5m','cRNWv','2021-09-11','2021-10-11','58','5.25','-10.03',398,'50','1.25','2.57','39.66','5','5',393,-525,'29','29','-14.63'
'SKL-USDT','5m','\\RNWv','2021-09-11','2021-10-11','58','5.25','-10.03',398,'50','1.25','2.57','39.66','5','5',393,-525,'29','29','-14.63'
'SKL-USDT','5m','RNWv','2021-09-11','2021-10-11','58','5.25','-10.03',398,'50','1.25','2.57','39.66','5','5',393,-525,'29','29','-14.63'
'SKL-USDT','5m','aRNWv','2021-09-11','2021-10-11','58','5.25','-10.03',398,'50','1.25','2.57','39.66','5','5',393,-525,'29','29','-14.63'
'SKL-USDT','5m','^RNWv','2021-09-11','2021-10-11','58','5.25','-10.03',398,'50','1.25','2.57','39.66','5','5',393,-525,'29','29','-14.63'
'SKL-USDT','5m','_RNWv','2021-09-11','2021-10-11','58','5.25','-10.03',398,'50','1.25','2.57','39.66','5','5',393,-525,'29','29','-14.63'
'SKL-USDT','5m','FVW*?','2021-09-11','2021-10-11','39','8.25','-8.6',338,'38','1.5','3.18','39.35','3','4',548,-306,'15','24','-14.63'
'SKL-USDT','5m','ui*5<','2021-09-11','2021-10-11','40','10.66','-8.41',314,'35','1.28','2.51','37.32','5','7',605,-326,'14','26','-14.63'
'SKL-USDT','5m','@VW.?','2021-09-11','2021-10-11','39','6.1','-6.85',230,'41','1.38','2.52','33.62','3','4',470,-302,'16','23','-14.63'
'SKL-USDT','5m','fVPWv','2021-09-11','2021-10-11','57','1.49','-11.76',375,'49','1.12','2.44','31.88','5','5',398,-541,'28','29','-14.63'
'SKL-USDT','5m','gVPWv','2021-09-11','2021-10-11','57','1.49','-11.76',375,'49','1.12','2.44','31.88','5','5',398,-541,'28','29','-14.63'
'SKL-USDT','5m','@VX*?','2021-09-11','2021-10-11','37','7.67','-8.09',247,'41','1.36','2.63','30.57','3','4',547,-304,'15','22','-14.63'
'SKL-USDT','5m','eSNWd','2021-09-11','2021-10-11','54','5.94','-11.53',345,'50','0.96','2.3','29.96','5','5',396,-537,'27','27','-14.63'
'SKL-USDT','5m','@VWF?','2021-09-11','2021-10-11','39','3.53','-6.85',204,'46','1.69','2.67','29.74','3','4',391,-299,'18','21','-14.63'
'SKL-USDT','5m','3OWXC','2021-09-11','2021-10-11','39','5.2','-5.93',167,'44','1.29','2.48','28.17','4','4',397,-283,'17','22','-14.63'
'SKL-USDT','5m','3eWXn','2021-09-11','2021-10-11','59','1.09','-13.64',347,'44','0.71','2.29','25.41','4','6',412,-556,'26','33','-14.63'
