'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'SNX-USDT','5m','ePjWv','2021-09-11','2021-10-11','24','29.87','-7.27',2836,'62','7.82','5.89','390.34','6','3',472,-628,'15','9','-9.41'
'SNX-USDT','5m','@VW*F','2021-09-11','2021-10-11','42','20.18','-7.89',856,'48','3.97','3.75','108.48','3','4',574,-388,'20','22','-9.41'
'SNX-USDT','5m','E^cA','2021-09-11','2021-10-11','19','15.87','-5.38',569,'58','3.98','5.13','105.89','5','3',440,-274,'11','8','-9.41'
'SNX-USDT','5m','3OWXC','2021-09-11','2021-10-11','36','14.52','-8.15',710,'58','2.08','4.1','87.23','7','4',452,-329,'21','15','-9.41'
'SNX-USDT','5m','3OWXE','2021-09-11','2021-10-11','37','12.69','-6.64',570,'59','2.35','3.71','85.82','4','2',438,-332,'22','15','-9.41'
'SNX-USDT','5m','-VW*=','2021-09-11','2021-10-11','32','20.96','-12.35',936,'47','1.0','4.12','75.78','3','5',625,-366,'15','17','-9.41'
'SNX-USDT','5m','@VW*A','2021-09-11','2021-10-11','41','16.44','-10.44',707,'44','1.96','3.64','67.71','3','4',570,-388,'18','23','-9.41'
'SNX-USDT','5m','tbik','2021-09-11','2021-10-11','37','7.02','-5.14',331,'54','3.6','3.03','64.54','3','3',348,-462,'20','17','-9.41'
'SNX-USDT','5m','@cW*?','2021-09-11','2021-10-11','43','17.95','-11.6',721,'37','1.28','3.03','62.16','3','7',618,-400,'16','27','-9.41'
'SNX-USDT','5m','-VW*9','2021-09-11','2021-10-11','23','12.09','-5.92',318,'43','1.6','3.29','53.79','4','4',554,-299,'10','13','-9.41'
'SNX-USDT','5m','eVswv','2021-09-11','2021-10-11','21','2.52','-5.44',210,'67','2.56','3.51','38.66','6','2',257,-429,'14','7','-9.41'
'SNX-USDT','5m','vNqn','2021-09-11','2021-10-11','14','9.44','-5.59',200,'64','0.96','3.13','35.73','4','3',405,-533,'9','5','-9.41'
'SNX-USDT','5m','XRV.a','2021-09-11','2021-10-11','49','6.85','-7.93',248,'51','1.82','1.89','31.34','4','5',471,-529,'25','24','-9.41'
'SNX-USDT','5m','@VW)?','2021-09-11','2021-10-11','35','12.37','-12.59',393,'43','0.83','2.85','31.18','3','7',568,-326,'15','20','-9.41'
'SNX-USDT','5m','@_W*?','2021-09-11','2021-10-11','42','12.82','-11.75',345,'40','1.05','2.54','29.39','3','4',543,-362,'17','25','-9.41'
'SNX-USDT','5m','@VW.?','2021-09-11','2021-10-11','36','9.41','-12.06',292,'47','0.74','2.65','24.22','3','3',463,-320,'17','19','-9.41'
'SNX-USDT','5m','=ptVt','2021-09-11','2021-10-11','33','7.57','-9.01',216,'58','1.48','2.09','23.93','4','2',423,-609,'19','14','-9.41'
'SNX-USDT','5m','@^W*?','2021-09-11','2021-10-11','41','11.19','-12.09',272,'41','0.74','2.31','22.52','3','4',549,-359,'17','24','-9.41'
'SNX-USDT','5m','@VW4?','2021-09-11','2021-10-11','36','7.67','-10.45',231,'50','0.72','2.6','22.08','4','3',359,-316,'18','18','-9.41'
'SNX-USDT','5m','wVW*?','2021-09-11','2021-10-11','28','9.98','-11.75',236,'43','0.63','2.07','20.09','5','5',531,-302,'12','16','-9.41'
'SNX-USDT','5m','?^WWv','2021-09-11','2021-10-11','55','1.23','-8.61',140,'49','0.91','1.5','16.27','4','4',377,-520,'27','28','-9.41'
'SNX-USDT','5m','ePPW\\','2021-09-11','2021-10-11','53','4.34','-14.14',163,'45','0.38','1.6','11.56','4','7',366,-461,'24','29','-9.41'
'SNX-USDT','5m','WrVZ;','2021-09-11','2021-10-11','35','-0.9','-8.98',101,'43','0.62','1.83','11.21','3','5',355,-280,'15','20','-9.41'
'SNX-USDT','5m','eRQWv','2021-09-11','2021-10-11','54','1.53','-8.53',93,'44','0.78','1.24','10.92','3','5',366,-497,'24','30','-9.41'
'SNX-USDT','5m',':YY:_','2021-09-11','2021-10-11','54','2.57','-12.0',129,'52','0.5','1.49','10.72','4','4',431,-410,'28','26','-9.41'
'SNX-USDT','5m','@VWF?','2021-09-11','2021-10-11','36','3.98','-10.36',105,'50','0.39','1.69','10.18','4','3',376,-303,'18','18','-9.41'
'SNX-USDT','5m','=bVNC','2021-09-11','2021-10-11','47','3.64','-10.81',105,'43','0.44','1.4','9.67','4','6',441,-355,'20','27','-9.41'
'SNX-USDT','5m','hPPHs','2021-09-11','2021-10-11','52','-0.97','-10.09',90,'50','0.55','1.21','8.91','4','4',308,-499,'26','26','-9.41'
'SNX-USDT','5m','ePPHt','2021-09-11','2021-10-11','52','-0.97','-10.09',90,'50','0.55','1.21','8.91','4','4',308,-499,'26','26','-9.41'
'SNX-USDT','5m','@XW*?','2021-09-11','2021-10-11','38','4.76','-14.16',121,'42','0.3','1.59','8.58','3','8',503,-286,'16','22','-9.41'
'SNX-USDT','5m','g^VGt','2021-09-11','2021-10-11','52','-2.49','-9.04',56,'48','0.41','0.94','6.23','4','5',357,-467,'25','27','-9.41'
