'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'SRM-USDT','5m','ui*5<','2021-09-11','2021-10-11','36','21.0','-10.84',1226,'36','1.94','5.13','113.08','2','7',673,-290,'13','23','-34.79'
'SRM-USDT','5m','3OWXC','2021-09-11','2021-10-11','39','12.05','-7.76',643,'49','2.69','3.9','82.81','4','4',439,-353,'19','20','-34.79'
'SRM-USDT','5m','3OWXE','2021-09-11','2021-10-11','43','7.37','-7.12',424,'47','1.87','3.03','59.59','4','4',427,-383,'20','23','-34.79'
'SRM-USDT','5m','-VW*9','2021-09-11','2021-10-11','30','10.18','-8.65',349,'37','1.19','2.99','40.36','2','5',584,-302,'11','19','-34.79'
'SRM-USDT','5m','WrVZ;','2021-09-11','2021-10-11','38','4.72','-8.26',307,'37','1.07','3.32','37.17','4','5',370,-272,'14','24','-34.79'
'SRM-USDT','5m','-VW*=','2021-09-11','2021-10-11','38','-0.66','-19.08',37,'32','0.04','0.79','1.94','4','6',577,-299,'12','26','-34.79'
'SRM-USDT','5m','wVW*?','2021-09-11','2021-10-11','33','-0.39','-11.79',5,'39','0.01','0.34','0.39','3','4',518,-320,'13','20','-34.79'
'SRM-USDT','5m','@VX*?','2021-09-11','2021-10-11','39','-4.4','-13.54',5,'31','0.01','0.37','0.36','4','5',529,-328,'12','27','-34.79'
'SRM-USDT','5m','@XW*?','2021-09-11','2021-10-11','46','-6.8','-16.56',-20,'30','-0.04','0.02','-1.21','5','5',536,-316,'14','32','-34.79'
'SRM-USDT','5m','@VW4?','2021-09-11','2021-10-11','43','-8.16','-10.69',-13,'42','-0.06','0.0','-1.23','5','5',359,-315,'18','25','-34.79'
'SRM-USDT','5m','@_W*?','2021-09-11','2021-10-11','49','-5.18','-19.59',-33,'31','-0.09','-0.28','-1.7','2','6',548,-290,'15','34','-34.79'
'SRM-USDT','5m','@VWF?','2021-09-11','2021-10-11','43','-10.15','-10.74',-25,'42','-0.09','-0.26','-2.3','5','5',383,-313,'18','25','-34.79'
