'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'STMX-USDT','5m','E^cA','2021-09-11','2021-10-11','22','26.95','-5.25',2053,'68','15.16','7.2','391.31','9','2',485,-382,'15','7','-1.46'
'STMX-USDT','5m','wVW*?','2021-09-11','2021-10-11','25','25.75','-6.53',1915,'48','3.81','6.35','293.49','5','3',600,-305,'12','13','-1.46'
'STMX-USDT','5m','@VX*?','2021-09-11','2021-10-11','31','23.46','-9.78',1651,'45','2.9','5.12','168.79','3','4',570,-353,'14','17','-1.46'
'STMX-USDT','5m','FVW*?','2021-09-11','2021-10-11','40','21.69','-9.87',1413,'42','2.66','4.79','143.2','6','4',580,-367,'17','23','-1.46'
'STMX-USDT','5m','@VW*F','2021-09-11','2021-10-11','44','18.46','-14.94',1927,'43','1.34','4.73','128.98','4','5',569,-416,'19','25','-1.46'
'STMX-USDT','5m','@TW*?','2021-09-11','2021-10-11','30','17.03','-9.84',826,'43','1.79','4.45','83.9','5','5',552,-333,'13','17','-1.46'
'STMX-USDT','5m','@VW*A','2021-09-11','2021-10-11','41','18.96','-13.58',1050,'41','1.14','4.17','77.31','4','5',564,-341,'17','24','-1.46'
'STMX-USDT','5m','tbik','2021-09-11','2021-10-11','32','13.06','-7.44',469,'56','1.48','3.95','62.96','7','4',355,-444,'18','14','-1.46'
'STMX-USDT','5m','3OWXC','2021-09-11','2021-10-11','42','9.44','-8.15',500,'45','2.0','3.63','61.37','3','7',414,-334,'19','23','-1.46'
'STMX-USDT','5m','3OWXE','2021-09-11','2021-10-11','42','9.44','-8.15',500,'45','2.0','3.63','61.37','3','7',414,-334,'19','23','-1.46'
'STMX-USDT','5m','@VW)?','2021-09-11','2021-10-11','40','17.4','-13.31',814,'40','1.13','3.68','61.15','4','4',598,-350,'16','24','-1.46'
'STMX-USDT','5m','@cW*?','2021-09-11','2021-10-11','43','12.87','-11.77',572,'40','1.09','3.54','48.63','3','4',548,-323,'17','26','-1.46'
'STMX-USDT','5m','@VW.?','2021-09-11','2021-10-11','41','11.79','-13.66',499,'41','0.71','3.38','36.52','4','5',498,-336,'17','24','-1.46'
'STMX-USDT','5m','@VWF?','2021-09-11','2021-10-11','41','8.95','-13.27',438,'51','0.57','3.54','33.02','5','4',403,-335,'21','20','-1.46'
'STMX-USDT','5m','=ptVt','2021-09-11','2021-10-11','29','11.76','-10.2',320,'52','1.17','2.86','31.33','4','3',428,-602,'15','14','-1.46'
'STMX-USDT','5m','@^W*?','2021-09-11','2021-10-11','38','10.01','-11.82',318,'39','0.66','2.86','26.88','3','4',527,-308,'15','23','-1.46'
'STMX-USDT','5m','@_W*?','2021-09-11','2021-10-11','38','9.53','-11.97',296,'37','0.63','2.77','24.73','3','4',525,-306,'14','24','-1.46'
'STMX-USDT','5m','=bVNC','2021-09-11','2021-10-11','42','9.02','-14.52',350,'40','0.46','2.84','24.1','3','6',427,-315,'17','25','-1.46'
'STMX-USDT','5m','ui*5<','2021-09-11','2021-10-11','30','8.65','-10.61',249,'33','0.47','2.7','23.48','3','7',583,-224,'10','20','-1.46'
'STMX-USDT','5m','@VW4?','2021-09-11','2021-10-11','41','5.3','-13.47',270,'39','0.42','2.84','20.06','4','5',378,-326,'16','25','-1.46'
'STMX-USDT','5m','eEsWv','2021-09-11','2021-10-11','16','7.54','-7.78',142,'62','0.8','2.12','18.29','3','2',385,-600,'10','6','-1.46'
'STMX-USDT','5m','-VW*=','2021-09-11','2021-10-11','34','3.64','-12.86',107,'35','0.26','1.39','8.35','3','4',498,-259,'12','22','-1.46'
'STMX-USDT','5m','-VW*9','2021-09-11','2021-10-11','30','4.06','-11.55',72,'37','0.23','1.14','6.21','3','5',530,-286,'11','19','-1.46'
'STMX-USDT','5m','vNqn','2021-09-11','2021-10-11','15','3.34','-8.79',49,'60','0.23','1.08','5.58','3','3',373,-508,'9','6','-1.46'
'STMX-USDT','5m','ePjWv','2021-09-11','2021-10-11','23','1.71','-12.32',50,'52','0.22','0.97','4.06','2','3',377,-560,'12','11','-1.46'
'STMX-USDT','5m','@XW*?','2021-09-11','2021-10-11','38','0.76','-13.59',48,'34','0.12','0.98','3.55','4','4',483,-301,'13','25','-1.46'
'STMX-USDT','5m','VsWv','2021-09-11','2021-10-11','23','0.24','-13.66',18,'52','0.08','0.57','1.33','2','3',376,-569,'12','11','-1.46'
'STMX-USDT','5m','WVsWv','2021-09-11','2021-10-11','23','0.24','-13.66',18,'52','0.08','0.57','1.33','2','3',376,-569,'12','11','-1.46'
'STMX-USDT','5m','3OW5n','2021-09-11','2021-10-11','53','-2.91','-15.46',5,'40','0.02','0.42','0.3','3','8',535,-472,'21','32','-1.46'
'STMX-USDT','5m','WrVZ;','2021-09-11','2021-10-11','43','-4.82','-15.18',0,'40','-0.0','0.22','-0.03','4','4',309,-262,'17','26','-1.46'
'STMX-USDT','5m','7Fpob','2021-09-11','2021-10-11','18','-2.66','-11.31',-3,'50','-0.01','0.08','-0.27','3','3',369,-480,'9','9','-1.46'
'STMX-USDT','5m','?^WWv','2021-09-11','2021-10-11','54','-3.48','-14.82',-6,'44','-0.02','0.2','-0.44','4','4',358,-440,'24','30','-1.46'
'STMX-USDT','5m','MVsWv','2021-09-11','2021-10-11','24','-1.98','-13.49',-10,'54','-0.02','0.11','-0.72','2','3',353,-536,'13','11','-1.46'
'STMX-USDT','5m','IVWWv','2021-09-11','2021-10-11','53','-5.75','-12.83',-12,'42','-0.04','0.09','-0.93','3','6',355,-439,'22','31','-1.46'
'STMX-USDT','5m','HPqWv','2021-09-11','2021-10-11','21','-2.07','-10.91',-11,'52','-0.05','0.01','-0.97','2','3',367,-562,'11','10','-1.46'
'STMX-USDT','5m','?dpMr','2021-09-11','2021-10-11','33','-3.28','-16.43',-19,'42','-0.06','-0.03','-1.17','3','6',429,-541,'14','19','-1.46'
'STMX-USDT','5m',':YY:_','2021-09-11','2021-10-11','52','-8.18','-14.67',-20,'38','-0.05','-0.0','-1.34','4','6',397,-432,'20','32','-1.46'
'STMX-USDT','5m','LewDb','2021-09-11','2021-10-11','22','-7.11','-13.93',-19,'50','-0.04','-0.13','-1.38','2','3',330,-450,'11','11','-1.46'
'STMX-USDT','5m','3OW?n','2021-09-11','2021-10-11','54','-6.99','-13.37',-21,'43','-0.09','-0.03','-1.61','3','8',457,-454,'23','31','-1.46'
'STMX-USDT','5m','BVV.a','2021-09-11','2021-10-11','54','-6.5','-14.17',-24,'39','-0.07','-0.08','-1.69','3','6',433,-441,'21','33','-1.46'
'STMX-USDT','5m','<VV.a','2021-09-11','2021-10-11','54','-6.5','-14.17',-24,'39','-0.07','-0.08','-1.69','3','6',433,-441,'21','33','-1.46'
'STMX-USDT','5m','?VW.v','2021-09-11','2021-10-11','52','-6.07','-15.53',-28,'40','-0.07','-0.15','-1.81','3','7',435,-441,'21','31','-1.46'
'STMX-USDT','5m','eRNWZ','2021-09-11','2021-10-11','51','-8.92','-18.38',-34,'41','-0.06','-0.36','-1.83','3','5',351,-431,'21','30','-1.46'
'STMX-USDT','5m','ftUQf','2021-09-11','2021-10-11','51','-7.91','-20.87',-44,'41','-0.08','-0.51','-2.13','3','5',418,-533,'21','30','-1.46'
'STMX-USDT','5m','hPmHf','2021-09-11','2021-10-11','21','-8.89','-12.99',-31,'52','-0.12','-0.44','-2.37','2','2',307,-479,'11','10','-1.46'
'STMX-USDT','5m','?VuWv','2021-09-11','2021-10-11','24','-5.67','-15.16',-39,'46','-0.13','-0.72','-2.56','2','4',367,-539,'11','13','-1.46'
'STMX-USDT','5m','CMNWv','2021-09-11','2021-10-11','57','-8.62','-15.61',-41,'40','-0.1','-0.43','-2.62','3','6',343,-431,'23','34','-1.46'
'STMX-USDT','5m','eVPWc','2021-09-11','2021-10-11','53','-9.8','-20.34',-55,'40','-0.09','-1.01','-2.73','3','5',357,-425,'21','32','-1.46'
'STMX-USDT','5m','-VW?v','2021-09-11','2021-10-11','56','-8.04','-17.02',-47,'41','-0.11','-0.49','-2.77','6','7',435,-433,'23','33','-1.46'
'STMX-USDT','5m','\\sta','2021-09-11','2021-10-11','22','-6.45','-13.38',-39,'59','-0.11','-0.78','-2.9','2','2',261,-465,'13','9','-1.46'
'STMX-USDT','5m','?VW2v','2021-09-11','2021-10-11','53','-9.69','-14.94',-44,'40','-0.13','-0.53','-2.91','3','7',396,-443,'21','32','-1.46'
'STMX-USDT','5m','-VW.v','2021-09-11','2021-10-11','57','-9.53','-17.31',-54,'40','-0.14','-0.6','-3.11','6','7',426,-442,'23','34','-1.46'
