'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'STORJ-USDT','5m','wVW*?','2021-09-11','2021-10-11','24','31.53','-5.24',2750,'50','9.36','6.27','524.9','4','3',590,-357,'12','12','6.25'
'STORJ-USDT','5m','@VW*F','2021-09-11','2021-10-11','35','38.38','-11.61',5300,'57','8.07','6.05','456.44','5','4',633,-421,'20','15','6.25'
'STORJ-USDT','5m','E^cA','2021-09-11','2021-10-11','19','27.38','-5.56',2006,'79','12.3','7.91','360.67','12','2',480,-390,'15','4','6.25'
'STORJ-USDT','5m','@XW*?','2021-09-11','2021-10-11','32','25.34','-6.68',2390,'50','8.69','5.7','357.87','4','3',590,-329,'16','16','6.25'
'STORJ-USDT','5m','FVW*?','2021-09-11','2021-10-11','31','31.27','-7.63',2679,'48','6.55','5.9','350.92','4','3',596,-320,'15','16','6.25'
'STORJ-USDT','5m','@^W*?','2021-09-11','2021-10-11','32','26.55','-5.53',1778,'47','13.13','5.25','321.54','3','3',587,-339,'15','17','6.25'
'STORJ-USDT','5m','@VX*?','2021-09-11','2021-10-11','31','23.39','-7.02',1957,'52','6.61','5.17','278.65','3','3',581,-318,'16','15','6.25'
'STORJ-USDT','5m','@_W*?','2021-09-11','2021-10-11','34','26.17','-6.3',1714,'47','11.19','5.08','272.18','3','3',586,-339,'16','18','6.25'
'STORJ-USDT','5m','@cW*?','2021-09-11','2021-10-11','37','28.57','-8.11',2187,'46','7.36','5.57','269.66','3','4',593,-328,'17','20','6.25'
'STORJ-USDT','5m','@VW)?','2021-09-11','2021-10-11','33','28.53','-8.29',2115,'48','6.3','5.3','255.17','4','3',619,-326,'16','17','6.25'
'STORJ-USDT','5m','@VW*A','2021-09-11','2021-10-11','34','27.37','-8.47',1880,'50','6.81','5.19','221.87','4','3',579,-325,'17','17','6.25'
'STORJ-USDT','5m','@VW.?','2021-09-11','2021-10-11','33','24.65','-8.5',1461,'48','6.18','5.21','171.9','4','3',513,-322,'16','17','6.25'
