'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'SXP-USDT','5m','eEsWv','2021-09-11','2021-10-11','14','6.05','-5.09',104,'57','1.05','1.89','20.5','3','3',376,-616,'8','6','-7.23'
'SXP-USDT','5m','vNqn','2021-09-11','2021-10-11','10','1.55','-3.38',28,'60','0.45','1.25','8.18','3','2',373,-320,'6','4','-7.23'
'SXP-USDT','5m','hPmHf','2021-09-11','2021-10-11','16','1.31','-8.37',17,'69','0.09','0.57','2.04','5','2',283,-519,'11','5','-7.23'
'SXP-USDT','5m','q9da','2021-09-11','2021-10-11','15','1.17','-11.13',15,'73','0.04','0.56','1.36','11','3',244,-457,'11','4','-7.23'
'SXP-USDT','5m','o4,@X','2021-09-11','2021-10-11','53','-5.01','-12.27',-23,'38','-0.11','-0.16','-1.91','3','6',411,-426,'20','33','-7.23'
'SXP-USDT','5m','LewDb','2021-09-11','2021-10-11','15','-1.99','-10.81',-21,'53','-0.06','-0.31','-1.97','3','3',342,-465,'8','7','-7.23'
'SXP-USDT','5m','_W6,U','2021-09-11','2021-10-11','53','-5.19','-15.0',-36,'34','-0.13','-0.33','-2.38','3','7',535,-386,'18','35','-7.23'
'SXP-USDT','5m','ePjWv','2021-09-11','2021-10-11','22','-2.35','-7.98',-23,'55','-0.22','-0.27','-2.9','4','4',362,-534,'12','10','-7.23'
'SXP-USDT','5m','3eWXn','2021-09-11','2021-10-11','55','-33.53','-31.49',-99,'33','-0.15','-7.84','-3.14','2','6',305,-386,'18','37','-7.23'
'SXP-USDT','5m','@cW*?','2021-09-11','2021-10-11','47','-30.8','-29.99',-99,'21','-0.21','-6.33','-3.29','2','9',424,-284,'10','37','-7.23'
'SXP-USDT','5m','3OW5n','2021-09-11','2021-10-11','45','-30.04','-29.47',-99,'27','-0.22','-6.02','-3.34','2','6',451,-327,'12','33','-7.23'
'SXP-USDT','5m','@VX*?','2021-09-11','2021-10-11','29','-9.3','-20.36',-68,'24','-0.1','-1.71','-3.35','2','10',523,-331,'7','22','-7.23'
'SXP-USDT','5m','eRNDv','2021-09-11','2021-10-11','47','-12.19','-20.85',-73,'43','-0.17','-1.57','-3.49','3','6',311,-401,'20','27','-7.23'
'SXP-USDT','5m','-dW6n','2021-09-11','2021-10-11','54','-29.17','-27.79',-98,'30','-0.18','-5.93','-3.53','2','6',408,-383,'16','38','-7.23'
'SXP-USDT','5m','eVkWv','2021-09-11','2021-10-11','22','-8.68','-18.43',-66,'50','-0.16','-1.47','-3.58','4','5',335,-465,'11','11','-7.23'
'SXP-USDT','5m','g^VGt','2021-09-11','2021-10-11','43','-13.22','-20.03',-75,'42','-0.16','-1.96','-3.74','3','6',317,-399,'18','25','-7.23'
'SXP-USDT','5m','@TW*?','2021-09-11','2021-10-11','31','-12.61','-21.14',-79,'23','-0.16','-2.39','-3.74','2','7',522,-293,'7','24','-7.23'
'SXP-USDT','5m','3fWHn','2021-09-11','2021-10-11','53','-28.65','-25.88',-97,'42','-0.16','-6.41','-3.76','4','6',249,-390,'22','31','-7.23'
'SXP-USDT','5m','-VW*=','2021-09-11','2021-10-11','37','-23.9','-25.34',-96,'19','-0.2','-5.19','-3.78','1','12',483,-270,'7','30','-7.23'
'SXP-USDT','5m','WrVZ;','2021-09-11','2021-10-11','44','-28.08','-25.07',-97,'23','-0.17','-7.76','-3.87','2','6',291,-251,'10','34','-7.23'
'SXP-USDT','5m','E^cA','2021-09-11','2021-10-11','20','-4.61','-9.48',-37,'40','-0.22','-0.77','-3.93','5','3',400,-310,'8','12','-7.23'
'SXP-USDT','5m','`RNWv','2021-09-11','2021-10-11','50','-18.03','-22.58',-89,'40','-0.17','-2.93','-3.93','3','6',307,-400,'20','30','-7.23'
'SXP-USDT','5m','cRNWv','2021-09-11','2021-10-11','50','-18.03','-22.58',-89,'40','-0.17','-2.93','-3.93','3','6',307,-400,'20','30','-7.23'
'SXP-USDT','5m','\\RNWv','2021-09-11','2021-10-11','50','-18.03','-22.58',-89,'40','-0.17','-2.93','-3.93','3','6',307,-400,'20','30','-7.23'
'SXP-USDT','5m','RNWv','2021-09-11','2021-10-11','50','-18.03','-22.58',-89,'40','-0.17','-2.93','-3.93','3','6',307,-400,'20','30','-7.23'
'SXP-USDT','5m','aRNWv','2021-09-11','2021-10-11','50','-18.03','-22.58',-89,'40','-0.17','-2.93','-3.93','3','6',307,-400,'20','30','-7.23'
'SXP-USDT','5m','^RNWv','2021-09-11','2021-10-11','50','-18.03','-22.58',-89,'40','-0.17','-2.93','-3.93','3','6',307,-400,'20','30','-7.23'
'SXP-USDT','5m','_RNWv','2021-09-11','2021-10-11','50','-18.03','-22.58',-89,'40','-0.17','-2.93','-3.93','3','6',307,-400,'20','30','-7.23'
'SXP-USDT','5m','=bVNC','2021-09-11','2021-10-11','49','-26.18','-24.53',-97,'24','-0.24','-5.6','-3.94','3','9',350,-288,'12','37','-7.23'
'SXP-USDT','5m','eRNWk','2021-09-11','2021-10-11','48','-13.39','-19.81',-78,'40','-0.2','-1.97','-3.94','3','6',334,-401,'19','29','-7.23'
'SXP-USDT','5m','-SUNv','2021-09-11','2021-10-11','50','-24.74','-23.53',-96,'28','-0.23','-5.28','-4.09','2','6',353,-341,'14','36','-7.23'
'SXP-USDT','5m','ftUQf','2021-09-11','2021-10-11','46','-9.48','-14.89',-61,'37','-0.2','-1.28','-4.11','3','6',396,-428,'17','29','-7.23'
'SXP-USDT','5m','-VW*9','2021-09-11','2021-10-11','32','-17.68','-21.56',-89,'19','-0.19','-3.7','-4.13','1','10',486,-252,'6','26','-7.23'
'SXP-USDT','5m','-VW<v','2021-09-11','2021-10-11','46','-24.57','-23.21',-96,'33','-0.19','-5.45','-4.13','2','5',319,-329,'15','31','-7.23'
'SXP-USDT','5m','eRQWv','2021-09-11','2021-10-11','47','-14.42','-19.55',-81,'38','-0.19','-2.21','-4.14','3','6',325,-401,'18','29','-7.23'
'SXP-USDT','5m','VsWv','2021-09-11','2021-10-11','19','-2.79','-6.55',-27,'47','-0.22','-0.42','-4.15','4','3',364,-561,'9','10','-7.23'
'SXP-USDT','5m','WVsWv','2021-09-11','2021-10-11','19','-2.79','-6.55',-27,'47','-0.22','-0.42','-4.15','4','3',364,-561,'9','10','-7.23'
'SXP-USDT','5m','@XW*?','2021-09-11','2021-10-11','34','-18.42','-21.68',-91,'21','-0.19','-4.12','-4.19','1','11',491,-308,'7','27','-7.23'
'SXP-USDT','5m','3OW?n','2021-09-11','2021-10-11','45','-23.5','-22.54',-96,'36','-0.34','-4.56','-4.24','4','5',428,-351,'16','29','-7.23'
'SXP-USDT','5m','-VUWv','2021-09-11','2021-10-11','51','-24.04','-22.33',-95,'29','-0.23','-4.94','-4.27','2','7',325,-341,'15','36','-7.23'
'SXP-USDT','5m','YOR9c','2021-09-11','2021-10-11','46','-23.06','-22.29',-95,'35','-0.32','-4.04','-4.28','2','7',405,-411,'16','30','-7.23'
'SXP-USDT','5m','wVW*?','2021-09-11','2021-10-11','32','-22.13','-21.83',-95,'22','-0.2','-4.65','-4.35','2','8',463,-277,'7','25','-7.23'
'SXP-USDT','5m',':VWWv','2021-09-11','2021-10-11','48','-23.34','-21.83',-95,'27','-0.28','-5.41','-4.35','2','7',337,-359,'13','35','-7.23'
'SXP-USDT','5m','7VWWv','2021-09-11','2021-10-11','48','-23.34','-21.83',-95,'27','-0.28','-5.41','-4.35','2','7',337,-359,'13','35','-7.23'
'SXP-USDT','5m','eSNWd','2021-09-11','2021-10-11','49','-20.21','-21.01',-92,'37','-0.21','-3.4','-4.37','3','6',314,-400,'18','31','-7.23'
'SXP-USDT','5m','@VWF?','2021-09-11','2021-10-11','32','-8.7','-12.29',-54,'38','-0.17','-1.44','-4.4','4','5',373,-281,'12','20','-7.23'
'SXP-USDT','5m','fVPWv','2021-09-11','2021-10-11','50','-16.96','-19.58',-87,'38','-0.22','-2.8','-4.43','3','6',329,-401,'19','31','-7.23'
'SXP-USDT','5m','gVPWv','2021-09-11','2021-10-11','50','-16.96','-19.58',-87,'38','-0.22','-2.8','-4.43','3','6',329,-401,'19','31','-7.23'
'SXP-USDT','5m','FVW*?','2021-09-11','2021-10-11','32','-19.27','-20.16',-89,'19','-0.26','-3.52','-4.44','1','11',488,-301,'6','26','-7.23'
'SXP-USDT','5m','ePRWv','2021-09-11','2021-10-11','41','-6.76','-10.56',-48,'41','-0.23','-0.79','-4.51','4','4',356,-402,'17','24','-7.23'
'SXP-USDT','5m','-VW.v','2021-09-11','2021-10-11','46','-21.43','-20.71',-94,'30','-0.27','-4.36','-4.54','3','6',401,-347,'14','32','-7.23'
'SXP-USDT','5m','eRNWZ','2021-09-11','2021-10-11','46','-18.86','-19.81',-90,'37','-0.21','-3.03','-4.54','3','6',313,-401,'17','29','-7.23'
'SXP-USDT','5m','-VW=v','2021-09-11','2021-10-11','47','-22.26','-20.61',-94,'34','-0.22','-4.82','-4.56','3','5',333,-340,'16','31','-7.23'
'SXP-USDT','5m','QYRcn','2021-09-11','2021-10-11','48','-22.05','-20.51',-94,'35','-0.22','-4.24','-4.58','2','7',327,-395,'17','31','-7.23'
'SXP-USDT','5m','-VWWa','2021-09-11','2021-10-11','46','-22.07','-20.47',-94,'30','-0.22','-4.88','-4.58','3','8',327,-343,'14','32','-7.23'
'SXP-USDT','5m','-VWW^','2021-09-11','2021-10-11','46','-22.07','-20.47',-94,'30','-0.22','-4.88','-4.58','3','8',327,-343,'14','32','-7.23'
'SXP-USDT','5m','3OWXC','2021-09-11','2021-10-11','37','-21.22','-20.31',-94,'30','-0.35','-5.35','-4.61','2','6',352,-312,'11','26','-7.23'
'SXP-USDT','5m','eVPWc','2021-09-11','2021-10-11','49','-19.37','-19.58',-91,'37','-0.23','-3.3','-4.63','3','6',319,-401,'18','31','-7.23'
'SXP-USDT','5m','XRV.a','2021-09-11','2021-10-11','39','-20.13','-19.79',-93,'31','-0.32','-3.65','-4.71','3','6',424,-436,'12','27','-7.23'
'SXP-USDT','5m',':YY:_','2021-09-11','2021-10-11','44','-20.81','-19.63',-93,'27','-0.33','-4.54','-4.74','3','8',390,-368,'12','32','-7.23'
'SXP-USDT','5m','-VWMv','2021-09-11','2021-10-11','47','-20.77','-19.64',-93,'32','-0.26','-4.39','-4.74','3','5',384,-347,'15','32','-7.23'
'SXP-USDT','5m','tbik','2021-09-11','2021-10-11','27','-12.06','-15.58',-74,'41','-0.21','-2.08','-4.75','2','4',290,-464,'11','16','-7.23'
'SXP-USDT','5m','?VuWv','2021-09-11','2021-10-11','19','-6.73','-11.59',-55,'47','-0.12','-1.59','-4.77','4','4',367,-567,'9','10','-7.23'
'SXP-USDT','5m','3OWXE','2021-09-11','2021-10-11','40','-20.31','-19.37',-93,'32','-0.41','-4.35','-4.79','3','6',354,-330,'13','27','-7.23'
'SXP-USDT','5m','-VWLv','2021-09-11','2021-10-11','47','-20.42','-19.29',-93,'32','-0.26','-4.13','-4.8','3','5',440,-351,'15','32','-7.23'
'SXP-USDT','5m','@VW)?','2021-09-11','2021-10-11','32','-9.32','-13.91',-67,'25','-0.23','-1.7','-4.83','1','7',524,-276,'8','24','-7.23'
'SXP-USDT','5m','@_W*?','2021-09-11','2021-10-11','40','-18.69','-18.74',-91,'28','-0.29','-3.61','-4.85','3','6',473,-287,'11','29','-7.23'
