'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'TLM-USDT','5m','hPmHf','2021-09-11','2021-10-11','22','14.67','-4.65',431,'64','2.33','3.91','92.8','6','2',346,-528,'14','8','-6.66'
'TLM-USDT','5m','q9da','2021-09-11','2021-10-11','17','12.26','-5.81',316,'71','2.4','4.02','54.39','8','2',303,-405,'12','5','-6.66'
'TLM-USDT','5m','ePjWv','2021-09-11','2021-10-11','26','13.3','-12.75',366,'58','0.7','2.75','28.68','6','5',447,-730,'15','11','-6.66'
'TLM-USDT','5m','ePPHa','2021-09-11','2021-10-11','49','-0.9','-11.58',236,'49','0.46','2.24','20.41','5','5',333,-460,'24','25','-6.66'
'TLM-USDT','5m','ePPWb','2021-09-11','2021-10-11','52','0.81','-12.11',192,'46','0.42','1.85','15.81','5','6',384,-467,'24','28','-6.66'
'TLM-USDT','5m','vNqn','2021-09-11','2021-10-11','13','5.22','-7.21',113,'54','1.12','2.21','15.71','5','2',384,-430,'7','6','-6.66'
'TLM-USDT','5m','?VuWv','2021-09-11','2021-10-11','28','6.38','-8.09',112,'50','0.64','1.71','13.89','2','3',396,-669,'14','14','-6.66'
'TLM-USDT','5m','MVsWv','2021-09-11','2021-10-11','28','7.34','-11.1',142,'57','0.64','1.89','12.74','5','3',388,-625,'16','12','-6.66'
'TLM-USDT','5m','ePPW\\','2021-09-11','2021-10-11','50','-1.53','-10.16',123,'44','0.44','1.53','12.06','4','6',376,-413,'22','28','-6.66'
'TLM-USDT','5m','ePRWv','2021-09-11','2021-10-11','51','-1.85','-16.12',190,'45','0.32','1.79','11.81','4','5',426,-439,'23','28','-6.66'
'TLM-USDT','5m','@cW*?','2021-09-11','2021-10-11','40','6.47','-17.89',195,'40','0.33','1.73','10.91','4','8',578,-339,'16','24','-6.66'
'TLM-USDT','5m','?dpMr','2021-09-11','2021-10-11','35','8.26','-16.06',163,'54','0.17','1.97','10.12','6','3',516,-766,'19','16','-6.66'
'TLM-USDT','5m','eRQWv','2021-09-11','2021-10-11','52','-0.31','-13.63',135,'46','0.3','1.51','9.88','5','6',398,-425,'24','28','-6.66'
'TLM-USDT','5m','=ptVt','2021-09-11','2021-10-11','38','6.9','-14.66',129,'55','0.2','1.59','8.83','4','4',457,-733,'21','17','-6.66'
'TLM-USDT','5m','_W6,U','2021-09-11','2021-10-11','49','5.6','-19.31',162,'37','0.25','1.56','8.37','2','10',631,-381,'18','31','-6.66'
'TLM-USDT','5m','o4,@X','2021-09-11','2021-10-11','55','3.81','-17.24',139,'38','0.24','1.57','8.04','3','10',475,-392,'21','34','-6.66'
'TLM-USDT','5m','7Fpob','2021-09-11','2021-10-11','20','3.56','-6.7',53,'60','0.35','1.28','7.91','3','2',351,-545,'12','8','-6.66'
'TLM-USDT','5m','HPqWv','2021-09-11','2021-10-11','29','3.84','-7.41',58,'48','0.4','1.13','7.86','2','3',383,-644,'14','15','-6.66'
'TLM-USDT','5m','eVswv','2021-09-11','2021-10-11','24','3.26','-12.96',96,'62','0.12','1.84','7.39','9','5',272,-721,'15','9','-6.66'
'TLM-USDT','5m','eVkWv','2021-09-11','2021-10-11','32','3.39','-16.39',65,'56','0.12','1.1','3.98','4','3',422,-726,'18','14','-6.66'
'TLM-USDT','5m','-VW*9','2021-09-11','2021-10-11','24','1.36','-9.17',32,'38','0.22','0.82','3.51','2','4',527,-274,'9','15','-6.66'
'TLM-USDT','5m','@TW*?','2021-09-11','2021-10-11','36','-0.25','-16.58',16,'36','0.04','0.54','0.99','3','6',522,-344,'13','23','-6.66'
'TLM-USDT','5m','eVPWc','2021-09-11','2021-10-11','56','-6.34','-14.8',13,'43','0.04','0.53','0.86','4','7',377,-402,'24','32','-6.66'
'TLM-USDT','5m','@VW*F','2021-09-11','2021-10-11','39','-0.14','-21.34',18,'38','0.03','0.56','0.85','3','6',575,-395,'15','24','-6.66'
'TLM-USDT','5m','VsWv','2021-09-11','2021-10-11','29','-0.67','-12.22',-6,'55','-0.02','0.16','-0.47','5','2',386,-651,'16','13','-6.66'
'TLM-USDT','5m','WVsWv','2021-09-11','2021-10-11','29','-0.67','-12.22',-6,'55','-0.02','0.16','-0.47','5','2',386,-651,'16','13','-6.66'
'TLM-USDT','5m','ePPH','2021-09-11','2021-10-11','50','-12.35','-12.95',-9,'44','-0.03','0.1','-0.72','4','5',299,-460,'22','28','-6.66'
'TLM-USDT','5m','FVW*?','2021-09-11','2021-10-11','29','-2.42','-14.21',-12,'38','-0.04','0.02','-0.81','4','8',533,-349,'11','18','-6.66'
'TLM-USDT','5m','QYRcn','2021-09-11','2021-10-11','53','-10.37','-20.22',-21,'38','-0.05','0.04','-1.05','3','7',433,-552,'20','33','-6.66'
'TLM-USDT','5m','-VW*=','2021-09-11','2021-10-11','30','-2.89','-15.65',-20,'37','-0.06','-0.17','-1.28','2','6',527,-320,'11','19','-6.66'
'TLM-USDT','5m','LewDb','2021-09-11','2021-10-11','27','-1.34','-10.04',-14,'59','-0.05','-0.07','-1.42','4','2',341,-541,'16','11','-6.66'
'TLM-USDT','5m','@VWF?','2021-09-11','2021-10-11','31','-8.82','-19.47',-28,'35','-0.06','-0.34','-1.43','3','10',414,-346,'11','20','-6.66'
'TLM-USDT','5m','@VX*?','2021-09-11','2021-10-11','30','-4.15','-16.83',-28,'33','-0.08','-0.29','-1.65','2','8',522,-334,'10','20','-6.66'
'TLM-USDT','5m','g^VGt','2021-09-11','2021-10-11','50','-9.7','-15.63',-31,'44','-0.1','-0.12','-1.96','4','4',357,-601,'22','28','-6.66'
'TLM-USDT','5m','fVPWv','2021-09-11','2021-10-11','59','-11.01','-17.24',-37,'41','-0.11','-0.15','-2.13','4','9',377,-402,'24','35','-6.66'
'TLM-USDT','5m','gVPWv','2021-09-11','2021-10-11','59','-11.01','-17.24',-37,'41','-0.11','-0.15','-2.13','4','9',377,-402,'24','35','-6.66'
'TLM-USDT','5m','XRV.a','2021-09-11','2021-10-11','48','-6.97','-20.35',-44,'42','-0.11','-0.41','-2.19','4','8',490,-466,'20','28','-6.66'
'TLM-USDT','5m','eRNWZ','2021-09-11','2021-10-11','55','-10.53','-15.32',-35,'40','-0.12','-0.17','-2.29','4','7',357,-403,'22','33','-6.66'
'TLM-USDT','5m','@_W*?','2021-09-11','2021-10-11','40','-7.08','-18.14',-43,'35','-0.12','-0.36','-2.38','3','9',504,-293,'14','26','-6.66'
'TLM-USDT','5m','YOR9c','2021-09-11','2021-10-11','50','-10.09','-22.18',-54,'42','-0.13','-0.66','-2.45','4','9',485,-558,'21','29','-6.66'
'TLM-USDT','5m','@VW)?','2021-09-11','2021-10-11','31','-7.47','-19.98',-53,'35','-0.13','-0.87','-2.65','3','9',554,-336,'11','20','-6.66'
'TLM-USDT','5m','@VW.?','2021-09-11','2021-10-11','32','-10.07','-21.66',-62,'34','-0.15','-1.25','-2.88','3','10',474,-330,'11','21','-6.66'
'TLM-USDT','5m','@XW*?','2021-09-11','2021-10-11','32','-10.33','-22.45',-67,'31','-0.16','-1.37','-2.99','2','10',512,-325,'10','22','-6.66'
'TLM-USDT','5m','ftUQf','2021-09-11','2021-10-11','47','-9.69','-19.4',-59,'40','-0.17','-0.76','-3.02','4','6',443,-516,'19','28','-6.66'
'TLM-USDT','5m','-dW6n','2021-09-11','2021-10-11','63','-18.63','-28.42',-87,'37','-0.24','-1.87','-3.07','3','9',507,-485,'23','40','-6.66'
'TLM-USDT','5m','@^W*?','2021-09-11','2021-10-11','40','-10.08','-19.99',-62,'32','-0.18','-0.9','-3.08','3','10',499,-290,'13','27','-6.66'
'TLM-USDT','5m','@VW4?','2021-09-11','2021-10-11','30','-12.73','-20.07',-62,'33','-0.16','-1.57','-3.1','2','9',372,-330,'10','20','-6.66'
'TLM-USDT','5m','3OWXC','2021-09-11','2021-10-11','41','-8.83','-17.66',-55,'44','-0.15','-1.51','-3.11','3','9',406,-362,'18','23','-6.66'
'TLM-USDT','5m','CMNWv','2021-09-11','2021-10-11','63','-18.53','-24.55',-76,'38','-0.2','-1.47','-3.11','5','9',396,-637,'24','39','-6.66'
'TLM-USDT','5m','@VW*A','2021-09-11','2021-10-11','37','-9.9','-20.63',-65,'35','-0.18','-1.05','-3.15','3','7',516,-340,'13','24','-6.66'
'TLM-USDT','5m','`RNWv','2021-09-11','2021-10-11','59','-17.37','-24.67',-78,'39','-0.18','-1.5','-3.18','3','10',396,-523,'23','36','-6.66'
'TLM-USDT','5m','cRNWv','2021-09-11','2021-10-11','59','-17.37','-24.67',-78,'39','-0.18','-1.5','-3.18','3','10',396,-523,'23','36','-6.66'
'TLM-USDT','5m','\\RNWv','2021-09-11','2021-10-11','59','-17.37','-24.67',-78,'39','-0.18','-1.5','-3.18','3','10',396,-523,'23','36','-6.66'
'TLM-USDT','5m','RNWv','2021-09-11','2021-10-11','59','-17.37','-24.67',-78,'39','-0.18','-1.5','-3.18','3','10',396,-523,'23','36','-6.66'
'TLM-USDT','5m','aRNWv','2021-09-11','2021-10-11','59','-17.37','-24.67',-78,'39','-0.18','-1.5','-3.18','3','10',396,-523,'23','36','-6.66'
'TLM-USDT','5m','^RNWv','2021-09-11','2021-10-11','59','-17.37','-24.67',-78,'39','-0.18','-1.5','-3.18','3','10',396,-523,'23','36','-6.66'
'TLM-USDT','5m','_RNWv','2021-09-11','2021-10-11','59','-17.37','-24.67',-78,'39','-0.18','-1.5','-3.18','3','10',396,-523,'23','36','-6.66'
'TLM-USDT','5m','eRNWk','2021-09-11','2021-10-11','59','-13.41','-17.54',-56,'41','-0.16','-0.57','-3.19','4','9',363,-465,'24','35','-6.66'
'TLM-USDT','5m',':VWWv','2021-09-11','2021-10-11','60','-18.41','-23.08',-76,'38','-0.23','-1.72','-3.31','3','8',373,-512,'23','37','-6.66'
'TLM-USDT','5m','7VWWv','2021-09-11','2021-10-11','60','-18.41','-23.08',-76,'38','-0.23','-1.72','-3.31','3','8',373,-512,'23','37','-6.66'
'TLM-USDT','5m','?^WWv','2021-09-11','2021-10-11','62','-18.79','-23.08',-79,'39','-0.24','-1.86','-3.44','3','7',394,-542,'24','38','-6.66'
'TLM-USDT','5m','3fWHn','2021-09-11','2021-10-11','58','-30.65','-28.03',-97,'40','-0.23','-4.75','-3.45','2','8',281,-429,'23','35','-6.66'
'TLM-USDT','5m','-VW?v','2021-09-11','2021-10-11','62','-22.61','-25.53',-89,'39','-0.27','-2.56','-3.5','4','7',501,-569,'24','38','-6.66'
'TLM-USDT','5m',':YY:_','2021-09-11','2021-10-11','54','-19.53','-22.95',-80,'41','-0.24','-2.04','-3.51','3','6',440,-491,'22','32','-6.66'
'TLM-USDT','5m','3eWXn','2021-09-11','2021-10-11','63','-24.94','-26.5',-93,'40','-0.3','-3.13','-3.52','3','8',372,-466,'25','38','-6.66'
'TLM-USDT','5m','-VW.v','2021-09-11','2021-10-11','62','-22.71','-25.77',-91,'39','-0.29','-2.68','-3.54','4','7',474,-561,'24','38','-6.66'
'TLM-USDT','5m','E^cA','2021-09-11','2021-10-11','16','-9.56','-16.59',-59,'31','-0.09','-2.27','-3.56','2','9',415,-351,'5','11','-6.66'
'TLM-USDT','5m','?VW.v','2021-09-11','2021-10-11','56','-16.71','-24.04',-86,'39','-0.26','-2.26','-3.57','4','6',457,-470,'22','34','-6.66'
'TLM-USDT','5m','3OWXE','2021-09-11','2021-10-11','46','-12.77','-20.51',-73,'43','-0.19','-2.08','-3.58','3','8',403,-371,'20','26','-6.66'
'TLM-USDT','5m','-VW<v','2021-09-11','2021-10-11','57','-22.63','-24.46',-88,'40','-0.25','-2.81','-3.59','4','6',381,-578,'23','34','-6.66'
'TLM-USDT','5m','-VW;v','2021-09-11','2021-10-11','61','-24.01','-25.5',-92,'41','-0.29','-3.0','-3.59','4','6',449,-558,'25','36','-6.66'
