'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'TOMO-USDT','5m','WrVZ;','2021-09-11','2021-10-11','29','2.6','-9.33',99,'41','0.41','1.93','10.6','2','4',346,-271,'12','17','-0.08'
'TOMO-USDT','5m','vNqn','2021-09-11','2021-10-11','12','0.68','-9.06',9,'58','0.03','0.4','0.95','4','2',370,-519,'7','5','-0.08'
'TOMO-USDT','5m','LewDb','2021-09-11','2021-10-11','18','0.44','-11.94',6,'56','0.02','0.33','0.46','6','2',345,-469,'10','8','-0.08'
'TOMO-USDT','5m','hPmHf','2021-09-11','2021-10-11','19','-1.44','-7.83',-6,'58','-0.06','-0.01','-0.82','4','2',303,-440,'11','8','-0.08'
'TOMO-USDT','5m','ePPHa','2021-09-11','2021-10-11','48','-12.87','-16.23',-19,'42','-0.04','-0.07','-1.15','4','5',336,-470,'20','28','-0.08'
'TOMO-USDT','5m','wVW*?','2021-09-11','2021-10-11','26','-4.25','-13.79',-19,'38','-0.04','-0.24','-1.37','2','5',514,-324,'10','16','-0.08'
'TOMO-USDT','5m','ePPWb','2021-09-11','2021-10-11','48','-12.17','-18.71',-34,'44','-0.07','-0.36','-1.81','4','5',406,-421,'21','27','-0.08'
'TOMO-USDT','5m','?VuWv','2021-09-11','2021-10-11','18','-3.02','-10.94',-22,'44','-0.1','-0.19','-1.97','3','3',354,-482,'8','10','-0.08'
'TOMO-USDT','5m','eSNWd','2021-09-11','2021-10-11','49','-14.27','-20.79',-42,'41','-0.07','-0.61','-2.04','4','5',416,-430,'20','29','-0.08'
'TOMO-USDT','5m','q9da','2021-09-11','2021-10-11','15','-4.05','-11.97',-26,'60','-0.08','-0.62','-2.19','4','2',273,-484,'9','6','-0.08'
'TOMO-USDT','5m','ftUQf','2021-09-11','2021-10-11','43','-10.3','-18.09',-41,'37','-0.1','-0.55','-2.27','3','6',457,-453,'16','27','-0.08'
'TOMO-USDT','5m','o4,@X','2021-09-11','2021-10-11','50','-10.1','-14.08',-34,'42','-0.14','-0.38','-2.38','3','4',416,-437,'21','29','-0.08'
'TOMO-USDT','5m','?VW.v','2021-09-11','2021-10-11','51','-34.01','-38.25',-99,'29','-0.12','-5.33','-2.59','3','5',460,-570,'15','36','-0.08'
'TOMO-USDT','5m','BVV.a','2021-09-11','2021-10-11','50','-32.58','-37.65',-98,'30','-0.11','-5.77','-2.61','4','8',460,-469,'15','35','-0.08'
'TOMO-USDT','5m','<VV.a','2021-09-11','2021-10-11','50','-32.58','-37.65',-98,'30','-0.11','-5.77','-2.61','4','8',460,-469,'15','35','-0.08'
'TOMO-USDT','5m','CMNWv','2021-09-11','2021-10-11','57','-42.37','-37.0',-100,'32','-0.14','-7.44','-2.69','2','6',342,-547,'18','39','-0.08'
'TOMO-USDT','5m','3OW5n','2021-09-11','2021-10-11','49','-36.04','-36.42',-99,'31','-0.16','-6.65','-2.73','2','4',508,-418,'15','34','-0.08'
'TOMO-USDT','5m',':VWWv','2021-09-11','2021-10-11','52','-33.84','-35.85',-99,'35','-0.13','-5.28','-2.75','3','5',377,-585,'18','34','-0.08'
'TOMO-USDT','5m','7VWWv','2021-09-11','2021-10-11','52','-33.84','-35.85',-99,'35','-0.13','-5.28','-2.75','3','5',377,-585,'18','34','-0.08'
'TOMO-USDT','5m','eRNWk','2021-09-11','2021-10-11','50','-16.4','-21.28',-59,'38','-0.11','-1.19','-2.77','4','5',407,-421,'19','31','-0.08'
'TOMO-USDT','5m','ePPH','2021-09-11','2021-10-11','48','-18.04','-20.63',-58,'40','-0.12','-1.12','-2.81','4','5',336,-470,'19','29','-0.08'
'TOMO-USDT','5m','?VW2v','2021-09-11','2021-10-11','51','-33.25','-34.9',-98,'35','-0.12','-5.0','-2.82','3','5',416,-579,'18','33','-0.08'
'TOMO-USDT','5m','-VW.v','2021-09-11','2021-10-11','52','-30.4','-34.52',-98,'33','-0.15','-4.21','-2.84','3','5',460,-603,'17','35','-0.08'
'TOMO-USDT','5m','-VWMv','2021-09-11','2021-10-11','52','-30.75','-34.27',-98,'33','-0.15','-4.46','-2.86','3','5',440,-606,'17','35','-0.08'
'TOMO-USDT','5m','-VWLv','2021-09-11','2021-10-11','52','-30.24','-34.14',-98,'33','-0.15','-4.33','-2.86','3','5',503,-610,'17','35','-0.08'
'TOMO-USDT','5m','-dW6n','2021-09-11','2021-10-11','53','-30.95','-33.88',-98,'25','-0.16','-5.13','-2.9','2','9',497,-441,'13','40','-0.08'
'TOMO-USDT','5m','ePPW\\','2021-09-11','2021-10-11','48','-17.78','-23.43',-68,'42','-0.13','-1.39','-2.9','4','8',406,-421,'20','28','-0.08'
'TOMO-USDT','5m','7Fpob','2021-09-11','2021-10-11','17','-4.43','-10.69',-31,'41','-0.08','-0.93','-2.92','3','4',349,-429,'7','10','-0.08'
'TOMO-USDT','5m','-SUNv','2021-09-11','2021-10-11','55','-36.18','-33.9',-99,'33','-0.17','-6.03','-2.93','2','5',380,-556,'18','37','-0.08'
'TOMO-USDT','5m','ePRWv','2021-09-11','2021-10-11','49','-23.04','-30.22',-89,'41','-0.12','-2.33','-2.93','5','5',378,-636,'20','29','-0.08'
'TOMO-USDT','5m','3OW?n','2021-09-11','2021-10-11','50','-34.89','-33.66',-99,'32','-0.18','-6.1','-2.94','2','4',450,-415,'16','34','-0.08'
'TOMO-USDT','5m','-VW?v','2021-09-11','2021-10-11','52','-30.87','-32.85',-97,'35','-0.16','-4.22','-2.96','3','5',481,-613,'18','34','-0.08'
'TOMO-USDT','5m','-VW;v','2021-09-11','2021-10-11','51','-32.53','-32.96',-98,'35','-0.15','-4.51','-2.96','3','5',437,-614,'18','33','-0.08'
'TOMO-USDT','5m','?^WWv','2021-09-11','2021-10-11','54','-33.14','-33.01',-98,'31','-0.13','-4.79','-2.96','3','6',364,-562,'17','37','-0.08'
'TOMO-USDT','5m',':YY:_','2021-09-11','2021-10-11','48','-29.39','-32.29',-97,'33','-0.14','-5.19','-3.01','3','5',428,-441,'16','32','-0.08'
'TOMO-USDT','5m','3eWXn','2021-09-11','2021-10-11','53','-31.51','-32.22',-97,'30','-0.14','-5.01','-3.01','3','6',387,-450,'16','37','-0.08'
'TOMO-USDT','5m','-VWWu','2021-09-11','2021-10-11','51','-30.34','-32.28',-97,'35','-0.15','-4.43','-3.02','3','5',377,-608,'18','33','-0.08'
'TOMO-USDT','5m',',VWWv','2021-09-11','2021-10-11','51','-30.34','-32.28',-97,'35','-0.15','-4.43','-3.02','3','5',377,-608,'18','33','-0.08'
'TOMO-USDT','5m','eRNWZ','2021-09-11','2021-10-11','49','-21.17','-25.78',-78,'37','-0.13','-2.06','-3.03','4','9',410,-424,'18','31','-0.08'
'TOMO-USDT','5m','-VWWl','2021-09-11','2021-10-11','49','-29.76','-31.76',-97,'33','-0.15','-4.96','-3.06','3','5',377,-446,'16','33','-0.08'
'TOMO-USDT','5m','-VWWa','2021-09-11','2021-10-11','49','-29.76','-31.76',-97,'33','-0.15','-4.96','-3.06','3','5',377,-446,'16','33','-0.08'
'TOMO-USDT','5m','-VW<v','2021-09-11','2021-10-11','50','-31.1','-31.25',-97,'36','-0.16','-4.17','-3.1','3','5',375,-609,'18','32','-0.08'
'TOMO-USDT','5m','-VW=v','2021-09-11','2021-10-11','50','-32.14','-31.29',-97,'36','-0.16','-4.46','-3.11','3','5',384,-609,'18','32','-0.08'
'TOMO-USDT','5m','fVPWv','2021-09-11','2021-10-11','52','-29.28','-30.46',-95,'37','-0.15','-3.49','-3.11','4','5',368,-620,'19','33','-0.08'
'TOMO-USDT','5m','gVPWv','2021-09-11','2021-10-11','52','-29.28','-30.46',-95,'37','-0.15','-3.49','-3.11','4','5',368,-620,'19','33','-0.08'
'TOMO-USDT','5m','-VUWv','2021-09-11','2021-10-11','54','-32.48','-31.22',-98,'33','-0.16','-5.25','-3.14','2','5',364,-606,'18','36','-0.08'
'TOMO-USDT','5m','`RNWv','2021-09-11','2021-10-11','53','-28.76','-29.55',-93,'32','-0.14','-3.17','-3.16','2','5',381,-615,'17','36','-0.08'
'TOMO-USDT','5m','cRNWv','2021-09-11','2021-10-11','53','-28.76','-29.55',-93,'32','-0.14','-3.17','-3.16','2','5',381,-615,'17','36','-0.08'
'TOMO-USDT','5m','\\RNWv','2021-09-11','2021-10-11','53','-28.76','-29.55',-93,'32','-0.14','-3.17','-3.16','2','5',381,-615,'17','36','-0.08'
'TOMO-USDT','5m','RNWv','2021-09-11','2021-10-11','53','-28.76','-29.55',-93,'32','-0.14','-3.17','-3.16','2','5',381,-615,'17','36','-0.08'
'TOMO-USDT','5m','aRNWv','2021-09-11','2021-10-11','53','-28.76','-29.55',-93,'32','-0.14','-3.17','-3.16','2','5',381,-615,'17','36','-0.08'
'TOMO-USDT','5m','^RNWv','2021-09-11','2021-10-11','53','-28.76','-29.55',-93,'32','-0.14','-3.17','-3.16','2','5',381,-615,'17','36','-0.08'
'TOMO-USDT','5m','_RNWv','2021-09-11','2021-10-11','53','-28.76','-29.55',-93,'32','-0.14','-3.17','-3.16','2','5',381,-615,'17','36','-0.08'
'TOMO-USDT','5m','IVWWv','2021-09-11','2021-10-11','49','-27.25','-29.73',-94,'35','-0.15','-3.33','-3.17','3','5',376,-566,'17','32','-0.08'
'TOMO-USDT','5m','eVPWc','2021-09-11','2021-10-11','49','-19.14','-22.89',-75,'39','-0.14','-1.9','-3.27','4','5',399,-415,'19','30','-0.08'
'TOMO-USDT','5m','eRNDv','2021-09-11','2021-10-11','51','-25.5','-26.8',-88,'41','-0.13','-2.6','-3.28','4','5',353,-628,'21','30','-0.08'
'TOMO-USDT','5m','-VWW^','2021-09-11','2021-10-11','48','-26.89','-28.18',-95,'33','-0.18','-4.11','-3.36','3','5',377,-470,'16','32','-0.08'
'TOMO-USDT','5m','XRV.a','2021-09-11','2021-10-11','44','-15.97','-23.41',-79,'34','-0.17','-1.91','-3.36','3','7',466,-477,'15','29','-0.08'
'TOMO-USDT','5m','eRQWv','2021-09-11','2021-10-11','51','-22.65','-25.05',-85,'39','-0.15','-2.15','-3.4','4','5',369,-623,'20','31','-0.08'
'TOMO-USDT','5m','-VWWs','2021-09-11','2021-10-11','49','-24.98','-27.39',-94,'35','-0.15','-3.99','-3.42','3','5',377,-446,'17','32','-0.08'
'TOMO-USDT','5m','QYRcn','2021-09-11','2021-10-11','50','-24.96','-27.1',-93,'32','-0.14','-3.94','-3.42','3','5',398,-584,'16','34','-0.08'
'TOMO-USDT','5m','hPPHs','2021-09-11','2021-10-11','50','-23.77','-23.82',-84,'40','-0.15','-2.23','-3.51','4','5',312,-625,'20','30','-0.08'
'TOMO-USDT','5m','ePPHt','2021-09-11','2021-10-11','50','-23.77','-23.82',-84,'40','-0.15','-2.23','-3.51','4','5',312,-625,'20','30','-0.08'
