'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'TRB-USDT','5m','@TW*?','2021-09-11','2021-10-11','35','28.23','-7.32',2572,'43','7.29','5.33','351.35','2','4',628,-369,'15','20','-8.45'
'TRB-USDT','5m','@_W*?','2021-09-11','2021-10-11','40','17.98','-7.77',841,'42','2.98','3.86','108.24','2','4',567,-342,'17','23','-8.45'
'TRB-USDT','5m','-VW*=','2021-09-11','2021-10-11','38','21.37','-9.47',992,'50','2.35','4.06','104.81','3','4',573,-348,'19','19','-8.45'
'TRB-USDT','5m','XRV.a','2021-09-11','2021-10-11','53','17.24','-14.03',1270,'51','1.64','3.94','90.48','6','4',538,-515,'27','26','-8.45'
'TRB-USDT','5m','@VX*?','2021-09-11','2021-10-11','38','16.23','-8.35',721,'39','3.06','3.44','86.41','2','5',570,-357,'15','23','-8.45'
'TRB-USDT','5m','3OWXE','2021-09-11','2021-10-11','45','21.15','-12.28',1015,'58','1.87','4.02','82.67','4','5',439,-395,'26','19','-8.45'
'TRB-USDT','5m','FVW*?','2021-09-11','2021-10-11','40','13.49','-6.83',499,'42','2.64','3.04','73.02','2','6',543,-344,'17','23','-8.45'
'TRB-USDT','5m','3fWHn','2021-09-11','2021-10-11','59','10.2','-10.55',725,'53','1.88','3.39','68.72','6','6',361,-454,'31','28','-8.45'
'TRB-USDT','5m','_W6,U','2021-09-11','2021-10-11','49','16.1','-9.82',659,'41','1.75','3.26','67.11','4','5',596,-420,'20','29','-8.45'
'TRB-USDT','5m','LewDb','2021-09-11','2021-10-11','26','9.67','-4.87',310,'58','2.86','3.22','63.61','5','3',379,-470,'15','11','-8.45'
'TRB-USDT','5m','YOR9c','2021-09-11','2021-10-11','53','13.94','-14.69',786,'49','1.18','3.3','53.47','4','4',505,-481,'26','27','-8.45'
'TRB-USDT','5m','VsWv','2021-09-11','2021-10-11','29','12.76','-7.53',400,'55','1.9','3.09','53.18','6','4',424,-441,'16','13','-8.45'
'TRB-USDT','5m','WVsWv','2021-09-11','2021-10-11','29','12.76','-7.53',400,'55','1.9','3.09','53.18','6','4',424,-441,'16','13','-8.45'
'TRB-USDT','5m','g^VGt','2021-09-11','2021-10-11','57','11.65','-17.4',872,'53','0.66','3.76','50.11','5','7',434,-516,'30','27','-8.45'
'TRB-USDT','5m','@XW*?','2021-09-11','2021-10-11','41','14.14','-12.8',536,'41','1.38','2.98','41.86','2','4',575,-367,'17','24','-8.45'
'TRB-USDT','5m','3OWXC','2021-09-11','2021-10-11','45','15.04','-12.28',496,'53','1.0','3.13','40.38','3','5',435,-375,'24','21','-8.45'
'TRB-USDT','5m','E^cA','2021-09-11','2021-10-11','27','7.28','-8.83',356,'56','0.91','4.7','40.34','5','4',434,-353,'15','12','-8.45'
'TRB-USDT','5m','@^W*?','2021-09-11','2021-10-11','45','10.0','-8.3',307,'42','1.33','2.49','37.01','2','4',541,-337,'19','26','-8.45'
'TRB-USDT','5m','-VW*9','2021-09-11','2021-10-11','31','13.08','-9.96',362,'48','0.68','2.89','36.3','3','4',529,-296,'15','16','-8.45'
'TRB-USDT','5m','ePRWv','2021-09-11','2021-10-11','54','7.25','-17.78',614,'48','0.78','3.27','34.57','5','6',420,-469,'26','28','-8.45'
'TRB-USDT','5m','@VW4?','2021-09-11','2021-10-11','43','9.14','-11.51',380,'49','1.22','3.14','32.97','3','5',407,-353,'21','22','-8.45'
'TRB-USDT','5m','@VWF?','2021-09-11','2021-10-11','43','9.24','-12.76',393,'51','1.02','3.15','30.76','3','5',438,-355,'22','21','-8.45'
'TRB-USDT','5m','@VW*A','2021-09-11','2021-10-11','44','13.16','-12.73',369,'39','1.06','2.49','28.98','2','4',588,-391,'17','27','-8.45'
'TRB-USDT','5m','@VW.?','2021-09-11','2021-10-11','43','10.81','-14.21',404,'47','0.94','2.8','28.43','3','5',519,-365,'20','23','-8.45'
'TRB-USDT','5m','IVWWv','2021-09-11','2021-10-11','57','6.91','-12.89',339,'51','0.87','2.28','26.27','4','5',422,-496,'29','28','-8.45'
'TRB-USDT','5m','-SUNv','2021-09-11','2021-10-11','58','8.65','-16.39',372,'47','0.65','2.29','22.66','4','6',452,-419,'27','31','-8.45'
'TRB-USDT','5m','ePPWb','2021-09-11','2021-10-11','58','4.34','-15.21',287,'47','0.71','2.29','18.87','5','6',396,-463,'27','31','-8.45'
'TRB-USDT','5m','CMNWv','2021-09-11','2021-10-11','60','4.78','-17.95',312,'48','0.31','2.2','17.36','4','7',417,-450,'29','31','-8.45'
'TRB-USDT','5m','ui*5<','2021-09-11','2021-10-11','36','6.33','-8.95',155,'36','0.94','1.81','17.33','3','5',565,-312,'13','23','-8.45'
'TRB-USDT','5m','eRQWv','2021-09-11','2021-10-11','59','4.33','-16.74',289,'46','0.53','2.26','17.24','5','7',406,-468,'27','32','-8.45'
'TRB-USDT','5m','ftUQf','2021-09-11','2021-10-11','51','5.32','-15.61',258,'47','0.48','1.98','16.52','5','6',491,-459,'24','27','-8.45'
'TRB-USDT','5m','eSNWd','2021-09-11','2021-10-11','61','3.4','-17.72',289,'46','0.31','2.22','16.28','5','8',435,-504,'28','33','-8.45'
'TRB-USDT','5m','O=ITi','2021-09-11','2021-10-11','61','1.06','-9.51',140,'48','0.53','1.68','14.69','3','3',321,-451,'29','32','-8.45'
'TRB-USDT','5m','3OW?n','2021-09-11','2021-10-11','56','6.41','-13.76',202,'52','0.54','1.76','14.67','4','5',519,-612,'29','27','-8.45'
'TRB-USDT','5m','3OW5n','2021-09-11','2021-10-11','56','7.25','-13.76',200,'50','0.54','1.7','14.56','4','5',581,-610,'28','28','-8.45'
'TRB-USDT','5m','ePPW\\','2021-09-11','2021-10-11','59','1.95','-15.21',200,'46','0.57','1.94','13.14','5','6',396,-454,'27','32','-8.45'
'TRB-USDT','5m','hPPHs','2021-09-11','2021-10-11','54','-0.31','-14.98',195,'48','0.49','2.0','13.0','4','5',320,-445,'26','28','-8.45'
'TRB-USDT','5m','ePPHt','2021-09-11','2021-10-11','54','-0.31','-14.98',195,'48','0.49','2.0','13.0','4','5',320,-445,'26','28','-8.45'
'TRB-USDT','5m','@VW)?','2021-09-11','2021-10-11','42','7.22','-15.8',199,'36','0.5','1.92','12.6','2','5',604,-362,'15','27','-8.45'
'TRB-USDT','5m','eVPWc','2021-09-11','2021-10-11','61','0.45','-16.64',181,'46','0.27','1.78','10.91','5','7',421,-496,'28','33','-8.45'
'TRB-USDT','5m','-VW<v','2021-09-11','2021-10-11','56','3.23','-16.39',171,'48','0.31','1.63','10.44','4','6',419,-411,'27','29','-8.45'
'TRB-USDT','5m','3eWXn','2021-09-11','2021-10-11','64','0.72','-12.63',122,'47','0.46','1.47','9.62','3','6',407,-406,'30','34','-8.45'
'TRB-USDT','5m','?dpMr','2021-09-11','2021-10-11','39','3.28','-8.96',80,'46','0.48','1.19','8.92','3','3',459,-486,'18','21','-8.45'
'TRB-USDT','5m','-VWWa','2021-09-11','2021-10-11','58','2.23','-16.12',143,'48','0.32','1.52','8.87','4','6',400,-483,'28','30','-8.45'
'TRB-USDT','5m','-VWW^','2021-09-11','2021-10-11','58','2.23','-16.12',143,'48','0.32','1.52','8.87','4','6',400,-483,'28','30','-8.45'
'TRB-USDT','5m','-VW;v','2021-09-11','2021-10-11','55','2.88','-16.39',129,'47','0.23','1.41','7.89','4','6',483,-409,'26','29','-8.45'
'TRB-USDT','5m','=ptVt','2021-09-11','2021-10-11','39','1.74','-13.22',99,'51','0.22','1.34','7.49','4','3',453,-505,'20','19','-8.45'
'TRB-USDT','5m','@cW*?','2021-09-11','2021-10-11','49','4.72','-13.19',96,'37','0.26','1.33','7.31','2','5',530,-327,'18','31','-8.45'
'TRB-USDT','5m','-VW=v','2021-09-11','2021-10-11','59','1.52','-16.39',119,'49','0.29','1.36','7.24','4','6',420,-613,'29','30','-8.45'
'TRB-USDT','5m','fVPWv','2021-09-11','2021-10-11','63','-1.4','-17.81',127,'44','0.17','1.47','7.13','5','8',419,-487,'28','35','-8.45'
'TRB-USDT','5m','gVPWv','2021-09-11','2021-10-11','63','-1.4','-17.81',127,'44','0.17','1.47','7.13','5','8',419,-487,'28','35','-8.45'
