'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'TRX-USDT','5m','ui*5<','2021-09-11','2021-10-11','31','34.42','-5.43',3827,'48','14.31','6.61','705.36','4','5',683,-296,'15','16','7.38'
'TRX-USDT','5m','@^W*?','2021-09-11','2021-10-11','33','23.91','-10.6',1311,'48','2.56','4.76','123.72','5','4',624,-345,'16','17','7.38'
'TRX-USDT','5m','_W6,U','2021-09-11','2021-10-11','39','17.56','-8.69',625,'46','2.55','3.53','71.92','3','6',594,-367,'18','21','7.38'
'TRX-USDT','5m','@_W*?','2021-09-11','2021-10-11','34','14.67','-12.07',443,'44','1.03','3.58','36.74','3','5',587,-320,'15','19','7.38'
'TRX-USDT','5m','@cW*?','2021-09-11','2021-10-11','36','11.28','-8.72',278,'42','1.05','3.07','31.84','3','5',554,-295,'15','21','7.38'
'TRX-USDT','5m','o4,@X','2021-09-11','2021-10-11','47','8.91','-8.31',257,'43','1.21','2.5','30.87','4','4',448,-360,'20','27','7.38'
'TRX-USDT','5m','@XW*?','2021-09-11','2021-10-11','31','12.68','-11.72',347,'42','0.99','3.14','29.57','3','8',584,-318,'13','18','7.38'
'TRX-USDT','5m','WrVZ;','2021-09-11','2021-10-11','32','7.67','-6.49',179,'50','1.42','2.68','27.61','3','3',338,-275,'16','16','7.38'
'TRX-USDT','5m','@VW)?','2021-09-11','2021-10-11','30','13.41','-14.17',376,'43','0.65','3.16','26.56','3','9',643,-325,'13','17','7.38'
'TRX-USDT','5m','FVW*?','2021-09-11','2021-10-11','27','13.04','-15.06',355,'44','0.56','3.22','23.58','3','8',608,-324,'12','15','7.38'
'TRX-USDT','5m','@VW.?','2021-09-11','2021-10-11','31','9.46','-14.23',229,'42','0.46','2.6','16.12','3','9',529,-315,'13','18','7.38'
'TRX-USDT','5m','@VX*?','2021-09-11','2021-10-11','30','9.34','-14.99',217,'40','0.41','2.42','14.45','3','9',596,-319,'12','18','7.38'
'TRX-USDT','5m','q9da','2021-09-11','2021-10-11','14','5.52','-6.46',92,'71','0.38','2.52','14.3','7','2',285,-455,'10','4','7.38'
'TRX-USDT','5m','@VWF?','2021-09-11','2021-10-11','31','5.68','-11.56',145,'48','0.44','2.23','12.51','3','5',427,-307,'15','16','7.38'
'TRX-USDT','5m','eVswv','2021-09-11','2021-10-11','16','0.18','-4.14',48,'56','0.54','2.14','11.5','3','2',236,-457,'9','7','7.38'
'TRX-USDT','5m','=bVNC','2021-09-11','2021-10-11','39','5.15','-9.16',95,'38','0.29','1.87','10.39','3','5',413,-282,'15','24','7.38'
'TRX-USDT','5m','@VW4?','2021-09-11','2021-10-11','31','5.04','-14.26',122,'42','0.27','1.94','8.58','3','9',412,-309,'13','18','7.38'
'TRX-USDT','5m','wVW*?','2021-09-11','2021-10-11','27','4.88','-11.15',87,'44','0.43','1.45','7.78','3','3',544,-296,'12','15','7.38'
'TRX-USDT','5m','ftUQf','2021-09-11','2021-10-11','35','2.1','-7.57',56,'49','0.31','1.22','7.41','3','4',420,-488,'17','18','7.38'
'TRX-USDT','5m','@VW*A','2021-09-11','2021-10-11','33','3.96','-12.09',72,'39','0.3','1.28','5.96','3','8',543,-354,'13','20','7.38'
'TRX-USDT','5m','HPqWv','2021-09-11','2021-10-11','15','2.83','-7.86',47,'53','0.21','1.2','5.96','2','2',361,-483,'8','7','7.38'
