'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'UNFI-USDT','5m','ui*5<','2021-09-11','2021-10-11','38','14.88','-5.28',658,'39','4.13','4.43','124.55','3','6',597,-280,'15','23','-5.84'
'UNFI-USDT','5m','eEsWv','2021-09-11','2021-10-11','16','10.74','-6.46',253,'50','1.78','3.3','39.17','2','3',402,-370,'8','8','-5.84'
'UNFI-USDT','5m','?^WWv','2021-09-11','2021-10-11','62','-5.08','-10.62',123,'42','0.62','1.46','11.54','3','7',381,-394,'26','36','-5.84'
'UNFI-USDT','5m','ePPWb','2021-09-11','2021-10-11','58','-2.25','-12.43',104,'43','0.4','1.38','8.35','4','6',371,-440,'25','33','-5.84'
'UNFI-USDT','5m','ePPW\\','2021-09-11','2021-10-11','58','-2.25','-12.43',104,'43','0.4','1.38','8.35','4','6',371,-440,'25','33','-5.84'
'UNFI-USDT','5m','hPPHs','2021-09-11','2021-10-11','58','-3.56','-18.18',147,'45','0.2','1.72','8.1','4','6',300,-410,'26','32','-5.84'
'UNFI-USDT','5m','ePPHt','2021-09-11','2021-10-11','58','-3.56','-18.18',147,'45','0.2','1.72','8.1','4','6',300,-410,'26','32','-5.84'
'UNFI-USDT','5m','eVkWv','2021-09-11','2021-10-11','30','2.9','-15.55',94,'50','0.19','1.45','6.05','4','5',409,-671,'15','15','-5.84'
'UNFI-USDT','5m','eSNWd','2021-09-11','2021-10-11','62','-3.45','-12.69',65,'42','0.26','1.09','5.15','4','6',367,-454,'26','36','-5.84'
'UNFI-USDT','5m','@VW*F','2021-09-11','2021-10-11','51','1.1','-16.67',78,'41','0.13','1.13','4.7','4','9',530,-347,'21','30','-5.84'
'UNFI-USDT','5m','eVswv','2021-09-11','2021-10-11','25','-7.36','-5.92',23,'56','0.18','0.79','3.9','6','3',241,-496,'14','11','-5.84'
'UNFI-USDT','5m','ePPHa','2021-09-11','2021-10-11','55','-6.32','-14.96',56,'44','0.11','1.07','3.73','3','6',292,-426,'24','31','-5.84'
'UNFI-USDT','5m','ePPH','2021-09-11','2021-10-11','55','-6.32','-14.96',56,'44','0.11','1.07','3.73','3','6',292,-426,'24','31','-5.84'
'UNFI-USDT','5m','3fWHn','2021-09-11','2021-10-11','60','-12.59','-12.95',36,'43','0.1','0.85','2.76','5','7',294,-434,'26','34','-5.84'
'UNFI-USDT','5m','3OWXC','2021-09-11','2021-10-11','44','-3.58','-15.26',8,'43','0.01','0.41','0.54','3','8',366,-286,'19','25','-5.84'
'UNFI-USDT','5m','eRNDv','2021-09-11','2021-10-11','62','-9.39','-18.72',1,'44','0.0','0.32','0.06','4','6',322,-414,'27','35','-5.84'
'UNFI-USDT','5m','ftUQf','2021-09-11','2021-10-11','56','-8.21','-8.93',-1,'39','-0.0','0.26','-0.08','3','6',431,-418,'22','34','-5.84'
'UNFI-USDT','5m','eVPWc','2021-09-11','2021-10-11','63','-7.78','-13.03',-2,'41','-0.01','0.28','-0.12','4','6',360,-454,'26','37','-5.84'
'UNFI-USDT','5m','eRNWZ','2021-09-11','2021-10-11','61','-7.92','-15.35',-5,'43','-0.01','0.23','-0.3','4','6',353,-440,'26','35','-5.84'
'UNFI-USDT','5m','eRQWv','2021-09-11','2021-10-11','60','-8.63','-17.48',-8,'43','-0.02','0.2','-0.44','4','6',353,-425,'26','34','-5.84'
'UNFI-USDT','5m','CMNWv','2021-09-11','2021-10-11','64','-12.05','-14.7',-7,'38','-0.02','0.18','-0.46','3','7',357,-391,'24','40','-5.84'
'UNFI-USDT','5m','?VW2v','2021-09-11','2021-10-11','59','-9.87','-15.67',-8,'42','-0.02','0.24','-0.5','5','7',400,-436,'25','34','-5.84'
'UNFI-USDT','5m',':YY:_','2021-09-11','2021-10-11','54','-6.78','-17.36',-10,'48','-0.02','0.07','-0.59','5','6',401,-454,'26','28','-5.84'
'UNFI-USDT','5m','3OWXE','2021-09-11','2021-10-11','45','-6.86','-18.06',-28,'42','-0.04','-0.25','-1.56','3','8',366,-318,'19','26','-5.84'
'UNFI-USDT','5m','g^VGt','2021-09-11','2021-10-11','60','-11.56','-17.49',-31,'43','-0.09','-0.21','-1.8','4','7',341,-422,'26','34','-5.84'
'UNFI-USDT','5m','?VW.v','2021-09-11','2021-10-11','59','-10.59','-16.91',-33,'42','-0.11','-0.13','-1.97','5','7',438,-438,'25','34','-5.84'
'UNFI-USDT','5m','eRNWk','2021-09-11','2021-10-11','62','-11.12','-18.12',-36,'42','-0.08','-0.36','-2.01','4','6',352,-425,'26','36','-5.84'
'UNFI-USDT','5m','fVPWv','2021-09-11','2021-10-11','64','-11.02','-15.89',-35,'41','-0.11','-0.33','-2.17','4','6',354,-439,'26','38','-5.84'
'UNFI-USDT','5m','gVPWv','2021-09-11','2021-10-11','64','-11.02','-15.89',-35,'41','-0.11','-0.33','-2.17','4','6',354,-439,'26','38','-5.84'
'UNFI-USDT','5m','BVV.a','2021-09-11','2021-10-11','60','-11.18','-14.32',-31,'42','-0.13','-0.15','-2.19','3','7',439,-445,'25','35','-5.84'
'UNFI-USDT','5m','<VV.a','2021-09-11','2021-10-11','60','-11.18','-14.32',-31,'42','-0.13','-0.15','-2.19','3','7',439,-445,'25','35','-5.84'
'UNFI-USDT','5m','q9da','2021-09-11','2021-10-11','19','-4.97','-11.89',-26,'53','-0.06','-0.69','-2.21','3','3',284,-397,'10','9','-5.84'
'UNFI-USDT','5m','3eWXn','2021-09-11','2021-10-11','61','-13.99','-14.7',-33,'41','-0.12','-0.49','-2.26','3','7',365,-435,'25','36','-5.84'
'UNFI-USDT','5m','`RNWv','2021-09-11','2021-10-11','62','-12.53','-18.43',-45,'39','-0.09','-0.55','-2.42','4','7',352,-423,'24','38','-5.84'
'UNFI-USDT','5m','cRNWv','2021-09-11','2021-10-11','62','-12.53','-18.43',-45,'39','-0.09','-0.55','-2.42','4','7',352,-423,'24','38','-5.84'
'UNFI-USDT','5m','\\RNWv','2021-09-11','2021-10-11','62','-12.53','-18.43',-45,'39','-0.09','-0.55','-2.42','4','7',352,-423,'24','38','-5.84'
'UNFI-USDT','5m','RNWv','2021-09-11','2021-10-11','62','-12.53','-18.43',-45,'39','-0.09','-0.55','-2.42','4','7',352,-423,'24','38','-5.84'
'UNFI-USDT','5m','aRNWv','2021-09-11','2021-10-11','62','-12.53','-18.43',-45,'39','-0.09','-0.55','-2.42','4','7',352,-423,'24','38','-5.84'
'UNFI-USDT','5m','^RNWv','2021-09-11','2021-10-11','62','-12.53','-18.43',-45,'39','-0.09','-0.55','-2.42','4','7',352,-423,'24','38','-5.84'
'UNFI-USDT','5m','_RNWv','2021-09-11','2021-10-11','62','-12.53','-18.43',-45,'39','-0.09','-0.55','-2.42','4','7',352,-423,'24','38','-5.84'
'UNFI-USDT','5m','O=ITi','2021-09-11','2021-10-11','61','-14.63','-18.48',-47,'43','-0.09','-0.57','-2.57','3','6',303,-553,'26','35','-5.84'
'UNFI-USDT','5m','FVW*?','2021-09-11','2021-10-11','44','-6.63','-12.61',-33,'36','-0.11','-0.28','-2.63','3','7',491,-309,'16','28','-5.84'
'UNFI-USDT','5m','?dpMr','2021-09-11','2021-10-11','40','-34.62','-31.36',-99,'35','-0.17','-7.54','-3.16','3','7',407,-447,'14','26','-5.84'
'UNFI-USDT','5m','IVWWv','2021-09-11','2021-10-11','59','-15.97','-18.75',-60,'42','-0.16','-0.84','-3.2','3','7',351,-571,'25','34','-5.84'
'UNFI-USDT','5m','-dW6n','2021-09-11','2021-10-11','60','-10.62','-16.1',-52,'38','-0.24','-0.82','-3.25','3','8',486,-432,'23','37','-5.84'
'UNFI-USDT','5m','@VW4?','2021-09-11','2021-10-11','46','-13.99','-16.71',-54,'35','-0.1','-1.22','-3.26','3','12',314,-278,'16','30','-5.84'
'UNFI-USDT','5m','-VWWl','2021-09-11','2021-10-11','63','-28.69','-28.84',-95,'38','-0.11','-4.81','-3.29','3','7',357,-587,'24','39','-5.84'
'UNFI-USDT','5m','3OW5n','2021-09-11','2021-10-11','61','-31.88','-29.79',-98,'33','-0.12','-5.67','-3.29','3','8',512,-587,'20','41','-5.84'
'UNFI-USDT','5m','-VW.v','2021-09-11','2021-10-11','63','-26.23','-28.74',-95,'38','-0.12','-4.47','-3.3','3','7',433,-587,'24','39','-5.84'
'UNFI-USDT','5m','ePjWv','2021-09-11','2021-10-11','29','-7.23','-14.53',-48,'45','-0.17','-1.03','-3.31','4','5',362,-578,'13','16','-5.84'
'UNFI-USDT','5m','-VWMv','2021-09-11','2021-10-11','63','-26.89','-28.33',-95,'37','-0.13','-4.51','-3.34','3','7',415,-588,'23','40','-5.84'
'UNFI-USDT','5m','-VWLv','2021-09-11','2021-10-11','63','-25.56','-27.88',-94,'35','-0.14','-4.07','-3.38','3','8',473,-591,'22','41','-5.84'
'UNFI-USDT','5m','3OW?n','2021-09-11','2021-10-11','63','-29.63','-27.66',-96,'33','-0.13','-4.76','-3.46','3','8',455,-587,'21','42','-5.84'
'UNFI-USDT','5m','YOR9c','2021-09-11','2021-10-11','53','-9.07','-12.38',-43,'47','-0.23','-0.65','-3.48','4','5',431,-463,'25','28','-5.84'
'UNFI-USDT','5m','-VWWu','2021-09-11','2021-10-11','63','-26.39','-26.49',-92,'38','-0.12','-4.32','-3.49','3','7',357,-587,'24','39','-5.84'
'UNFI-USDT','5m',',VWWv','2021-09-11','2021-10-11','63','-26.39','-26.49',-92,'38','-0.12','-4.32','-3.49','3','7',357,-587,'24','39','-5.84'
'UNFI-USDT','5m','-VWWs','2021-09-11','2021-10-11','63','-26.39','-26.49',-92,'38','-0.12','-4.32','-3.49','3','7',357,-587,'24','39','-5.84'
'UNFI-USDT','5m','_W6,U','2021-09-11','2021-10-11','53','-10.41','-16.19',-57,'34','-0.13','-1.03','-3.52','3','10',535,-372,'18','35','-5.84'
'UNFI-USDT','5m','=ptVt','2021-09-11','2021-10-11','39','-27.53','-27.01',-95,'41','-0.24','-4.61','-3.53','3','6',401,-568,'16','23','-5.84'
'UNFI-USDT','5m',':VWWv','2021-09-11','2021-10-11','61','-23.89','-24.86',-88,'39','-0.14','-3.31','-3.55','3','7',351,-572,'24','37','-5.84'
'UNFI-USDT','5m','7VWWv','2021-09-11','2021-10-11','61','-23.89','-24.86',-88,'39','-0.14','-3.31','-3.55','3','7',351,-572,'24','37','-5.84'
'UNFI-USDT','5m','o4,@X','2021-09-11','2021-10-11','59','-11.64','-13.42',-48,'37','-0.15','-0.73','-3.57','4','9',380,-399,'22','37','-5.84'
'UNFI-USDT','5m','-VUWv','2021-09-11','2021-10-11','64','-23.96','-23.8',-86,'41','-0.16','-2.72','-3.62','4','6',356,-586,'26','38','-5.84'
'UNFI-USDT','5m','-SUNv','2021-09-11','2021-10-11','60','-25.9','-25.98',-94,'37','-0.14','-4.6','-3.63','2','7',384,-582,'22','38','-5.84'
