'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'UNI-USDT','5m','wVW*?','2021-09-11','2021-10-11','30','13.46','-5.72',494,'43','3.06','3.41','86.39','3','3',535,-324,'13','17','8.15'
'UNI-USDT','5m','E^cA','2021-09-11','2021-10-11','18','7.84','-8.26',240,'56','2.3','3.24','29.01','4','4',442,-358,'10','8','8.15'
'UNI-USDT','5m','@VX*?','2021-09-11','2021-10-11','31','7.17','-10.57',201,'42','0.8','1.97','19.0','4','4',574,-343,'13','18','8.15'
'UNI-USDT','5m','-VW*=','2021-09-11','2021-10-11','29','7.2','-7.63',141,'38','1.06','1.68','18.49','5','5',537,-312,'11','18','8.15'
'UNI-USDT','5m','=ptVt','2021-09-11','2021-10-11','25','6.04','-9.97',182,'56','0.96','2.14','18.23','3','2',444,-500,'14','11','8.15'
'UNI-USDT','5m','@TW*?','2021-09-11','2021-10-11','30','5.62','-8.69',150,'37','0.91','1.72','17.3','3','5',552,-329,'11','19','8.15'
'UNI-USDT','5m','-VW*9','2021-09-11','2021-10-11','27','5.55','-9.22',96,'41','0.81','1.43','10.44','4','4',512,-282,'11','16','8.15'
'UNI-USDT','5m','@VW.?','2021-09-11','2021-10-11','33','2.14','-10.93',95,'39','0.42','1.36','8.65','3','5',503,-330,'13','20','8.15'
'UNI-USDT','5m','?dpMr','2021-09-11','2021-10-11','27','3.99','-10.01',83,'48','0.46','1.34','8.31','4','4',478,-505,'13','14','8.15'
'UNI-USDT','5m','@XW*?','2021-09-11','2021-10-11','33','2.56','-11.4',85,'39','0.38','1.24','7.5','5','5',558,-330,'13','20','8.15'
'UNI-USDT','5m','@VW4?','2021-09-11','2021-10-11','33','-0.2','-9.83',73,'42','0.43','1.23','7.38','3','4',391,-325,'14','19','8.15'
'UNI-USDT','5m','@VW)?','2021-09-11','2021-10-11','33','2.13','-11.66',69,'39','0.29','1.11','5.9','3','5',588,-327,'13','20','8.15'
'UNI-USDT','5m','FVW*?','2021-09-11','2021-10-11','36','1.02','-12.53',49,'42','0.21','0.91','3.91','5','4',554,-335,'15','21','8.15'
'UNI-USDT','5m','@VW*F','2021-09-11','2021-10-11','37','1.06','-16.36',59,'38','0.18','0.98','3.58','2','6',583,-389,'14','23','8.15'
'UNI-USDT','5m','@VWF?','2021-09-11','2021-10-11','33','-2.57','-8.5',30,'42','0.23','0.74','3.53','3','4',401,-314,'14','19','8.15'
'UNI-USDT','5m','@VW*A','2021-09-11','2021-10-11','36','0.73','-18.89',54,'36','0.12','0.96','2.86','4','6',600,-353,'13','23','8.15'
'UNI-USDT','5m','@cW*?','2021-09-11','2021-10-11','45','-0.6','-20.06',30,'33','0.08','0.71','1.52','2','8',601,-371,'15','30','8.15'
'UNI-USDT','5m','IVWWv','2021-09-11','2021-10-11','43','-3.64','-13.96',0,'44','-0.0','0.37','-0.0','5','5',406,-402,'19','24','8.15'
'UNI-USDT','5m','?VuWv','2021-09-11','2021-10-11','20','-1.36','-10.88',-2,'55','-0.01','0.2','-0.16','5','3',382,-450,'11','9','8.15'
'UNI-USDT','5m','=bVNC','2021-09-11','2021-10-11','47','-5.51','-17.91',-4,'38','-0.02','0.25','-0.22','4','8',458,-354,'18','29','8.15'
'UNI-USDT','5m','?VW.v','2021-09-11','2021-10-11','44','-3.38','-14.89',-6,'41','-0.04','0.34','-0.41','5','8',495,-425,'18','26','8.15'
'UNI-USDT','5m','_W6,U','2021-09-11','2021-10-11','52','-1.62','-14.58',-7,'33','-0.03','0.3','-0.47','2','8',587,-338,'17','35','8.15'
'UNI-USDT','5m','QYRcn','2021-09-11','2021-10-11','45','-6.37','-14.14',-12,'40','-0.04','0.12','-0.84','4','7',431,-378,'18','27','8.15'
'UNI-USDT','5m','-VWWl','2021-09-11','2021-10-11','47','-5.13','-14.39',-14,'43','-0.06','0.18','-0.96','5','7',396,-383,'20','27','8.15'
'UNI-USDT','5m','-VWWs','2021-09-11','2021-10-11','47','-5.13','-14.39',-14,'43','-0.06','0.18','-0.96','5','7',396,-383,'20','27','8.15'
'UNI-USDT','5m','BVV.a','2021-09-11','2021-10-11','44','-4.41','-16.8',-17,'39','-0.08','0.14','-0.99','5','9',502,-430,'17','27','8.15'
'UNI-USDT','5m','<VV.a','2021-09-11','2021-10-11','44','-4.41','-16.8',-17,'39','-0.08','0.14','-0.99','5','9',502,-430,'17','27','8.15'
'UNI-USDT','5m','ui*5<','2021-09-11','2021-10-11','39','-3.39','-16.62',-24,'31','-0.08','-0.16','-1.46','2','9',581,-319,'12','27','8.15'
'UNI-USDT','5m','?VW2v','2021-09-11','2021-10-11','44','-4.74','-14.87',-23,'45','-0.14','0.07','-1.53','5','8',441,-428,'20','24','8.15'
'UNI-USDT','5m','@^W*?','2021-09-11','2021-10-11','40','-5.63','-17.93',-29,'35','-0.08','-0.2','-1.6','2','5',550,-339,'14','26','8.15'
'UNI-USDT','5m','-VW.v','2021-09-11','2021-10-11','47','-5.98','-16.59',-31,'40','-0.11','-0.02','-1.87','5','7',480,-406,'19','28','8.15'
'UNI-USDT','5m',':VWWv','2021-09-11','2021-10-11','48','-7.59','-19.01',-38,'42','-0.13','-0.31','-2.0','5','6',416,-392,'20','28','8.15'
'UNI-USDT','5m','7VWWv','2021-09-11','2021-10-11','48','-7.59','-19.01',-38,'42','-0.13','-0.31','-2.0','5','6',416,-392,'20','28','8.15'
'UNI-USDT','5m','-VWMv','2021-09-11','2021-10-11','48','-6.61','-15.37',-32,'40','-0.12','-0.08','-2.08','5','7',453,-379,'19','29','8.15'
'UNI-USDT','5m','7Fpob','2021-09-11','2021-10-11','18','-5.63','-10.27',-23,'50','-0.07','-0.59','-2.2','4','3',353,-436,'9','9','8.15'
'UNI-USDT','5m','-VWWu','2021-09-11','2021-10-11','48','-7.21','-14.59',-34,'42','-0.14','-0.13','-2.3','5','7',388,-375,'20','28','8.15'
'UNI-USDT','5m',',VWWv','2021-09-11','2021-10-11','48','-7.21','-14.59',-34,'42','-0.14','-0.13','-2.3','5','7',388,-375,'20','28','8.15'
'UNI-USDT','5m','-VWWa','2021-09-11','2021-10-11','46','-7.58','-14.39',-37,'41','-0.19','-0.24','-2.59','5','7',386,-373,'19','27','8.15'
'UNI-USDT','5m','YOR9c','2021-09-11','2021-10-11','45','-7.36','-16.44',-46,'42','-0.2','-0.43','-2.82','5','7',481,-408,'19','26','8.15'
'UNI-USDT','5m','@_W*?','2021-09-11','2021-10-11','42','-10.76','-22.15',-64,'33','-0.19','-1.09','-2.87','2','7',554,-347,'14','28','8.15'
'UNI-USDT','5m','-VWW^','2021-09-11','2021-10-11','46','-8.44','-14.39',-44,'41','-0.23','-0.4','-3.06','5','7',383,-370,'19','27','8.15'
'UNI-USDT','5m','-VW<v','2021-09-11','2021-10-11','46','-9.27','-15.81',-54,'43','-0.24','-0.56','-3.39','5','7',380,-406,'20','26','8.15'
'UNI-USDT','5m','hPPHs','2021-09-11','2021-10-11','52','-32.89','-28.88',-98,'35','-0.24','-6.33','-3.41','2','7',271,-471,'18','34','8.15'
'UNI-USDT','5m','ePPHt','2021-09-11','2021-10-11','52','-32.89','-28.88',-98,'35','-0.24','-6.33','-3.41','2','7',271,-471,'18','34','8.15'
'UNI-USDT','5m','-SUNv','2021-09-11','2021-10-11','51','-12.54','-18.92',-65,'37','-0.21','-0.9','-3.43','4','7',417,-374,'19','32','8.15'
'UNI-USDT','5m','MVsWv','2021-09-11','2021-10-11','20','-4.22','-10.94',-38,'45','-0.17','-0.94','-3.46','3','3',369,-448,'9','11','8.15'
'UNI-USDT','5m','?^WWv','2021-09-11','2021-10-11','47','-11.51','-17.39',-61,'38','-0.29','-1.16','-3.52','2','5',391,-348,'18','29','8.15'
'UNI-USDT','5m','-VWLv','2021-09-11','2021-10-11','48','-10.17','-17.66',-63,'40','-0.23','-0.88','-3.56','5','7',509,-370,'19','29','8.15'
'UNI-USDT','5m','eVPWc','2021-09-11','2021-10-11','52','-15.7','-20.54',-73,'35','-0.23','-1.38','-3.57','3','8',402,-390,'18','34','8.15'
'UNI-USDT','5m','-dW6n','2021-09-11','2021-10-11','54','-15.15','-22.51',-82,'33','-0.39','-1.9','-3.64','2','8',536,-359,'18','36','8.15'
'UNI-USDT','5m','HPqWv','2021-09-11','2021-10-11','20','-5.43','-11.08',-41,'50','-0.15','-1.01','-3.71','3','3',367,-430,'10','10','8.15'
'UNI-USDT','5m','fVPWv','2021-09-11','2021-10-11','52','-16.89','-20.54',-77,'35','-0.25','-1.57','-3.73','3','8',402,-533,'18','34','8.15'
'UNI-USDT','5m','gVPWv','2021-09-11','2021-10-11','52','-16.89','-20.54',-77,'35','-0.25','-1.57','-3.73','3','8',402,-533,'18','34','8.15'
'UNI-USDT','5m','ePPHa','2021-09-11','2021-10-11','52','-30.17','-25.54',-97,'35','-0.29','-5.18','-3.81','2','7',273,-416,'18','34','8.15'
'UNI-USDT','5m','ePPH','2021-09-11','2021-10-11','52','-30.17','-25.54',-97,'35','-0.29','-5.18','-3.81','2','7',273,-416,'18','34','8.15'
'UNI-USDT','5m','-VUWv','2021-09-11','2021-10-11','54','-13.36','-17.44',-67,'39','-0.28','-1.17','-3.83','3','6',379,-383,'21','33','8.15'
'UNI-USDT','5m',':YY:_','2021-09-11','2021-10-11','45','-10.14','-15.89',-61,'42','-0.37','-0.82','-3.84','5','8',440,-427,'19','26','8.15'
'UNI-USDT','5m','eVkWv','2021-09-11','2021-10-11','22','-5.45','-11.81',-47,'50','-0.15','-1.09','-3.95','5','3',362,-542,'11','11','8.15'
'UNI-USDT','5m','3OW5n','2021-09-11','2021-10-11','47','-17.27','-21.85',-86,'38','-0.27','-2.12','-3.96','5','7',538,-398,'18','29','8.15'
'UNI-USDT','5m','ePRWv','2021-09-11','2021-10-11','46','-19.53','-20.83',-85,'37','-0.37','-2.32','-4.09','5','6',390,-513,'17','29','8.15'
'UNI-USDT','5m','3eWXn','2021-09-11','2021-10-11','55','-18.47','-20.85',-86,'38','-0.35','-2.69','-4.1','5','7',388,-503,'21','34','8.15'
'UNI-USDT','5m','-VW?v','2021-09-11','2021-10-11','48','-13.47','-18.77',-79,'42','-0.31','-1.56','-4.19','5','7',473,-406,'20','28','8.15'
'UNI-USDT','5m','eSNWd','2021-09-11','2021-10-11','53','-18.11','-19.3',-82,'34','-0.3','-1.93','-4.26','3','8',383,-369,'18','35','8.15'
'UNI-USDT','5m','`RNWv','2021-09-11','2021-10-11','55','-23.13','-21.31',-92,'33','-0.33','-3.03','-4.31','3','9',377,-499,'18','37','8.15'
'UNI-USDT','5m','cRNWv','2021-09-11','2021-10-11','55','-23.13','-21.31',-92,'33','-0.33','-3.03','-4.31','3','9',377,-499,'18','37','8.15'
'UNI-USDT','5m','\\RNWv','2021-09-11','2021-10-11','55','-23.13','-21.31',-92,'33','-0.33','-3.03','-4.31','3','9',377,-499,'18','37','8.15'
'UNI-USDT','5m','RNWv','2021-09-11','2021-10-11','55','-23.13','-21.31',-92,'33','-0.33','-3.03','-4.31','3','9',377,-499,'18','37','8.15'
'UNI-USDT','5m','aRNWv','2021-09-11','2021-10-11','55','-23.13','-21.31',-92,'33','-0.33','-3.03','-4.31','3','9',377,-499,'18','37','8.15'
'UNI-USDT','5m','^RNWv','2021-09-11','2021-10-11','55','-23.13','-21.31',-92,'33','-0.33','-3.03','-4.31','3','9',377,-499,'18','37','8.15'
'UNI-USDT','5m','_RNWv','2021-09-11','2021-10-11','55','-23.13','-21.31',-92,'33','-0.33','-3.03','-4.31','3','9',377,-499,'18','37','8.15'
'UNI-USDT','5m','eRNDv','2021-09-11','2021-10-11','54','-25.97','-22.02',-95,'39','-0.34','-4.03','-4.32','4','7',324,-515,'21','33','8.15'
'UNI-USDT','5m','-VW=v','2021-09-11','2021-10-11','48','-12.12','-16.36',-71,'44','-0.32','-1.19','-4.34','5','7',379,-406,'21','27','8.15'
'UNI-USDT','5m','XRV.a','2021-09-11','2021-10-11','43','-13.15','-16.98',-74,'37','-0.35','-1.26','-4.35','5','7',457,-403,'16','27','8.15'
'UNI-USDT','5m','eRNWZ','2021-09-11','2021-10-11','54','-19.55','-19.75',-86,'33','-0.32','-2.52','-4.35','2','8',378,-363,'18','36','8.15'
'UNI-USDT','5m','ePPW\\','2021-09-11','2021-10-11','51','-22.54','-20.83',-91,'31','-0.41','-3.56','-4.39','2','6',360,-320,'16','35','8.15'
