'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'VET-USDT','5m','@cW*?','2021-09-11','2021-10-11','36','12.23','-12.78',318,'44','0.73','2.8','24.89','3','5',594,-366,'16','20','-2.24'
'VET-USDT','5m','=bVNC','2021-09-11','2021-10-11','44','8.22','-17.04',183,'45','0.34','2.04','10.74','3','4',482,-364,'20','24','-2.24'
'VET-USDT','5m','WrVZ;','2021-09-11','2021-10-11','31','5.92','-17.17',139,'42','0.26','1.98','8.09','4','8',390,-317,'13','18','-2.24'
'VET-USDT','5m','g^VGt','2021-09-11','2021-10-11','42','4.57','-18.14',140,'57','0.22','1.77','7.69','4','5',435,-512,'24','18','-2.24'
'VET-USDT','5m','YOR9c','2021-09-11','2021-10-11','42','4.65','-18.52',133,'48','0.25','1.6','7.16','3','4',538,-540,'20','22','-2.24'
'VET-USDT','5m','eRQWv','2021-09-11','2021-10-11','43','5.29','-19.64',130,'47','0.19','1.64','6.6','3','5',450,-516,'20','23','-2.24'
'VET-USDT','5m','vNqn','2021-09-11','2021-10-11','6','1.49','-3.11',20,'67','0.41','1.12','6.34','2','2',373,-310,'4','2','-2.24'
'VET-USDT','5m','ePPWb','2021-09-11','2021-10-11','44','3.53','-20.8',90,'45','0.14','1.33','4.31','3','5',450,-518,'20','24','-2.24'
'VET-USDT','5m','hPPHs','2021-09-11','2021-10-11','42','1.14','-17.8',70,'57','0.14','1.25','3.93','4','5',359,-516,'24','18','-2.24'
'VET-USDT','5m','ePPHa','2021-09-11','2021-10-11','42','1.14','-17.8',70,'57','0.14','1.25','3.93','4','5',359,-516,'24','18','-2.24'
'VET-USDT','5m','ePPHt','2021-09-11','2021-10-11','42','1.14','-17.8',70,'57','0.14','1.25','3.93','4','5',359,-516,'24','18','-2.24'
'VET-USDT','5m','XRV.a','2021-09-11','2021-10-11','42','2.87','-20.66',74,'43','0.13','1.12','3.57','4','8',542,-525,'18','24','-2.24'
'VET-USDT','5m','ePRWv','2021-09-11','2021-10-11','42','2.42','-19.36',63,'45','0.11','1.08','3.26','3','7',439,-506,'19','23','-2.24'
'VET-USDT','5m','ePPH','2021-09-11','2021-10-11','43','-0.18','-18.46',46,'56','0.09','0.94','2.49','4','5',359,-510,'24','19','-2.24'
'VET-USDT','5m','ePPW\\','2021-09-11','2021-10-11','43','0.37','-20.8',31,'44','0.06','0.72','1.48','3','5',434,-500,'19','24','-2.24'
'VET-USDT','5m','@VW*F','2021-09-11','2021-10-11','36','0.31','-11.3',11,'42','0.06','0.45','0.95','4','4',521,-348,'15','21','-2.24'
'VET-USDT','5m','IVWWv','2021-09-11','2021-10-11','44','-2.0','-18.75',12,'50','0.03','0.48','0.65','5','4',417,-504,'22','22','-2.24'
'VET-USDT','5m','eSNWd','2021-09-11','2021-10-11','48','-1.07','-20.46',12,'48','0.02','0.47','0.57','3','5',431,-500,'23','25','-2.24'
'VET-USDT','5m','@VX*?','2021-09-11','2021-10-11','32','-0.16','-15.84',1,'41','0.0','0.27','0.06','3','4',552,-343,'13','19','-2.24'
'VET-USDT','5m','?^WWv','2021-09-11','2021-10-11','48','-1.99','-20.34',0,'46','0.0','0.3','0.01','4','5',432,-496,'22','26','-2.24'
