'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'WAVES-USDT','5m','E^cA','2021-09-11','2021-10-11','11','16.26','-2.75',533,'82','10.96','6.67','194.07','7','1',426,-275,'9','2','-9.9'
'WAVES-USDT','5m','=bVNC','2021-09-11','2021-10-11','42','13.39','-7.82',884,'40','2.93','4.03','113.06','4','6',452,-297,'17','25','-9.9'
'WAVES-USDT','5m','ftUQf','2021-09-11','2021-10-11','43','9.03','-12.66',647,'47','0.82','3.08','51.07','3','6',513,-526,'20','23','-9.9'
'WAVES-USDT','5m','@XW*?','2021-09-11','2021-10-11','33','10.25','-8.37',244,'39','1.06','2.16','29.15','4','4',560,-337,'13','20','-9.9'
'WAVES-USDT','5m','eVPWc','2021-09-11','2021-10-11','48','-1.45','-11.69',298,'42','0.55','2.47','25.5','3','6',438,-524,'20','28','-9.9'
'WAVES-USDT','5m','ePRWv','2021-09-11','2021-10-11','45','-0.08','-12.34',296,'44','0.88','2.53','23.99','3','5',438,-531,'20','25','-9.9'
'WAVES-USDT','5m','@_W*?','2021-09-11','2021-10-11','35','8.06','-9.3',221,'37','0.9','2.17','23.73','4','6',551,-356,'13','22','-9.9'
'WAVES-USDT','5m','_W6,U','2021-09-11','2021-10-11','48','7.04','-12.49',278,'40','0.67','2.23','22.28','5','6',621,-470,'19','29','-9.9'
'WAVES-USDT','5m','fVPWv','2021-09-11','2021-10-11','48','-2.65','-10.24',225,'42','0.63','2.27','22.0','3','5',428,-515,'20','28','-9.9'
'WAVES-USDT','5m','gVPWv','2021-09-11','2021-10-11','48','-2.65','-10.24',225,'42','0.63','2.27','22.0','3','5',428,-515,'20','28','-9.9'
'WAVES-USDT','5m','MVsWv','2021-09-11','2021-10-11','20','-0.69','-4.73',88,'45','0.84','1.86','18.62','3','3',374,-550,'9','11','-9.9'
'WAVES-USDT','5m','hPPHs','2021-09-11','2021-10-11','47','-3.93','-12.66',231,'45','0.44','2.1','18.22','4','6',362,-500,'21','26','-9.9'
'WAVES-USDT','5m','ePPHt','2021-09-11','2021-10-11','47','-3.93','-12.66',231,'45','0.44','2.1','18.22','4','6',362,-500,'21','26','-9.9'
'WAVES-USDT','5m','@^W*?','2021-09-11','2021-10-11','35','6.39','-9.21',166,'37','0.69','1.85','18.02','4','6',542,-350,'13','22','-9.9'
'WAVES-USDT','5m','@VW*A','2021-09-11','2021-10-11','35','8.53','-13.53',234,'40','0.52','1.96','17.32','6','5',598,-395,'14','21','-9.9'
'WAVES-USDT','5m','ePPW\\','2021-09-11','2021-10-11','46','-3.3','-11.83',177,'41','0.34','1.88','14.97','3','6',431,-507,'19','27','-9.9'
'WAVES-USDT','5m','eRQWv','2021-09-11','2021-10-11','49','-5.18','-12.24',157,'41','0.38','1.78','12.82','3','6',424,-510,'20','29','-9.9'
'WAVES-USDT','5m','eRNWZ','2021-09-11','2021-10-11','48','-5.14','-11.14',142,'40','0.39','1.69','12.73','3','6',418,-501,'19','29','-9.9'
'WAVES-USDT','5m','wVW*?','2021-09-11','2021-10-11','27','2.53','-8.63',101,'33','0.62','1.47','11.74','2','4',533,-300,'9','18','-9.9'
'WAVES-USDT','5m','ePPH','2021-09-11','2021-10-11','44','-4.24','-12.66',148,'45','0.36','1.75','11.67','4','6',346,-478,'20','24','-9.9'
'WAVES-USDT','5m','o4,@X','2021-09-11','2021-10-11','55','-2.09','-15.43',170,'35','0.28','1.88','11.03','4','11',490,-364,'19','36','-9.9'
'WAVES-USDT','5m','eRNDv','2021-09-11','2021-10-11','49','-4.99','-11.53',121,'43','0.34','1.56','10.52','4','6',384,-495,'21','28','-9.9'
'WAVES-USDT','5m','hPmHf','2021-09-11','2021-10-11','19','-1.61','-8.55',84,'53','0.24','1.66','9.89','3','3',317,-510,'10','9','-9.9'
'WAVES-USDT','5m','@VW4?','2021-09-11','2021-10-11','32','3.57','-10.75',104,'50','0.41','1.5','9.7','5','5',403,-355,'16','16','-9.9'
'WAVES-USDT','5m','@VW*F','2021-09-11','2021-10-11','37','4.5','-13.13',113,'38','0.28','1.36','8.63','6','5',561,-381,'14','23','-9.9'
'WAVES-USDT','5m','ePPWb','2021-09-11','2021-10-11','46','-5.49','-13.61',116,'41','0.23','1.47','8.54','3','6',431,-507,'19','27','-9.9'
'WAVES-USDT','5m','ePPHa','2021-09-11','2021-10-11','44','-6.13','-12.66',99,'45','0.25','1.38','7.83','4','6',346,-478,'20','24','-9.9'
'WAVES-USDT','5m','@VWF?','2021-09-11','2021-10-11','32','1.41','-9.94',71,'50','0.28','1.21','7.1','5','5',415,-344,'16','16','-9.9'
'WAVES-USDT','5m','@cW*?','2021-09-11','2021-10-11','37','1.38','-7.97',56,'38','0.33','1.03','7.04','4','7',516,-271,'14','23','-9.9'
