'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'XEM-USDT','5m','@VX*?','2021-09-11','2021-10-11','26','8.51','-7.41',174,'46','1.26','2.3','23.49','3','3',519,-312,'12','14','-2.8'
'XEM-USDT','5m','FVW*?','2021-09-11','2021-10-11','29','8.46','-7.39',173,'45','1.47','1.95','23.45','2','3',508,-316,'13','16','-2.8'
'XEM-USDT','5m','XRV.a','2021-09-11','2021-10-11','32','8.75','-8.84',182,'47','1.24','2.0','20.53','3','3',466,-398,'15','17','-2.8'
'XEM-USDT','5m','@^W*?','2021-09-11','2021-10-11','31','7.86','-8.96',155,'42','0.98','1.78','17.29','2','3',528,-310,'13','18','-2.8'
'XEM-USDT','5m','-VW*9','2021-09-11','2021-10-11','24','5.18','-6.08',94,'42','0.99','1.6','15.54','2','3',500,-271,'10','14','-2.8'
'XEM-USDT','5m','ePRWv','2021-09-11','2021-10-11','33','6.17','-8.31',122,'48','1.14','1.75','14.73','3','3',396,-378,'16','17','-2.8'
'XEM-USDT','5m','eRQWv','2021-09-11','2021-10-11','36','5.94','-8.29',116,'47','0.97','1.71','13.97','3','3',382,-375,'17','19','-2.8'
'XEM-USDT','5m','?^WWv','2021-09-11','2021-10-11','34','4.88','-6.81',89,'50','0.92','1.45','13.13','4','3',379,-365,'17','17','-2.8'
'XEM-USDT','5m','-VW.v','2021-09-11','2021-10-11','36','5.05','-7.86',101,'44','0.71','1.44','12.84','3','3',469,-414,'16','20','-2.8'
'XEM-USDT','5m','@TW*?','2021-09-11','2021-10-11','27','5.61','-7.79',97,'41','0.76','1.57','12.47','3','3',520,-302,'11','16','-2.8'
'XEM-USDT','5m','fVPWv','2021-09-11','2021-10-11','38','4.62','-8.08',97,'45','0.83','1.55','11.95','2','3',372,-371,'17','21','-2.8'
'XEM-USDT','5m','gVPWv','2021-09-11','2021-10-11','38','4.62','-8.08',97,'45','0.83','1.55','11.95','2','3',372,-371,'17','21','-2.8'
'XEM-USDT','5m','CMNWv','2021-09-11','2021-10-11','37','5.16','-8.62',97,'49','0.57','1.51','11.22','4','4',358,-371,'18','19','-2.8'
'XEM-USDT','5m','-VWMv','2021-09-11','2021-10-11','36','3.65','-7.63',75,'42','0.54','1.24','9.78','3','3',446,-412,'15','21','-2.8'
'XEM-USDT','5m','-VUWv','2021-09-11','2021-10-11','39','3.02','-6.77',60,'46','0.47','1.11','8.86','3','4',372,-399,'18','21','-2.8'
'XEM-USDT','5m','-VW<v','2021-09-11','2021-10-11','36','2.48','-7.44',65,'44','0.57','1.19','8.8','3','3',380,-406,'16','20','-2.8'
'XEM-USDT','5m','IVWWv','2021-09-11','2021-10-11','34','3.42','-7.28',61,'47','0.55','1.13','8.4','3','3',369,-344,'16','18','-2.8'
'XEM-USDT','5m','-VWWu','2021-09-11','2021-10-11','36','2.14','-7.31',57,'44','0.46','1.11','7.83','3','3',382,-409,'16','20','-2.8'
'XEM-USDT','5m',',VWWv','2021-09-11','2021-10-11','36','2.14','-7.31',57,'44','0.46','1.11','7.83','3','3',382,-409,'16','20','-2.8'
'XEM-USDT','5m','-VWWs','2021-09-11','2021-10-11','36','2.14','-7.31',57,'44','0.46','1.11','7.83','3','3',382,-409,'16','20','-2.8'
'XEM-USDT','5m','-VWWl','2021-09-11','2021-10-11','36','2.14','-7.31',57,'44','0.46','1.11','7.83','3','3',382,-409,'16','20','-2.8'
'XEM-USDT','5m','eRNWk','2021-09-11','2021-10-11','38','3.01','-8.08',60,'45','0.4','1.11','7.44','3','4',367,-366,'17','21','-2.8'
'XEM-USDT','5m','YOR9c','2021-09-11','2021-10-11','31','3.76','-9.27',62,'48','0.56','1.12','6.67','3','3',470,-361,'15','16','-2.8'
'XEM-USDT','5m','eSNWd','2021-09-11','2021-10-11','39','2.39','-8.07',49,'44','0.35','0.98','6.1','2','4',363,-364,'17','22','-2.8'
'XEM-USDT','5m','-VWLv','2021-09-11','2021-10-11','36','2.43','-8.46',51,'42','0.37','0.95','6.06','3','3',505,-411,'15','21','-2.8'
'XEM-USDT','5m','-VW=v','2021-09-11','2021-10-11','36','0.76','-7.87',41,'44','0.38','0.88','5.19','3','3',385,-401,'16','20','-2.8'
'XEM-USDT','5m',':YY:_','2021-09-11','2021-10-11','33','0.91','-8.0',32,'45','0.24','0.75','3.97','3','3',419,-385,'15','18','-2.8'
'XEM-USDT','5m','WrVZ;','2021-09-11','2021-10-11','27','-1.29','-6.98',28,'44','0.3','0.76','3.97','2','4',308,-271,'12','15','-2.8'
'XEM-USDT','5m','-VW?v','2021-09-11','2021-10-11','36','0.72','-8.7',34,'44','0.26','0.77','3.96','3','3',484,-409,'16','20','-2.8'
'XEM-USDT','5m','BVV.a','2021-09-11','2021-10-11','35','2.08','-8.29',31,'46','0.23','0.72','3.71','3','3',446,-364,'16','19','-2.8'
'XEM-USDT','5m','<VV.a','2021-09-11','2021-10-11','35','2.08','-8.29',31,'46','0.23','0.72','3.71','3','3',446,-364,'16','19','-2.8'
'XEM-USDT','5m','tbik','2021-09-11','2021-10-11','21','0.78','-6.6',23,'48','0.22','0.72','3.49','4','4',327,-413,'10','11','-2.8'
'XEM-USDT','5m','eVPWc','2021-09-11','2021-10-11','37','0.94','-8.08',28,'43','0.24','0.71','3.41','2','4',365,-358,'16','21','-2.8'
'XEM-USDT','5m','-SUNv','2021-09-11','2021-10-11','39','0.78','-8.1',24,'38','0.15','0.64','2.99','3','4',413,-474,'15','24','-2.8'
'XEM-USDT','5m','@_W*?','2021-09-11','2021-10-11','31','1.71','-8.76',25,'39','0.23','0.65','2.84','2','3',517,-292,'12','19','-2.8'
'XEM-USDT','5m','g^VGt','2021-09-11','2021-10-11','34','0.98','-8.13',21,'53','0.22','0.63','2.59','2','3',360,-287,'18','16','-2.8'
'XEM-USDT','5m','=bVNC','2021-09-11','2021-10-11','34','0.75','-6.84',16,'41','0.16','0.52','2.27','2','3',381,-288,'14','20','-2.8'
'XEM-USDT','5m','?VW2v','2021-09-11','2021-10-11','34','1.05','-8.29',16,'47','0.12','0.52','1.89','3','3',396,-361,'16','18','-2.8'
'XEM-USDT','5m','E^cA','2021-09-11','2021-10-11','14','0.71','-5.55',9,'57','0.1','0.45','1.61','2','1',390,-319,'8','6','-2.8'
'XEM-USDT','5m','@cW*?','2021-09-11','2021-10-11','33','0.52','-7.62',8,'39','0.07','0.41','1.09','2','4',469,-285,'13','20','-2.8'
