'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'XMR-USDT','5m','eEsWv','2021-09-11','2021-10-11','4','5.99','-0.29',103,'100','164.07','6.17','350.22','4','0',278,0,'4','0','8.22'
'XMR-USDT','5m','7Fpob','2021-09-11','2021-10-11','7','7.3','-1.61',173,'71','4.98','4.63','107.9','3','1',359,-237,'5','2','8.22'
'XMR-USDT','5m','vNqn','2021-09-11','2021-10-11','5','4.0','-2.2',73,'80','1.62','3.75','33.11','2','1',372,-291,'4','1','8.22'
'XMR-USDT','5m','q9da','2021-09-11','2021-10-11','7','3.91','-3.41',65,'71','1.6','2.59','18.97','3','1',272,-323,'5','2','8.22'
'XMR-USDT','5m','wVW*?','2021-09-11','2021-10-11','21','7.78','-8.7',160,'43','0.61','2.43','18.37','3','6',505,-287,'9','12','8.22'
'XMR-USDT','5m','?VuWv','2021-09-11','2021-10-11','9','3.79','-3.95',72,'56','0.7','2.25','18.3','2','1',365,-309,'5','4','8.22'
'XMR-USDT','5m','hPmHf','2021-09-11','2021-10-11','9','2.9','-3.67',59,'56','0.76','2.58','16.06','2','1',304,-345,'5','4','8.22'
'XMR-USDT','5m','eVkWv','2021-09-11','2021-10-11','13','3.38','-4.9',64,'54','0.49','1.94','12.99','3','2',363,-317,'7','6','8.22'
'XMR-USDT','5m','eVswv','2021-09-11','2021-10-11','8','0.91','-3.34',34,'62','0.39','2.04','10.13','2','1',232,-349,'5','3','8.22'
'XMR-USDT','5m','E^cA','2021-09-11','2021-10-11','13','3.46','-5.29',53,'54','0.45','1.6','10.05','2','2',390,-292,'7','6','8.22'
'XMR-USDT','5m','ePjWv','2021-09-11','2021-10-11','13','2.72','-5.72',52,'54','0.29','1.81','9.11','3','2',361,-345,'7','6','8.22'
