'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'XRP-USDT','5m','\\sta','2021-09-11','2021-10-11','10','2.69','-2.96',38,'70','1.1','1.57','12.9','4','1',260,-313,'7','3','7.53'
'XRP-USDT','5m','MVsWv','2021-09-11','2021-10-11','12','3.72','-4.89',56,'50','0.68','1.47','11.45','2','3',374,-350,'6','6','7.53'
'XRP-USDT','5m','WrVZ;','2021-09-11','2021-10-11','23','2.46','-6.84',62,'48','0.61','1.45','9.05','3','3',334,-251,'11','12','7.53'
'XRP-USDT','5m','LewDb','2021-09-11','2021-10-11','11','2.66','-4.46',38,'45','0.77','1.12','8.46','2','2',344,-451,'5','6','7.53'
'XRP-USDT','5m','eRNWZ','2021-09-11','2021-10-11','36','1.92','-9.86',51,'44','0.27','1.04','5.22','3','3',383,-303,'16','20','7.53'
'XRP-USDT','5m','eVkWv','2021-09-11','2021-10-11','15','2.3','-7.72',32,'47','0.14','0.93','4.13','2','3',374,-365,'7','8','7.53'
'XRP-USDT','5m','eVPWc','2021-09-11','2021-10-11','35','0.62','-9.78',31,'46','0.21','0.78','3.15','3','3',372,-304,'16','19','7.53'
'XRP-USDT','5m','-VWWa','2021-09-11','2021-10-11','31','0.07','-10.24',20,'45','0.11','0.6','1.97','3','3',375,-407,'14','17','7.53'
'XRP-USDT','5m','_W6,U','2021-09-11','2021-10-11','40','0.12','-11.36',10,'45','0.03','0.42','0.85','3','4',536,-346,'18','22','7.53'
'XRP-USDT','5m','eRNWk','2021-09-11','2021-10-11','37','-0.95','-9.86',7,'43','0.04','0.37','0.71','3','3',372,-295,'16','21','7.53'
'XRP-USDT','5m','o4,@X','2021-09-11','2021-10-11','46','-1.04','-10.61',7,'39','0.03','0.36','0.65','3','4',416,-416,'18','28','7.53'
'XRP-USDT','5m','VsWv','2021-09-11','2021-10-11','13','0.37','-7.85',5,'46','0.06','0.29','0.58','2','2',377,-504,'6','7','7.53'
'XRP-USDT','5m','WVsWv','2021-09-11','2021-10-11','13','0.37','-7.85',5,'46','0.06','0.29','0.58','2','2',377,-504,'6','7','7.53'
'XRP-USDT','5m','ePjWv','2021-09-11','2021-10-11','15','0.09','-9.94',1,'47','0.0','0.2','0.11','2','4',362,-365,'7','8','7.53'
'XRP-USDT','5m','3OWXC','2021-09-11','2021-10-11','23','-0.85','-6.93',1,'43','0.0','0.2','0.09','2','3',376,-301,'10','13','7.53'
'XRP-USDT','5m','eSNWd','2021-09-11','2021-10-11','37','-1.53','-9.55',0,'43','0.0','0.23','0.04','3','3',363,-297,'16','21','7.53'
'XRP-USDT','5m','ePPHa','2021-09-11','2021-10-11','31','-3.98','-9.6',-2,'48','-0.01','0.19','-0.16','3','3',300,-400,'15','16','7.53'
'XRP-USDT','5m','ePPH','2021-09-11','2021-10-11','31','-3.98','-9.6',-2,'48','-0.01','0.19','-0.16','3','3',300,-400,'15','16','7.53'
'XRP-USDT','5m','ftUQf','2021-09-11','2021-10-11','32','-1.22','-10.64',-2,'47','-0.01','0.15','-0.21','3','3',434,-341,'15','17','7.53'
'XRP-USDT','5m','BVV.a','2021-09-11','2021-10-11','32','-0.48','-11.58',-3,'47','-0.02','0.23','-0.22','3','3',449,-320,'15','17','7.53'
'XRP-USDT','5m','<VV.a','2021-09-11','2021-10-11','32','-0.48','-11.58',-3,'47','-0.02','0.23','-0.22','3','3',449,-320,'15','17','7.53'
'XRP-USDT','5m','hPPHs','2021-09-11','2021-10-11','30','-2.76','-9.74',-3,'50','-0.02','0.13','-0.35','3','3',300,-400,'15','15','7.53'
'XRP-USDT','5m','ePPHt','2021-09-11','2021-10-11','30','-2.76','-9.74',-3,'50','-0.02','0.13','-0.35','3','3',300,-400,'15','15','7.53'
'XRP-USDT','5m','fVPWv','2021-09-11','2021-10-11','35','-2.39','-9.78',-10,'46','-0.07','0.05','-0.98','3','3',363,-597,'16','19','7.53'
