'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'YFI-USDT','5m','eSNWd','2021-09-11','2021-10-11','40','14.57','-11.98',609,'52','1.45','3.36','50.82','4','5',395,-418,'21','19','-0.82'
'YFI-USDT','5m','eRNWk','2021-09-11','2021-10-11','40','14.14','-11.95',581,'52','1.42','3.3','48.64','4','5',395,-419,'21','19','-0.82'
'YFI-USDT','5m','eRNWZ','2021-09-11','2021-10-11','40','14.14','-11.95',581,'52','1.42','3.3','48.64','4','5',395,-419,'21','19','-0.82'
'YFI-USDT','5m','fVPWv','2021-09-11','2021-10-11','40','15.64','-11.58',559,'50','1.53','3.21','48.26','3','5',389,-404,'20','20','-0.82'
'YFI-USDT','5m','gVPWv','2021-09-11','2021-10-11','40','15.64','-11.58',559,'50','1.53','3.21','48.26','3','5',389,-404,'20','20','-0.82'
'YFI-USDT','5m','eRNDv','2021-09-11','2021-10-11','40','13.97','-11.45',528,'57','1.41','3.2','46.08','4','5',357,-419,'23','17','-0.82'
'YFI-USDT','5m','q9da','2021-09-11','2021-10-11','9','3.58','-2.13',95,'67','1.89','4.22','44.5','2','1',271,-394,'6','3','-0.82'
'YFI-USDT','5m','XRV.a','2021-09-11','2021-10-11','34','15.99','-14.1',589,'44','0.8','3.5','41.73','3','8',472,-401,'15','19','-0.82'
'YFI-USDT','5m','vNqn','2021-09-11','2021-10-11','9','3.0','-1.49',55,'67','1.87','3.02','37.06','2','1',384,-359,'6','3','-0.82'
'YFI-USDT','5m','ePRWv','2021-09-11','2021-10-11','36','13.2','-11.54',392,'56','0.94','3.0','33.96','6','4',380,-398,'20','16','-0.82'
'YFI-USDT','5m','@VW4?','2021-09-11','2021-10-11','28','10.52','-9.29',304,'50','1.46','3.47','32.68','4','6',359,-260,'14','14','-0.82'
'YFI-USDT','5m','LewDb','2021-09-11','2021-10-11','10','4.54','-2.26',72,'60','2.09','3.28','32.0','2','2',331,-422,'6','4','-0.82'
'YFI-USDT','5m','?VW2v','2021-09-11','2021-10-11','38','9.19','-10.91',235,'55','0.81','2.46','21.57','4','4',410,-434,'21','17','-0.82'
'YFI-USDT','5m','eVPWc','2021-09-11','2021-10-11','41','9.65','-13.06',250,'46','0.71','2.25','19.17','3','5',385,-393,'19','22','-0.82'
'YFI-USDT','5m','@VWF?','2021-09-11','2021-10-11','28','7.91','-10.66',187,'61','0.61','2.72','17.57','9','6',379,-260,'17','11','-0.82'
