'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ZEC-USDT','5m','LewDb','2021-09-11','2021-10-11','11','15.48','-1.2',476,'91','68.95','7.45','398.02','9','1',341,-219,'10','1','-6.87'
'ZEC-USDT','5m','vNqn','2021-09-11','2021-10-11','7','6.41','-0.98',113,'71','18.04','4.95','115.51','4','1',371,-131,'5','2','-6.87'
'ZEC-USDT','5m','\\sta','2021-09-11','2021-10-11','11','6.48','-2.72',115,'82','7.28','4.62','42.08','5','1',258,-538,'9','2','-6.87'
'ZEC-USDT','5m','?dpMr','2021-09-11','2021-10-11','16','9.58','-4.95',204,'56','2.2','2.8','41.25','2','2',447,-459,'9','7','-6.87'
'ZEC-USDT','5m','3OW5n','2021-09-11','2021-10-11','30','14.56','-11.53',426,'47','1.42','3.09','36.91','6','6',573,-383,'14','16','-6.87'
'ZEC-USDT','5m','XRV.a','2021-09-11','2021-10-11','29','10.41','-9.06',256,'48','0.84','2.7','28.25','4','5',497,-328,'14','15','-6.87'
'ZEC-USDT','5m','3OW?n','2021-09-11','2021-10-11','29','12.15','-10.89',306,'52','1.06','2.8','28.11','6','4',499,-386,'15','14','-6.87'
'ZEC-USDT','5m','=ptVt','2021-09-11','2021-10-11','15','9.2','-7.09',192,'67','1.63','2.81','27.02','3','2',394,-464,'10','5','-6.87'
'ZEC-USDT','5m','-SUNv','2021-09-11','2021-10-11','35','11.57','-11.04',296,'43','1.19','2.9','26.86','3','5',435,-382,'15','20','-6.87'
'ZEC-USDT','5m','q9da','2021-09-11','2021-10-11','9','5.57','-3.8',93,'78','2.04','3.23','24.57','6','1',264,-380,'7','2','-6.87'
'ZEC-USDT','5m','-VW.v','2021-09-11','2021-10-11','35','8.56','-14.32',175,'40','0.51','2.01','12.2','3','7',477,-367,'14','21','-6.87'
'ZEC-USDT','5m','-VW=v','2021-09-11','2021-10-11','35','7.78','-12.87',152,'49','0.52','1.98','11.79','6','5',401,-373,'17','18','-6.87'
'ZEC-USDT','5m','O=ITi','2021-09-11','2021-10-11','36','3.85','-10.91',125,'44','0.46','1.78','11.45','5','5',338,-374,'16','20','-6.87'
'ZEC-USDT','5m','-VWWu','2021-09-11','2021-10-11','35','7.44','-13.4',151,'40','0.5','1.97','11.23','3','7',389,-371,'14','21','-6.87'
'ZEC-USDT','5m',',VWWv','2021-09-11','2021-10-11','35','7.44','-13.4',151,'40','0.5','1.97','11.23','3','7',389,-371,'14','21','-6.87'
'ZEC-USDT','5m','-VWWs','2021-09-11','2021-10-11','35','7.44','-13.4',151,'40','0.5','1.97','11.23','3','7',389,-371,'14','21','-6.87'
'ZEC-USDT','5m','-VWWl','2021-09-11','2021-10-11','35','7.44','-13.4',151,'40','0.5','1.97','11.23','3','7',389,-371,'14','21','-6.87'
'ZEC-USDT','5m','-VWWa','2021-09-11','2021-10-11','35','7.44','-13.4',151,'40','0.5','1.97','11.23','3','7',389,-371,'14','21','-6.87'
'ZEC-USDT','5m','-VWMv','2021-09-11','2021-10-11','35','7.64','-14.03',156,'40','0.49','1.94','11.13','3','7',452,-368,'14','21','-6.87'
'ZEC-USDT','5m','@^W*?','2021-09-11','2021-10-11','29','5.71','-9.02',98,'38','0.59','1.51','10.9','3','5',516,-311,'11','18','-6.87'
'ZEC-USDT','5m','HPqWv','2021-09-11','2021-10-11','11','2.59','-3.8',36,'64','0.71','1.46','9.58','3','1',349,-380,'7','4','-6.87'
'ZEC-USDT','5m','ePjWv','2021-09-11','2021-10-11','13','2.58','-5.29',50,'46','0.59','1.46','9.53','2','3',364,-379,'6','7','-6.87'
'ZEC-USDT','5m','-VWLv','2021-09-11','2021-10-11','35','6.65','-14.03',129,'40','0.43','1.7','9.2','3','7',510,-368,'14','21','-6.87'
'ZEC-USDT','5m','-VW*=','2021-09-11','2021-10-11','28','4.34','-8.27',70,'36','0.53','1.26','8.42','3','5',511,-292,'10','18','-6.87'
'ZEC-USDT','5m','eVkWv','2021-09-11','2021-10-11','12','1.76','-4.32',36,'67','0.59','1.26','8.38','2','1',360,-432,'8','4','-6.87'
'ZEC-USDT','5m','eEsWv','2021-09-11','2021-10-11','11','1.95','-3.82',27,'55','0.44','1.01','6.94','2','2',362,-380,'6','5','-6.87'
'ZEC-USDT','5m',':VWWv','2021-09-11','2021-10-11','34','5.06','-14.1',89,'41','0.27','1.41','6.28','3','7',381,-363,'14','20','-6.87'
'ZEC-USDT','5m','7VWWv','2021-09-11','2021-10-11','34','5.06','-14.1',89,'41','0.27','1.41','6.28','3','7',381,-363,'14','20','-6.87'
'ZEC-USDT','5m','-VUWv','2021-09-11','2021-10-11','36','3.13','-10.96',62,'39','0.25','1.21','5.63','3','5',382,-381,'14','22','-6.87'
'ZEC-USDT','5m','?VuWv','2021-09-11','2021-10-11','12','1.67','-4.32',22,'67','0.33','0.95','5.17','3','1',346,-432,'8','4','-6.87'
'ZEC-USDT','5m','-VW<v','2021-09-11','2021-10-11','33','4.15','-13.28',66,'45','0.25','1.23','4.96','4','5',377,-371,'15','18','-6.87'
'ZEC-USDT','5m','-VWW^','2021-09-11','2021-10-11','34','3.68','-13.4',63,'38','0.25','1.15','4.67','3','7',375,-371,'13','21','-6.87'
'ZEC-USDT','5m','BVV.a','2021-09-11','2021-10-11','34','4.13','-15.09',67,'41','0.22','1.16','4.47','3','7',459,-354,'14','20','-6.87'
'ZEC-USDT','5m','<VV.a','2021-09-11','2021-10-11','34','4.13','-15.09',67,'41','0.22','1.16','4.47','3','7',459,-354,'14','20','-6.87'
'ZEC-USDT','5m','?VW2v','2021-09-11','2021-10-11','34','3.85','-14.27',62,'47','0.23','1.11','4.35','3','5',416,-357,'16','18','-6.87'
'ZEC-USDT','5m','-VW*9','2021-09-11','2021-10-11','27','2.42','-8.74',35,'30','0.2','0.85','4.05','3','6',517,-250,'8','19','-6.87'
'ZEC-USDT','5m','tbik','2021-09-11','2021-10-11','16','-0.53','-5.36',18,'62','0.15','0.72','3.32','5','2',320,-442,'10','6','-6.87'
'ZEC-USDT','5m','YOR9c','2021-09-11','2021-10-11','32','1.74','-11.23',36,'44','0.13','0.81','3.2','3','6',469,-305,'14','18','-6.87'
'ZEC-USDT','5m','-VW;v','2021-09-11','2021-10-11','33','2.62','-13.28',39,'45','0.16','0.88','2.91','4','5',432,-371,'15','18','-6.87'
'ZEC-USDT','5m','?^WWv','2021-09-11','2021-10-11','35','2.51','-14.22',40,'40','0.15','0.88','2.8','3','7',370,-353,'14','21','-6.87'
'ZEC-USDT','5m','3OWXC','2021-09-11','2021-10-11','24','1.09','-6.52',17,'42','0.17','0.58','2.58','3','4',372,-282,'10','14','-6.87'
'ZEC-USDT','5m','3OWXE','2021-09-11','2021-10-11','24','1.09','-6.52',17,'42','0.17','0.58','2.58','3','4',372,-282,'10','14','-6.87'
'ZEC-USDT','5m','-VW?v','2021-09-11','2021-10-11','33','1.83','-13.49',26,'45','0.11','0.7','1.94','4','5',470,-371,'15','18','-6.87'
'ZEC-USDT','5m','?VW.v','2021-09-11','2021-10-11','34','1.92','-15.09',29,'41','0.11','0.71','1.91','3','7',448,-354,'14','20','-6.87'
'ZEC-USDT','5m','CMNWv','2021-09-11','2021-10-11','39','0.67','-10.71',17,'38','0.1','0.55','1.61','2','5',378,-377,'15','24','-6.87'
'ZEC-USDT','5m','IVWWv','2021-09-11','2021-10-11','33','1.31','-14.49',23,'39','0.07','0.64','1.57','3','7',367,-352,'13','20','-6.87'
'ZEC-USDT','5m','@TW*?','2021-09-11','2021-10-11','24','0.08','-7.74',6,'33','0.03','0.34','0.77','3','6',492,-306,'8','16','-6.87'
'ZEC-USDT','5m','VsWv','2021-09-11','2021-10-11','12','-0.7','-3.8',1,'58','0.02','0.16','0.26','2','2',350,-380,'7','5','-6.87'
'ZEC-USDT','5m','WVsWv','2021-09-11','2021-10-11','12','-0.7','-3.8',1,'58','0.02','0.16','0.26','2','2',350,-380,'7','5','-6.87'
'ZEC-USDT','5m',':YY:_','2021-09-11','2021-10-11','31','-1.48','-14.52',-13,'45','-0.06','0.0','-0.9','4','5',412,-360,'14','17','-6.87'
'ZEC-USDT','5m','@VW*F','2021-09-11','2021-10-11','27','-1.81','-12.0',-15,'37','-0.09','-0.05','-1.24','3','6',482,-312,'10','17','-6.87'
'ZEC-USDT','5m','@VW4?','2021-09-11','2021-10-11','26','-3.04','-9.22',-17,'38','-0.08','-0.17','-1.8','4','6',352,-317,'10','16','-6.87'
'ZEC-USDT','5m','-dW6n','2021-09-11','2021-10-11','40','-2.47','-12.89',-24,'38','-0.12','-0.18','-1.85','2','5',492,-365,'15','25','-6.87'
'ZEC-USDT','5m','FVW*?','2021-09-11','2021-10-11','24','-1.95','-10.1',-21,'38','-0.14','-0.27','-2.04','2','5',471,-288,'9','15','-6.87'
'ZEC-USDT','5m','MVsWv','2021-09-11','2021-10-11','12','-1.56','-4.64',-9,'50','-0.12','-0.23','-2.04','2','2',348,-445,'6','6','-6.87'
'ZEC-USDT','5m','@XW*?','2021-09-11','2021-10-11','28','-2.1','-10.04',-21,'36','-0.09','-0.17','-2.08','3','6',501,-328,'10','18','-6.87'
'ZEC-USDT','5m','hPmHf','2021-09-11','2021-10-11','11','-1.99','-8.23',-22,'64','-0.09','-0.95','-2.64','4','2',291,-510,'7','4','-6.87'
'ZEC-USDT','5m','3eWXn','2021-09-11','2021-10-11','40','-3.61','-11.86',-32,'42','-0.17','-0.5','-2.67','3','5',369,-369,'17','23','-6.87'
'ZEC-USDT','5m','@VW*A','2021-09-11','2021-10-11','26','-4.08','-12.0',-37,'35','-0.19','-0.59','-3.07','3','6',467,-312,'9','17','-6.87'
'ZEC-USDT','5m','ftUQf','2021-09-11','2021-10-11','32','-4.93','-9.56',-32,'41','-0.18','-0.49','-3.31','5','5',429,-398,'13','19','-6.87'
'ZEC-USDT','5m','ePRWv','2021-09-11','2021-10-11','35','-5.34','-10.28',-35,'37','-0.19','-0.61','-3.37','3','6',369,-373,'13','22','-6.87'
'ZEC-USDT','5m','@_W*?','2021-09-11','2021-10-11','27','-3.08','-9.18',-31,'33','-0.24','-0.56','-3.38','2','5',468,-286,'9','18','-6.87'
'ZEC-USDT','5m','WrVZ;','2021-09-11','2021-10-11','27','-5.49','-7.86',-27,'30','-0.17','-0.7','-3.42','2','3',327,-257,'8','19','-6.87'
'ZEC-USDT','5m','@VWF?','2021-09-11','2021-10-11','27','-4.77','-8.89',-31,'48','-0.22','-0.64','-3.53','4','4',364,-311,'13','14','-6.87'
'ZEC-USDT','5m','ePPWb','2021-09-11','2021-10-11','36','-5.48','-10.36',-42,'36','-0.22','-0.93','-4.06','2','6',365,-298,'13','23','-6.87'
'ZEC-USDT','5m','ePPW\\','2021-09-11','2021-10-11','36','-5.48','-10.36',-42,'36','-0.22','-0.93','-4.06','2','6',365,-298,'13','23','-6.87'
