'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ZEN-USDT','5m','E^cA','2021-09-11','2021-10-11','18','12.6','-4.01',377,'61','6.78','4.95','93.97','4','2',419,-294,'11','7','-6.18'
'ZEN-USDT','5m','FVW*?','2021-09-11','2021-10-11','31','10.55','-7.65',265,'42','1.2','2.62','34.68','4','5',538,-353,'13','18','-6.18'
'ZEN-USDT','5m','@VX*?','2021-09-11','2021-10-11','33','6.82','-11.36',134,'39','0.56','1.65','11.83','4','6',559,-336,'13','20','-6.18'
'ZEN-USDT','5m','@cW*?','2021-09-11','2021-10-11','39','3.38','-10.42',109,'36','0.32','1.42','10.5','3','5',548,-294,'14','25','-6.18'
'ZEN-USDT','5m','3OWXE','2021-09-11','2021-10-11','31','3.28','-6.28',63,'48','0.48','1.29','10.09','3','3',391,-339,'15','16','-6.18'
'ZEN-USDT','5m','@_W*?','2021-09-11','2021-10-11','40','1.76','-9.28',71,'38','0.32','1.16','7.64','3','5',533,-330,'15','25','-6.18'
'ZEN-USDT','5m','@XW*?','2021-09-11','2021-10-11','36','1.19','-10.28',58,'36','0.28','1.06','5.61','2','5',533,-320,'13','23','-6.18'
'ZEN-USDT','5m','@^W*?','2021-09-11','2021-10-11','40','0.34','-10.54',44,'38','0.17','0.88','4.18','3','5',533,-327,'15','25','-6.18'
'ZEN-USDT','5m','3OWXC','2021-09-11','2021-10-11','31','1.12','-7.19',27,'45','0.18','0.72','3.71','3','4',386,-335,'14','17','-6.18'
'ZEN-USDT','5m','ui*5<','2021-09-11','2021-10-11','39','-0.18','-9.79',30,'36','0.14','0.72','3.04','3','6',529,-268,'14','25','-6.18'
'ZEN-USDT','5m','@VW*F','2021-09-11','2021-10-11','39','0.34','-12.92',11,'38','0.05','0.47','0.83','5','6',539,-362,'15','24','-6.18'
'ZEN-USDT','5m','@VW)?','2021-09-11','2021-10-11','33','0.26','-12.19',10,'36','0.05','0.43','0.79','2','6',561,-319,'12','21','-6.18'
'ZEN-USDT','5m','@VW.?','2021-09-11','2021-10-11','35','-2.05','-11.62',9,'40','0.04','0.42','0.78','2','6',475,-313,'14','21','-6.18'
'ZEN-USDT','5m','=bVNC','2021-09-11','2021-10-11','48','-8.02','-14.15',6,'38','0.01','0.38','0.4','6','6',444,-374,'18','30','-6.18'
'ZEN-USDT','5m','@VWF?','2021-09-11','2021-10-11','35','-3.87','-11.79',5,'46','0.02','0.32','0.39','2','6',397,-317,'16','19','-6.18'
'ZEN-USDT','5m','eVkWv','2021-09-11','2021-10-11','23','-0.03','-11.38',4,'52','0.01','0.36','0.37','2','4',383,-614,'12','11','-6.18'
'ZEN-USDT','5m','@VW4?','2021-09-11','2021-10-11','35','-2.89','-10.97',2,'43','0.01','0.28','0.18','2','6',377,-310,'15','20','-6.18'
