'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ZIL-USDT','5m','wVW*?','2021-09-11','2021-10-11','28','28.77','-5.57',2166,'54','8.73','6.11','388.86','4','3',606,-325,'15','13','-10.13'
'ZIL-USDT','5m','@TW*?','2021-09-11','2021-10-11','31','20.85','-5.78',1190,'52','6.94','4.9','205.65','4','3',578,-305,'16','15','-10.13'
'ZIL-USDT','5m','@VW.?','2021-09-11','2021-10-11','34','13.33','-5.75',515,'47','3.04','3.49','89.67','4','4',491,-286,'16','18','-10.13'
'ZIL-USDT','5m','@VW*A','2021-09-11','2021-10-11','33','15.37','-5.71',501,'48','4.03','3.33','87.73','2','3',543,-295,'16','17','-10.13'
'ZIL-USDT','5m','@VW*F','2021-09-11','2021-10-11','33','14.73','-5.64',453,'48','3.81','3.18','80.17','2','3',539,-364,'16','17','-10.13'
'ZIL-USDT','5m','-VUWv','2021-09-11','2021-10-11','47','12.46','-6.33',441,'47','3.09','3.58','69.64','3','5',370,-394,'22','25','-10.13'
'ZIL-USDT','5m','-VWWu','2021-09-11','2021-10-11','46','12.67','-6.8',451,'50','3.52','3.78','66.26','4','5',372,-394,'23','23','-10.13'
'ZIL-USDT','5m',',VWWv','2021-09-11','2021-10-11','46','12.67','-6.8',451,'50','3.52','3.78','66.26','4','5',372,-394,'23','23','-10.13'
'ZIL-USDT','5m','-VWWs','2021-09-11','2021-10-11','46','12.67','-6.8',451,'50','3.52','3.78','66.26','4','5',372,-394,'23','23','-10.13'
'ZIL-USDT','5m','-VWWl','2021-09-11','2021-10-11','46','12.67','-6.8',451,'50','3.52','3.78','66.26','4','5',372,-394,'23','23','-10.13'
'ZIL-USDT','5m','@VW)?','2021-09-11','2021-10-11','34','12.4','-6.31',411,'47','2.48','2.93','65.15','4','4',567,-289,'16','18','-10.13'
'ZIL-USDT','5m',':VWWv','2021-09-11','2021-10-11','44','9.79','-6.45',398,'48','2.94','3.59','61.66','4','5',368,-394,'21','23','-10.13'
'ZIL-USDT','5m','7VWWv','2021-09-11','2021-10-11','44','9.79','-6.45',398,'48','2.94','3.59','61.66','4','5',368,-394,'21','23','-10.13'
'ZIL-USDT','5m','-SUNv','2021-09-11','2021-10-11','44','12.35','-6.34',389,'43','2.12','3.36','61.34','3','4',397,-388,'19','25','-10.13'
'ZIL-USDT','5m','-VW=v','2021-09-11','2021-10-11','46','12.15','-7.33',409,'54','2.83','3.52','55.84','4','3',380,-386,'25','21','-10.13'
'ZIL-USDT','5m','=bVNC','2021-09-11','2021-10-11','43','13.34','-8.35',428,'42','1.16','3.41','51.29','3','4',432,-296,'18','25','-10.13'
'ZIL-USDT','5m','-VWMv','2021-09-11','2021-10-11','46','11.68','-7.74',357,'43','2.51','3.12','46.06','3','5',433,-390,'20','26','-10.13'
'ZIL-USDT','5m','@VW4?','2021-09-11','2021-10-11','34','8.98','-6.39',294,'47','1.63','3.0','46.01','4','4',380,-279,'16','18','-10.13'
'ZIL-USDT','5m','@VWF?','2021-09-11','2021-10-11','34','8.52','-7.02',307,'50','1.75','3.21','43.7','4','4',402,-282,'17','17','-10.13'
'ZIL-USDT','5m','-VW.v','2021-09-11','2021-10-11','46','12.43','-8.41',360,'46','2.29','2.99','42.84','3','5',450,-388,'21','25','-10.13'
'ZIL-USDT','5m','-VW;v','2021-09-11','2021-10-11','45','10.47','-7.91',312,'53','2.18','3.0','39.43','4','3',427,-384,'24','21','-10.13'
'ZIL-USDT','5m','-VW?v','2021-09-11','2021-10-11','46','9.98','-8.14',303,'52','2.08','2.85','37.26','4','4',473,-386,'24','22','-10.13'
'ZIL-USDT','5m','?VW.v','2021-09-11','2021-10-11','41','10.95','-7.91',294,'46','1.81','2.83','37.11','4','4',473,-388,'19','22','-10.13'
'ZIL-USDT','5m','-VW<v','2021-09-11','2021-10-11','43','9.44','-7.36',268,'53','1.37','3.05','36.4','4','3',355,-384,'23','20','-10.13'
'ZIL-USDT','5m','@^W*?','2021-09-11','2021-10-11','32','10.73','-7.49',263,'44','1.17','2.58','35.04','3','4',521,-320,'14','18','-10.13'
'ZIL-USDT','5m','WrVZ;','2021-09-11','2021-10-11','34','6.22','-5.68',192,'41','1.97','2.77','33.8','2','3',332,-268,'14','20','-10.13'
'ZIL-USDT','5m','?VW2v','2021-09-11','2021-10-11','41','9.46','-8.05',259,'49','1.6','2.78','32.21','4','3',429,-385,'20','21','-10.13'
'ZIL-USDT','5m','-VWLv','2021-09-11','2021-10-11','46','9.4','-8.42',257,'43','1.83','2.53','30.48','3','5',493,-385,'20','26','-10.13'
'ZIL-USDT','5m','@VX*?','2021-09-11','2021-10-11','31','6.22','-5.71',171,'45','1.57','2.1','29.91','4','3',509,-277,'14','17','-10.13'
'ZIL-USDT','5m','BVV.a','2021-09-11','2021-10-11','42','9.05','-7.89',219,'45','1.38','2.41','27.81','4','4',465,-382,'19','23','-10.13'
'ZIL-USDT','5m','<VV.a','2021-09-11','2021-10-11','42','9.05','-7.89',219,'45','1.38','2.41','27.81','4','4',465,-382,'19','23','-10.13'
'ZIL-USDT','5m','-VWWa','2021-09-11','2021-10-11','45','6.55','-6.8',183,'49','1.19','2.45','26.86','4','5',357,-388,'22','23','-10.13'
'ZIL-USDT','5m','-VWW^','2021-09-11','2021-10-11','45','6.55','-6.8',183,'49','1.19','2.45','26.86','4','5',357,-388,'22','23','-10.13'
'ZIL-USDT','5m','IVWWv','2021-09-11','2021-10-11','42','7.3','-8.61',193,'45','0.89','2.45','22.41','4','4',375,-383,'19','23','-10.13'
'ZIL-USDT','5m','FVW*?','2021-09-11','2021-10-11','31','4.91','-6.14',127,'45','1.03','1.84','20.66','2','4',484,-279,'14','17','-10.13'
'ZIL-USDT','5m','-dW6n','2021-09-11','2021-10-11','48','9.4','-11.81',232,'44','0.95','2.28','19.66','3','4',518,-377,'21','27','-10.13'
'ZIL-USDT','5m','3OWXC','2021-09-11','2021-10-11','42','3.13','-6.76',110,'50','0.76','1.75','16.27','5','3',365,-300,'21','21','-10.13'
'ZIL-USDT','5m','3OWXE','2021-09-11','2021-10-11','42','3.13','-6.76',110,'50','0.76','1.75','16.27','5','3',365,-300,'21','21','-10.13'
'ZIL-USDT','5m','eVswv','2021-09-11','2021-10-11','22','0.67','-6.25',91,'59','0.47','2.47','14.51','7','6',256,-476,'13','9','-10.13'
'ZIL-USDT','5m','eRQWv','2021-09-11','2021-10-11','45','5.55','-11.31',151,'44','0.5','2.02','13.36','4','4',371,-383,'20','25','-10.13'
'ZIL-USDT','5m','@XW*?','2021-09-11','2021-10-11','34','2.62','-6.33',81,'38','0.73','1.39','12.82','2','4',492,-284,'13','21','-10.13'
'ZIL-USDT','5m','@_W*?','2021-09-11','2021-10-11','35','5.62','-9.25',113,'37','0.47','1.6','12.25','3','6',499,-272,'13','22','-10.13'
'ZIL-USDT','5m','XRV.a','2021-09-11','2021-10-11','42','2.55','-9.24',108,'43','0.52','1.55','11.66','3','4',443,-434,'18','24','-10.13'
