'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ZRX-USDT','5m','=bVNC','2021-09-11','2021-10-11','42','23.1','-7.49',1352,'50','6.24','5.21','180.47','5','4',477,-409,'21','21','4.31'
'ZRX-USDT','5m','QYRcn','2021-09-11','2021-10-11','41','20.29','-5.59',980,'56','9.87','4.94','175.21','8','4',457,-412,'23','18','4.31'
'ZRX-USDT','5m','WrVZ;','2021-09-11','2021-10-11','30','17.0','-5.43',682,'57','4.09','4.73','125.54','6','2',371,-318,'17','13','4.31'
'ZRX-USDT','5m','ePPWb','2021-09-11','2021-10-11','42','18.49','-7.23',751,'57','4.59','3.8','103.78','7','4',407,-429,'24','18','4.31'
'ZRX-USDT','5m','ePPW\\','2021-09-11','2021-10-11','42','18.49','-7.23',751,'57','4.59','3.8','103.78','7','4',407,-429,'24','18','4.31'
'ZRX-USDT','5m','ePPHa','2021-09-11','2021-10-11','41','14.87','-4.92',490,'66','4.85','3.77','99.56','6','2',331,-440,'27','14','4.31'
'ZRX-USDT','5m','ePPH','2021-09-11','2021-10-11','41','14.87','-4.92',490,'66','4.85','3.77','99.56','6','2',331,-440,'27','14','4.31'
'ZRX-USDT','5m','eRQWv','2021-09-11','2021-10-11','44','18.02','-7.23',710,'57','4.23','3.6','98.12','7','3',406,-469,'25','19','4.31'
'ZRX-USDT','5m','?^WWv','2021-09-11','2021-10-11','44','15.4','-5.87',555,'55','4.43','3.39','94.6','6','3',426,-440,'24','20','4.31'
'ZRX-USDT','5m','@^W*?','2021-09-11','2021-10-11','35','17.67','-11.01',669,'49','1.33','3.47','60.81','5','4',622,-363,'17','18','4.31'
'ZRX-USDT','5m','`RNWv','2021-09-11','2021-10-11','46','13.51','-7.19',424,'54','3.17','3.03','58.9','4','4',398,-475,'25','21','4.31'
'ZRX-USDT','5m','cRNWv','2021-09-11','2021-10-11','46','13.51','-7.19',424,'54','3.17','3.03','58.9','4','4',398,-475,'25','21','4.31'
'ZRX-USDT','5m','\\RNWv','2021-09-11','2021-10-11','46','13.51','-7.19',424,'54','3.17','3.03','58.9','4','4',398,-475,'25','21','4.31'
'ZRX-USDT','5m','RNWv','2021-09-11','2021-10-11','46','13.51','-7.19',424,'54','3.17','3.03','58.9','4','4',398,-475,'25','21','4.31'
'ZRX-USDT','5m','aRNWv','2021-09-11','2021-10-11','46','13.51','-7.19',424,'54','3.17','3.03','58.9','4','4',398,-475,'25','21','4.31'
'ZRX-USDT','5m','^RNWv','2021-09-11','2021-10-11','46','13.51','-7.19',424,'54','3.17','3.03','58.9','4','4',398,-475,'25','21','4.31'
'ZRX-USDT','5m','_RNWv','2021-09-11','2021-10-11','46','13.51','-7.19',424,'54','3.17','3.03','58.9','4','4',398,-475,'25','21','4.31'
'ZRX-USDT','5m','eRNWk','2021-09-11','2021-10-11','45','12.87','-6.48',370,'53','2.84','3.13','57.2','4','4',399,-423,'24','21','4.31'
'ZRX-USDT','5m','eRNWZ','2021-09-11','2021-10-11','45','12.87','-6.48',370,'53','2.84','3.13','57.2','4','4',399,-423,'24','21','4.31'
'ZRX-USDT','5m','g^VGt','2021-09-11','2021-10-11','43','12.03','-8.1',427,'60','1.76','2.8','52.73','7','3',417,-548,'26','17','4.31'
'ZRX-USDT','5m','@_W*?','2021-09-11','2021-10-11','36','16.48','-11.01',570,'50','1.65','3.47','51.74','7','4',615,-363,'18','18','4.31'
'ZRX-USDT','5m','eRNDv','2021-09-11','2021-10-11','46','12.9','-7.3',365,'57','2.26','3.04','50.0','4','4',365,-531,'26','20','4.31'
'ZRX-USDT','5m','YOR9c','2021-09-11','2021-10-11','39','12.62','-6.92',342,'56','2.02','2.89','49.39','8','4',504,-387,'22','17','4.31'
'ZRX-USDT','5m','tbik','2021-09-11','2021-10-11','29','11.97','-7.74',357,'62','1.96','3.12','46.09','4','2',350,-541,'18','11','4.31'
'ZRX-USDT','5m','ePRWv','2021-09-11','2021-10-11','44','10.47','-7.25',308,'55','1.99','2.75','42.5','3','3',414,-434,'24','20','4.31'
'ZRX-USDT','5m','vNqn','2021-09-11','2021-10-11','11','4.78','-2.91',118,'55','1.66','3.33','40.41','3','2',392,-318,'6','5','4.31'
'ZRX-USDT','5m','ePjWv','2021-09-11','2021-10-11','22','7.9','-5.46',208,'59','2.31','2.91','38.2','5','3',382,-487,'13','9','4.31'
'ZRX-USDT','5m','eSNWd','2021-09-11','2021-10-11','46','9.6','-6.47',229,'52','1.93','2.44','35.42','4','4',395,-420,'24','22','4.31'
'ZRX-USDT','5m','eVkWv','2021-09-11','2021-10-11','24','7.45','-5.54',195,'54','1.76','2.59','35.21','4','4',393,-506,'13','11','4.31'
