'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'1INCH-USDT','5m','@cW*?','2021-09-11','2021-10-11','41','40.21','-8.86',6691,'49','5.89','6.45','755.62','5','5',671,-346,'20','21','2.28'
'1INCH-USDT','5m','@^W*?','2021-09-11','2021-10-11','39','41.08','-9.76',7120,'49','5.55','6.87','729.34','8','6',670,-357,'19','20','2.28'
'1INCH-USDT','5m','@_W*?','2021-09-11','2021-10-11','42','33.42','-8.48',3651,'48','4.41','5.41','430.4','5','5',629,-333,'20','22','2.28'
'1INCH-USDT','5m','7Fpob','2021-09-11','2021-10-11','16','12.52','-1.99',413,'62','9.24','6.39','207.58','5','2',381,-323,'10','6','2.28'
'1INCH-USDT','5m','=bVNC','2021-09-11','2021-10-11','45','23.41','-8.68',1612,'47','3.62','4.68','185.81','4','5',448,-315,'21','24','2.28'
'1INCH-USDT','5m','HPqWv','2021-09-11','2021-10-11','14','12.19','-3.95',482,'57','3.6','5.42','122.18','3','2',414,-287,'8','6','2.28'
'1INCH-USDT','5m','WrVZ;','2021-09-11','2021-10-11','36','12.46','-6.37',640,'44','3.08','4.49','100.48','3','4',369,-275,'16','20','2.28'
'1INCH-USDT','5m','eRNWk','2021-09-11','2021-10-11','47','17.06','-10.24',857,'49','2.08','3.42','83.77','5','6',422,-407,'23','24','2.28'
'1INCH-USDT','5m','eRNWZ','2021-09-11','2021-10-11','47','17.06','-10.24',857,'49','2.08','3.42','83.77','5','6',422,-407,'23','24','2.28'
'1INCH-USDT','5m','hPmHf','2021-09-11','2021-10-11','14','8.39','-4.04',266,'57','2.88','4.45','65.78','4','2',328,-331,'8','6','2.28'
'1INCH-USDT','5m','q9da','2021-09-11','2021-10-11','9','5.19','-2.66',154,'67','4.33','4.84','58.02','2','1',277,-293,'6','3','2.28'
'1INCH-USDT','5m','eSNWd','2021-09-11','2021-10-11','48','11.98','-9.37',479,'48','1.55','2.72','51.11','5','6',408,-590,'23','25','2.28'
'1INCH-USDT','5m','MVsWv','2021-09-11','2021-10-11','16','4.85','-3.44',164,'56','1.83','3.32','47.81','3','2',386,-338,'9','7','2.28'
'1INCH-USDT','5m','QYRcn','2021-09-11','2021-10-11','45','11.79','-9.8',415,'47','1.29','2.61','42.36','5','6',442,-509,'21','24','2.28'
'1INCH-USDT','5m','LewDb','2021-09-11','2021-10-11','16','8.05','-3.88',159,'62','1.26','2.77','40.9','4','2',367,-482,'10','6','2.28'
'1INCH-USDT','5m','fVPWv','2021-09-11','2021-10-11','48','9.71','-9.24',339,'48','1.2','2.3','36.7','5','6',408,-592,'23','25','2.28'
