'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ALICE-USDT','5m','E^cA','2021-09-11','2021-10-11','14','7.82','-4.66',154,'57','1.58','2.56','32.96','4','2',415,-315,'8','6','-5.32'
'ALICE-USDT','5m','vNqn','2021-09-11','2021-10-11','12','4.88','-3.97',123,'58','1.13','2.9','30.87','2','2',388,-427,'7','5','-5.32'
'ALICE-USDT','5m','ePjWv','2021-09-11','2021-10-11','34','9.1','-12.56',188,'59','0.82','1.88','15.0','5','3',435,-573,'20','14','-5.32'
'ALICE-USDT','5m','eVkWv','2021-09-11','2021-10-11','36','1.6','-10.04',21,'53','0.17','0.6','2.12','3','3',404,-623,'19','17','-5.32'
'ALICE-USDT','5m','eVswv','2021-09-11','2021-10-11','27','-2.14','-8.73',3,'67','0.01','0.25','0.29','5','2',241,-498,'18','9','-5.32'
'ALICE-USDT','5m','hPmHf','2021-09-11','2021-10-11','24','-3.36','-13.55',-27,'58','-0.14','-0.28','-1.96','4','3',330,-586,'14','10','-5.32'
'ALICE-USDT','5m','=ptVt','2021-09-11','2021-10-11','42','-3.16','-12.06',-24,'52','-0.12','-0.02','-1.96','5','3',422,-641,'22','20','-5.32'
'ALICE-USDT','5m','CMNWv','2021-09-11','2021-10-11','70','-47.7','-44.0',-100,'36','-0.12','-8.91','-2.27','3','9',318,-516,'25','45','-5.32'
'ALICE-USDT','5m','-VW*9','2021-09-11','2021-10-11','26','-5.65','-17.26',-43,'31','-0.15','-0.77','-2.49','3','10',540,-293,'8','18','-5.32'
'ALICE-USDT','5m','-dW6n','2021-09-11','2021-10-11','70','-42.77','-39.42',-100,'33','-0.16','-7.29','-2.53','3','8',432,-506,'23','47','-5.32'
'ALICE-USDT','5m','_W6,U','2021-09-11','2021-10-11','56','-7.56','-16.64',-43,'38','-0.14','-0.25','-2.57','3','8',552,-420,'21','35','-5.32'
'ALICE-USDT','5m','@^W*?','2021-09-11','2021-10-11','46','-12.23','-26.64',-70,'35','-0.17','-0.96','-2.62','3','15',557,-341,'16','30','-5.32'
