'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ATOM-USDT','5m','_W6,U','2021-09-11','2021-10-11','59','55.3','-11.19',29016,'46','7.0','6.25','2592.27','6','5',877,-480,'27','32','8.05'
'ATOM-USDT','5m','o4,@X','2021-09-11','2021-10-11','69','27.68','-8.19',6389,'49','8.75','5.88','780.2','4','5',527,-514,'34','35','8.05'
'ATOM-USDT','5m','ftUQf','2021-09-11','2021-10-11','56','24.37','-8.0',2477,'50','4.66','4.91','309.6','3','3',547,-594,'28','28','8.05'
'ATOM-USDT','5m','QYRcn','2021-09-11','2021-10-11','66','16.61','-8.19',2330,'48','3.68','4.85','284.63','3','4',489,-571,'32','34','8.05'
'ATOM-USDT','5m','=bVNC','2021-09-11','2021-10-11','48','21.07','-6.36',1774,'50','5.58','4.82','279.07','3','4',468,-368,'24','24','8.05'
'ATOM-USDT','5m','YOR9c','2021-09-11','2021-10-11','59','15.73','-10.46',1209,'49','2.0','4.13','115.63','3','3',558,-568,'29','30','8.05'
'ATOM-USDT','5m','`RNWv','2021-09-11','2021-10-11','67','4.53','-12.16',828,'48','1.51','3.27','68.13','3','4',427,-531,'32','35','8.05'
'ATOM-USDT','5m','cRNWv','2021-09-11','2021-10-11','67','4.53','-12.16',828,'48','1.51','3.27','68.13','3','4',427,-531,'32','35','8.05'
'ATOM-USDT','5m','\\RNWv','2021-09-11','2021-10-11','67','4.53','-12.16',828,'48','1.51','3.27','68.13','3','4',427,-531,'32','35','8.05'
'ATOM-USDT','5m','RNWv','2021-09-11','2021-10-11','67','4.53','-12.16',828,'48','1.51','3.27','68.13','3','4',427,-531,'32','35','8.05'
'ATOM-USDT','5m','aRNWv','2021-09-11','2021-10-11','67','4.53','-12.16',828,'48','1.51','3.27','68.13','3','4',427,-531,'32','35','8.05'
'ATOM-USDT','5m','^RNWv','2021-09-11','2021-10-11','67','4.53','-12.16',828,'48','1.51','3.27','68.13','3','4',427,-531,'32','35','8.05'
'ATOM-USDT','5m','_RNWv','2021-09-11','2021-10-11','67','4.53','-12.16',828,'48','1.51','3.27','68.13','3','4',427,-531,'32','35','8.05'
'ATOM-USDT','5m','ui*5<','2021-09-11','2021-10-11','30','15.26','-11.66',540,'43','0.97','3.49','46.34','7','3',647,-291,'13','17','8.05'
'ATOM-USDT','5m','eRNWZ','2021-09-11','2021-10-11','63','8.88','-11.35',488,'49','1.31','2.88','42.99','3','7',417,-448,'31','32','8.05'
'ATOM-USDT','5m','@cW*?','2021-09-11','2021-10-11','46','11.35','-10.97',448,'46','1.08','2.56','40.82','4','5',587,-351,'21','25','8.05'
'ATOM-USDT','5m','O=ITi','2021-09-11','2021-10-11','76','-5.94','-11.25',336,'47','0.76','2.26','29.85','5','5',369,-482,'36','40','8.05'
'ATOM-USDT','5m','eRNWk','2021-09-11','2021-10-11','66','0.86','-9.59',260,'48','0.83','2.23','27.15','3','4',401,-518,'32','34','8.05'
'ATOM-USDT','5m','eRQWv','2021-09-11','2021-10-11','64','-2.35','-10.57',176,'50','0.63','1.8','16.66','3','4',404,-641,'32','32','8.05'
'ATOM-USDT','5m','g^VGt','2021-09-11','2021-10-11','61','-2.41','-10.51',135,'51','0.56','1.53','12.81','5','3',394,-528,'31','30','8.05'
'ATOM-USDT','5m','ePRWv','2021-09-11','2021-10-11','66','-6.53','-17.97',143,'48','0.3','1.49','7.98','5','4',398,-610,'32','34','8.05'
'ATOM-USDT','5m','ePPW\\','2021-09-11','2021-10-11','58','-1.0','-12.36',92,'50','0.27','1.28','7.42','3','4',391,-482,'29','29','8.05'
'ATOM-USDT','5m','@_W*?','2021-09-11','2021-10-11','38','4.32','-10.36',73,'39','0.34','1.15','7.06','2','5',530,-325,'15','23','8.05'
'ATOM-USDT','5m','3fWHn','2021-09-11','2021-10-11','72','-7.62','-11.31',54,'49','0.27','0.94','4.79','5','5',321,-520,'35','37','8.05'
'ATOM-USDT','5m','WrVZ;','2021-09-11','2021-10-11','33','-3.51','-10.7',51,'39','0.22','1.01','4.76','3','3',352,-310,'13','20','8.05'
'ATOM-USDT','5m','@^W*?','2021-09-11','2021-10-11','39','2.92','-13.68',56,'38','0.14','1.0','4.06','2','4',543,-323,'15','24','8.05'
